time,LA Lakers,pts.away,score,pts.home,Memphis
3:29.0,K. Bryant makes 3-pt shot from 24 ft,3,107-120,,
3:28.0,,,107-120,,Memphis full timeout
3:28.0,,,107-120,,M. Conley enters the game for J. Green
3:28.0,,,107-120,,Z. Randolph enters the game for B. Wright
3:09.0,,,107-122,2,M. Conley makes 2-pt shot from 2 ft
2:53.0,J. Clarkson misses 3-pt shot from 23 ft,,107-122,,
2:51.0,Offensive rebound by J. Randle,,107-122,,
2:45.0,J. Randle misses 2-pt shot from 3 ft,,107-122,,
2:42.0,Offensive rebound by J. Clarkson,,107-122,,
2:39.0,K. Bryant misses 3-pt shot from 24 ft,,107-122,,
2:39.0,,,107-122,,Defensive rebound by Z. Randolph
2:37.0,Personal foul by J. Randle,,107-122,,
2:37.0,,,107-123,1,Z. Randolph makes free throw 1 of 2
2:37.0,,,107-123,,Z. Randolph misses free throw 2 of 2
2:37.0,Defensive rebound by J. Randle,,107-123,,
2:24.0,J. Clarkson makes 3-pt shot from 22 ft (assist by D. Russell),3,110-123,,
2:01.0,,,110-126,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
1:44.0,Shooting foul by V. Carter (drawn by B. Bass),,110-126,,
1:44.0,B. Bass makes 2-pt shot from 1 ft (assist by K. Bryant),2,112-126,,
1:44.0,B. Bass makes free throw 1 of 1,1,113-126,,
1:27.0,,,113-126,,V. Carter misses 2-pt shot from 11 ft
1:27.0,,,113-126,,Offensive rebound by Z. Randolph
1:27.0,,,113-128,2,Z. Randolph makes 2-pt shot from 1 ft
1:17.0,D. Russell misses 2-pt shot from 15 ft,,113-128,,
1:16.0,,,113-128,,Defensive rebound by L. Stephenson
1:09.0,,,113-128,,M. Conley misses 2-pt shot from 1 ft (block by B. Bass)
1:06.0,Defensive rebound by J. Randle,,113-128,,
1:03.0,,,113-128,,Personal take foul by M. Barnes
1:03.0,J. Randle misses free throw 1 of 2,,113-128,,
1:03.0,Offensive rebound by Team,,113-128,,
1:03.0,N. Young enters the game for K. Bryant,,113-128,,
1:03.0,,,113-128,,J. Ennis enters the game for M. Barnes
1:03.0,,,113-128,,J. Green enters the game for Z. Randolph
1:03.0,J. Randle makes free throw 2 of 2,1,114-128,,
0:44.0,,,114-128,,M. Conley misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by Team,,114-128,,
0:43.0,,,114-128,,Loose ball foul by L. Stephenson
0:43.0,J. Randle makes free throw 1 of 2,1,115-128,,
0:43.0,J. Randle makes free throw 2 of 2,1,116-128,,
0:20.0,,,116-128,,J. Ennis misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by J. Clarkson,,116-128,,
0:07.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson),3,119-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
