time,LA Lakers,pts.away,score,pts.home,Memphis
1:32.0,,,19-32,,M. Barnes enters the game for Z. Randolph
1:32.0,J. Clarkson misses free throw 2 of 2,,19-32,,
1:30.0,,,19-32,,Defensive rebound by M. Barnes
1:16.0,,,19-34,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
1:01.0,N. Young makes 3-pt shot from 23 ft,3,22-34,,
0:56.0,,,22-34,,Turnover by M. Chalmers (traveling)
0:42.0,Shooting foul by M. Barnes (drawn by N. Young),,22-34,,
0:42.0,N. Young makes free throw 1 of 3,1,23-34,,
0:42.0,N. Young makes free throw 2 of 3,1,24-34,,
0:42.0,N. Young misses free throw 3 of 3,,24-34,,
0:40.0,,,24-34,,Defensive rebound by M. Barnes
0:28.0,,,24-34,,Turnover by M. Barnes (lost ball; steal by B. Bass)
0:22.0,B. Bass misses 2-pt shot at rim (block by B. Wright),,24-34,,
0:21.0,Offensive rebound by B. Bass,,24-34,,
0:21.0,B. Bass makes 2-pt shot at rim,2,26-34,,
0:02.0,,,26-34,,Shooting foul by B. Bass (drawn by M. Chalmers)
0:02.0,,,26-35,1,M. Chalmers makes free throw 1 of 2
0:02.0,,,26-36,1,M. Chalmers makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Williams misses 2-pt shot from 13 ft,,26-36,,
11:44.0,,,26-36,,Defensive rebound by L. Stephenson
11:29.0,,,26-36,,Shooting foul by L. Williams (drawn by L. Stephenson)
11:29.0,,,26-36,,L. Stephenson misses free throw 1 of 2
11:29.0,,,26-36,,Offensive rebound by Team
11:29.0,,,26-36,,L. Stephenson misses free throw 2 of 2
11:26.0,Defensive rebound by L. Williams,,26-36,,
11:12.0,D. Russell misses 3-pt shot from 25 ft,,26-36,,
11:10.0,,,26-36,,Defensive rebound by L. Stephenson
11:00.0,,,26-36,,L. Stephenson misses 2-pt shot from 3 ft
10:56.0,,,26-36,,Offensive rebound by B. Wright
10:56.0,,,26-38,2,B. Wright makes 2-pt shot at rim
10:46.0,N. Young misses 2-pt shot from 15 ft,,26-38,,
10:45.0,,,26-38,,Defensive rebound by M. Chalmers
10:35.0,,,26-38,,V. Carter misses 3-pt shot from 29 ft
10:34.0,Defensive rebound by D. Russell,,26-38,,
10:27.0,D. Russell makes 2-pt shot from 2 ft,2,28-38,,
10:06.0,,,28-40,2,M. Barnes makes 2-pt shot at rim (assist by L. Stephenson)
9:54.0,Shooting foul by V. Carter (drawn by B. Bass),,28-40,,
9:54.0,B. Bass makes free throw 1 of 2,1,29-40,,
9:54.0,B. Bass makes free throw 2 of 2,1,30-40,,
9:42.0,,,30-43,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Chalmers)
9:33.0,Shooting foul by M. Chalmers (drawn by L. Williams),,30-43,,
9:33.0,L. Williams makes free throw 1 of 2,1,31-43,,
9:33.0,L. Williams makes free throw 2 of 2,1,32-43,,
9:20.0,,,32-43,,V. Carter misses 2-pt shot from 22 ft
9:18.0,,,32-43,,Offensive rebound by B. Wright
9:15.0,,,32-46,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers)
9:00.0,D. Russell makes 2-pt shot from 12 ft,2,34-46,,
8:43.0,,,34-46,,Shooting foul by N. Young (drawn by B. Wright)
8:43.0,,,34-46,,Memphis full timeout
8:43.0,K. Bryant enters the game for N. Young,,34-46,,
8:43.0,,,34-46,,J. Martin enters the game for V. Carter
8:43.0,,,34-46,,B. Wright misses free throw 1 of 2
8:43.0,,,34-46,,Offensive rebound by Team
8:43.0,,,34-47,1,B. Wright makes free throw 2 of 2
8:30.0,Shooting foul by L. Stephenson (drawn by D. Russell),,34-47,,
8:30.0,D. Russell makes free throw 1 of 2,1,35-47,,
8:30.0,D. Russell makes free throw 2 of 2,1,36-47,,
8:19.0,,,36-47,,Turnover by B. Wright (lost ball; steal by L. Nance)
8:11.0,D. Russell makes 2-pt shot from 8 ft,2,38-47,,
7:47.0,,,38-47,,M. Chalmers misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by B. Bass,,38-47,,
7:39.0,D. Russell misses 3-pt shot from 25 ft,,38-47,,
7:37.0,Offensive rebound by B. Bass,,38-47,,
7:23.0,B. Bass makes 2-pt shot from 4 ft,2,40-47,,
7:10.0,,,40-49,2,M. Barnes makes 2-pt shot from 3 ft (assist by M. Chalmers)
7:00.0,Shooting foul by B. Wright (drawn by B. Bass),,40-49,,
7:00.0,B. Bass makes free throw 1 of 2,1,41-49,,
7:00.0,,,41-49,,M. Conley enters the game for M. Chalmers
7:00.0,,,41-49,,C. Andersen enters the game for B. Wright
7:00.0,J. Randle enters the game for L. Nance,,41-49,,
7:00.0,B. Bass makes free throw 2 of 2,1,42-49,,
6:41.0,,,42-49,,L. Stephenson misses 2-pt shot from 7 ft
6:39.0,Defensive rebound by K. Bryant,,42-49,,
6:29.0,K. Bryant misses 2-pt shot from 12 ft,,42-49,,
6:26.0,,,42-49,,Defensive rebound by M. Conley
6:12.0,,,42-49,,Turnover by M. Conley (lost ball; steal by K. Bryant)
6:06.0,D. Russell misses 3-pt shot from 23 ft,,42-49,,
6:04.0,Offensive rebound by L. Williams,,42-49,,
5:52.0,J. Randle makes 2-pt shot from 1 ft,2,44-49,,
5:47.0,,,44-49,,Memphis full timeout
5:47.0,,,44-49,,J. Green enters the game for L. Stephenson
5:47.0,,,44-49,,P. Hairston enters the game for J. Martin
5:32.0,,,44-49,,M. Barnes misses 2-pt shot from 18 ft
5:30.0,Defensive rebound by D. Russell,,44-49,,
5:24.0,L. Williams makes 3-pt shot from 24 ft (assist by D. Russell),3,47-49,,
5:07.0,,,47-51,2,M. Conley makes 2-pt shot from 8 ft
4:49.0,D. Russell makes 2-pt shot from 1 ft (assist by K. Bryant),2,49-51,,
4:39.0,,,49-51,,C. Andersen misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by D. Russell,,49-51,,
4:32.0,K. Bryant misses 3-pt shot from 24 ft,,49-51,,
4:31.0,,,49-51,,Defensive rebound by Team
4:31.0,Loose ball foul by K. Bryant,,49-51,,
4:31.0,T. Black enters the game for B. Bass,,49-51,,
4:31.0,J. Clarkson enters the game for L. Williams,,49-51,,
4:31.0,,,49-51,,Z. Randolph enters the game for C. Andersen
4:17.0,,,49-54,3,J. Green makes 3-pt shot from 24 ft (assist by M. Conley)
4:07.0,Shooting foul by P. Hairston (drawn by D. Russell),,49-54,,
4:07.0,D. Russell makes free throw 1 of 2,1,50-54,,
4:07.0,D. Russell misses free throw 2 of 2,,50-54,,
4:06.0,,,50-54,,Defensive rebound by J. Green
3:48.0,,,50-54,,M. Barnes misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by J. Randle,,50-54,,
3:37.0,J. Randle misses 2-pt shot from 3 ft,,50-54,,
3:33.0,,,50-54,,Defensive rebound by M. Barnes
3:26.0,,,50-57,3,P. Hairston makes 3-pt shot from 25 ft (assist by M. Barnes)
3:10.0,D. Russell misses 3-pt shot from 25 ft,,50-57,,
3:09.0,,,50-57,,Defensive rebound by M. Conley
2:58.0,,,50-59,2,M. Conley makes 2-pt shot from 18 ft
2:34.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,53-59,,
2:15.0,,,53-59,,P. Hairston misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by T. Black,,53-59,,
2:05.0,D. Russell makes 3-pt shot from 24 ft,3,56-59,,
1:52.0,,,56-59,,Shooting foul by T. Black (drawn by Z. Randolph)
1:52.0,LA Lakers full timeout,,56-59,,
1:52.0,,,56-59,,V. Carter enters the game for M. Barnes
1:52.0,Violation by Team (delay of game),,56-59,,
1:52.0,,,56-60,1,Z. Randolph makes free throw 1 of 2
1:52.0,,,56-61,1,Z. Randolph makes free throw 2 of 2
1:32.0,K. Bryant makes 2-pt shot from 15 ft,2,58-61,,
1:10.0,,,58-63,2,Z. Randolph makes 2-pt shot from 14 ft
0:44.0,D. Russell misses 3-pt shot from 24 ft,,58-63,,
0:43.0,,,58-63,,Defensive rebound by J. Green
0:35.0,,,58-65,2,M. Conley makes 2-pt shot from 3 ft
0:25.0,K. Bryant misses 2-pt shot from 13 ft (block by V. Carter),,58-65,,
0:22.0,,,58-65,,Defensive rebound by J. Green
0:22.0,Personal take foul by K. Bryant,,58-65,,
0:22.0,,,58-66,1,M. Conley makes free throw 1 of 2
0:22.0,,,58-66,,M. Barnes enters the game for Z. Randolph
0:22.0,,,58-67,1,M. Conley makes free throw 2 of 2
0:02.0,J. Clarkson misses 3-pt shot from 24 ft,,58-67,,
0:00.0,Offensive rebound by J. Randle,,58-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
