time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (G. Hill gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (G. Hill gains possession)
11:44.0,,,0-0,,Def 3 sec tech foul by J. Valanciunas
11:44.0,P. George makes technical free throw,1,1-0,,
11:34.0,P. George makes 2-pt shot from 17 ft (assist by G. Hill),2,3-0,,
11:16.0,,,3-2,2,J. Valanciunas makes 2-pt shot from 14 ft
10:59.0,Offensive foul by L. Allen,,3-2,,
10:59.0,Turnover by L. Allen (offensive foul),,3-2,,
10:45.0,,,3-2,,J. Johnson misses 3-pt shot from 24 ft
10:44.0,,,3-2,,Offensive rebound by J. Thompson
10:35.0,,,3-2,,N. Powell misses 2-pt shot from 2 ft (block by I. Mahinmi)
10:34.0,Defensive rebound by L. Allen,,3-2,,
10:27.0,M. Ellis makes 2-pt shot at rim,2,5-2,,
10:13.0,Personal foul by I. Mahinmi,,5-2,,
9:58.0,,,5-2,,N. Powell misses 3-pt shot from 24 ft
9:58.0,,,5-2,,Offensive rebound by J. Thompson
9:53.0,,,5-2,,J. Thompson misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by I. Mahinmi,,5-2,,
9:40.0,G. Hill misses 2-pt shot from 15 ft,,5-2,,
9:39.0,,,5-2,,Defensive rebound by N. Powell
9:31.0,,,5-4,2,J. Johnson makes 2-pt shot at rim
9:17.0,P. George makes 2-pt shot from 12 ft,2,7-4,,
9:09.0,Personal foul by I. Mahinmi,,7-4,,
9:09.0,M. Turner enters the game for I. Mahinmi,,7-4,,
8:53.0,,,7-4,,Turnover by J. Johnson (lost ball)
8:39.0,M. Turner misses 2-pt shot from 19 ft,,7-4,,
8:38.0,,,7-4,,Defensive rebound by J. Johnson
8:23.0,,,7-6,2,J. Valanciunas makes 2-pt shot from 14 ft
8:11.0,P. George misses 3-pt shot from 24 ft,,7-6,,
8:09.0,,,7-6,,Defensive rebound by Team
7:46.0,,,7-6,,J. Thompson misses 2-pt shot from 11 ft
7:46.0,Defensive rebound by M. Ellis,,7-6,,
7:37.0,M. Ellis misses 2-pt shot from 2 ft,,7-6,,
7:37.0,,,7-6,,Defensive rebound by N. Powell
7:17.0,,,7-6,,Shooting foul by P. George (drawn by J. Johnson)
7:17.0,,,7-6,,J. Johnson misses free throw 1 of 2
7:17.0,,,7-6,,Offensive rebound by Team
7:17.0,,,7-7,1,J. Johnson makes free throw 2 of 2
7:00.0,,,7-7,,Personal foul by J. Johnson
6:50.0,P. George makes 3-pt shot from 23 ft (assist by M. Turner),3,10-7,,
6:28.0,,,10-9,2,C. Joseph makes 2-pt shot from 12 ft
6:15.0,L. Allen makes 2-pt shot from 21 ft (assist by G. Hill),2,12-9,,
5:58.0,Def 3 sec tech foul by M. Turner,,12-9,,
5:58.0,,,12-9,,Toronto full timeout
5:58.0,,,12-10,1,C. Joseph makes technical free throw
5:47.0,,,12-12,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by J. Johnson)
5:19.0,M. Ellis misses 3-pt shot from 24 ft,,12-12,,
5:18.0,,,12-12,,Defensive rebound by N. Powell
5:06.0,,,12-12,,Turnover by C. Joseph (lost ball; steal by P. George)
4:51.0,P. George misses 2-pt shot from 21 ft,,12-12,,
4:51.0,,,12-12,,Defensive rebound by Team
4:34.0,,,12-12,,J. Valanciunas misses 2-pt shot from 19 ft
4:34.0,,,12-12,,Offensive rebound by Team
4:34.0,Loose ball foul by M. Turner,,12-12,,
4:30.0,,,12-12,,Turnover by N. Powell (lost ball; steal by M. Ellis)
4:19.0,M. Ellis misses 2-pt shot from 18 ft,,12-12,,
4:18.0,Offensive rebound by L. Allen,,12-12,,
4:14.0,Turnover by L. Allen (lost ball; steal by C. Joseph),,12-12,,
4:06.0,,,12-12,,Turnover by N. Powell (lost ball; steal by L. Allen)
3:58.0,P. George misses 3-pt shot from 24 ft,,12-12,,
3:57.0,,,12-12,,Defensive rebound by J. Valanciunas
3:41.0,,,12-12,,N. Powell misses 2-pt shot from 18 ft
3:40.0,Defensive rebound by P. George,,12-12,,
3:34.0,,,12-12,,Personal foul by J. Thompson
3:34.0,S. Hill enters the game for L. Allen,,12-12,,
3:34.0,R. Stuckey enters the game for G. Hill,,12-12,,
3:34.0,,,12-12,,P. Patterson enters the game for J. Thompson
3:34.0,,,12-12,,T. Ross enters the game for N. Powell
3:24.0,Turnover by R. Stuckey (bad pass),,12-12,,
3:02.0,,,12-14,2,C. Joseph makes 2-pt shot from 2 ft
2:55.0,Indiana full timeout,,12-14,,
2:55.0,,,12-14,,D. Wright enters the game for J. Valanciunas
2:55.0,,,12-14,,B. Biyombo enters the game for C. Joseph
2:55.0,T. Lawson enters the game for M. Ellis,,12-14,,
2:46.0,Turnover by S. Hill (bad pass),,12-14,,
2:34.0,,,12-14,,Turnover by T. Ross (lost ball; steal by R. Stuckey)
2:24.0,S. Hill makes 3-pt shot from 22 ft (assist by T. Lawson),3,15-14,,
2:00.0,,,15-14,,J. Johnson misses 2-pt shot from 9 ft (block by P. George)
1:58.0,Defensive rebound by R. Stuckey,,15-14,,
1:55.0,,,15-14,,Personal foul by T. Ross
1:37.0,Turnover by Team (shot clock),,15-14,,
1:25.0,,,15-16,2,T. Ross makes 2-pt shot from 15 ft
1:08.0,S. Hill misses 3-pt shot from 23 ft,,15-16,,
1:08.0,Offensive rebound by Team,,15-16,,
0:54.0,R. Stuckey misses 2-pt shot from 5 ft,,15-16,,
0:54.0,,,15-16,,Defensive rebound by B. Biyombo
0:49.0,,,15-18,2,D. Wright makes 2-pt shot from 2 ft
0:24.0,P. George misses 3-pt shot from 23 ft,,15-18,,
0:24.0,,,15-18,,Defensive rebound by D. Wright
0:04.0,,,15-20,2,D. Wright makes 2-pt shot from 6 ft
0:00.0,S. Hill misses 3-pt shot from 26 ft,,15-20,,
0:00.0,Offensive rebound by Team,,15-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-22,2,T. Ross makes 2-pt shot at rim (assist by N. Powell)
11:26.0,R. Stuckey misses 2-pt shot from 19 ft,,15-22,,
11:25.0,,,15-22,,Defensive rebound by P. Patterson
11:12.0,,,15-22,,D. Wright misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by M. Turner,,15-22,,
11:03.0,S. Hill misses 2-pt shot from 4 ft (block by P. Patterson),,15-22,,
11:01.0,,,15-22,,Defensive rebound by B. Biyombo
11:00.0,,,15-22,,Shooting foul by M. Turner (drawn by N. Powell)
11:00.0,,,15-23,1,N. Powell makes free throw 1 of 2
11:00.0,I. Mahinmi enters the game for M. Turner,,15-23,,
11:00.0,,,15-24,1,N. Powell makes free throw 2 of 2
10:50.0,I. Mahinmi misses 2-pt shot from 2 ft,,15-24,,
10:49.0,,,15-24,,Defensive rebound by B. Biyombo
10:42.0,,,15-27,3,T. Ross makes 3-pt shot from 24 ft (assist by N. Powell)
10:42.0,Indiana full timeout,,15-27,,
10:32.0,S. Hill makes 2-pt shot from 2 ft (assist by R. Stuckey),2,17-27,,
10:15.0,,,17-27,,Turnover by D. Wright (bad pass)
10:00.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by S. Hill),2,19-27,,
