time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Hibbert (R. McCallum gains possession),,,,Jump ball: T. Duncan vs. R. Hibbert (R. McCallum gains possession)
11:47.0,,,0-0,,L. Aldridge misses 2-pt shot from 4 ft
11:46.0,,,0-0,,Offensive rebound by L. Aldridge
11:45.0,,,0-2,2,L. Aldridge makes 2-pt shot from 2 ft
11:26.0,L. Williams makes 2-pt shot from 13 ft,2,2-2,,
11:00.0,,,2-4,2,L. Aldridge makes 2-pt shot from 18 ft (assist by R. McCallum)
10:46.0,D. Russell makes 2-pt shot from 2 ft,2,4-4,,
10:37.0,,,4-6,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Duncan)
10:18.0,R. Hibbert misses 2-pt shot from 11 ft,,4-6,,
10:17.0,,,4-6,,Defensive rebound by T. Duncan
10:07.0,,,4-6,,Shooting foul by L. Nance (drawn by T. Duncan)
10:07.0,,,4-6,,T. Duncan misses free throw 1 of 2
10:07.0,,,4-6,,Offensive rebound by Team
10:07.0,,,4-6,,T. Duncan misses free throw 2 of 2
10:06.0,Defensive rebound by Team,,4-6,,
9:54.0,D. Russell misses 3-pt shot from 24 ft,,4-6,,
9:53.0,,,4-6,,Defensive rebound by K. Leonard
9:40.0,,,4-8,2,T. Duncan makes 2-pt shot from 2 ft (assist by K. Leonard)
9:30.0,K. Bryant makes 2-pt shot from 21 ft (assist by D. Russell),2,6-8,,
9:18.0,,,6-10,2,K. Leonard makes 2-pt shot from 12 ft
9:03.0,L. Nance misses 2-pt shot from 2 ft (block by D. Green),,6-10,,
9:02.0,Offensive rebound by K. Bryant,,6-10,,
8:57.0,L. Williams makes 3-pt shot from 25 ft (assist by K. Bryant),3,9-10,,
8:40.0,,,9-10,,K. Leonard misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by Team,,9-10,,
8:27.0,D. Russell makes 3-pt shot from 25 ft (assist by L. Williams),3,12-10,,
8:05.0,,,12-10,,D. Green misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by K. Bryant,,12-10,,
7:53.0,D. Russell makes 2-pt shot from 19 ft,2,14-10,,
7:31.0,,,14-10,,Turnover by T. Duncan (bad pass; steal by D. Russell)
7:26.0,Turnover by D. Russell (bad pass; steal by D. Green),,14-10,,
7:08.0,,,14-12,2,L. Aldridge makes 2-pt shot from 15 ft
6:55.0,R. Hibbert misses 2-pt shot from 19 ft,,14-12,,
6:54.0,,,14-12,,Defensive rebound by D. Green
6:43.0,,,14-15,3,D. Green makes 3-pt shot from 25 ft (assist by R. McCallum)
6:23.0,K. Bryant makes 3-pt shot from 23 ft (assist by D. Russell),3,17-15,,
6:09.0,,,17-15,,L. Aldridge misses 2-pt shot from 13 ft
6:08.0,Defensive rebound by K. Bryant,,17-15,,
5:52.0,K. Bryant makes 2-pt shot from 16 ft (assist by R. Hibbert),2,19-15,,
5:52.0,,,19-15,,San Antonio full timeout
5:35.0,,,19-15,,K. Leonard misses 2-pt shot at rim (block by R. Hibbert)
5:34.0,Defensive rebound by K. Bryant,,19-15,,
5:30.0,Turnover by D. Russell (lost ball; steal by K. Leonard),,19-15,,
5:07.0,,,19-15,,R. McCallum misses 2-pt shot from 20 ft
5:06.0,,,19-15,,Offensive rebound by K. Leonard
5:06.0,,,19-15,,K. Leonard misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by R. Hibbert,,19-15,,
4:54.0,L. Williams makes 2-pt shot from 18 ft (assist by D. Russell),2,21-15,,
4:36.0,,,21-15,,L. Aldridge misses 2-pt shot from 21 ft
4:35.0,Defensive rebound by D. Russell,,21-15,,
4:23.0,R. Hibbert misses 2-pt shot from 4 ft,,21-15,,
4:22.0,,,21-15,,Defensive rebound by L. Aldridge
4:03.0,,,21-15,,K. Leonard misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by D. Russell,,21-15,,
3:54.0,Turnover by L. Nance (bad pass; steal by K. Leonard),,21-15,,
3:49.0,,,21-17,2,K. Leonard makes 2-pt shot at rim
3:35.0,K. Bryant makes 2-pt shot from 17 ft,2,23-17,,
3:23.0,,,23-17,,Turnover by L. Aldridge (bad pass; steal by L. Williams)
3:15.0,L. Williams misses 3-pt shot from 25 ft,,23-17,,
3:14.0,Offensive rebound by R. Hibbert,,23-17,,
3:00.0,K. Bryant misses 3-pt shot from 25 ft,,23-17,,
2:59.0,Offensive rebound by R. Hibbert,,23-17,,
2:55.0,R. Hibbert makes 2-pt shot at rim,2,25-17,,
2:38.0,,,25-17,,R. McCallum misses 2-pt shot from 2 ft
2:36.0,,,25-17,,Offensive rebound by L. Aldridge
2:36.0,,,25-19,2,L. Aldridge makes 2-pt shot at rim
2:27.0,D. Russell makes 2-pt shot from 12 ft,2,27-19,,
2:13.0,,,27-19,,R. McCallum misses 2-pt shot from 2 ft (block by L. Williams)
2:12.0,,,27-19,,Offensive rebound by R. McCallum
2:02.0,,,27-19,,T. Duncan misses 2-pt shot from 6 ft
2:01.0,,,27-19,,Offensive rebound by L. Aldridge
2:01.0,,,27-21,2,L. Aldridge makes 2-pt shot from 1 ft
2:01.0,,,27-21,,Shooting foul by L. Nance (drawn by L. Aldridge)
2:01.0,LA Lakers full timeout,,27-21,,
2:01.0,,,27-21,,P. Mills enters the game for R. McCallum
2:01.0,,,27-21,,M. Ginobili enters the game for D. Green
2:01.0,,,27-21,,K. Anderson enters the game for K. Leonard
2:01.0,,,27-21,,B. Diaw enters the game for T. Duncan
2:01.0,J. Randle enters the game for K. Bryant,,27-21,,
2:01.0,M. Huertas enters the game for L. Nance,,27-21,,
2:01.0,N. Young enters the game for D. Russell,,27-21,,
2:01.0,,,27-21,,L. Aldridge misses free throw 1 of 1
2:00.0,,,27-21,,Offensive rebound by B. Diaw
1:51.0,,,27-23,2,M. Ginobili makes 2-pt shot from 1 ft (assist by L. Aldridge)
1:26.0,J. Randle misses 2-pt shot from 1 ft (block by B. Diaw),,27-23,,
1:25.0,,,27-23,,Defensive rebound by P. Mills
1:19.0,,,27-25,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:54.0,J. Randle misses 2-pt shot from 11 ft,,27-25,,
0:53.0,,,27-25,,Defensive rebound by L. Aldridge
0:44.0,,,27-28,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
0:34.0,L. Williams misses 3-pt shot from 25 ft,,27-28,,
0:33.0,,,27-28,,Defensive rebound by M. Ginobili
0:18.0,,,27-31,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:02.0,R. Hibbert misses 2-pt shot from 14 ft,,27-31,,
0:01.0,,,27-31,,Defensive rebound by K. Anderson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Randle misses 2-pt shot from 8 ft,,27-31,,
11:35.0,,,27-31,,Defensive rebound by D. West
11:35.0,Personal foul by J. Randle (drawn by D. West),,27-31,,
11:22.0,,,27-31,,M. Ginobili misses 2-pt shot from 6 ft
11:22.0,Defensive rebound by Team,,27-31,,
11:06.0,R. Sacre misses 2-pt shot from 14 ft,,27-31,,
11:05.0,,,27-31,,Defensive rebound by M. Ginobili
10:57.0,,,27-31,,D. West misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by J. Randle,,27-31,,
10:40.0,R. Sacre makes 2-pt shot at rim (assist by M. Huertas),2,29-31,,
10:15.0,,,29-31,,B. Diaw misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by R. Sacre,,29-31,,
9:52.0,N. Young misses 3-pt shot from 24 ft,,29-31,,
9:50.0,Offensive rebound by R. Sacre,,29-31,,
9:47.0,M. Huertas makes 2-pt shot from 1 ft (assist by R. Sacre),2,31-31,,
9:30.0,,,31-33,2,D. West makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:23.0,L. Williams makes 2-pt shot from 1 ft,2,33-33,,
9:23.0,Shooting foul by B. Diaw (drawn by L. Williams),,33-33,,
9:23.0,K. Bryant enters the game for N. Young,,33-33,,
9:23.0,L. Williams makes free throw 1 of 1,1,34-33,,
9:13.0,,,34-36,3,B. Diaw makes 3-pt shot from 22 ft (assist by K. Anderson)
8:56.0,M. Huertas makes 2-pt shot from 1 ft,2,36-36,,
8:47.0,,,36-36,,P. Mills misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by L. Williams,,36-36,,
8:36.0,,,36-36,,Personal foul by D. West (drawn by R. Sacre)
8:36.0,Official timeout,,36-36,,
8:36.0,,,36-36,,D. Green enters the game for M. Ginobili
8:36.0,D. Russell enters the game for L. Williams,,36-36,,
8:24.0,K. Bryant misses 3-pt shot from 24 ft,,36-36,,
8:23.0,,,36-36,,Defensive rebound by B. Diaw
8:07.0,,,36-36,,Turnover by K. Anderson (lost ball; steal by D. Russell)
7:51.0,J. Randle misses 2-pt shot from 11 ft,,36-36,,
7:50.0,,,36-36,,Defensive rebound by D. West
7:33.0,,,36-36,,D. Green misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by D. Russell,,36-36,,
7:17.0,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant),3,39-36,,
6:52.0,,,39-36,,D. West misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by J. Randle,,39-36,,
6:41.0,,,39-36,,T. Duncan enters the game for B. Diaw
6:30.0,D. Russell misses 3-pt shot from 25 ft,,39-36,,
6:29.0,,,39-36,,Defensive rebound by T. Duncan
6:21.0,,,39-36,,T. Duncan misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by J. Randle,,39-36,,
6:14.0,Turnover by J. Randle (traveling),,39-36,,
6:14.0,R. Hibbert enters the game for R. Sacre,,39-36,,
6:04.0,Personal foul by K. Bryant (drawn by K. Anderson),,39-36,,
6:04.0,,,39-36,,K. Leonard enters the game for K. Anderson
6:04.0,,,39-36,,L. Aldridge enters the game for D. West
5:57.0,,,39-38,2,P. Mills makes 2-pt shot from 1 ft
5:45.0,Turnover by K. Bryant (bad pass; steal by T. Duncan),,39-38,,
5:30.0,,,39-41,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
5:04.0,J. Randle misses 2-pt shot from 20 ft,,39-41,,
5:03.0,,,39-41,,Defensive rebound by K. Leonard
4:56.0,Personal foul by D. Russell (drawn by K. Leonard),,39-41,,
4:56.0,,,39-41,,San Antonio full timeout
4:56.0,L. Williams enters the game for M. Huertas,,39-41,,
4:56.0,L. Nance enters the game for J. Randle,,39-41,,
4:42.0,,,39-41,,Turnover by T. Duncan (bad pass; steal by L. Nance)
4:37.0,Turnover by K. Bryant (bad pass; steal by D. Green),,39-41,,
4:32.0,,,39-43,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Mills)
4:32.0,,,39-43,,Shooting foul by L. Williams (drawn by K. Leonard)
4:32.0,,,39-44,1,K. Leonard makes free throw 1 of 1
4:22.0,K. Bryant misses 2-pt shot from 18 ft,,39-44,,
4:21.0,,,39-44,,Defensive rebound by K. Leonard
4:13.0,,,39-46,2,P. Mills makes 2-pt shot from 21 ft (assist by K. Leonard)
3:58.0,D. Russell misses 2-pt shot from 13 ft,,39-46,,
3:58.0,Offensive rebound by Team,,39-46,,
3:46.0,R. Hibbert makes 2-pt shot from 9 ft (assist by D. Russell),2,41-46,,
3:28.0,,,41-46,,K. Leonard misses 2-pt shot from 10 ft
3:28.0,Defensive rebound by Team,,41-46,,
3:28.0,N. Young enters the game for K. Bryant,,41-46,,
