time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. N. Jokic (K. Faried gains possession),,,,Jump ball: C. Andersen vs. N. Jokic (K. Faried gains possession)
11:39.0,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay),3,3-0,,
11:19.0,,,3-0,,T. Allen misses 2-pt shot from 6 ft (block by G. Harris)
11:16.0,,,3-0,,Offensive rebound by T. Allen
11:16.0,,,3-2,2,T. Allen makes 2-pt shot at rim
11:03.0,E. Mudiay misses 2-pt shot at rim,,3-2,,
11:03.0,Offensive rebound by Team,,3-2,,
10:52.0,J. Sampson makes 2-pt shot from 11 ft,2,5-2,,
10:41.0,Personal foul by K. Faried,,5-2,,
10:23.0,,,5-4,2,Z. Randolph makes 2-pt shot from 21 ft (assist by T. Allen)
10:16.0,Shooting foul by C. Andersen (drawn by K. Faried),,5-4,,
10:16.0,K. Faried makes free throw 1 of 2,1,6-4,,
10:16.0,K. Faried makes free throw 2 of 2,1,7-4,,
10:01.0,,,7-4,,Shooting foul by G. Harris (drawn by T. Allen)
10:01.0,,,7-5,1,T. Allen makes free throw 1 of 2
10:01.0,,,7-5,,T. Allen misses free throw 2 of 2
10:00.0,Defensive rebound by N. Jokic,,7-5,,
9:51.0,Turnover by E. Mudiay (lost ball; steal by Z. Randolph),,7-5,,
9:37.0,,,7-5,,Turnover by J. Farmar (bad pass)
9:22.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,9-5,,
9:11.0,,,9-5,,Z. Randolph misses 2-pt shot from 14 ft
9:10.0,Defensive rebound by N. Jokic,,9-5,,
9:05.0,Turnover by E. Mudiay (lost ball; steal by J. Farmar),,9-5,,
8:59.0,,,9-7,2,T. Allen makes 2-pt shot from 1 ft
8:41.0,E. Mudiay misses 3-pt shot from 24 ft,,9-7,,
8:40.0,,,9-7,,Defensive rebound by C. Andersen
8:29.0,,,9-9,2,J. Farmar makes 2-pt shot from 2 ft (assist by Z. Randolph)
8:18.0,K. Faried misses 2-pt shot from 20 ft,,9-9,,
8:17.0,Offensive rebound by N. Jokic,,9-9,,
8:12.0,G. Harris misses 3-pt shot from 24 ft,,9-9,,
8:09.0,Offensive rebound by N. Jokic,,9-9,,
7:48.0,N. Jokic makes 2-pt shot from 1 ft,2,11-9,,
7:44.0,,,11-9,,Memphis full timeout
7:27.0,,,11-9,,Turnover by Z. Randolph (bad pass)
7:09.0,N. Jokic makes 3-pt shot from 23 ft (assist by G. Harris),3,14-9,,
6:49.0,,,14-9,,Z. Randolph misses 2-pt shot from 21 ft
6:49.0,,,14-9,,Offensive rebound by Team
6:49.0,Loose ball foul by N. Jokic,,14-9,,
6:43.0,,,14-9,,Shooting foul by G. Harris (drawn by Z. Randolph)
6:43.0,,,14-10,1,Z. Randolph makes free throw 1 of 2
6:43.0,W. Barton enters the game for G. Harris,,14-10,,
6:43.0,,,14-11,1,Z. Randolph makes free throw 2 of 2
6:20.0,J. Sampson makes 3-pt shot from 24 ft (assist by K. Faried),3,17-11,,
6:00.0,,,17-11,,J. Farmar misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by K. Faried,,17-11,,
5:53.0,E. Mudiay makes 2-pt shot from 2 ft,2,19-11,,
5:42.0,,,19-11,,Turnover by T. Allen (lost ball)
5:42.0,,,19-11,,R. Hollins enters the game for C. Andersen
5:18.0,Turnover by Team (shot clock),,19-11,,
5:18.0,,,19-11,,R. McCallum enters the game for J. Farmar
5:03.0,,,19-13,2,Z. Randolph makes 2-pt shot from 3 ft
4:45.0,N. Jokic makes 2-pt shot from 6 ft (assist by E. Mudiay),2,21-13,,
4:26.0,,,21-13,,Z. Randolph misses 2-pt shot from 5 ft
4:23.0,Defensive rebound by N. Jokic,,21-13,,
4:09.0,K. Faried misses 2-pt shot at rim,,21-13,,
4:07.0,,,21-13,,Defensive rebound by R. Hollins
4:02.0,,,21-13,,T. Allen misses 2-pt shot from 2 ft
4:01.0,Defensive rebound by N. Jokic,,21-13,,
3:57.0,Shooting foul by M. Barnes (drawn by W. Barton),,21-13,,
3:57.0,W. Barton misses free throw 1 of 2,,21-13,,
3:57.0,Offensive rebound by Team,,21-13,,
3:57.0,D. Arthur enters the game for K. Faried,,21-13,,
3:57.0,,,21-13,,L. Stephenson enters the game for T. Allen
3:57.0,W. Barton makes free throw 2 of 2,1,22-13,,
3:41.0,,,22-13,,L. Stephenson misses 2-pt shot from 18 ft
3:40.0,Defensive rebound by N. Jokic,,22-13,,
3:24.0,W. Barton misses 3-pt shot from 24 ft,,22-13,,
3:22.0,,,22-13,,Defensive rebound by Z. Randolph
3:11.0,,,22-13,,Z. Randolph misses 2-pt shot from 5 ft
3:09.0,Defensive rebound by W. Barton,,22-13,,
3:04.0,W. Barton misses 2-pt shot from 2 ft (block by L. Stephenson),,22-13,,
3:01.0,,,22-13,,Defensive rebound by R. Hollins
2:54.0,Personal foul by J. Sampson,,22-13,,
2:54.0,Denver full timeout,,22-13,,
2:54.0,,,22-13,,J. Green enters the game for Z. Randolph
2:54.0,D. Augustin enters the game for N. Jokic,,22-13,,
2:54.0,J. Lauvergne enters the game for E. Mudiay,,22-13,,
2:54.0,,,22-14,1,L. Stephenson makes free throw 1 of 2
2:54.0,,,22-15,1,L. Stephenson makes free throw 2 of 2
2:39.0,D. Arthur misses 2-pt shot from 18 ft,,22-15,,
2:39.0,,,22-15,,Defensive rebound by M. Barnes
2:23.0,,,22-17,2,R. Hollins makes 2-pt shot from 1 ft (assist by R. McCallum)
2:04.0,J. Sampson makes 2-pt shot at rim (assist by D. Augustin),2,24-17,,
1:51.0,,,24-17,,Turnover by L. Stephenson (lost ball; steal by J. Sampson)
1:35.0,J. Sampson misses 3-pt shot from 24 ft,,24-17,,
1:33.0,,,24-17,,Defensive rebound by M. Barnes
1:24.0,,,24-17,,R. McCallum misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by D. Arthur,,24-17,,
1:09.0,J. Lauvergne misses 2-pt shot from 3 ft,,24-17,,
1:07.0,,,24-17,,Defensive rebound by M. Barnes
1:04.0,,,24-19,2,J. Green makes 2-pt shot at rim (assist by M. Barnes)
0:51.0,,,24-19,,Personal foul by J. Green
0:51.0,,,24-19,,V. Carter enters the game for M. Barnes
0:51.0,,,24-19,,J. Martin enters the game for R. Hollins
0:40.0,W. Barton misses 3-pt shot from 24 ft,,24-19,,
