time,Orlando,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Smith (S. Curry gains possession),,,,Jump ball: A. Bogut vs. J. Smith (S. Curry gains possession)
11:41.0,,,0-0,,Turnover by A. Bogut (bad pass; steal by E. Payton)
11:35.0,E. Fournier misses 2-pt shot from 1 ft (block by D. Green),,0-0,,
11:33.0,Offensive rebound by A. Gordon,,0-0,,
11:29.0,V. Oladipo misses 3-pt shot from 25 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Bogut
11:17.0,,,0-0,,Turnover by D. Green (bad pass)
11:05.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,2-0,,
10:50.0,,,2-0,,Shooting foul by A. Gordon (drawn by D. Green)
10:50.0,,,2-1,1,D. Green makes free throw 1 of 2
10:50.0,,,2-1,,D. Green misses free throw 2 of 2
10:49.0,Defensive rebound by A. Gordon,,2-1,,
10:33.0,A. Gordon misses 2-pt shot from 15 ft,,2-1,,
10:32.0,,,2-1,,Defensive rebound by A. Bogut
10:21.0,,,2-1,,S. Curry misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by A. Gordon,,2-1,,
10:10.0,J. Smith misses 2-pt shot from 18 ft,,2-1,,
10:10.0,,,2-1,,Defensive rebound by D. Green
10:09.0,,,2-1,,Turnover by D. Green (bad pass; steal by J. Smith)
10:03.0,V. Oladipo makes 2-pt shot from 1 ft,2,4-1,,
9:54.0,,,4-4,3,S. Curry makes 3-pt shot from 27 ft
9:44.0,V. Oladipo misses 2-pt shot from 6 ft,,4-4,,
9:43.0,,,4-4,,Defensive rebound by D. Green
9:33.0,,,4-6,2,S. Curry makes 2-pt shot from 1 ft
9:22.0,E. Payton makes 2-pt shot from 7 ft,2,6-6,,
9:08.0,,,6-6,,K. Thompson misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by E. Payton,,6-6,,
8:58.0,J. Smith makes 2-pt shot from 14 ft (assist by E. Payton),2,8-6,,
8:40.0,,,8-9,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
8:26.0,A. Gordon misses 2-pt shot from 15 ft,,8-9,,
8:26.0,,,8-9,,Defensive rebound by A. Bogut
8:17.0,,,8-9,,K. Thompson misses 2-pt shot from 11 ft
8:16.0,Defensive rebound by A. Gordon,,8-9,,
7:51.0,J. Smith misses 2-pt shot from 17 ft,,8-9,,
7:50.0,Offensive rebound by A. Gordon,,8-9,,
7:50.0,A. Gordon misses 2-pt shot from 1 ft,,8-9,,
7:49.0,Offensive rebound by A. Gordon,,8-9,,
7:49.0,A. Gordon misses 2-pt shot from 1 ft,,8-9,,
7:48.0,,,8-9,,Defensive rebound by K. Thompson
7:36.0,,,8-9,,Turnover by A. Bogut (bad pass; steal by J. Smith)
7:31.0,J. Smith makes 2-pt shot at rim (assist by V. Oladipo),2,10-9,,
7:31.0,,,10-9,,Golden State full timeout
7:15.0,,,10-11,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Bogut)
6:56.0,E. Fournier misses 2-pt shot from 18 ft,,10-11,,
6:56.0,,,10-11,,Defensive rebound by D. Green
6:50.0,,,10-11,,S. Curry misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by J. Smith,,10-11,,
6:41.0,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo),2,12-11,,
6:29.0,,,12-14,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
6:15.0,Turnover by V. Oladipo (bad pass; steal by S. Curry),,12-14,,
6:05.0,,,12-14,,K. Thompson misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by Team,,12-14,,
5:54.0,E. Payton misses 2-pt shot from 12 ft,,12-14,,
5:54.0,,,12-14,,Defensive rebound by D. Green
5:45.0,,,12-16,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
5:33.0,Turnover by J. Smith (bad pass; steal by D. Green),,12-16,,
5:24.0,,,12-16,,Turnover by D. Green (bad pass; steal by E. Fournier)
5:16.0,J. Smith misses 2-pt shot from 15 ft,,12-16,,
5:15.0,,,12-16,,Defensive rebound by K. Thompson
5:03.0,,,12-18,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
5:02.0,Orlando full timeout,,12-18,,
5:02.0,,,12-18,,B. Rush enters the game for H. Barnes
5:02.0,,,12-18,,L. Barbosa enters the game for K. Thompson
4:52.0,E. Payton misses 2-pt shot from 5 ft (block by A. Bogut),,12-18,,
4:50.0,,,12-18,,Defensive rebound by D. Green
4:43.0,,,12-21,3,B. Rush makes 3-pt shot from 25 ft
4:25.0,A. Gordon misses 2-pt shot from 22 ft,,12-21,,
4:25.0,,,12-21,,Defensive rebound by A. Bogut
4:10.0,,,12-21,,B. Rush misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by V. Oladipo,,12-21,,
3:58.0,E. Payton misses 2-pt shot from 5 ft (block by A. Bogut),,12-21,,
3:57.0,,,12-21,,Defensive rebound by S. Curry
3:38.0,,,12-24,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut)
3:16.0,,,12-24,,Personal foul by L. Barbosa (drawn by E. Payton)
3:16.0,E. Ilyasova enters the game for A. Gordon,,12-24,,
3:16.0,B. Jennings enters the game for J. Smith,,12-24,,
3:16.0,D. Dedmon enters the game for E. Payton,,12-24,,
3:16.0,,,12-24,,M. Speights enters the game for A. Bogut
3:05.0,V. Oladipo makes 2-pt shot from 15 ft (assist by B. Jennings),2,14-24,,
2:54.0,,,14-24,,L. Barbosa misses 3-pt shot from 22 ft
2:52.0,,,14-24,,Offensive rebound by D. Green
2:39.0,,,14-24,,S. Curry misses 2-pt shot from 20 ft
2:39.0,Defensive rebound by D. Dedmon,,14-24,,
2:30.0,B. Jennings misses 3-pt shot from 24 ft,,14-24,,
2:29.0,Offensive rebound by Team,,14-24,,
2:29.0,,,14-24,,Loose ball foul by S. Curry (drawn by E. Ilyasova)
2:29.0,M. Hezonja enters the game for E. Fournier,,14-24,,
2:29.0,,,14-24,,H. Barnes enters the game for D. Green
2:21.0,Turnover by V. Oladipo (lost ball; steal by S. Curry),,14-24,,
2:18.0,,,14-24,,Turnover by B. Rush (lost ball; steal by D. Dedmon)
2:14.0,Jump ball: D. Dedmon vs. B. Rush (E. Ilyasova gains possession),,,,Jump ball: D. Dedmon vs. B. Rush (E. Ilyasova gains possession)
2:08.0,E. Ilyasova misses 2-pt shot from 12 ft (block by M. Speights),,14-24,,
2:07.0,,,14-24,,Defensive rebound by S. Curry
2:01.0,,,14-24,,H. Barnes misses 3-pt shot from 22 ft
2:00.0,,,14-24,,Offensive rebound by S. Curry
1:51.0,,,14-24,,Shooting foul by E. Ilyasova (drawn by H. Barnes)
1:51.0,,,14-25,1,H. Barnes makes free throw 1 of 2
1:51.0,C. Watson enters the game for V. Oladipo,,14-25,,
1:51.0,,,14-26,1,H. Barnes makes free throw 2 of 2
1:39.0,M. Hezonja misses 3-pt shot from 26 ft,,14-26,,
1:38.0,,,14-26,,Defensive rebound by L. Barbosa
1:20.0,,,14-26,,M. Speights misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by E. Ilyasova,,14-26,,
1:09.0,C. Watson makes 2-pt shot from 11 ft,2,16-26,,
0:54.0,,,16-26,,B. Rush misses 2-pt shot at rim
0:53.0,Defensive rebound by C. Watson,,16-26,,
0:48.0,Shooting foul by B. Rush (drawn by B. Jennings),,16-26,,
0:48.0,B. Jennings makes free throw 1 of 2,1,17-26,,
0:48.0,B. Jennings makes free throw 2 of 2,1,18-26,,
0:32.0,,,18-28,2,B. Rush makes 2-pt shot at rim (assist by S. Curry)
0:19.0,Turnover by B. Jennings (bad pass; steal by S. Curry),,18-28,,
0:03.0,,,18-31,3,B. Rush makes 3-pt shot from 23 ft (assist by M. Speights)
0:00.0,M. Hezonja misses 3-pt shot from 47 ft,,18-31,,
0:00.0,Offensive rebound by Team,,18-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,D. Dedmon makes 2-pt shot at rim (assist by M. Hezonja),2,20-31,,
11:38.0,,,20-31,,Turnover by M. Speights (bad pass)
11:18.0,M. Hezonja misses 2-pt shot from 10 ft,,20-31,,
11:17.0,Offensive rebound by E. Ilyasova,,20-31,,
11:15.0,Shooting foul by H. Barnes (drawn by E. Ilyasova),,20-31,,
11:15.0,E. Ilyasova misses free throw 1 of 2,,20-31,,
11:15.0,Offensive rebound by Team,,20-31,,
11:15.0,E. Ilyasova makes free throw 2 of 2,1,21-31,,
11:04.0,,,21-31,,Shooting foul by D. Dedmon (drawn by M. Speights)
11:04.0,,,21-32,1,M. Speights makes free throw 1 of 2
11:04.0,,,21-33,1,M. Speights makes free throw 2 of 2
10:54.0,,,21-33,,Personal foul by L. Barbosa (drawn by C. Watson)
10:43.0,Shooting foul by M. Speights (drawn by M. Hezonja),,21-33,,
10:43.0,M. Hezonja misses free throw 1 of 2,,21-33,,
10:43.0,Offensive rebound by Team,,21-33,,
10:43.0,M. Hezonja makes free throw 2 of 2,1,22-33,,
10:23.0,,,22-33,,H. Barnes misses 2-pt shot from 20 ft
10:22.0,Defensive rebound by D. Dedmon,,22-33,,
10:13.0,Turnover by M. Hezonja (bad pass; steal by H. Barnes),,22-33,,
10:09.0,,,22-33,,Shooting foul by E. Ilyasova (drawn by H. Barnes)
10:09.0,,,22-33,,H. Barnes misses free throw 1 of 2
10:09.0,,,22-33,,Offensive rebound by Team
10:09.0,,,22-33,,K. Thompson enters the game for B. Rush
10:09.0,,,22-33,,I. Clark enters the game for L. Barbosa
10:09.0,,,22-34,1,H. Barnes makes free throw 2 of 2
9:52.0,B. Jennings makes 3-pt shot from 25 ft (assist by C. Watson),3,25-34,,
9:34.0,Personal foul by E. Ilyasova (drawn by H. Barnes),,25-34,,
9:34.0,A. Gordon enters the game for E. Ilyasova,,25-34,,
9:26.0,,,25-34,,M. Speights misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by D. Dedmon,,25-34,,
9:13.0,Shooting foul by I. Clark (drawn by B. Jennings),,25-34,,
9:13.0,B. Jennings makes free throw 1 of 3,1,26-34,,
9:13.0,B. Jennings makes free throw 2 of 3,1,27-34,,
9:13.0,,,27-34,,A. Varejao enters the game for M. Speights
9:13.0,B. Jennings makes free throw 3 of 3,1,28-34,,
8:57.0,,,28-34,,S. Livingston misses 2-pt shot from 6 ft
8:57.0,Defensive rebound by D. Dedmon,,28-34,,
8:47.0,Turnover by M. Hezonja (bad pass; steal by I. Clark),,28-34,,
8:42.0,,,28-34,,Offensive foul by I. Clark
8:42.0,,,28-34,,Turnover by I. Clark (offensive foul)
8:42.0,Official timeout,,28-34,,
8:42.0,,,28-34,,D. Green enters the game for H. Barnes
8:30.0,M. Hezonja misses 2-pt shot from 18 ft,,28-34,,
8:29.0,,,28-34,,Defensive rebound by I. Clark
8:16.0,,,28-34,,K. Thompson misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by C. Watson,,28-34,,
8:03.0,B. Jennings makes 2-pt shot from 22 ft,2,30-34,,
7:41.0,,,30-34,,K. Thompson misses 2-pt shot from 21 ft
7:40.0,,,30-34,,Offensive rebound by I. Clark
7:34.0,,,30-36,2,S. Livingston makes 2-pt shot from 5 ft (assist by I. Clark)
7:22.0,D. Dedmon misses 2-pt shot from 6 ft,,30-36,,
7:21.0,,,30-36,,Defensive rebound by S. Livingston
7:15.0,,,30-38,2,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston)
