time,Brooklyn,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: B. Lopez vs. M. Plumlee (C. McCollum gains possession)
11:45.0,,,0-2,2,A. Aminu makes 2-pt shot from 22 ft (assist by M. Plumlee)
11:26.0,Turnover by B. Lopez (bad pass),,0-2,,
11:12.0,,,0-2,,A. Aminu misses 2-pt shot from 5 ft
11:12.0,Defensive rebound by J. Johnson,,0-2,,
11:04.0,T. Young misses 2-pt shot from 4 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by C. McCollum
10:54.0,,,0-4,2,C. McCollum makes 2-pt shot from 9 ft
10:32.0,J. Johnson makes 2-pt shot from 8 ft,2,2-4,,
10:17.0,,,2-6,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
10:06.0,T. Young misses 2-pt shot from 19 ft,,2-6,,
10:06.0,,,2-6,,Defensive rebound by M. Plumlee
9:59.0,,,2-6,,D. Lillard misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by W. Ellington,,2-6,,
9:39.0,B. Lopez makes 2-pt shot at rim,2,4-6,,
9:22.0,,,4-6,,N. Vonleh misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by T. Young,,4-6,,
9:16.0,J. Johnson makes 2-pt shot from 15 ft (assist by T. Young),2,6-6,,
8:57.0,,,6-6,,C. McCollum misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by J. Johnson,,6-6,,
8:36.0,B. Lopez makes 2-pt shot at rim,2,8-6,,
8:23.0,,,8-8,2,N. Vonleh makes 2-pt shot from 5 ft (assist by A. Aminu)
8:08.0,W. Ellington makes 2-pt shot from 19 ft (assist by J. Johnson),2,10-8,,
7:44.0,,,10-8,,D. Lillard misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by W. Ellington,,10-8,,
7:28.0,B. Lopez misses 2-pt shot from 8 ft,,10-8,,
7:27.0,,,10-8,,Defensive rebound by M. Plumlee
7:15.0,,,10-11,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
6:58.0,D. Sloan makes 2-pt shot from 19 ft,2,12-11,,
6:39.0,,,12-11,,N. Vonleh misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by D. Sloan,,12-11,,
6:31.0,T. Young misses 2-pt shot from 5 ft,,12-11,,
6:30.0,,,12-11,,Defensive rebound by M. Plumlee
6:27.0,,,12-11,,Turnover by M. Plumlee (bad pass)
6:06.0,Turnover by J. Johnson (bad pass),,12-11,,
6:06.0,,,12-11,,Portland full timeout
5:51.0,,,12-11,,C. McCollum misses 2-pt shot from 5 ft
5:51.0,,,12-11,,Offensive rebound by C. McCollum
5:50.0,,,12-13,2,C. McCollum makes 2-pt shot from 5 ft
5:32.0,Offensive foul by B. Lopez,,12-13,,
5:32.0,Turnover by B. Lopez (offensive foul),,12-13,,
5:32.0,,,12-13,,M. Leonard enters the game for N. Vonleh
5:12.0,,,12-13,,C. McCollum misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by J. Johnson,,12-13,,
4:58.0,W. Ellington misses 2-pt shot from 20 ft,,12-13,,
4:57.0,Offensive rebound by T. Young,,12-13,,
4:54.0,D. Sloan misses 3-pt shot from 22 ft,,12-13,,
4:53.0,,,12-13,,Defensive rebound by A. Aminu
4:39.0,,,12-15,2,A. Aminu makes 2-pt shot from 2 ft
4:26.0,,,12-15,,Shooting block foul by M. Plumlee (drawn by T. Young)
4:26.0,T. Young makes free throw 1 of 2,1,13-15,,
4:26.0,T. Young makes free throw 2 of 2,1,14-15,,
4:13.0,,,14-18,3,C. McCollum makes 3-pt shot from 22 ft (assist by A. Aminu)
4:00.0,T. Young misses 2-pt shot from 7 ft,,14-18,,
4:00.0,,,14-18,,Defensive rebound by M. Leonard
3:54.0,,,14-18,,Shooting foul by W. Ellington (drawn by C. McCollum)
3:54.0,,,14-19,1,C. McCollum makes free throw 1 of 3
3:54.0,,,14-20,1,C. McCollum makes free throw 2 of 3
3:54.0,,,14-20,,E. Davis enters the game for M. Plumlee
3:54.0,,,14-20,,A. Crabbe enters the game for D. Lillard
3:54.0,T. Robinson enters the game for T. Young,,14-20,,
3:54.0,M. Brown enters the game for W. Ellington,,14-20,,
3:54.0,,,14-21,1,C. McCollum makes free throw 3 of 3
3:39.0,B. Lopez misses 2-pt shot from 22 ft,,14-21,,
3:39.0,,,14-21,,Defensive rebound by E. Davis
3:23.0,,,14-21,,A. Crabbe misses 2-pt shot from 17 ft
3:22.0,Defensive rebound by T. Robinson,,14-21,,
3:11.0,T. Robinson misses 2-pt shot from 14 ft,,14-21,,
3:09.0,,,14-21,,Defensive rebound by M. Leonard
3:00.0,,,14-21,,C. McCollum misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by J. Johnson,,14-21,,
2:51.0,J. Johnson misses 2-pt shot from 11 ft,,14-21,,
2:50.0,,,14-21,,Defensive rebound by A. Aminu
2:36.0,,,14-24,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
2:35.0,Brooklyn full timeout,,14-24,,
2:35.0,S. Larkin enters the game for D. Sloan,,14-24,,
2:35.0,,,14-24,,D. Lillard enters the game for C. McCollum
2:35.0,,,14-24,,G. Henderson enters the game for A. Aminu
2:15.0,B. Lopez makes 2-pt shot from 9 ft,2,16-24,,
1:59.0,,,16-26,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard)
1:38.0,B. Lopez misses 2-pt shot from 12 ft,,16-26,,
1:37.0,,,16-26,,Defensive rebound by G. Henderson
1:25.0,,,16-26,,G. Henderson misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by B. Lopez,,16-26,,
1:06.0,M. Brown misses 2-pt shot from 19 ft,,16-26,,
1:05.0,,,16-26,,Defensive rebound by M. Leonard
0:58.0,,,16-28,2,D. Lillard makes 2-pt shot from 2 ft
0:42.0,J. Johnson misses 2-pt shot from 18 ft,,16-28,,
0:40.0,Offensive rebound by B. Lopez,,16-28,,
0:36.0,S. Larkin makes 2-pt shot from 11 ft,2,18-28,,
0:32.0,,,18-28,,Shooting foul by T. Robinson (drawn by D. Lillard)
0:32.0,,,18-29,1,D. Lillard makes free throw 1 of 2
0:32.0,B. Bogdanovic enters the game for J. Johnson,,18-29,,
0:32.0,,,18-30,1,D. Lillard makes free throw 2 of 2
0:19.0,S. Larkin makes 2-pt shot from 2 ft,2,20-30,,
