time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession)
11:40.0,,,0-2,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
11:22.0,A. Davis misses 2-pt shot from 18 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by D. Jordan
11:10.0,,,0-2,,B. Griffin misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by O. Asik,,0-2,,
11:01.0,O. Asik makes 2-pt shot at rim (assist by J. Holiday),2,2-2,,
10:49.0,,,2-2,,W. Johnson misses 2-pt shot from 15 ft
10:48.0,,,2-2,,Offensive rebound by D. Jordan
10:39.0,,,2-2,,D. Jordan misses 2-pt shot at rim
10:38.0,Defensive rebound by O. Asik,,2-2,,
10:28.0,J. Holiday makes 2-pt shot from 5 ft,2,4-2,,
10:18.0,Def 3 sec tech foul by O. Asik,,4-2,,
10:18.0,,,4-2,,J. Redick misses technical free throw
10:18.0,,,4-2,,Offensive rebound by Team
10:04.0,,,4-2,,C. Paul misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by A. Gee,,4-2,,
9:54.0,J. Holiday misses 3-pt shot from 25 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by W. Johnson
9:40.0,,,4-4,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:22.0,J. Holiday misses 2-pt shot from 13 ft,,4-4,,
9:19.0,,,4-4,,Defensive rebound by D. Jordan
9:12.0,,,4-4,,B. Griffin misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by J. Holiday,,4-4,,
9:00.0,E. Gordon misses 3-pt shot from 24 ft,,4-4,,
8:59.0,,,4-4,,Defensive rebound by B. Griffin
8:54.0,Personal foul by E. Gordon (drawn by C. Paul),,4-4,,
8:45.0,,,4-6,2,D. Jordan makes 2-pt shot from 2 ft
8:38.0,Turnover by A. Davis (bad pass),,4-6,,
8:30.0,,,4-6,,C. Paul misses 2-pt shot from 16 ft
8:28.0,Defensive rebound by E. Gordon,,4-6,,
8:23.0,E. Gordon misses 2-pt shot from 2 ft,,4-6,,
8:22.0,,,4-6,,Defensive rebound by D. Jordan
8:17.0,,,4-8,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
8:01.0,Shooting foul by D. Jordan (drawn by J. Holiday),,4-8,,
8:01.0,J. Holiday misses free throw 1 of 2,,4-8,,
8:01.0,Offensive rebound by Team,,4-8,,
8:01.0,J. Holiday makes free throw 2 of 2,1,5-8,,
7:54.0,,,5-8,,J. Redick misses 2-pt shot from 1 ft
7:53.0,,,5-8,,Offensive rebound by D. Jordan
7:49.0,,,5-10,2,D. Jordan makes 2-pt shot at rim
7:34.0,A. Davis misses 2-pt shot from 14 ft,,5-10,,
7:33.0,,,5-10,,Defensive rebound by D. Jordan
7:24.0,,,5-10,,W. Johnson misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by O. Asik,,5-10,,
7:16.0,Offensive foul by A. Davis,,5-10,,
7:16.0,Turnover by A. Davis (offensive foul),,5-10,,
6:59.0,,,5-10,,B. Griffin misses 2-pt shot from 16 ft
6:59.0,Defensive rebound by O. Asik,,5-10,,
6:52.0,,,5-10,,Personal foul by C. Paul (drawn by A. Davis)
6:44.0,E. Gordon misses 2-pt shot from 20 ft,,5-10,,
6:44.0,Offensive rebound by A. Davis,,5-10,,
6:40.0,A. Davis makes 2-pt shot from 1 ft,2,7-10,,
6:37.0,,,7-10,,Shooting foul by J. Holiday (drawn by C. Paul)
6:37.0,,,7-11,1,C. Paul makes free throw 1 of 2
6:37.0,I. Smith enters the game for J. Holiday,,7-11,,
6:37.0,,,7-12,1,C. Paul makes free throw 2 of 2
6:14.0,I. Smith misses 2-pt shot from 19 ft,,7-12,,
6:14.0,,,7-12,,Defensive rebound by D. Jordan
6:08.0,,,7-14,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:50.0,E. Gordon makes 2-pt shot at rim (assist by A. Gee),2,9-14,,
5:36.0,,,9-14,,J. Redick misses 2-pt shot from 21 ft
5:35.0,Defensive rebound by I. Smith,,9-14,,
5:27.0,A. Davis makes 2-pt shot at rim (assist by I. Smith),2,11-14,,
5:09.0,,,11-14,,B. Griffin misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by O. Asik,,11-14,,
4:54.0,I. Smith misses 2-pt shot from 17 ft,,11-14,,
4:53.0,,,11-14,,Defensive rebound by B. Griffin
4:45.0,,,11-14,,C. Paul misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by E. Gordon,,11-14,,
4:41.0,,,11-14,,Personal foul by W. Johnson (drawn by E. Gordon)
4:41.0,,,11-14,,LA Clippers full timeout
4:41.0,R. Anderson enters the game for O. Asik,,11-14,,
4:41.0,,,11-14,,J. Crawford enters the game for W. Johnson
4:31.0,E. Gordon misses 2-pt shot from 2 ft (block by D. Jordan),,11-14,,
4:31.0,,,11-14,,Defensive rebound by Team
4:19.0,,,11-14,,J. Redick misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by A. Davis,,11-14,,
3:45.0,A. Davis makes 2-pt shot from 17 ft (assist by E. Gordon),2,13-14,,
3:33.0,,,13-17,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
3:16.0,A. Davis misses 2-pt shot at rim,,13-17,,
3:16.0,,,13-17,,Defensive rebound by D. Jordan
3:01.0,,,13-19,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
2:46.0,Turnover by E. Gordon (bad pass; steal by J. Crawford),,13-19,,
2:37.0,,,13-22,3,C. Paul makes 3-pt shot from 22 ft (assist by J. Redick)
2:25.0,,,13-22,,Personal foul by J. Redick (drawn by E. Gordon)
2:25.0,New Orleans full timeout,,13-22,,
2:25.0,,,13-22,,J. Smith enters the game for D. Jordan
2:25.0,,,13-22,,A. Rivers enters the game for J. Redick
2:08.0,A. Davis misses 2-pt shot from 16 ft,,13-22,,
2:07.0,,,13-22,,Defensive rebound by J. Smith
2:01.0,,,13-24,2,J. Crawford makes 2-pt shot from 20 ft (assist by J. Smith)
1:42.0,I. Smith makes 2-pt shot from 18 ft,2,15-24,,
1:28.0,,,15-26,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Smith)
1:17.0,I. Smith misses 2-pt shot from 4 ft,,15-26,,
1:16.0,,,15-26,,Defensive rebound by C. Paul
1:04.0,,,15-26,,J. Crawford misses 2-pt shot from 21 ft
1:02.0,Defensive rebound by A. Gee,,15-26,,
0:49.0,I. Smith makes 2-pt shot from 20 ft,2,17-26,,
0:35.0,,,17-28,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
0:20.0,,,17-28,,Personal foul by J. Smith (drawn by A. Davis)
0:20.0,A. Davis misses free throw 1 of 2,,17-28,,
0:20.0,Offensive rebound by Team,,17-28,,
0:20.0,A. Davis makes free throw 2 of 2,1,18-28,,
0:01.0,,,18-28,,A. Rivers misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by Team,,18-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Anderson misses 3-pt shot from 25 ft,,18-28,,
11:42.0,,,18-28,,Defensive rebound by Team
11:22.0,,,18-28,,J. Smith misses 2-pt shot from 2 ft (block by R. Anderson)
11:21.0,Defensive rebound by R. Anderson,,18-28,,
11:16.0,I. Smith makes 2-pt shot at rim,2,20-28,,
10:57.0,,,20-28,,Turnover by L. Stephenson (traveling)
10:36.0,L. Babbitt misses 3-pt shot from 24 ft,,20-28,,
10:34.0,,,20-28,,Defensive rebound by J. Smith
10:22.0,,,20-30,2,L. Stephenson makes 2-pt shot from 1 ft (assist by A. Rivers)
9:59.0,R. Anderson misses 2-pt shot from 12 ft,,20-30,,
9:56.0,,,20-30,,Defensive rebound by L. Stephenson
9:47.0,,,20-32,2,A. Rivers makes 2-pt shot from 1 ft (assist by J. Smith)
9:25.0,I. Smith misses 2-pt shot from 2 ft,,20-32,,
9:25.0,Offensive rebound by D. Cunningham,,20-32,,
9:22.0,D. Cunningham misses 2-pt shot from 1 ft,,20-32,,
9:19.0,Offensive rebound by I. Smith,,20-32,,
9:16.0,T. Douglas makes 3-pt shot from 24 ft (assist by I. Smith),3,23-32,,
9:04.0,,,23-32,,J. Crawford misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by L. Babbitt,,23-32,,
8:50.0,R. Anderson makes 2-pt shot from 21 ft,2,25-32,,
8:27.0,,,25-32,,J. Crawford misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by I. Smith,,25-32,,
8:13.0,R. Anderson misses 2-pt shot from 10 ft,,25-32,,
8:11.0,,,25-32,,Defensive rebound by J. Smith
8:05.0,,,25-34,2,A. Rivers makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:53.0,Shooting foul by P. Pierce (drawn by L. Babbitt),,25-34,,
7:53.0,Official timeout,,25-34,,
7:53.0,L. Babbitt makes free throw 1 of 2,1,26-34,,
7:53.0,L. Babbitt makes free throw 2 of 2,1,27-34,,
7:42.0,,,27-34,,Turnover by J. Smith (bad pass; steal by R. Anderson)
7:32.0,D. Cunningham misses 3-pt shot from 25 ft,,27-34,,
7:32.0,Offensive rebound by R. Anderson,,27-34,,
7:29.0,R. Anderson makes 2-pt shot at rim,2,29-34,,
7:17.0,,,29-36,2,A. Rivers makes 2-pt shot from 1 ft
7:02.0,I. Smith misses 2-pt shot from 1 ft,,29-36,,
7:01.0,Offensive rebound by R. Anderson,,29-36,,
6:59.0,R. Anderson misses 2-pt shot from 2 ft,,29-36,,
6:59.0,Offensive rebound by R. Anderson,,29-36,,
6:59.0,R. Anderson misses 2-pt shot from 2 ft (block by P. Pierce),,29-36,,
6:59.0,Offensive rebound by R. Anderson,,29-36,,
6:59.0,Shooting foul by J. Smith (drawn by R. Anderson),,29-36,,
6:59.0,R. Anderson makes free throw 1 of 2,1,30-36,,
6:59.0,,,30-36,,J. Redick enters the game for J. Crawford
6:59.0,,,30-36,,D. Jordan enters the game for J. Smith
6:59.0,A. Davis enters the game for D. Cunningham,,30-36,,
6:59.0,R. Anderson makes free throw 2 of 2,1,31-36,,
6:45.0,,,31-36,,P. Pierce misses 3-pt shot from 24 ft
6:45.0,,,31-36,,Offensive rebound by Team
6:45.0,,,31-36,,C. Paul enters the game for A. Rivers
6:45.0,,,31-36,,B. Griffin enters the game for P. Pierce
6:21.0,,,31-38,2,C. Paul makes 2-pt shot from 13 ft
6:13.0,T. Douglas misses 3-pt shot from 24 ft,,31-38,,
6:12.0,,,31-38,,Defensive rebound by L. Stephenson
6:09.0,,,31-38,,Shooting foul by L. Babbitt (drawn by L. Stephenson)
6:09.0,,,31-39,1,L. Stephenson makes free throw 1 of 2
6:09.0,J. Holiday enters the game for L. Babbitt,,31-39,,
6:09.0,E. Gordon enters the game for T. Douglas,,31-39,,
6:09.0,,,31-40,1,L. Stephenson makes free throw 2 of 2
5:57.0,Turnover by E. Gordon (bad pass; steal by J. Redick),,31-40,,
5:47.0,,,31-42,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
