time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,T. Parker misses 2-pt shot from 1 ft,,0-0,,
12:00.0,Jump ball: W. Cauley-Stein vs. T. Duncan (T. Parker gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Duncan (T. Parker gains possession)
11:45.0,Offensive rebound by T. Duncan,,0-0,,
11:37.0,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green),3,3-0,,
11:25.0,,,3-0,,D. Cousins misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by T. Duncan,,3-0,,
11:09.0,T. Duncan misses 2-pt shot from 20 ft,,3-0,,
11:08.0,,,3-0,,Defensive rebound by D. Cousins
10:56.0,,,3-0,,D. Cousins misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by T. Duncan,,3-0,,
10:39.0,Turnover by T. Parker (bad pass; steal by W. Cauley-Stein),,3-0,,
10:34.0,,,3-2,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
10:18.0,Shooting foul by W. Cauley-Stein (drawn by T. Duncan),,3-2,,
10:18.0,T. Duncan makes free throw 1 of 2,1,4-2,,
10:18.0,T. Duncan makes free throw 2 of 2,1,5-2,,
9:59.0,,,5-4,2,R. Gay makes 2-pt shot from 17 ft (assist by D. Cousins)
9:49.0,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard),3,8-4,,
9:34.0,,,8-6,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo)
9:16.0,T. Parker misses 2-pt shot from 20 ft,,8-6,,
9:16.0,,,8-6,,Defensive rebound by W. Cauley-Stein
9:07.0,,,8-6,,D. Cousins misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by T. Parker,,8-6,,
8:54.0,K. Leonard makes 2-pt shot from 11 ft,2,10-6,,
8:29.0,,,10-6,,D. Cousins misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by D. Green,,10-6,,
8:22.0,D. Green misses 3-pt shot from 25 ft,,10-6,,
8:21.0,,,10-6,,Defensive rebound by R. Rondo
8:17.0,,,10-6,,R. Gay misses 2-pt shot from 5 ft (block by D. Green)
8:17.0,,,10-6,,Offensive rebound by Team
8:08.0,Def 3 sec tech foul by L. Aldridge,,10-6,,
8:08.0,,,10-6,,D. Cousins misses technical free throw
8:08.0,,,10-6,,Offensive rebound by Team
7:58.0,,,10-6,,Shooting foul by T. Duncan (drawn by D. Cousins)
7:58.0,,,10-7,1,D. Cousins makes free throw 1 of 2
7:58.0,,,10-8,1,D. Cousins makes free throw 2 of 2
7:39.0,T. Duncan misses 2-pt shot from 5 ft (block by D. Cousins),,10-8,,
7:38.0,Offensive rebound by T. Duncan,,10-8,,
7:38.0,,,10-8,,Violation by D. Cousins (def goaltending)
7:38.0,T. Duncan makes 2-pt shot from 5 ft,2,12-8,,
7:18.0,,,12-8,,R. Gay misses 2-pt shot from 11 ft
7:17.0,,,12-8,,Offensive rebound by W. Cauley-Stein
7:15.0,,,12-8,,R. Gay misses 2-pt shot from 1 ft (block by D. Green)
7:14.0,Defensive rebound by L. Aldridge,,12-8,,
