time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. N. Noel (J. Parker gains possession),,,,Jump ball: G. Monroe vs. N. Noel (J. Parker gains possession)
11:43.0,,,0-0,,Shooting foul by J. Okafor (drawn by G. Monroe)
11:43.0,,,0-1,1,G. Monroe makes free throw 1 of 2
11:43.0,,,0-1,,G. Monroe misses free throw 2 of 2
11:42.0,Defensive rebound by N. Noel,,0-1,,
11:32.0,K. Marshall misses 2-pt shot from 1 ft,,0-1,,
11:30.0,,,0-1,,Defensive rebound by J. Parker
11:25.0,,,0-3,2,K. Middleton makes 2-pt shot from 2 ft (assist by J. Parker)
11:09.0,Turnover by R. Covington (bad pass; steal by J. Parker),,0-3,,
11:06.0,,,0-5,2,J. Parker makes 2-pt shot at rim
11:06.0,Philadelphia full timeout,,0-5,,
10:55.0,Turnover by K. Marshall (bad pass),,0-5,,
10:39.0,,,0-8,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Monroe)
10:27.0,Turnover by R. Covington (bad pass; steal by J. Parker),,0-8,,
10:13.0,,,0-10,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
9:55.0,,,0-10,,Personal foul by K. Middleton (drawn by N. Noel)
9:55.0,H. Thompson enters the game for R. Covington,,0-10,,
9:46.0,J. Okafor makes 2-pt shot from 15 ft (assist by K. Marshall),2,2-10,,
9:35.0,,,2-10,,G. Monroe misses 2-pt shot from 4 ft
9:33.0,Defensive rebound by J. Okafor,,2-10,,
9:25.0,N. Noel makes 2-pt shot from 2 ft (assist by K. Marshall),2,4-10,,
9:10.0,,,4-12,2,M. Carter-Williams makes 2-pt shot from 17 ft
9:00.0,Turnover by K. Marshall (bad pass; steal by M. Carter-Williams),,4-12,,
8:47.0,,,4-14,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
8:31.0,Turnover by J. Okafor (bad pass; steal by K. Middleton),,4-14,,
8:31.0,Personal foul by J. Sampson (drawn by M. Carter-Williams),,4-14,,
8:19.0,,,4-14,,Turnover by M. Carter-Williams (bad pass; steal by N. Noel)
8:19.0,N. Noel misses 2-pt shot from 1 ft (block by J. Parker),,4-14,,
8:19.0,Offensive rebound by Team,,4-14,,
8:09.0,,,4-14,,Personal block foul by M. Carter-Williams (drawn by K. Marshall)
8:09.0,,,4-14,,O. Mayo enters the game for M. Carter-Williams
7:59.0,J. Sampson misses 2-pt shot at rim,,4-14,,
7:56.0,Offensive rebound by J. Sampson,,4-14,,
7:55.0,J. Sampson makes 2-pt shot from 1 ft,2,6-14,,
7:38.0,,,6-16,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by O. Mayo)
7:17.0,R. Holmes enters the game for N. Noel,,6-16,,
7:10.0,J. Sampson misses 2-pt shot at rim (block by G. Monroe),,6-16,,
7:10.0,Offensive rebound by H. Thompson,,6-16,,
7:10.0,Turnover by Team (shot clock),,6-16,,
6:55.0,,,6-18,2,G. Antetokounmpo makes 2-pt shot from 5 ft
6:35.0,H. Thompson makes 2-pt shot from 7 ft (assist by J. Sampson),2,8-18,,
6:15.0,,,8-18,,G. Monroe misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by J. Sampson,,8-18,,
6:10.0,Turnover by J. Sampson (lost ball),,8-18,,
6:10.0,I. Canaan enters the game for J. Sampson,,8-18,,
5:57.0,,,8-18,,Shooting foul by I. Canaan (drawn by K. Middleton)
5:57.0,,,8-19,1,K. Middleton makes free throw 1 of 2
5:57.0,T. McConnell enters the game for K. Marshall,,8-19,,
5:57.0,,,8-20,1,K. Middleton makes free throw 2 of 2
5:38.0,H. Thompson makes 2-pt shot from 3 ft,2,10-20,,
5:18.0,,,10-22,2,J. Parker makes 2-pt shot from 14 ft (assist by K. Middleton)
5:05.0,,,10-22,,Personal foul by J. Parker (drawn by R. Holmes)
5:05.0,,,10-22,,M. Carter-Williams enters the game for G. Antetokounmpo
5:05.0,N. Noel enters the game for J. Okafor,,10-22,,
5:05.0,,,10-22,,J. O'Bryant enters the game for J. Parker
4:56.0,H. Thompson misses 2-pt shot from 17 ft,,10-22,,
4:54.0,Offensive rebound by T. McConnell,,10-22,,
4:49.0,H. Thompson misses 3-pt shot from 27 ft,,10-22,,
4:47.0,,,10-22,,Defensive rebound by G. Monroe
4:41.0,,,10-22,,O. Mayo misses 2-pt shot from 2 ft (block by R. Holmes)
4:38.0,,,10-22,,Offensive rebound by J. O'Bryant
4:36.0,,,10-22,,J. O'Bryant misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by H. Thompson,,10-22,,
4:19.0,R. Holmes misses 2-pt shot from 4 ft,,10-22,,
4:18.0,,,10-22,,Defensive rebound by O. Mayo
4:11.0,,,10-24,2,J. O'Bryant makes 2-pt shot from 19 ft
3:56.0,Turnover by N. Noel (bad pass),,10-24,,
3:44.0,,,10-26,2,K. Middleton makes 2-pt shot from 17 ft (assist by O. Mayo)
3:26.0,Turnover by I. Canaan (palming),,10-26,,
3:14.0,,,10-28,2,M. Carter-Williams makes 2-pt shot at rim
3:02.0,N. Noel misses 2-pt shot from 17 ft,,10-28,,
3:01.0,Offensive rebound by R. Holmes,,10-28,,
3:01.0,R. Holmes makes 2-pt shot at rim,2,12-28,,
3:01.0,Shooting foul by J. O'Bryant (drawn by R. Holmes),,12-28,,
3:01.0,,,12-28,,J. Henson enters the game for G. Monroe
3:01.0,R. Holmes misses free throw 1 of 1,,12-28,,
3:00.0,,,12-28,,Defensive rebound by K. Middleton
2:52.0,,,12-28,,Turnover by M. Carter-Williams (lost ball)
2:52.0,,,12-28,,Milwaukee full timeout
2:35.0,H. Thompson misses 3-pt shot from 22 ft,,12-28,,
2:34.0,,,12-28,,Defensive rebound by J. O'Bryant
2:23.0,,,12-28,,Turnover by M. Carter-Williams (lost ball; steal by T. McConnell)
2:17.0,I. Canaan misses 3-pt shot from 24 ft,,12-28,,
2:17.0,,,12-28,,Defensive rebound by Team
2:17.0,J. Grant enters the game for H. Thompson,,12-28,,
2:00.0,,,12-30,2,O. Mayo makes 2-pt shot from 21 ft (assist by J. Henson)
1:40.0,R. Holmes misses 3-pt shot from 23 ft,,12-30,,
1:38.0,,,12-30,,Defensive rebound by J. Henson
1:22.0,,,12-30,,J. O'Bryant misses 2-pt shot from 1 ft (block by R. Holmes)
1:20.0,Defensive rebound by I. Canaan,,12-30,,
1:15.0,J. Grant makes 2-pt shot from 1 ft (assist by I. Canaan),2,14-30,,
1:00.0,,,14-32,2,J. O'Bryant makes 2-pt shot from 17 ft (assist by J. Henson)
0:43.0,Shooting foul by J. Henson (drawn by I. Canaan),,14-32,,
0:43.0,I. Canaan makes free throw 1 of 2,1,15-32,,
0:43.0,,,15-32,,R. Vaughn enters the game for K. Middleton
0:43.0,I. Canaan makes free throw 2 of 2,1,16-32,,
0:36.0,,,16-32,,O. Mayo misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by J. Grant,,16-32,,
0:21.0,N. Noel makes 2-pt shot at rim (assist by R. Holmes),2,18-32,,
0:05.0,,,18-35,3,R. Vaughn makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,18-35,,Shooting block foul by J. O'Bryant (drawn by C. Landry)
11:48.0,C. Landry makes free throw 1 of 2,1,19-35,,
11:48.0,C. Landry makes free throw 2 of 2,1,20-35,,
11:28.0,,,20-35,,T. Ennis misses 2-pt shot from 13 ft
11:26.0,Defensive rebound by J. Okafor,,20-35,,
11:17.0,Turnover by K. Marshall (lost ball),,20-35,,
11:03.0,,,20-37,2,J. O'Bryant makes 2-pt shot from 18 ft (assist by T. Ennis)
10:41.0,J. Okafor misses 2-pt shot from 3 ft (block by J. Henson),,20-37,,
10:40.0,Offensive rebound by J. Okafor,,20-37,,
10:39.0,J. Okafor misses 2-pt shot from 1 ft (block by J. Henson),,20-37,,
10:38.0,Offensive rebound by Team,,20-37,,
10:38.0,,,20-37,,G. Antetokounmpo enters the game for J. O'Bryant
10:34.0,J. Grant makes 2-pt shot from 11 ft (assist by K. Marshall),2,22-37,,
10:20.0,,,22-37,,O. Mayo misses 3-pt shot from 25 ft
10:19.0,,,22-37,,Offensive rebound by R. Vaughn
10:13.0,,,22-39,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
10:03.0,I. Canaan makes 3-pt shot from 23 ft (assist by K. Marshall),3,25-39,,
9:55.0,,,25-41,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
9:47.0,Philadelphia full timeout,,25-41,,
9:35.0,,,25-41,,Def 3 sec tech foul by R. Vaughn
9:35.0,I. Canaan misses technical free throw,,25-41,,
9:35.0,Offensive rebound by Team,,25-41,,
9:23.0,K. Marshall makes 3-pt shot from 22 ft (assist by C. Landry),3,28-41,,
9:08.0,,,28-41,,Turnover by O. Mayo (lost ball; steal by J. Grant)
8:59.0,Turnover by I. Canaan (bad pass; steal by G. Antetokounmpo),,28-41,,
8:53.0,,,28-43,2,T. Ennis makes 2-pt shot at rim
8:36.0,Shooting foul by R. Vaughn (drawn by C. Landry),,28-43,,
8:36.0,C. Landry makes free throw 1 of 2,1,29-43,,
8:36.0,H. Thompson enters the game for I. Canaan,,29-43,,
8:36.0,,,29-43,,J. Parker enters the game for O. Mayo
8:36.0,C. Landry makes free throw 2 of 2,1,30-43,,
8:26.0,,,30-46,3,T. Ennis makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:17.0,Shooting foul by T. Ennis (drawn by K. Marshall),,30-46,,
8:17.0,K. Marshall misses free throw 1 of 2,,30-46,,
8:17.0,Offensive rebound by Team,,30-46,,
8:17.0,R. Covington enters the game for C. Landry,,30-46,,
8:17.0,K. Marshall misses free throw 2 of 2,,30-46,,
8:16.0,,,30-46,,Defensive rebound by J. Henson
8:01.0,Jump ball: G. Antetokounmpo vs. R. Covington (T. Ennis gains possession),,,,Jump ball: G. Antetokounmpo vs. R. Covington (T. Ennis gains possession)
7:51.0,,,30-48,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
7:36.0,R. Covington misses 3-pt shot from 26 ft,,30-48,,
7:35.0,,,30-48,,Defensive rebound by R. Vaughn
7:24.0,,,30-48,,J. Henson misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by J. Grant,,30-48,,
7:07.0,J. Okafor misses 2-pt shot at rim (block by J. Henson),,30-48,,
7:04.0,,,30-48,,Defensive rebound by J. Henson
6:58.0,,,30-48,,T. Ennis misses 3-pt shot from 28 ft
6:57.0,Defensive rebound by R. Covington,,30-48,,
6:46.0,Turnover by J. Grant (bad pass; steal by G. Antetokounmpo),,30-48,,
6:42.0,,,30-50,2,T. Ennis makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:33.0,Philadelphia full timeout,,30-50,,
6:33.0,,,30-50,,G. Monroe enters the game for J. Henson
6:21.0,J. Grant makes 2-pt shot from 1 ft (assist by K. Marshall),2,32-50,,
6:21.0,Shooting foul by G. Monroe (drawn by J. Grant),,32-50,,
6:21.0,J. Grant makes free throw 1 of 1,1,33-50,,
6:13.0,Personal block foul by J. Grant (drawn by J. Parker),,33-50,,
6:12.0,,,33-50,,Turnover by G. Antetokounmpo (bad pass; steal by R. Covington)
6:09.0,Shooting foul by G. Antetokounmpo (drawn by R. Covington),,33-50,,
6:09.0,R. Covington makes free throw 1 of 2,1,34-50,,
6:09.0,,,34-50,,M. Carter-Williams enters the game for T. Ennis
6:09.0,T. McConnell enters the game for K. Marshall,,34-50,,
6:09.0,R. Covington misses free throw 2 of 2,,34-50,,
6:03.0,,,34-50,,Defensive rebound by G. Antetokounmpo
5:44.0,,,34-50,,G. Monroe misses 2-pt shot from 5 ft
5:43.0,,,34-50,,Offensive rebound by G. Antetokounmpo
5:42.0,,,34-52,2,G. Antetokounmpo makes 2-pt shot at rim
5:32.0,Shooting foul by G. Monroe (drawn by J. Okafor),,34-52,,
5:32.0,Official timeout,,34-52,,
5:32.0,,,34-52,,K. Middleton enters the game for R. Vaughn
5:32.0,J. Okafor makes free throw 1 of 2,1,35-52,,
5:32.0,J. Okafor makes free throw 2 of 2,1,36-52,,
5:16.0,,,36-55,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:02.0,J. Okafor misses 2-pt shot from 1 ft (block by J. Parker),,36-55,,
5:02.0,Offensive rebound by J. Okafor,,36-55,,
5:01.0,J. Okafor makes 2-pt shot from 1 ft,2,38-55,,
4:44.0,,,38-55,,J. Parker misses 2-pt shot from 4 ft (block by J. Grant)
4:44.0,,,38-55,,Offensive rebound by Team
4:44.0,N. Noel enters the game for J. Grant,,38-55,,
4:41.0,,,38-57,2,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton)
4:22.0,Turnover by N. Noel (lost ball; steal by M. Carter-Williams),,38-57,,
4:18.0,,,38-59,2,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams)
3:54.0,J. Okafor misses 2-pt shot from 6 ft,,38-59,,
3:53.0,,,38-59,,Defensive rebound by G. Monroe
3:53.0,Personal foul by R. Covington (drawn by G. Monroe),,38-59,,
3:36.0,,,38-61,2,G. Antetokounmpo makes 2-pt shot from 6 ft
3:22.0,H. Thompson misses 2-pt shot from 9 ft,,38-61,,
3:21.0,Offensive rebound by N. Noel,,38-61,,
3:21.0,Turnover by N. Noel (lost ball),,38-61,,
3:03.0,,,38-61,,Turnover by G. Antetokounmpo (lost ball; steal by R. Covington)
2:56.0,,,38-61,,Milwaukee full timeout
2:56.0,C. Landry enters the game for J. Okafor,,38-61,,
2:52.0,H. Thompson misses 3-pt shot from 24 ft,,38-61,,
2:51.0,,,38-61,,Defensive rebound by M. Carter-Williams
2:42.0,,,38-63,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
2:25.0,R. Covington makes 3-pt shot from 26 ft,3,41-63,,
1:59.0,,,41-63,,Shooting foul by R. Covington (drawn by G. Monroe)
1:59.0,,,41-64,1,G. Monroe makes free throw 1 of 2
1:59.0,,,41-65,1,G. Monroe makes free throw 2 of 2
1:47.0,N. Noel misses 2-pt shot from 1 ft,,41-65,,
1:45.0,Offensive rebound by C. Landry,,41-65,,
1:45.0,C. Landry misses 2-pt shot from 1 ft,,41-65,,
1:44.0,,,41-65,,Defensive rebound by G. Monroe
1:28.0,,,41-65,,G. Monroe misses 2-pt shot from 3 ft
1:27.0,Defensive rebound by T. McConnell,,41-65,,
1:22.0,Shooting foul by G. Monroe (drawn by C. Landry),,41-65,,
1:22.0,C. Landry makes free throw 1 of 2,1,42-65,,
1:22.0,,,42-65,,J. Henson enters the game for G. Monroe
1:22.0,C. Landry makes free throw 2 of 2,1,43-65,,
1:06.0,,,43-65,,Turnover by J. Parker (lost ball; steal by N. Noel)
1:06.0,,,43-65,,Personal foul by J. Parker (drawn by C. Landry)
1:06.0,C. Landry misses free throw 1 of 2,,43-65,,
1:06.0,Offensive rebound by Team,,43-65,,
1:06.0,,,43-65,,O. Mayo enters the game for J. Parker
1:06.0,C. Landry misses free throw 2 of 2,,43-65,,
1:05.0,,,43-65,,Defensive rebound by G. Antetokounmpo
0:45.0,,,43-65,,J. Henson misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by C. Landry,,43-65,,
0:37.0,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell),3,46-65,,
0:23.0,,,46-65,,M. Carter-Williams misses 2-pt shot at rim (block by C. Landry)
0:20.0,Defensive rebound by H. Thompson,,46-65,,
0:00.0,C. Landry misses 2-pt shot from 16 ft (block by J. Henson),,46-65,,
0:00.0,Offensive rebound by Team,,46-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
