time,Boston,pts.away,score,pts.home,Cleveland
1:47.0,Shooting foul by M. Williams (drawn by J. Jerebko),,13-25,,
1:47.0,J. Jerebko makes free throw 1 of 2,1,14-25,,
1:47.0,J. Jerebko makes free throw 2 of 2,1,15-25,,
1:35.0,,,15-27,2,M. Williams makes 2-pt shot from 21 ft
1:12.0,E. Turner misses 2-pt shot from 7 ft,,15-27,,
1:11.0,,,15-27,,Defensive rebound by T. Mozgov
1:02.0,,,15-27,,K. Love misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by E. Turner,,15-27,,
0:51.0,Turnover by T. Zeller (lost ball; steal by I. Shumpert),,15-27,,
0:46.0,,,15-29,2,M. Williams makes 2-pt shot from 1 ft
0:42.0,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart),2,17-29,,
0:20.0,,,17-32,3,K. Love makes 3-pt shot from 22 ft (assist by T. Mozgov)
0:07.0,M. Smart makes 3-pt shot from 26 ft,3,20-32,,
0:02.0,,,20-32,,K. Love misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by J. Jerebko,,20-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart),3,23-32,,
11:27.0,,,23-32,,K. Irving misses 2-pt shot from 12 ft
11:26.0,Defensive rebound by T. Zeller,,23-32,,
11:16.0,T. Zeller makes 2-pt shot from 7 ft (assist by E. Turner),2,25-32,,
10:46.0,,,25-34,2,R. Jefferson makes 2-pt shot from 1 ft
10:28.0,M. Smart misses 2-pt shot from 7 ft,,25-34,,
10:26.0,,,25-34,,Defensive rebound by T. Mozgov
10:21.0,,,25-34,,Turnover by M. Williams (bad pass; steal by K. Olynyk)
10:18.0,Shooting foul by R. Jefferson (drawn by K. Olynyk),,25-34,,
10:18.0,K. Olynyk makes free throw 1 of 2,1,26-34,,
10:18.0,,,26-34,,J. Smith enters the game for M. Williams
10:18.0,K. Olynyk makes free throw 2 of 2,1,27-34,,
9:55.0,,,27-34,,Turnover by J. Smith (lost ball; steal by M. Smart)
9:53.0,Turnover by M. Smart (bad pass; steal by I. Shumpert),,27-34,,
9:45.0,,,27-34,,R. Jefferson misses 3-pt shot from 24 ft
9:44.0,,,27-34,,Offensive rebound by I. Shumpert
9:41.0,,,27-34,,Offensive charge foul by I. Shumpert
9:41.0,,,27-34,,Turnover by I. Shumpert (offensive foul)
9:28.0,T. Zeller makes 2-pt shot from 19 ft (assist by E. Turner),2,29-34,,
9:12.0,,,29-36,2,J. Smith makes 2-pt shot from 21 ft (assist by R. Jefferson)
8:58.0,A. Bradley misses 2-pt shot from 20 ft,,29-36,,
8:58.0,,,29-36,,Defensive rebound by I. Shumpert
8:45.0,,,29-38,2,K. Irving makes 2-pt shot from 14 ft
8:25.0,T. Zeller misses 2-pt shot from 18 ft,,29-38,,
8:24.0,,,29-38,,Defensive rebound by R. Jefferson
8:11.0,,,29-40,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
8:11.0,,,29-40,,Shooting foul by K. Olynyk (drawn by R. Jefferson)
8:11.0,Official timeout,,29-40,,
8:11.0,J. Crowder enters the game for K. Olynyk,,29-40,,
8:11.0,I. Thomas enters the game for M. Smart,,29-40,,
8:11.0,,,29-40,,R. Jefferson misses free throw 1 of 1
8:10.0,Defensive rebound by T. Zeller,,29-40,,
7:55.0,Turnover by I. Thomas (bad pass),,29-40,,
7:38.0,,,29-40,,T. Mozgov misses 2-pt shot from 9 ft
7:36.0,Defensive rebound by E. Turner,,29-40,,
7:30.0,E. Turner makes 2-pt shot from 18 ft,2,31-40,,
7:14.0,,,31-42,2,K. Irving makes 2-pt shot from 15 ft
6:58.0,T. Zeller misses 2-pt shot from 18 ft,,31-42,,
6:57.0,Offensive rebound by J. Crowder,,31-42,,
6:55.0,Turnover by T. Zeller (traveling),,31-42,,
6:55.0,,,31-42,,T. Thompson enters the game for T. Mozgov
6:41.0,,,31-42,,K. Irving misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by E. Turner,,31-42,,
6:33.0,J. Crowder misses 2-pt shot at rim,,31-42,,
6:31.0,,,31-42,,Defensive rebound by K. Irving
6:24.0,,,31-45,3,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert)
6:10.0,,,31-45,,Personal foul by R. Jefferson (drawn by J. Crowder)
6:10.0,,,31-45,,L. James enters the game for R. Jefferson
5:56.0,T. Zeller makes 2-pt shot from 7 ft (assist by J. Crowder),2,33-45,,
5:34.0,,,33-45,,J. Smith misses 3-pt shot from 22 ft
5:32.0,,,33-45,,Offensive rebound by I. Shumpert
5:32.0,,,33-45,,I. Shumpert misses 2-pt shot at rim
5:30.0,Defensive rebound by J. Crowder,,33-45,,
5:24.0,E. Turner makes 2-pt shot from 1 ft (assist by A. Bradley),2,35-45,,
5:04.0,,,35-47,2,K. Irving makes 2-pt shot from 13 ft
4:59.0,Shooting foul by K. Irving (drawn by I. Thomas),,35-47,,
4:59.0,,,35-47,,Cleveland full timeout
4:59.0,J. Sullinger enters the game for T. Zeller,,35-47,,
4:59.0,,,35-47,,K. Love enters the game for I. Shumpert
4:59.0,I. Thomas makes free throw 1 of 2,1,36-47,,
4:59.0,I. Thomas makes free throw 2 of 2,1,37-47,,
4:49.0,Loose ball foul by J. Crowder (drawn by K. Love),,37-47,,
4:45.0,,,37-47,,Turnover by K. Irving (bad pass; steal by J. Sullinger)
4:29.0,J. Crowder misses 2-pt shot from 16 ft,,37-47,,
4:28.0,,,37-47,,Defensive rebound by L. James
4:20.0,,,37-47,,K. Love misses 2-pt shot at rim
4:18.0,Defensive rebound by J. Sullinger,,37-47,,
4:13.0,I. Thomas misses 2-pt shot from 1 ft (block by L. James),,37-47,,
4:12.0,,,37-47,,Defensive rebound by K. Love
3:55.0,,,37-47,,T. Thompson misses 2-pt shot from 2 ft (block by J. Sullinger)
3:54.0,,,37-47,,Offensive rebound by T. Thompson
3:54.0,,,37-47,,T. Thompson misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by I. Thomas,,37-47,,
3:47.0,A. Bradley misses 2-pt shot from 1 ft (block by T. Thompson),,37-47,,
3:45.0,Offensive rebound by J. Sullinger,,37-47,,
3:42.0,J. Sullinger misses 2-pt shot from 4 ft,,37-47,,
3:41.0,,,37-47,,Defensive rebound by K. Irving
3:29.0,,,37-47,,K. Irving misses 2-pt shot from 18 ft
3:28.0,Defensive rebound by J. Crowder,,37-47,,
3:13.0,E. Turner makes 2-pt shot at rim,2,39-47,,
2:57.0,Personal foul by J. Crowder (drawn by K. Love),,39-47,,
2:57.0,Boston full timeout,,39-47,,
2:57.0,A. Johnson enters the game for A. Bradley,,39-47,,
2:57.0,,,39-47,,I. Shumpert enters the game for K. Irving
2:48.0,,,39-47,,Turnover by L. James (step out of bounds)
2:34.0,A. Johnson makes 2-pt shot from 1 ft (assist by E. Turner),2,41-47,,
2:12.0,,,41-47,,I. Shumpert misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by E. Turner,,41-47,,
1:56.0,J. Crowder misses 3-pt shot from 23 ft,,41-47,,
1:55.0,,,41-47,,Defensive rebound by Team
1:45.0,Personal foul by E. Turner (drawn by T. Thompson),,41-47,,
1:45.0,M. Smart enters the game for I. Thomas,,41-47,,
1:35.0,,,41-47,,J. Smith misses 2-pt shot from 18 ft
1:34.0,Defensive rebound by M. Smart,,41-47,,
1:21.0,Turnover by E. Turner (lost ball; steal by T. Thompson),,41-47,,
1:13.0,,,41-47,,L. James misses 2-pt shot from 1 ft
1:12.0,,,41-47,,Offensive rebound by T. Thompson
1:12.0,,,41-47,,Shooting foul by M. Smart (drawn by T. Thompson)
1:12.0,,,41-47,,T. Thompson misses free throw 1 of 2
1:12.0,,,41-47,,Offensive rebound by Team
1:12.0,,,41-47,,K. Irving enters the game for J. Smith
1:12.0,,,41-48,1,T. Thompson makes free throw 2 of 2
1:00.0,J. Sullinger misses 2-pt shot from 12 ft,,41-48,,
0:58.0,,,41-48,,Defensive rebound by K. Love
0:53.0,,,41-48,,Shooting foul by J. Sullinger (drawn by L. James)
0:53.0,,,41-49,1,L. James makes free throw 1 of 2
0:53.0,I. Thomas enters the game for E. Turner,,41-49,,
0:53.0,A. Bradley enters the game for A. Johnson,,41-49,,
0:53.0,,,41-49,,L. James misses free throw 2 of 2
