time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (J. Grant gains possession),,,,Jump ball: M. Gortat vs. N. Noel (J. Grant gains possession)
11:52.0,I. Smith misses 3-pt shot from 25 ft,,0-0,,
11:51.0,,,0-0,,Defensive rebound by M. Gortat
11:35.0,,,0-0,,M. Morris misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by I. Canaan,,0-0,,
11:17.0,R. Covington misses 3-pt shot from 26 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by Team
11:03.0,,,0-0,,M. Gortat misses 2-pt shot from 7 ft
11:01.0,Defensive rebound by R. Covington,,0-0,,
10:46.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,2-0,,
10:34.0,,,2-0,,J. Wall misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by R. Covington,,2-0,,
10:08.0,R. Covington misses 3-pt shot from 27 ft,,2-0,,
10:07.0,,,2-0,,Defensive rebound by M. Gortat
9:59.0,,,2-3,3,O. Porter makes 3-pt shot from 23 ft (assist by G. Temple)
9:44.0,I. Canaan makes 2-pt shot from 21 ft (assist by J. Grant),2,4-3,,
9:34.0,,,4-3,,Turnover by O. Porter (bad pass; steal by I. Smith)
9:20.0,R. Covington makes 2-pt shot from 2 ft (assist by I. Smith),2,6-3,,
9:14.0,,,6-5,2,J. Wall makes 2-pt shot from 1 ft
9:14.0,,,6-5,,Shooting foul by N. Noel (drawn by J. Wall)
9:14.0,,,6-6,1,J. Wall makes free throw 1 of 1
9:10.0,Turnover by I. Smith (bad pass),,6-6,,
8:45.0,,,6-6,,Turnover by Team (shot clock)
8:32.0,J. Grant makes 2-pt shot at rim,2,8-6,,
8:25.0,Personal foul by N. Noel (drawn by M. Gortat),,8-6,,
8:19.0,,,8-6,,M. Gortat misses 2-pt shot from 5 ft
8:18.0,Defensive rebound by R. Covington,,8-6,,
8:04.0,N. Noel misses 2-pt shot from 17 ft,,8-6,,
8:03.0,,,8-6,,Defensive rebound by M. Morris
7:51.0,,,8-6,,Washington full timeout
7:51.0,R. Holmes enters the game for N. Noel,,8-6,,
7:46.0,,,8-6,,O. Porter misses 2-pt shot from 17 ft
7:45.0,,,8-6,,Offensive rebound by M. Gortat
7:44.0,,,8-6,,M. Gortat misses 2-pt shot from 1 ft
7:43.0,,,8-6,,Offensive rebound by M. Gortat
7:41.0,,,8-9,3,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat)
7:15.0,I. Smith makes 3-pt shot from 30 ft (assist by I. Canaan),3,11-9,,
7:05.0,,,11-12,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
6:45.0,I. Smith misses 2-pt shot from 19 ft,,11-12,,
6:44.0,Offensive rebound by J. Grant,,11-12,,
6:40.0,J. Grant misses 2-pt shot from 10 ft,,11-12,,
6:39.0,,,11-12,,Defensive rebound by M. Morris
6:36.0,,,11-12,,Turnover by O. Porter (traveling)
6:20.0,,,11-12,,B. Beal enters the game for G. Temple
6:14.0,J. Grant misses 3-pt shot from 23 ft,,11-12,,
6:13.0,Offensive rebound by R. Holmes,,11-12,,
6:11.0,R. Holmes misses 2-pt shot from 1 ft,,11-12,,
6:10.0,,,11-12,,Defensive rebound by M. Gortat
6:07.0,Violation by J. Grant (def goaltending),,11-12,,
6:07.0,,,11-14,2,M. Morris makes 2-pt shot at rim (assist by M. Gortat)
5:53.0,I. Canaan misses 2-pt shot from 3 ft,,11-14,,
5:52.0,,,11-14,,Defensive rebound by M. Morris
5:46.0,,,11-14,,B. Beal misses 2-pt shot from 18 ft
5:45.0,,,11-14,,Offensive rebound by Team
5:45.0,Loose ball foul by R. Holmes (drawn by M. Gortat),,11-14,,
5:45.0,N. Stauskas enters the game for I. Canaan,,11-14,,
5:36.0,,,11-14,,M. Gortat misses 2-pt shot from 11 ft
5:35.0,,,11-14,,Offensive rebound by M. Morris
5:34.0,,,11-16,2,M. Morris makes 2-pt shot from 1 ft
5:25.0,I. Smith misses 2-pt shot from 1 ft,,11-16,,
5:24.0,,,11-16,,Defensive rebound by M. Gortat
5:13.0,,,11-18,2,J. Wall makes 2-pt shot from 1 ft
5:01.0,Turnover by R. Holmes (bad pass; steal by M. Morris),,11-18,,
4:52.0,C. Landry enters the game for J. Grant,,11-18,,
4:49.0,Personal foul by N. Stauskas (drawn by B. Beal),,11-18,,
4:44.0,,,11-18,,J. Wall misses 2-pt shot at rim
4:43.0,Defensive rebound by R. Covington,,11-18,,
4:33.0,R. Covington misses 3-pt shot from 26 ft,,11-18,,
4:32.0,,,11-18,,Defensive rebound by M. Morris
4:22.0,,,11-18,,M. Gortat misses 2-pt shot at rim
4:20.0,Defensive rebound by Team,,11-18,,
4:20.0,Philadelphia full timeout,,11-18,,
4:20.0,,,11-18,,J. Dudley enters the game for M. Morris
4:20.0,T. McConnell enters the game for R. Covington,,11-18,,
3:58.0,C. Landry misses 2-pt shot from 1 ft (block by M. Gortat),,11-18,,
3:58.0,Offensive rebound by Team,,11-18,,
3:57.0,Shooting foul by J. Wall (drawn by C. Landry),,11-18,,
