time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: B. Lopez vs. I. Mahinmi (G. Hill gains possession)
11:44.0,,,0-0,,C. Miles misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by J. Jack,,0-0,,
11:18.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Johnson),3,3-0,,
10:54.0,,,3-2,2,I. Mahinmi makes 2-pt shot from 4 ft (assist by G. Hill)
10:30.0,Turnover by B. Bogdanovic (lost ball),,3-2,,
10:18.0,,,3-2,,Turnover by P. George (traveling)
10:03.0,J. Johnson misses 2-pt shot from 17 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by C. Miles
9:59.0,Personal foul by J. Johnson (drawn by P. George),,3-2,,
9:54.0,,,3-2,,Turnover by C. Miles (bad pass; steal by J. Jack)
9:38.0,T. Young misses 2-pt shot from 6 ft (block by I. Mahinmi),,3-2,,
9:36.0,,,3-2,,Defensive rebound by P. George
9:33.0,,,3-4,2,P. George makes 2-pt shot from 1 ft
9:19.0,,,3-4,,Personal foul by I. Mahinmi (drawn by B. Lopez)
9:06.0,J. Jack misses 2-pt shot from 5 ft,,3-4,,
9:05.0,Offensive rebound by B. Lopez,,3-4,,
9:05.0,B. Lopez misses 2-pt shot at rim,,3-4,,
9:04.0,Offensive rebound by B. Lopez,,3-4,,
9:04.0,B. Lopez misses 2-pt shot at rim,,3-4,,
9:03.0,,,3-4,,Defensive rebound by P. George
8:59.0,,,3-4,,Turnover by P. George (bad pass; steal by J. Jack)
8:46.0,B. Lopez misses 2-pt shot from 6 ft,,3-4,,
8:45.0,Offensive rebound by T. Young,,3-4,,
8:43.0,T. Young misses 2-pt shot from 11 ft,,3-4,,
8:43.0,,,3-4,,Defensive rebound by I. Mahinmi
8:25.0,,,3-4,,G. Hill misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by J. Jack,,3-4,,
8:19.0,Offensive foul by B. Lopez,,3-4,,
8:19.0,Turnover by B. Lopez (offensive foul),,3-4,,
8:08.0,,,3-4,,P. George misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by B. Lopez,,3-4,,
8:01.0,B. Bogdanovic misses 2-pt shot at rim (block by C. Miles),,3-4,,
8:00.0,,,3-4,,Defensive rebound by I. Mahinmi
7:54.0,,,3-4,,P. George misses 3-pt shot from 26 ft
7:52.0,,,3-4,,Offensive rebound by C. Miles
7:52.0,,,3-4,,C. Miles misses 2-pt shot at rim
7:51.0,Defensive rebound by T. Young,,3-4,,
7:43.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,5-4,,
7:29.0,,,5-7,3,C. Miles makes 3-pt shot from 25 ft (assist by P. George)
7:04.0,J. Jack makes 3-pt shot from 22 ft (assist by J. Johnson),3,8-7,,
6:45.0,,,8-7,,Turnover by P. George (bad pass; steal by J. Johnson)
6:40.0,Turnover by J. Jack (bad pass; steal by M. Ellis),,8-7,,
6:34.0,,,8-9,2,P. George makes 2-pt shot at rim
6:34.0,,,8-9,,Shooting foul by J. Johnson (drawn by P. George)
6:34.0,,,8-10,1,P. George makes free throw 1 of 1
6:22.0,,,8-10,,Violation by C. Miles (def goaltending)
6:22.0,T. Young makes 2-pt shot from 1 ft (assist by B. Lopez),2,10-10,,
6:05.0,,,10-10,,C. Miles misses 3-pt shot from 25 ft
6:05.0,,,10-10,,Offensive rebound by I. Mahinmi
6:02.0,,,10-12,2,I. Mahinmi makes 2-pt shot from 5 ft
5:47.0,J. Jack makes 2-pt shot from 9 ft,2,12-12,,
5:30.0,,,12-12,,G. Hill misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by T. Young,,12-12,,
5:20.0,J. Jack makes 2-pt shot from 15 ft,2,14-12,,
5:13.0,,,14-12,,Indiana full timeout
5:05.0,,,14-15,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
4:51.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Johnson),2,16-15,,
4:34.0,,,16-15,,I. Mahinmi misses 2-pt shot at rim (block by J. Jack)
4:33.0,Defensive rebound by T. Young,,16-15,,
4:21.0,T. Young misses 2-pt shot from 6 ft,,16-15,,
4:21.0,Offensive rebound by T. Young,,16-15,,
4:18.0,T. Young misses 2-pt shot from 5 ft,,16-15,,
4:18.0,,,16-15,,Defensive rebound by G. Hill
4:01.0,,,16-15,,Turnover by P. George (lost ball; steal by J. Jack)
3:56.0,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic),2,18-15,,
3:43.0,,,18-18,3,C. Miles makes 3-pt shot from 25 ft (assist by I. Mahinmi)
3:21.0,J. Jack misses 3-pt shot from 26 ft,,18-18,,
3:20.0,,,18-18,,Defensive rebound by P. George
3:13.0,,,18-20,2,M. Ellis makes 2-pt shot at rim
3:01.0,J. Johnson misses 2-pt shot from 17 ft,,18-20,,
3:00.0,Offensive rebound by T. Young,,18-20,,
2:55.0,T. Young misses 2-pt shot from 4 ft,,18-20,,
2:55.0,,,18-20,,Defensive rebound by I. Mahinmi
2:44.0,,,18-20,,Shooting foul by T. Young (drawn by P. George)
2:44.0,Brooklyn full timeout,,18-20,,
2:44.0,A. Bargnani enters the game for J. Johnson,,18-20,,
2:44.0,W. Ellington enters the game for B. Lopez,,18-20,,
2:44.0,,,18-20,,L. Allen enters the game for C. Miles
2:44.0,,,18-20,,J. Hill enters the game for I. Mahinmi
2:44.0,,,18-20,,R. Stuckey enters the game for G. Hill
2:44.0,,,18-21,1,P. George makes free throw 1 of 2
2:44.0,,,18-22,1,P. George makes free throw 2 of 2
2:25.0,W. Ellington misses 2-pt shot from 18 ft,,18-22,,
2:25.0,,,18-22,,Defensive rebound by R. Stuckey
2:06.0,,,18-22,,P. George misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by A. Bargnani,,18-22,,
1:54.0,A. Bargnani misses 2-pt shot from 18 ft,,18-22,,
1:54.0,,,18-22,,Defensive rebound by L. Allen
1:32.0,,,18-22,,R. Stuckey misses 2-pt shot from 5 ft
1:31.0,,,18-22,,Offensive rebound by R. Stuckey
1:29.0,,,18-22,,R. Stuckey misses 2-pt shot from 4 ft
1:28.0,Defensive rebound by T. Young,,18-22,,
1:16.0,A. Bargnani misses 2-pt shot from 15 ft,,18-22,,
1:15.0,,,18-22,,Defensive rebound by J. Hill
1:12.0,Shooting block foul by A. Bargnani (drawn by R. Stuckey),,18-22,,
1:12.0,,,18-22,,R. Stuckey misses free throw 1 of 2
1:12.0,,,18-22,,Offensive rebound by Team
1:12.0,D. Sloan enters the game for J. Jack,,18-22,,
1:12.0,,,18-23,1,R. Stuckey makes free throw 2 of 2
0:56.0,B. Bogdanovic misses 2-pt shot from 18 ft,,18-23,,
0:56.0,,,18-23,,Defensive rebound by R. Stuckey
0:50.0,,,18-23,,R. Stuckey misses 2-pt shot from 1 ft (block by T. Young)
0:49.0,Defensive rebound by B. Bogdanovic,,18-23,,
0:39.0,W. Ellington misses 3-pt shot from 25 ft,,18-23,,
0:38.0,Offensive rebound by A. Bargnani,,18-23,,
0:26.0,T. Young misses 2-pt shot from 3 ft,,18-23,,
0:26.0,,,18-23,,Defensive rebound by J. Hill
0:02.0,,,18-23,,P. George misses 2-pt shot from 9 ft
0:01.0,,,18-23,,Offensive rebound by J. Hill
0:01.0,,,18-23,,J. Hill misses 2-pt shot at rim
0:00.0,,,18-23,,Offensive rebound by J. Hill
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Bargnani misses 2-pt shot from 8 ft,,18-23,,
11:42.0,,,18-23,,Defensive rebound by J. Hill
11:23.0,,,18-23,,C. Budinger misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by D. Sloan,,18-23,,
11:10.0,W. Ellington misses 2-pt shot from 18 ft,,18-23,,
11:10.0,,,18-23,,Defensive rebound by R. Stuckey
11:04.0,,,18-25,2,R. Stuckey makes 2-pt shot at rim
10:48.0,A. Bargnani makes 2-pt shot from 11 ft,2,20-25,,
10:28.0,,,20-25,,J. Hill misses 2-pt shot from 3 ft
10:27.0,,,20-25,,Offensive rebound by C. Budinger
