time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. Z. Pachulia (E. Mudiay gains possession),,,,Jump ball: N. Jokic vs. Z. Pachulia (E. Mudiay gains possession)
11:47.0,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic),2,2-0,,
11:27.0,,,2-0,,Turnover by C. Parsons (bad pass)
11:13.0,Turnover by D. Gallinari (lost ball),,2-0,,
11:03.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
10:44.0,K. Faried makes 2-pt shot from 13 ft (assist by N. Jokic),2,4-2,,
10:26.0,,,4-2,,Turnover by D. Williams (bad pass)
10:09.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari),2,6-2,,
9:57.0,,,6-2,,D. Williams misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by K. Faried,,6-2,,
9:50.0,E. Mudiay misses 2-pt shot from 16 ft,,6-2,,
9:48.0,Offensive rebound by N. Jokic,,6-2,,
9:47.0,N. Jokic makes 2-pt shot from 3 ft,2,8-2,,
9:46.0,,,8-2,,Dallas full timeout
9:34.0,,,8-4,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams)
9:17.0,N. Jokic misses 2-pt shot from 9 ft,,8-4,,
9:16.0,,,8-4,,Defensive rebound by Z. Pachulia
9:10.0,Personal foul by E. Mudiay (drawn by D. Nowitzki),,8-4,,
9:06.0,,,8-4,,W. Matthews misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by Team,,8-4,,
8:44.0,E. Mudiay misses 3-pt shot from 24 ft,,8-4,,
8:43.0,Offensive rebound by N. Jokic,,8-4,,
8:26.0,D. Gallinari misses 2-pt shot from 17 ft,,8-4,,
8:25.0,,,8-4,,Defensive rebound by D. Nowitzki
8:12.0,Personal foul by G. Harris (drawn by Z. Pachulia),,8-4,,
8:04.0,,,8-4,,Turnover by C. Parsons (bad pass; steal by E. Mudiay)
7:57.0,Shooting foul by D. Nowitzki (drawn by K. Faried),,8-4,,
7:57.0,K. Faried makes free throw 1 of 2,1,9-4,,
7:57.0,K. Faried makes free throw 2 of 2,1,10-4,,
7:46.0,Personal foul by E. Mudiay (drawn by D. Williams),,10-4,,
7:46.0,D. Augustin enters the game for E. Mudiay,,10-4,,
7:39.0,,,10-4,,D. Williams misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by K. Faried,,10-4,,
7:28.0,K. Faried misses 2-pt shot from 21 ft,,10-4,,
7:27.0,,,10-4,,Defensive rebound by D. Nowitzki
