time,Cleveland,pts.away,score,pts.home,Phoenix
0:47.0,K. Love enters the game for T. Thompson,,96-95,,
0:22.0,K. Irving makes 3-pt shot from 26 ft (assist by K. Love),3,99-95,,
0:21.0,,,99-95,,Phoenix full timeout
0:21.0,M. Dellavedova enters the game for K. Love,,99-95,,
0:21.0,T. Thompson enters the game for K. Irving,,99-95,,
0:15.0,,,99-95,,B. Knight misses 2-pt shot from 4 ft
0:12.0,,,99-95,,Offensive rebound by B. Knight
0:12.0,,,99-95,,B. Knight misses 2-pt shot from 2 ft
0:11.0,,,99-95,,Offensive rebound by Team
0:11.0,,,99-95,,Turnover by P. Tucker (bad pass)
0:11.0,Cleveland full timeout,,99-95,,
0:11.0,K. Love enters the game for T. Thompson,,99-95,,
0:11.0,K. Irving enters the game for I. Shumpert,,99-95,,
0:08.0,,,99-95,,Personal take foul by B. Knight (drawn by K. Irving)
0:08.0,K. Irving makes free throw 1 of 2,1,100-95,,
0:08.0,I. Shumpert enters the game for K. Love,,100-95,,
0:08.0,T. Thompson enters the game for J. Smith,,100-95,,
0:08.0,K. Irving makes free throw 2 of 2,1,101-95,,
0:02.0,,,101-95,,T. Warren misses 3-pt shot from 25 ft
0:01.0,,,101-95,,Offensive rebound by P. Tucker
0:01.0,,,101-97,2,P. Tucker makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
