time,Cleveland,pts.away,score,pts.home,Phoenix
9:51.0,,,36-35,,M. Teletovic misses 3-pt shot from 25 ft
9:49.0,,,36-35,,Offensive rebound by T. Warren
9:49.0,,,36-37,2,T. Warren makes 2-pt shot from 1 ft
9:49.0,Cleveland full timeout,,36-37,,
9:49.0,L. James enters the game for J. Jones,,36-37,,
9:49.0,,,36-37,,Violation by Team (delay of game)
9:33.0,Turnover by R. Jefferson (bad pass),,36-37,,
9:17.0,,,36-37,,Shooting foul by I. Shumpert (drawn by A. Len)
9:17.0,,,36-38,1,A. Len makes free throw 1 of 2
9:17.0,,,36-38,,P. Tucker enters the game for M. Teletovic
9:17.0,T. Thompson enters the game for T. Mozgov,,36-38,,
9:17.0,,,36-39,1,A. Len makes free throw 2 of 2
8:57.0,M. Dellavedova misses 2-pt shot from 14 ft,,36-39,,
8:55.0,,,36-39,,Defensive rebound by T. Warren
8:50.0,,,36-39,,T. Warren misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by T. Thompson,,36-39,,
8:35.0,,,36-39,,Personal foul by S. Weems (drawn by I. Shumpert)
8:27.0,L. James makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,39-39,,
8:13.0,,,39-39,,P. Tucker misses 2-pt shot from 21 ft
8:12.0,,,39-39,,Offensive rebound by S. Weems
8:06.0,,,39-42,3,T. Warren makes 3-pt shot from 22 ft (assist by S. Weems)
7:47.0,Shooting foul by T. Warren (drawn by R. Jefferson),,39-42,,
7:47.0,R. Jefferson makes free throw 1 of 2,1,40-42,,
7:47.0,K. Irving enters the game for M. Dellavedova,,40-42,,
7:47.0,R. Jefferson misses free throw 2 of 2,,40-42,,
7:46.0,,,40-42,,Defensive rebound by A. Len
7:25.0,,,40-42,,P. Tucker misses 2-pt shot from 5 ft (block by R. Jefferson)
7:22.0,Defensive rebound by K. Irving,,40-42,,
7:21.0,Shooting foul by R. Price (drawn by K. Irving),,40-42,,
7:21.0,K. Irving makes free throw 1 of 2,1,41-42,,
7:21.0,,,41-42,,B. Knight enters the game for R. Price
7:21.0,K. Love enters the game for R. Jefferson,,41-42,,
7:21.0,J. Smith enters the game for I. Shumpert,,41-42,,
7:21.0,,,41-42,,D. Booker enters the game for S. Weems
7:21.0,K. Irving makes free throw 2 of 2,1,42-42,,
