time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. A. Bogut (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. A. Bogut (T. Parker gains possession)
11:45.0,L. Aldridge misses 3-pt shot from 23 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by K. Thompson
11:30.0,,,0-2,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
11:17.0,T. Parker makes 2-pt shot from 18 ft (assist by D. Green),2,2-2,,
11:03.0,,,2-2,,S. Curry misses 3-pt shot from 24 ft
11:02.0,,,2-2,,Offensive rebound by A. Bogut
10:57.0,,,2-4,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Bogut)
10:45.0,T. Parker misses 2-pt shot from 21 ft,,2-4,,
10:44.0,,,2-4,,Defensive rebound by D. Green
10:22.0,,,2-4,,K. Thompson misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by D. West,,2-4,,
10:10.0,Shooting foul by H. Barnes (drawn by K. Leonard),,2-4,,
10:10.0,K. Leonard makes free throw 1 of 2,1,3-4,,
10:10.0,K. Leonard makes free throw 2 of 2,1,4-4,,
9:55.0,,,4-6,2,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson)
9:33.0,D. West misses 2-pt shot from 14 ft,,4-6,,
9:32.0,,,4-6,,Defensive rebound by D. Green
9:16.0,,,4-6,,H. Barnes misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by T. Parker,,4-6,,
9:04.0,Turnover by D. West (bad pass),,4-6,,
8:51.0,,,4-9,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Bogut)
8:43.0,T. Parker misses 2-pt shot from 3 ft (block by A. Bogut),,4-9,,
8:41.0,,,4-9,,Defensive rebound by K. Thompson
8:33.0,,,4-9,,K. Thompson misses 2-pt shot from 21 ft
8:32.0,Defensive rebound by K. Leonard,,4-9,,
8:22.0,D. Green misses 2-pt shot at rim,,4-9,,
8:22.0,Offensive rebound by D. Green,,4-9,,
8:16.0,T. Parker makes 3-pt shot from 23 ft (assist by D. Green),3,7-9,,
8:07.0,,,7-9,,K. Thompson misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by K. Leonard,,7-9,,
8:01.0,Turnover by K. Leonard (bad pass; steal by S. Curry),,7-9,,
7:55.0,,,7-11,2,S. Curry makes 2-pt shot from 1 ft
7:55.0,San Antonio full timeout,,7-11,,
7:37.0,Turnover by K. Leonard (bad pass; steal by S. Curry),,7-11,,
7:37.0,Personal foul by T. Parker (drawn by S. Curry),,7-11,,
7:23.0,,,7-14,3,S. Curry makes 3-pt shot from 26 ft
7:03.0,D. West makes 2-pt shot from 19 ft (assist by T. Parker),2,9-14,,
6:53.0,,,9-16,2,H. Barnes makes 2-pt shot from 15 ft (assist by S. Curry)
6:33.0,D. Green makes 3-pt shot from 24 ft (assist by D. West),3,12-16,,
6:22.0,,,12-16,,S. Curry misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by D. West,,12-16,,
6:14.0,Turnover by T. Parker (bad pass; steal by S. Curry),,12-16,,
6:10.0,,,12-16,,Shooting foul by D. West (drawn by S. Curry)
6:10.0,,,12-17,1,S. Curry makes free throw 1 of 2
6:10.0,M. Ginobili enters the game for D. Green,,12-17,,
6:10.0,B. Diaw enters the game for D. West,,12-17,,
6:10.0,,,12-17,,A. Iguodala enters the game for H. Barnes
6:10.0,,,12-18,1,S. Curry makes free throw 2 of 2
5:56.0,Turnover by L. Aldridge (lost ball; steal by A. Bogut),,12-18,,
5:50.0,,,12-20,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
5:33.0,,,12-20,,Personal foul by A. Bogut (drawn by B. Diaw)
5:30.0,T. Parker misses 2-pt shot from 15 ft,,12-20,,
5:29.0,,,12-20,,Defensive rebound by D. Green
5:11.0,,,12-20,,D. Green misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by M. Ginobili,,12-20,,
5:02.0,Turnover by M. Ginobili (bad pass),,12-20,,
5:02.0,P. Mills enters the game for T. Parker,,12-20,,
4:47.0,,,12-20,,Turnover by A. Iguodala (traveling)
4:47.0,,,12-20,,F. Ezeli enters the game for A. Bogut
4:36.0,L. Aldridge misses 2-pt shot from 18 ft,,12-20,,
4:35.0,,,12-20,,Defensive rebound by S. Curry
4:22.0,,,12-20,,Turnover by D. Green (bad pass; steal by K. Leonard)
4:09.0,K. Leonard makes 2-pt shot from 7 ft,2,14-20,,
4:09.0,,,14-20,,Golden State full timeout
4:09.0,,,14-20,,L. Barbosa enters the game for K. Thompson
3:57.0,,,14-20,,L. Barbosa misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by K. Leonard,,14-20,,
3:48.0,M. Ginobili misses 2-pt shot from 2 ft,,14-20,,
3:46.0,,,14-20,,Defensive rebound by D. Green
3:38.0,,,14-22,2,F. Ezeli makes 2-pt shot from 6 ft (assist by D. Green)
3:24.0,,,14-22,,Personal foul by L. Barbosa (drawn by M. Ginobili)
3:13.0,L. Aldridge misses 2-pt shot from 10 ft,,14-22,,
3:12.0,,,14-22,,Defensive rebound by F. Ezeli
3:02.0,,,14-22,,Turnover by F. Ezeli (bad pass)
2:51.0,Turnover by P. Mills (lost ball),,14-22,,
2:39.0,,,14-22,,S. Curry misses 2-pt shot from 4 ft
2:39.0,Defensive rebound by L. Aldridge,,14-22,,
2:35.0,,,14-22,,Personal foul by F. Ezeli (drawn by M. Ginobili)
2:35.0,M. Ginobili makes free throw 1 of 2,1,15-22,,
2:35.0,J. Simmons enters the game for K. Leonard,,15-22,,
2:35.0,M. Ginobili makes free throw 2 of 2,1,16-22,,
2:16.0,,,16-22,,F. Ezeli misses 2-pt shot from 4 ft
2:16.0,Defensive rebound by M. Ginobili,,16-22,,
2:07.0,M. Ginobili misses 2-pt shot from 8 ft,,16-22,,
2:07.0,,,16-22,,Defensive rebound by D. Green
1:55.0,,,16-22,,Turnover by D. Green (bad pass; steal by J. Simmons)
1:51.0,Turnover by J. Simmons (lost ball),,16-22,,
1:51.0,,,16-22,,H. Barnes enters the game for D. Green
1:51.0,D. West enters the game for L. Aldridge,,16-22,,
1:31.0,,,16-25,3,S. Curry makes 3-pt shot from 22 ft (assist by L. Barbosa)
1:17.0,D. West makes 2-pt shot at rim (assist by M. Ginobili),2,18-25,,
1:05.0,,,18-25,,Turnover by H. Barnes (lost ball)
0:45.0,D. West makes 2-pt shot from 14 ft (assist by P. Mills),2,20-25,,
0:29.0,,,20-27,2,A. Iguodala makes 2-pt shot from 8 ft (assist by F. Ezeli)
0:11.0,Shooting foul by H. Barnes (drawn by B. Diaw),,20-27,,
0:11.0,B. Diaw makes free throw 1 of 3,1,21-27,,
0:11.0,B. Diaw makes free throw 2 of 3,1,22-27,,
0:11.0,,,22-27,,K. Thompson enters the game for F. Ezeli
0:11.0,K. Leonard enters the game for D. West,,22-27,,
0:11.0,B. Diaw makes free throw 3 of 3,1,23-27,,
0:06.0,Personal foul by P. Mills (drawn by S. Curry),,23-27,,
0:04.0,,,23-29,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala)
0:00.0,P. Mills misses 3-pt shot from 40 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,23-29,,H. Barnes misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by D. West,,23-29,,
11:36.0,Turnover by M. Ginobili (lost ball),,23-29,,
11:25.0,Personal foul by D. West (drawn by F. Ezeli),,23-29,,
11:22.0,,,23-29,,Turnover by S. Livingston (bad pass; steal by M. Ginobili)
11:05.0,D. West makes 2-pt shot from 8 ft (assist by T. Parker),2,25-29,,
10:43.0,,,25-31,2,L. Barbosa makes 2-pt shot from 2 ft
10:24.0,Turnover by B. Diaw (bad pass; steal by S. Livingston),,25-31,,
10:18.0,,,25-31,,Turnover by L. Barbosa (lost ball; steal by T. Parker)
10:16.0,,,25-31,,Personal foul by S. Livingston (drawn by T. Parker)
10:16.0,,,25-31,,K. Thompson enters the game for L. Barbosa
10:16.0,,,25-31,,A. Bogut enters the game for F. Ezeli
10:16.0,D. Green enters the game for J. Simmons,,25-31,,
9:58.0,B. Diaw misses 3-pt shot from 26 ft,,25-31,,
9:58.0,,,25-31,,Defensive rebound by A. Iguodala
9:50.0,,,25-33,2,S. Livingston makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:50.0,San Antonio full timeout,,25-33,,
9:40.0,D. West makes 2-pt shot from 2 ft (assist by M. Ginobili),2,27-33,,
9:24.0,,,27-33,,Shooting foul by D. Green (drawn by K. Thompson)
9:24.0,,,27-34,1,K. Thompson makes free throw 1 of 2
9:24.0,K. Leonard enters the game for M. Ginobili,,27-34,,
9:24.0,,,27-34,,D. Green enters the game for H. Barnes
9:24.0,,,27-35,1,K. Thompson makes free throw 2 of 2
9:08.0,B. Diaw makes 2-pt shot from 9 ft,2,29-35,,
8:53.0,,,29-37,2,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala)
8:40.0,T. Parker misses 2-pt shot from 9 ft,,29-37,,
8:40.0,,,29-37,,Defensive rebound by D. Green
8:26.0,,,29-37,,Offensive foul by A. Bogut
8:26.0,,,29-37,,Turnover by A. Bogut (offensive foul)
8:10.0,Turnover by D. Green (bad pass; steal by A. Iguodala),,29-37,,
7:58.0,,,29-39,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
7:46.0,,,29-39,,Personal foul by A. Bogut (drawn by D. Green)
7:28.0,D. West makes 2-pt shot from 15 ft (assist by B. Diaw),2,31-39,,
7:21.0,,,31-41,2,S. Livingston makes 2-pt shot from 14 ft
7:21.0,,,31-41,,Shooting foul by T. Parker (drawn by S. Livingston)
7:21.0,,,31-41,,B. Rush enters the game for A. Iguodala
7:21.0,,,31-41,,M. Speights enters the game for A. Bogut
7:21.0,L. Aldridge enters the game for D. West,,31-41,,
7:21.0,K. Anderson enters the game for B. Diaw,,31-41,,
7:21.0,,,31-42,1,S. Livingston makes free throw 1 of 1
7:10.0,Turnover by T. Parker (lost ball; steal by D. Green),,31-42,,
7:01.0,,,31-42,,Turnover by S. Livingston (bad pass)
6:56.0,,,31-42,,Loose ball foul by M. Speights (drawn by K. Leonard)
6:44.0,K. Leonard makes 2-pt shot from 7 ft,2,33-42,,
6:30.0,,,33-44,2,K. Thompson makes 2-pt shot from 5 ft (assist by S. Livingston)
6:30.0,,,33-44,,Shooting foul by K. Leonard (drawn by K. Thompson)
6:30.0,,,33-45,1,K. Thompson makes free throw 1 of 1
6:11.0,K. Anderson makes 2-pt shot from 14 ft (assist by K. Leonard),2,35-45,,
6:02.0,,,35-47,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
5:37.0,L. Aldridge makes 2-pt shot at rim (assist by T. Parker),2,37-47,,
5:27.0,,,37-47,,Golden State full timeout
5:27.0,,,37-47,,S. Curry enters the game for B. Rush
5:27.0,P. Mills enters the game for T. Parker,,37-47,,
5:20.0,,,37-47,,M. Speights misses 2-pt shot from 15 ft
5:20.0,,,37-47,,Offensive rebound by Team
5:20.0,Loose ball foul by K. Anderson (drawn by D. Green),,37-47,,
5:20.0,,,37-48,1,D. Green makes free throw 1 of 2
5:20.0,,,37-49,1,D. Green makes free throw 2 of 2
5:11.0,K. Leonard misses 2-pt shot from 16 ft,,37-49,,
5:11.0,,,37-49,,Defensive rebound by M. Speights
5:00.0,,,37-51,2,S. Curry makes 2-pt shot from 10 ft
4:54.0,K. Anderson misses 2-pt shot from 4 ft,,37-51,,
4:50.0,,,37-51,,Defensive rebound by M. Speights
4:44.0,,,37-53,2,S. Livingston makes 2-pt shot at rim
4:25.0,L. Aldridge misses 2-pt shot from 18 ft,,37-53,,
4:24.0,Offensive rebound by K. Anderson,,37-53,,
4:23.0,K. Anderson misses 2-pt shot from 3 ft (block by D. Green),,37-53,,
4:20.0,,,37-53,,Defensive rebound by K. Thompson
4:12.0,,,37-53,,Shooting foul by D. Green (drawn by D. Green)
4:12.0,,,37-54,1,D. Green makes free throw 1 of 2
4:12.0,M. Ginobili enters the game for P. Mills,,37-54,,
4:12.0,J. Simmons enters the game for D. Green,,37-54,,
