time,Dallas,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. Z. Pachulia (G. Antetokounmpo gains possession),,,,Jump ball: G. Monroe vs. Z. Pachulia (G. Antetokounmpo gains possession)
11:50.0,,,0-0,,Shooting foul by Z. Pachulia (drawn by G. Monroe)
11:50.0,,,0-0,,G. Monroe misses free throw 1 of 2
11:50.0,,,0-0,,Offensive rebound by Team
11:50.0,,,0-1,1,G. Monroe makes free throw 2 of 2
11:36.0,,,0-1,,Personal foul by J. Parker (drawn by Z. Pachulia)
11:22.0,W. Matthews makes 3-pt shot from 26 ft,3,3-1,,
11:03.0,,,3-1,,J. Parker misses 2-pt shot from 13 ft
11:01.0,Defensive rebound by C. Parsons,,3-1,,
10:54.0,Turnover by D. Williams (lost ball),,3-1,,
10:39.0,,,3-3,2,J. Parker makes 2-pt shot at rim
10:08.0,W. Matthews misses 3-pt shot from 22 ft,,3-3,,
10:06.0,,,3-3,,Defensive rebound by M. Carter-Williams
10:06.0,Personal foul by W. Matthews (drawn by M. Carter-Williams),,3-3,,
9:54.0,,,3-3,,M. Carter-Williams misses 2-pt shot from 13 ft
9:52.0,Defensive rebound by D. Williams,,3-3,,
9:35.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by C. Parsons),2,5-3,,
9:22.0,,,5-3,,K. Middleton misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by C. Parsons,,5-3,,
9:12.0,C. Parsons misses 2-pt shot from 2 ft,,5-3,,
9:11.0,Offensive rebound by Z. Pachulia,,5-3,,
9:06.0,W. Matthews misses 3-pt shot from 26 ft,,5-3,,
9:05.0,,,5-3,,Defensive rebound by G. Antetokounmpo
9:00.0,,,5-3,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by Team,,5-3,,
9:00.0,,,5-3,,Loose ball foul by G. Monroe (drawn by Z. Pachulia)
8:49.0,D. Williams makes 2-pt shot from 16 ft (assist by W. Matthews),2,7-3,,
8:35.0,,,7-3,,M. Carter-Williams misses 2-pt shot from 14 ft
8:34.0,Defensive rebound by Z. Pachulia,,7-3,,
8:21.0,Turnover by D. Nowitzki (bad pass; steal by M. Carter-Williams),,7-3,,
8:15.0,,,7-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
7:59.0,Shooting foul by M. Carter-Williams (drawn by D. Williams),,7-5,,
7:59.0,D. Williams misses free throw 1 of 2,,7-5,,
7:59.0,Offensive rebound by Team,,7-5,,
7:59.0,D. Williams makes free throw 2 of 2,1,8-5,,
7:49.0,Def 3 sec tech foul by D. Nowitzki,,8-5,,
7:49.0,,,8-6,1,K. Middleton makes technical free throw
7:38.0,,,8-6,,G. Monroe misses 2-pt shot from 15 ft
7:37.0,,,8-6,,Offensive rebound by M. Carter-Williams
7:28.0,,,8-6,,K. Middleton misses 2-pt shot from 16 ft
7:26.0,Defensive rebound by Z. Pachulia,,8-6,,
7:14.0,W. Matthews misses 2-pt shot from 7 ft,,8-6,,
7:12.0,,,8-6,,Defensive rebound by G. Monroe
7:06.0,,,8-8,2,K. Middleton makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
6:49.0,C. Parsons misses 2-pt shot from 20 ft,,8-8,,
6:48.0,Offensive rebound by Z. Pachulia,,8-8,,
6:43.0,D. Williams misses 3-pt shot from 25 ft,,8-8,,
6:42.0,Offensive rebound by Z. Pachulia,,8-8,,
6:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,8-8,,
6:37.0,,,8-8,,Defensive rebound by M. Carter-Williams
6:30.0,,,8-8,,Offensive foul by G. Antetokounmpo
6:30.0,,,8-8,,Turnover by G. Antetokounmpo (offensive foul)
6:30.0,D. Powell enters the game for D. Nowitzki,,8-8,,
6:30.0,R. Felton enters the game for C. Parsons,,8-8,,
6:30.0,,,8-8,,J. Henson enters the game for G. Monroe
6:08.0,Turnover by D. Williams (bad pass; steal by J. Parker),,8-8,,
6:04.0,,,8-10,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
6:04.0,Dallas full timeout,,8-10,,
6:04.0,,,8-10,,O. Mayo enters the game for G. Antetokounmpo
5:50.0,Z. Pachulia misses 2-pt shot from 17 ft,,8-10,,
5:49.0,,,8-10,,Defensive rebound by M. Carter-Williams
5:33.0,,,8-12,2,K. Middleton makes 2-pt shot at rim (assist by O. Mayo)
5:13.0,D. Williams misses 3-pt shot from 25 ft,,8-12,,
5:12.0,Offensive rebound by Z. Pachulia,,8-12,,
4:52.0,Turnover by D. Powell (bad pass),,8-12,,
4:37.0,,,8-14,2,M. Carter-Williams makes 2-pt shot at rim (assist by J. Parker)
4:26.0,Turnover by D. Williams (back court),,8-14,,
4:07.0,,,8-14,,Turnover by K. Middleton (bad pass; steal by R. Felton)
4:05.0,R. Felton misses 2-pt shot from 1 ft (block by O. Mayo),,8-14,,
4:05.0,,,8-14,,Defensive rebound by Team
3:55.0,Personal foul by D. Powell (drawn by J. Parker),,8-14,,
3:55.0,D. Harris enters the game for D. Williams,,8-14,,
3:47.0,,,8-14,,M. Carter-Williams misses 2-pt shot from 7 ft (block by R. Felton)
3:45.0,Defensive rebound by D. Powell,,8-14,,
3:43.0,Turnover by D. Powell (lost ball; steal by J. Parker),,8-14,,
3:35.0,,,8-16,2,M. Carter-Williams makes 2-pt shot from 5 ft (assist by K. Middleton)
3:16.0,D. Powell misses 2-pt shot from 15 ft,,8-16,,
3:14.0,,,8-16,,Defensive rebound by M. Carter-Williams
2:58.0,,,8-18,2,J. Henson makes 2-pt shot from 3 ft (assist by J. Parker)
2:56.0,Dallas full timeout,,8-18,,
2:56.0,,,8-18,,Milwaukee full timeout
2:56.0,J. Barea enters the game for Z. Pachulia,,8-18,,
2:56.0,J. McGee enters the game for D. Powell,,8-18,,
2:56.0,C. Parsons enters the game for R. Felton,,8-18,,
2:56.0,,,8-18,,R. Vaughn enters the game for M. Carter-Williams
2:56.0,D. Nowitzki enters the game for W. Matthews,,8-18,,
2:45.0,C. Parsons misses 3-pt shot from 26 ft,,8-18,,
2:44.0,,,8-18,,Defensive rebound by K. Middleton
2:26.0,,,8-18,,K. Middleton misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by D. Nowitzki,,8-18,,
2:19.0,D. Harris makes 2-pt shot at rim (assist by J. Barea),2,10-18,,
2:06.0,,,10-18,,O. Mayo misses 2-pt shot from 2 ft
2:04.0,,,10-18,,Offensive rebound by O. Mayo
1:59.0,,,10-18,,O. Mayo misses 3-pt shot from 23 ft
1:58.0,Defensive rebound by D. Harris,,10-18,,
1:54.0,Shooting foul by R. Vaughn (drawn by D. Harris),,10-18,,
1:54.0,D. Harris makes free throw 1 of 2,1,11-18,,
1:54.0,,,11-18,,G. Antetokounmpo enters the game for J. Parker
1:54.0,D. Harris makes free throw 2 of 2,1,12-18,,
1:35.0,,,12-21,3,R. Vaughn makes 3-pt shot from 26 ft (assist by K. Middleton)
1:13.0,D. Nowitzki misses 2-pt shot from 13 ft,,12-21,,
1:12.0,,,12-21,,Defensive rebound by K. Middleton
1:08.0,,,12-21,,Shooting foul by C. Parsons (drawn by K. Middleton)
1:08.0,,,12-23,2,K. Middleton makes 2-pt shot at rim
1:08.0,,,12-23,,G. Monroe enters the game for J. Henson
1:08.0,,,12-24,1,K. Middleton makes free throw 1 of 1
1:00.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,15-24,,
0:50.0,,,15-26,2,K. Middleton makes 2-pt shot from 17 ft
0:41.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by J. Barea),3,18-26,,
0:32.0,,,18-28,2,K. Middleton makes 2-pt shot from 22 ft
0:17.0,D. Harris misses 3-pt shot from 24 ft,,18-28,,
0:15.0,Offensive rebound by Team,,18-28,,
0:02.0,Turnover by D. Harris (bad pass; steal by G. Antetokounmpo),,18-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,18-28,,Personal foul by R. Vaughn (drawn by J. Anderson)
11:48.0,J. McGee makes 2-pt shot at rim (assist by D. Harris),2,20-28,,
11:24.0,,,20-28,,M. Carter-Williams misses 2-pt shot from 1 ft
11:22.0,Defensive rebound by J. McGee,,20-28,,
11:13.0,D. Nowitzki misses 3-pt shot from 25 ft,,20-28,,
11:12.0,,,20-28,,Defensive rebound by G. Monroe
11:01.0,Personal foul by J. Barea,,20-28,,
10:56.0,,,20-31,3,O. Mayo makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
10:34.0,Turnover by J. Barea (bad pass; steal by O. Mayo),,20-31,,
10:15.0,,,20-31,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:15.0,,,20-31,,Offensive rebound by G. Monroe
10:15.0,,,20-33,2,G. Monroe makes 2-pt shot from 1 ft
10:15.0,,,20-33,,Shooting foul by J. McGee (drawn by G. Monroe)
10:15.0,,,20-34,1,G. Monroe makes free throw 1 of 1
10:02.0,D. Harris misses 3-pt shot from 26 ft,,20-34,,
10:00.0,,,20-34,,Defensive rebound by G. Antetokounmpo
9:52.0,,,20-34,,Turnover by O. Mayo (lost ball)
9:43.0,J. Barea misses 2-pt shot from 5 ft,,20-34,,
9:42.0,Offensive rebound by J. McGee,,20-34,,
9:41.0,J. McGee makes 2-pt shot at rim (assist by J. Barea),2,22-34,,
9:28.0,Def 3 sec tech foul by J. Anderson,,22-34,,
9:28.0,,,22-34,,O. Mayo misses technical free throw
9:28.0,,,22-34,,Offensive rebound by Team
9:20.0,,,22-34,,Turnover by G. Antetokounmpo (lost ball)
9:09.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,25-34,,
8:55.0,,,25-34,,Turnover by M. Carter-Williams (lost ball; steal by J. Barea)
8:39.0,J. McGee misses 2-pt shot from 12 ft,,25-34,,
8:38.0,,,25-34,,Defensive rebound by M. Carter-Williams
8:27.0,,,25-36,2,G. Monroe makes 2-pt shot from 8 ft
8:12.0,D. Nowitzki misses 3-pt shot from 27 ft,,25-36,,
8:11.0,,,25-36,,Defensive rebound by M. Carter-Williams
8:03.0,Personal foul by J. McGee (drawn by G. Monroe),,25-36,,
8:03.0,Official timeout,,25-36,,
8:03.0,C. Parsons enters the game for D. Nowitzki,,25-36,,
8:03.0,D. Williams enters the game for D. Harris,,25-36,,
8:03.0,Z. Pachulia enters the game for J. Barea,,25-36,,
8:03.0,R. Felton enters the game for J. McGee,,25-36,,
8:03.0,W. Matthews enters the game for J. Anderson,,25-36,,
7:52.0,,,25-36,,Turnover by G. Monroe (traveling)
7:40.0,Turnover by C. Parsons (bad pass),,25-36,,
7:40.0,,,25-36,,J. Parker enters the game for G. Antetokounmpo
7:26.0,,,25-36,,G. Monroe misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by C. Parsons,,25-36,,
7:19.0,Shooting foul by J. Parker (drawn by C. Parsons),,25-36,,
7:19.0,C. Parsons misses free throw 1 of 2,,25-36,,
7:19.0,Offensive rebound by Team,,25-36,,
7:19.0,C. Parsons makes free throw 2 of 2,1,26-36,,
7:10.0,,,26-36,,Turnover by M. Carter-Williams (bad pass; steal by W. Matthews)
6:59.0,R. Felton misses 3-pt shot from 24 ft,,26-36,,
