time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Hibbert (A. Roberson gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (A. Roberson gains possession)
11:44.0,,,0-0,,K. Durant misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by J. Clarkson,,0-0,,
11:38.0,J. Clarkson makes 2-pt shot from 3 ft,2,2-0,,
11:23.0,,,2-0,,Shooting foul by A. Brown (drawn by K. Durant)
11:23.0,,,2-1,1,K. Durant makes free throw 1 of 2
11:23.0,,,2-1,,K. Durant misses free throw 2 of 2
11:22.0,Defensive rebound by R. Hibbert,,2-1,,
10:57.0,J. Clarkson makes 2-pt shot from 15 ft (assist by L. Nance),2,4-1,,
10:44.0,,,4-3,2,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook)
10:32.0,Turnover by J. Clarkson (bad pass; steal by R. Westbrook),,4-3,,
10:27.0,,,4-5,2,R. Westbrook makes 2-pt shot from 1 ft
10:03.0,Turnover by L. Nance (bad pass),,4-5,,
9:47.0,,,4-5,,S. Ibaka misses 2-pt shot at rim (block by R. Hibbert)
9:46.0,,,4-5,,Offensive rebound by S. Ibaka
9:44.0,,,4-5,,Turnover by S. Ibaka (bad pass; steal by L. Williams)
9:33.0,J. Clarkson misses 2-pt shot at rim,,4-5,,
9:32.0,,,4-5,,Defensive rebound by S. Ibaka
9:22.0,,,4-5,,Shooting foul by R. Hibbert (drawn by R. Westbrook)
9:22.0,,,4-5,,R. Westbrook misses free throw 1 of 2
9:22.0,,,4-5,,Offensive rebound by Team
9:22.0,,,4-6,1,R. Westbrook makes free throw 2 of 2
9:05.0,L. Williams misses 2-pt shot from 17 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by Team
8:51.0,,,4-9,3,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:34.0,L. Nance makes 2-pt shot from 14 ft (assist by R. Hibbert),2,6-9,,
8:21.0,,,6-11,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
8:06.0,,,6-11,,Personal block foul by R. Westbrook
8:01.0,L. Williams makes 3-pt shot from 22 ft,3,9-11,,
7:48.0,,,9-11,,R. Westbrook misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by L. Nance,,9-11,,
7:42.0,J. Clarkson misses 2-pt shot from 18 ft,,9-11,,
7:41.0,,,9-11,,Defensive rebound by S. Ibaka
7:33.0,,,9-13,2,R. Westbrook makes 2-pt shot from 17 ft
7:13.0,A. Brown misses 3-pt shot from 24 ft (block by A. Roberson),,9-13,,
7:13.0,Offensive rebound by Team,,9-13,,
7:05.0,J. Clarkson misses 2-pt shot from 1 ft,,9-13,,
7:04.0,,,9-13,,Defensive rebound by S. Adams
6:56.0,,,9-13,,S. Ibaka misses 2-pt shot from 16 ft
6:56.0,,,9-13,,Offensive rebound by A. Roberson
6:54.0,,,9-13,,A. Roberson misses 2-pt shot from 1 ft (block by R. Hibbert)
6:52.0,,,9-13,,Offensive rebound by A. Roberson
6:51.0,,,9-13,,Turnover by S. Ibaka (step out of bounds)
6:36.0,Turnover by L. Williams (bad pass),,9-13,,
6:17.0,,,9-13,,Turnover by R. Westbrook (bad pass; steal by R. Hibbert)
6:11.0,D. Russell enters the game for J. Clarkson,,9-13,,
6:03.0,Turnover by D. Russell (bad pass),,9-13,,
5:54.0,Def 3 sec tech foul by R. Hibbert,,9-13,,
5:54.0,,,9-13,,Oklahoma City full timeout
5:54.0,,,9-14,1,K. Durant makes technical free throw
5:45.0,,,9-14,,S. Ibaka misses 2-pt shot from 5 ft
5:44.0,Defensive rebound by L. Nance,,9-14,,
5:34.0,D. Russell misses 3-pt shot from 24 ft,,9-14,,
5:34.0,,,9-14,,Defensive rebound by A. Roberson
5:29.0,Shooting block foul by A. Brown (drawn by R. Westbrook),,9-14,,
5:29.0,,,9-14,,R. Westbrook misses free throw 1 of 2
5:29.0,,,9-14,,Offensive rebound by Team
5:29.0,N. Young enters the game for A. Brown,,9-14,,
5:29.0,,,9-14,,D. Waiters enters the game for A. Roberson
5:29.0,,,9-15,1,R. Westbrook makes free throw 2 of 2
5:17.0,L. Williams makes 2-pt shot from 16 ft (assist by D. Russell),2,11-15,,
4:58.0,,,11-18,3,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Durant)
4:48.0,Shooting foul by S. Ibaka (drawn by L. Nance),,11-18,,
4:48.0,L. Nance misses free throw 1 of 2,,11-18,,
4:48.0,Offensive rebound by Team,,11-18,,
4:48.0,,,11-18,,N. Collison enters the game for S. Ibaka
4:48.0,R. Sacre enters the game for R. Hibbert,,11-18,,
4:48.0,L. Nance misses free throw 2 of 2,,11-18,,
4:48.0,,,11-18,,Defensive rebound by S. Adams
4:38.0,,,11-20,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:29.0,L. Williams misses 2-pt shot from 3 ft,,11-20,,
4:29.0,,,11-20,,Defensive rebound by D. Waiters
4:24.0,,,11-22,2,R. Westbrook makes 2-pt shot at rim (assist by D. Waiters)
4:15.0,LA Lakers full timeout,,11-22,,
4:15.0,J. Randle enters the game for L. Nance,,11-22,,
4:04.0,N. Young makes 2-pt shot from 18 ft,2,13-22,,
3:45.0,,,13-22,,K. Durant misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by Team,,13-22,,
3:32.0,D. Russell misses 3-pt shot from 24 ft,,13-22,,
3:31.0,,,13-22,,Defensive rebound by N. Collison
3:23.0,Personal foul by L. Williams,,13-22,,
3:23.0,,,13-22,,D. Augustin enters the game for R. Westbrook
3:23.0,,,13-22,,E. Kanter enters the game for S. Adams
3:20.0,,,13-24,2,K. Durant makes 2-pt shot at rim (assist by N. Collison)
3:03.0,N. Young misses 3-pt shot from 25 ft,,13-24,,
3:02.0,,,13-24,,Defensive rebound by N. Collison
2:46.0,,,13-26,2,D. Waiters makes 2-pt shot from 18 ft (assist by E. Kanter)
2:31.0,L. Williams misses 2-pt shot from 5 ft,,13-26,,
2:31.0,,,13-26,,Defensive rebound by N. Collison
2:21.0,,,13-28,2,K. Durant makes 2-pt shot at rim
2:03.0,N. Young misses 2-pt shot from 1 ft,,13-28,,
2:02.0,,,13-28,,Defensive rebound by D. Augustin
1:47.0,,,13-28,,Turnover by D. Waiters (lost ball; steal by L. Williams)
1:46.0,,,13-28,,Personal take foul by K. Durant (drawn by N. Young)
1:31.0,N. Young misses 3-pt shot from 23 ft,,13-28,,
1:31.0,,,13-28,,Defensive rebound by K. Durant
1:20.0,,,13-28,,E. Kanter misses 2-pt shot from 11 ft
1:20.0,,,13-28,,Offensive rebound by Team
1:20.0,Loose ball foul by J. Randle (drawn by N. Collison),,13-28,,
1:20.0,,,13-29,1,N. Collison makes free throw 1 of 2
1:20.0,,,13-30,1,N. Collison makes free throw 2 of 2
1:06.0,D. Russell makes 2-pt shot from 10 ft,2,15-30,,
1:06.0,Shooting foul by D. Augustin (drawn by D. Russell),,15-30,,
1:06.0,D. Russell misses free throw 1 of 1,,15-30,,
1:05.0,,,15-30,,Defensive rebound by E. Kanter
0:47.0,,,15-32,2,D. Waiters makes 2-pt shot from 2 ft
0:33.0,Turnover by J. Randle (lost ball; steal by D. Augustin),,15-32,,
0:28.0,,,15-32,,E. Kanter misses 2-pt shot at rim
0:28.0,Defensive rebound by D. Russell,,15-32,,
0:22.0,Turnover by J. Randle (offensive foul),,15-32,,
0:22.0,Offensive charge foul by J. Randle,,15-32,,
0:03.0,,,15-35,3,K. Durant makes 3-pt shot from 24 ft
0:00.0,D. Russell misses 3-pt shot from 45 ft,,15-35,,
0:00.0,Offensive rebound by Team,,15-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,15-35,,Def 3 sec tech foul by N. Collison
11:45.0,N. Young makes technical free throw,1,16-35,,
11:37.0,N. Young misses 3-pt shot from 23 ft,,16-35,,
11:37.0,,,16-35,,Defensive rebound by E. Kanter
11:28.0,,,16-37,2,D. Waiters makes 2-pt shot from 1 ft
11:12.0,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Sacre),2,18-37,,
10:51.0,,,18-37,,S. Ibaka enters the game for N. Collison
10:46.0,,,18-37,,D. Augustin misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by J. Clarkson,,18-37,,
10:31.0,J. Randle misses 2-pt shot from 18 ft,,18-37,,
10:30.0,,,18-37,,Defensive rebound by E. Kanter
10:22.0,,,18-40,3,A. Morrow makes 3-pt shot from 22 ft (assist by D. Augustin)
10:05.0,D. Russell misses 3-pt shot from 24 ft,,18-40,,
10:05.0,,,18-40,,Defensive rebound by D. Waiters
9:51.0,,,18-40,,Shooting foul by R. Sacre (drawn by E. Kanter)
9:51.0,,,18-41,1,E. Kanter makes free throw 1 of 2
9:51.0,,,18-41,,R. Westbrook enters the game for D. Waiters
9:51.0,,,18-42,1,E. Kanter makes free throw 2 of 2
9:28.0,J. Clarkson makes 2-pt shot from 17 ft,2,20-42,,
9:08.0,,,20-42,,S. Ibaka misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by J. Randle,,20-42,,
9:01.0,J. Randle misses 2-pt shot from 1 ft,,20-42,,
9:00.0,Offensive rebound by J. Randle,,20-42,,
9:00.0,J. Randle misses 2-pt shot from 1 ft,,20-42,,
9:00.0,Offensive rebound by J. Randle,,20-42,,
8:58.0,J. Randle misses 2-pt shot from 1 ft,,20-42,,
8:57.0,,,20-42,,Defensive rebound by E. Kanter
8:51.0,,,20-45,3,D. Augustin makes 3-pt shot from 25 ft
8:28.0,D. Russell makes 2-pt shot from 10 ft,2,22-45,,
8:12.0,,,22-47,2,E. Kanter makes 2-pt shot from 2 ft
7:53.0,J. Randle misses 3-pt shot from 23 ft,,22-47,,
7:50.0,Offensive rebound by R. Sacre,,22-47,,
7:50.0,R. Sacre misses 2-pt shot from 1 ft,,22-47,,
7:50.0,,,22-47,,Defensive rebound by S. Ibaka
7:44.0,,,22-47,,A. Morrow misses 3-pt shot from 24 ft
7:42.0,,,22-47,,Offensive rebound by E. Kanter
7:34.0,,,22-49,2,E. Kanter makes 2-pt shot from 10 ft
7:12.0,D. Russell makes 2-pt shot from 15 ft,2,24-49,,
6:49.0,,,24-51,2,A. Morrow makes 2-pt shot from 9 ft
6:38.0,Shooting foul by D. Augustin (drawn by D. Russell),,24-51,,
6:38.0,Official timeout,,24-51,,
6:38.0,A. Brown enters the game for N. Young,,24-51,,
6:38.0,,,24-51,,K. Durant enters the game for D. Augustin
6:38.0,D. Russell makes free throw 1 of 2,1,25-51,,
6:38.0,D. Russell misses free throw 2 of 2,,25-51,,
6:37.0,,,25-51,,Defensive rebound by Team
6:37.0,L. Williams enters the game for D. Russell,,25-51,,
6:24.0,,,25-51,,Turnover by K. Durant (bad pass; steal by L. Williams)
6:14.0,A. Brown misses 2-pt shot from 2 ft,,25-51,,
6:13.0,,,25-51,,Defensive rebound by S. Ibaka
6:07.0,,,25-51,,Shooting foul by R. Sacre (drawn by K. Durant)
6:07.0,,,25-52,1,K. Durant makes free throw 1 of 2
6:07.0,R. Hibbert enters the game for R. Sacre,,25-52,,
6:07.0,L. Nance enters the game for J. Randle,,25-52,,
6:07.0,,,25-52,,S. Adams enters the game for E. Kanter
6:07.0,,,25-52,,A. Roberson enters the game for A. Morrow
6:07.0,,,25-52,,K. Durant misses free throw 2 of 2
6:07.0,Defensive rebound by R. Hibbert,,25-52,,
5:46.0,J. Clarkson misses 3-pt shot from 22 ft,,25-52,,
5:45.0,,,25-52,,Defensive rebound by K. Durant
5:33.0,,,25-52,,R. Westbrook misses 2-pt shot from 1 ft
5:33.0,,,25-52,,Offensive rebound by S. Adams
5:23.0,,,25-54,2,R. Westbrook makes 2-pt shot from 15 ft
5:06.0,Shooting foul by A. Roberson (drawn by L. Williams),,25-54,,
5:06.0,,,25-54,,Oklahoma City full timeout
5:06.0,L. Williams makes free throw 1 of 3,1,26-54,,
5:06.0,L. Williams makes free throw 2 of 3,1,27-54,,
5:06.0,L. Williams makes free throw 3 of 3,1,28-54,,
4:57.0,,,28-56,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
4:38.0,L. Williams misses 3-pt shot from 23 ft,,28-56,,
4:38.0,Offensive rebound by Team,,28-56,,
4:38.0,,,28-56,,Loose ball foul by S. Adams (drawn by R. Hibbert)
4:28.0,,,28-56,,Personal foul by R. Westbrook (drawn by J. Clarkson)
4:16.0,J. Clarkson misses 2-pt shot from 16 ft,,28-56,,
4:15.0,,,28-56,,Defensive rebound by K. Durant
4:06.0,,,28-58,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant)
3:47.0,R. Hibbert misses 2-pt shot from 14 ft,,28-58,,
3:46.0,,,28-58,,Defensive rebound by S. Adams
3:39.0,,,28-60,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:13.0,J. Clarkson misses 2-pt shot from 20 ft,,28-60,,
3:12.0,,,28-60,,Defensive rebound by Team
3:11.0,,,28-60,,D. Waiters enters the game for A. Roberson
3:02.0,,,28-62,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:46.0,Shooting foul by D. Waiters (drawn by L. Williams),,28-62,,
2:46.0,LA Lakers full timeout,,28-62,,
2:46.0,L. Williams makes free throw 1 of 2,1,29-62,,
2:46.0,L. Williams makes free throw 2 of 2,1,30-62,,
2:39.0,,,30-62,,Turnover by R. Westbrook (bad pass; steal by A. Brown)
2:28.0,Turnover by A. Brown (lost ball),,30-62,,
2:18.0,,,30-62,,S. Ibaka misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by L. Williams,,30-62,,
2:12.0,A. Brown makes 2-pt shot from 1 ft (assist by L. Williams),2,32-62,,
2:02.0,,,32-62,,R. Westbrook misses 2-pt shot from 10 ft
2:02.0,,,32-62,,Offensive rebound by Team
2:02.0,Loose ball foul by R. Hibbert (drawn by S. Adams),,32-62,,
1:52.0,,,32-62,,Shooting foul by L. Nance (drawn by K. Durant)
1:52.0,,,32-63,1,K. Durant makes free throw 1 of 2
1:52.0,,,32-64,1,K. Durant makes free throw 2 of 2
1:36.0,L. Williams makes 3-pt shot from 23 ft,3,35-64,,
1:21.0,,,35-66,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
0:58.0,R. Hibbert misses 2-pt shot from 7 ft,,35-66,,
0:56.0,,,35-66,,Defensive rebound by D. Waiters
0:45.0,,,35-66,,D. Waiters misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by L. Nance,,35-66,,
0:37.0,J. Clarkson makes 2-pt shot from 1 ft,2,37-66,,
0:27.0,,,37-66,,Shooting foul by A. Brown (drawn by S. Adams)
0:27.0,,,37-66,,S. Adams misses free throw 1 of 2
0:27.0,,,37-66,,Offensive rebound by Team
0:27.0,,,37-67,1,S. Adams makes free throw 2 of 2
0:27.0,,,37-67,,Technical foul by S. Ibaka
0:27.0,L. Williams makes technical free throw,1,38-67,,
0:04.0,L. Williams makes 3-pt shot from 24 ft,3,41-67,,
0:00.0,,,41-67,,R. Westbrook misses 2-pt shot at rim
0:00.0,,,41-67,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. Nance misses 2-pt shot from 19 ft,,41-67,,
11:41.0,,,41-67,,Defensive rebound by K. Durant
11:16.0,,,41-67,,Turnover by S. Ibaka (lost ball; steal by R. Hibbert)
10:58.0,A. Brown misses 3-pt shot from 26 ft,,41-67,,
10:57.0,,,41-67,,Defensive rebound by K. Durant
10:40.0,,,41-67,,S. Ibaka misses 2-pt shot from 2 ft
10:39.0,,,41-67,,Offensive rebound by S. Adams
10:38.0,,,41-67,,Shooting foul by R. Hibbert (drawn by S. Adams)
10:38.0,,,41-68,1,S. Adams makes free throw 1 of 2
10:38.0,,,41-68,,S. Adams misses free throw 2 of 2
10:38.0,,,41-68,,Offensive rebound by A. Roberson
10:22.0,,,41-68,,S. Ibaka misses 2-pt shot from 7 ft
10:20.0,,,41-68,,Offensive rebound by S. Ibaka
10:15.0,,,41-68,,R. Westbrook misses 3-pt shot from 24 ft
10:14.0,,,41-68,,Offensive rebound by S. Ibaka
10:00.0,,,41-71,3,S. Ibaka makes 3-pt shot from 22 ft (assist by A. Roberson)
9:45.0,L. Williams misses 2-pt shot from 20 ft,,41-71,,
9:44.0,Offensive rebound by R. Hibbert,,41-71,,
9:41.0,R. Hibbert makes 2-pt shot from 2 ft,2,43-71,,
9:18.0,,,43-73,2,R. Westbrook makes 2-pt shot from 18 ft
9:01.0,L. Nance misses 2-pt shot from 19 ft,,43-73,,
9:00.0,,,43-73,,Defensive rebound by K. Durant
8:50.0,Shooting block foul by A. Brown (drawn by R. Westbrook),,43-73,,
8:50.0,,,43-73,,R. Westbrook misses free throw 1 of 2
8:50.0,,,43-73,,Offensive rebound by Team
8:50.0,,,43-74,1,R. Westbrook makes free throw 2 of 2
8:39.0,J. Clarkson makes 2-pt shot from 15 ft (assist by A. Brown),2,45-74,,
8:16.0,,,45-74,,K. Durant misses 2-pt shot from 15 ft
8:15.0,,,45-74,,Offensive rebound by S. Adams
8:05.0,,,45-77,3,K. Durant makes 3-pt shot from 24 ft
7:46.0,A. Brown makes 2-pt shot from 19 ft (assist by R. Hibbert),2,47-77,,
7:23.0,,,47-77,,A. Roberson misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by L. Nance,,47-77,,
7:14.0,,,47-77,,Personal foul by S. Adams (drawn by R. Hibbert)
7:09.0,Offensive foul by R. Hibbert,,47-77,,
7:09.0,Turnover by R. Hibbert (offensive foul),,47-77,,
6:56.0,,,47-77,,R. Westbrook misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by L. Williams,,47-77,,
6:49.0,,,47-77,,Personal foul by A. Roberson
6:40.0,L. Williams makes 3-pt shot from 23 ft (assist by J. Clarkson),3,50-77,,
6:22.0,,,50-77,,K. Durant misses 2-pt shot from 13 ft
6:22.0,,,50-77,,Offensive rebound by Team
6:22.0,Loose ball foul by L. Williams,,50-77,,
