time,Cleveland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Thompson (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. T. Thompson (J. Clarkson gains possession)
11:43.0,,,0-0,,J. Clarkson misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by T. Thompson,,0-0,,
11:28.0,,,0-0,,Personal foul by J. Randle
11:19.0,K. Irving makes 2-pt shot from 4 ft,2,2-0,,
10:58.0,,,2-2,2,R. Hibbert makes 2-pt shot from 5 ft (assist by J. Clarkson)
10:42.0,K. Irving misses 2-pt shot from 12 ft,,2-2,,
10:39.0,Offensive rebound by T. Thompson,,2-2,,
10:39.0,T. Thompson misses 2-pt shot from 1 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by J. Randle
10:28.0,,,2-4,2,K. Bryant makes 2-pt shot from 17 ft (assist by J. Randle)
10:02.0,Shooting foul by R. Hibbert (drawn by T. Thompson),,2-4,,
10:02.0,T. Thompson makes free throw 1 of 2,1,3-4,,
10:02.0,T. Thompson makes free throw 2 of 2,1,4-4,,
9:52.0,,,4-4,,J. Randle misses 2-pt shot from 16 ft
9:51.0,Defensive rebound by T. Thompson,,4-4,,
9:44.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,7-4,,
9:37.0,Personal foul by C. Frye,,7-4,,
9:27.0,,,7-4,,K. Bryant misses 2-pt shot from 15 ft
9:26.0,Defensive rebound by T. Thompson,,7-4,,
9:20.0,Turnover by L. James (lost ball; steal by J. Clarkson),,7-4,,
8:58.0,,,7-6,2,J. Randle makes 2-pt shot at rim
8:46.0,C. Frye makes 2-pt shot from 16 ft (assist by K. Irving),2,9-6,,
8:33.0,,,9-8,2,K. Bryant makes 2-pt shot from 7 ft
8:20.0,K. Irving makes 2-pt shot from 12 ft,2,11-8,,
8:10.0,Personal foul by J. Smith,,11-8,,
8:04.0,,,11-8,,J. Clarkson misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by C. Frye,,11-8,,
7:56.0,L. James makes 2-pt shot from 7 ft,2,13-8,,
7:42.0,,,13-10,2,D. Russell makes 2-pt shot from 12 ft
7:28.0,J. Smith misses 3-pt shot from 24 ft,,13-10,,
7:27.0,Offensive rebound by K. Irving,,13-10,,
7:24.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,15-10,,
7:15.0,,,15-13,3,D. Russell makes 3-pt shot from 24 ft
7:01.0,K. Irving makes 2-pt shot at rim,2,17-13,,
6:51.0,,,17-15,2,K. Bryant makes 2-pt shot from 4 ft (assist by D. Russell)
6:44.0,L. James makes 2-pt shot at rim,2,19-15,,
6:35.0,,,19-15,,D. Russell misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by C. Frye,,19-15,,
6:17.0,J. Smith misses 2-pt shot from 20 ft,,19-15,,
6:14.0,,,19-15,,Defensive rebound by J. Randle
6:09.0,,,19-15,,Turnover by J. Randle (bad pass)
6:09.0,,,19-15,,B. Bass enters the game for R. Hibbert
5:57.0,C. Frye makes 3-pt shot from 24 ft (assist by K. Irving),3,22-15,,
5:36.0,,,22-15,,D. Russell misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by T. Thompson,,22-15,,
5:30.0,K. Irving misses 2-pt shot from 1 ft,,22-15,,
5:29.0,,,22-15,,Defensive rebound by J. Randle
5:14.0,,,22-17,2,K. Bryant makes 2-pt shot from 1 ft
4:59.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,25-17,,
4:55.0,,,25-17,,LA Lakers full timeout
4:55.0,,,25-17,,L. Nance enters the game for J. Randle
4:55.0,,,25-17,,M. Huertas enters the game for J. Clarkson
4:46.0,,,25-19,2,M. Huertas makes 2-pt shot from 2 ft (assist by D. Russell)
4:25.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,28-19,,
4:09.0,,,28-19,,K. Bryant misses 2-pt shot from 18 ft
4:06.0,Defensive rebound by T. Thompson,,28-19,,
4:06.0,,,28-19,,Personal take foul by M. Huertas
4:06.0,M. Dellavedova enters the game for K. Irving,,28-19,,
4:06.0,J. Jones enters the game for C. Frye,,28-19,,
3:55.0,Shooting foul by D. Russell (drawn by J. Smith),,28-19,,
3:55.0,J. Smith makes free throw 1 of 2,1,29-19,,
3:55.0,T. Mozgov enters the game for T. Thompson,,29-19,,
3:55.0,J. Smith misses free throw 2 of 2,,29-19,,
3:53.0,,,29-19,,Defensive rebound by B. Bass
3:34.0,,,29-22,3,D. Russell makes 3-pt shot from 23 ft
3:34.0,,,29-22,,Loose ball foul by L. Nance
3:34.0,J. Smith makes free throw 1 of 2,1,30-22,,
3:34.0,J. Smith makes free throw 2 of 2,1,31-22,,
3:22.0,,,31-24,2,M. Huertas makes 2-pt shot from 1 ft
3:22.0,,,31-24,,Shooting foul by M. Dellavedova (drawn by M. Huertas)
3:22.0,,,31-24,,M. World Peace enters the game for K. Bryant
3:22.0,I. Shumpert enters the game for J. Smith,,31-24,,
3:22.0,,,31-25,1,M. Huertas makes free throw 1 of 1
3:15.0,I. Shumpert misses 3-pt shot from 25 ft,,31-25,,
3:13.0,,,31-25,,Defensive rebound by M. World Peace
2:59.0,,,31-27,2,D. Russell makes 2-pt shot at rim (assist by B. Bass)
2:34.0,L. James misses 2-pt shot from 7 ft,,31-27,,
2:32.0,,,31-27,,Defensive rebound by B. Bass
2:24.0,,,31-27,,D. Russell misses 2-pt shot from 1 ft (block by T. Mozgov)
2:22.0,Defensive rebound by M. Dellavedova,,31-27,,
2:17.0,M. Dellavedova misses 2-pt shot at rim (block by M. Huertas),,31-27,,
2:17.0,Cleveland full timeout,,31-27,,
2:17.0,Jump ball: B. Bass vs. T. Mozgov (M. World Peace gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (M. World Peace gains possession)
2:17.0,,,31-27,,Defensive rebound by B. Bass
1:54.0,,,31-29,2,M. Huertas makes 2-pt shot at rim
1:28.0,T. Mozgov misses 2-pt shot at rim,,31-29,,
1:26.0,,,31-29,,Defensive rebound by D. Russell
1:20.0,,,31-29,,D. Russell misses 3-pt shot from 24 ft
1:18.0,,,31-29,,Offensive rebound by M. World Peace
1:12.0,,,31-29,,M. World Peace misses 2-pt shot from 14 ft
1:11.0,Defensive rebound by L. James,,31-29,,
0:55.0,J. Jones misses 3-pt shot from 25 ft,,31-29,,
0:55.0,,,31-29,,Defensive rebound by D. Russell
0:39.0,,,31-31,2,M. Huertas makes 2-pt shot from 18 ft
0:27.0,Shooting foul by B. Bass (drawn by L. James),,31-31,,
0:27.0,L. James makes free throw 1 of 2,1,32-31,,
0:27.0,L. James makes free throw 2 of 2,1,33-31,,
0:03.0,,,33-31,,D. Russell misses 3-pt shot from 24 ft (block by L. James)
0:03.0,,,33-31,,Offensive rebound by Team
0:03.0,,,33-31,,Turnover by Team (shot clock)
0:00.0,M. Dellavedova misses 2-pt shot from 2 ft (block by B. Bass),,33-31,,
0:00.0,Offensive rebound by Team,,33-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Dellavedova misses 3-pt shot from 25 ft,,33-31,,
11:43.0,,,33-31,,Defensive rebound by M. Huertas
11:28.0,,,33-31,,J. Clarkson misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by I. Shumpert,,33-31,,
11:16.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by K. Irving),3,36-31,,
10:55.0,,,36-31,,Shooting foul by T. Mozgov (drawn by M. World Peace)
10:55.0,,,36-32,1,M. World Peace makes free throw 1 of 2
10:55.0,T. Thompson enters the game for T. Mozgov,,36-32,,
10:55.0,,,36-33,1,M. World Peace makes free throw 2 of 2
10:32.0,K. Irving makes 3-pt shot from 23 ft,3,39-33,,
10:21.0,,,39-33,,J. Clarkson misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by I. Shumpert,,39-33,,
10:01.0,K. Irving misses 3-pt shot from 26 ft,,39-33,,
9:59.0,Offensive rebound by J. Jones,,39-33,,
9:57.0,J. Jones makes 2-pt shot at rim,2,41-33,,
9:40.0,Def 3 sec tech foul by T. Thompson,,41-33,,
9:40.0,,,41-34,1,J. Clarkson makes technical free throw
9:40.0,,,41-34,,K. Bryant enters the game for M. World Peace
9:40.0,J. Smith enters the game for M. Dellavedova,,41-34,,
9:29.0,,,41-36,2,B. Bass makes 2-pt shot from 1 ft (assist by M. Huertas)
9:13.0,Turnover by I. Shumpert (lost ball; steal by M. Huertas),,41-36,,
9:05.0,,,41-38,2,M. Huertas makes 2-pt shot from 5 ft
8:53.0,,,41-38,,Personal foul by J. Randle
8:53.0,Official timeout,,41-38,,
8:42.0,J. Jones misses 2-pt shot from 19 ft,,41-38,,
8:41.0,,,41-38,,Defensive rebound by K. Bryant
