time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession)
11:44.0,N. Vucevic misses 2-pt shot from 18 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by P. Millsap
11:25.0,,,0-0,,Turnover by J. Teague (bad pass; steal by N. Vucevic)
11:17.0,C. Frye misses 3-pt shot from 24 ft,,0-0,,
11:16.0,Offensive rebound by N. Vucevic,,0-0,,
11:10.0,E. Fournier misses 2-pt shot from 2 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by P. Millsap
10:52.0,,,0-2,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
10:30.0,,,0-2,,Personal foul by K. Bazemore (drawn by N. Vucevic)
10:19.0,E. Payton misses 2-pt shot from 16 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by A. Horford
10:08.0,,,0-4,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
9:55.0,Turnover by E. Payton (bad pass; steal by K. Korver),,0-4,,
9:50.0,,,0-4,,K. Korver misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by E. Fournier,,0-4,,
9:39.0,T. Harris misses 2-pt shot from 4 ft (block by K. Bazemore),,0-4,,
9:37.0,,,0-4,,Defensive rebound by J. Teague
9:36.0,,,0-6,2,J. Teague makes 2-pt shot from 1 ft
9:36.0,,,0-6,,Shooting foul by E. Fournier (drawn by J. Teague)
9:36.0,,,0-7,1,J. Teague makes free throw 1 of 1
9:14.0,E. Fournier makes 3-pt shot from 22 ft (assist by N. Vucevic),3,3-7,,
8:52.0,,,3-7,,K. Bazemore misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by C. Frye,,3-7,,
8:43.0,E. Payton makes 2-pt shot from 1 ft (assist by E. Fournier),2,5-7,,
8:34.0,,,5-7,,A. Horford misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by T. Harris,,5-7,,
8:26.0,E. Fournier misses 2-pt shot from 1 ft,,5-7,,
8:25.0,,,5-7,,Defensive rebound by A. Horford
8:17.0,,,5-9,2,P. Millsap makes 2-pt shot from 6 ft
8:17.0,,,5-9,,Shooting foul by N. Vucevic (drawn by P. Millsap)
8:17.0,,,5-10,1,P. Millsap makes free throw 1 of 1
8:04.0,E. Payton misses 2-pt shot from 1 ft,,5-10,,
8:02.0,,,5-10,,Defensive rebound by A. Horford
7:59.0,,,5-10,,Turnover by K. Bazemore (bad pass; steal by C. Frye)
7:52.0,T. Harris misses 3-pt shot from 23 ft,,5-10,,
7:51.0,,,5-10,,Defensive rebound by K. Korver
7:33.0,,,5-12,2,P. Millsap makes 2-pt shot at rim
7:19.0,C. Frye misses 2-pt shot from 18 ft,,5-12,,
7:17.0,,,5-12,,Defensive rebound by K. Korver
7:13.0,,,5-12,,P. Millsap misses 2-pt shot from 16 ft
7:09.0,Defensive rebound by N. Vucevic,,5-12,,
7:03.0,Turnover by N. Vucevic (lost ball; steal by A. Horford),,5-12,,
6:58.0,,,5-12,,T. Sefolosha enters the game for K. Bazemore
6:58.0,,,5-12,,T. Splitter enters the game for A. Horford
6:55.0,,,5-14,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Korver)
6:49.0,Orlando full timeout,,5-14,,
6:43.0,Turnover by E. Payton (bad pass; steal by P. Millsap),,5-14,,
6:29.0,,,5-14,,T. Splitter misses 2-pt shot from 3 ft (block by C. Frye)
6:26.0,Defensive rebound by C. Frye,,5-14,,
6:20.0,C. Frye makes 2-pt shot from 1 ft (assist by E. Payton),2,7-14,,
6:12.0,Personal foul by E. Fournier (drawn by K. Korver),,7-14,,
6:12.0,M. Hezonja enters the game for E. Fournier,,7-14,,
6:00.0,,,7-14,,Turnover by T. Sefolosha (bad pass; steal by T. Harris)
5:52.0,E. Payton makes 2-pt shot from 7 ft (assist by M. Hezonja),2,9-14,,
5:39.0,Personal foul by C. Frye (drawn by J. Teague),,9-14,,
5:32.0,,,9-16,2,T. Splitter makes 2-pt shot at rim (assist by P. Millsap)
