time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. P. Gasol (A. Gordon gains possession),,,,Jump ball: D. Dedmon vs. P. Gasol (A. Gordon gains possession)
11:47.0,,,0-0,,D. Dedmon misses 2-pt shot from 6 ft
11:46.0,Defensive rebound by M. Dunleavy,,0-0,,
11:30.0,M. Dunleavy misses 2-pt shot from 6 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Gordon
11:24.0,,,0-0,,A. Gordon misses 2-pt shot from 2 ft (block by P. Gasol)
11:20.0,,,0-0,,Offensive rebound by D. Dedmon
11:18.0,,,0-0,,D. Dedmon misses 2-pt shot from 3 ft
11:16.0,Defensive rebound by T. Gibson,,0-0,,
11:05.0,Turnover by D. Rose (lost ball; steal by E. Fournier),,0-0,,
10:55.0,,,0-2,2,D. Dedmon makes 2-pt shot from 8 ft (assist by E. Payton)
10:40.0,,,0-2,,Personal foul by D. Dedmon
10:32.0,M. Dunleavy makes 2-pt shot at rim,2,2-2,,
10:14.0,,,2-4,2,M. Hezonja makes 2-pt shot from 14 ft
9:53.0,D. Rose misses 2-pt shot from 11 ft,,2-4,,
9:51.0,,,2-4,,Defensive rebound by D. Dedmon
9:41.0,,,2-6,2,E. Payton makes 2-pt shot from 5 ft
9:25.0,T. Gibson makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,4-6,,
9:09.0,,,4-8,2,E. Fournier makes 2-pt shot from 4 ft (assist by E. Payton)
8:53.0,D. Rose misses 2-pt shot from 2 ft (block by A. Gordon),,4-8,,
8:53.0,Offensive rebound by Team,,4-8,,
8:46.0,J. Butler misses 2-pt shot from 14 ft,,4-8,,
8:45.0,,,4-8,,Defensive rebound by E. Payton
8:38.0,,,4-10,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
8:18.0,P. Gasol makes 2-pt shot from 13 ft,2,6-10,,
8:10.0,,,6-10,,Turnover by E. Payton (bad pass)
7:57.0,M. Dunleavy misses 2-pt shot from 1 ft,,6-10,,
7:56.0,,,6-10,,Defensive rebound by D. Dedmon
7:48.0,,,6-12,2,D. Dedmon makes 2-pt shot from 12 ft (assist by A. Gordon)
7:29.0,T. Gibson makes 2-pt shot from 1 ft,2,8-12,,
7:14.0,,,8-14,2,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier)
6:53.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,10-14,,
6:48.0,,,10-14,,Orlando full timeout
6:35.0,,,10-14,,A. Gordon misses 3-pt shot from 22 ft
6:33.0,Defensive rebound by J. Butler,,10-14,,
6:21.0,T. Gibson makes 2-pt shot from 1 ft,2,12-14,,
6:01.0,,,12-16,2,E. Payton makes 2-pt shot from 12 ft
5:43.0,,,12-16,,Personal foul by E. Fournier
5:33.0,D. Rose misses 2-pt shot at rim (block by E. Payton),,12-16,,
5:31.0,Offensive rebound by D. Rose,,12-16,,
5:30.0,D. Rose misses 2-pt shot from 1 ft,,12-16,,
5:28.0,,,12-16,,Defensive rebound by E. Fournier
5:27.0,,,12-16,,Shooting foul by M. Dunleavy (drawn by E. Fournier)
5:27.0,,,12-17,1,E. Fournier makes free throw 1 of 2
5:27.0,N. Mirotic enters the game for P. Gasol,,12-17,,
5:27.0,,,12-17,,E. Fournier misses free throw 2 of 2
5:26.0,Defensive rebound by J. Butler,,12-17,,
5:16.0,D. Rose makes 2-pt shot at rim,2,14-17,,
5:01.0,,,14-19,2,E. Payton makes 2-pt shot from 1 ft
4:57.0,,,14-19,,Personal foul by E. Fournier
4:57.0,,,14-19,,D. Marble enters the game for E. Fournier
4:57.0,D. McDermott enters the game for M. Dunleavy,,14-19,,
4:44.0,D. Rose makes 2-pt shot from 1 ft,2,16-19,,
4:22.0,,,16-21,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
4:04.0,J. Butler misses 2-pt shot from 4 ft,,16-21,,
4:04.0,,,16-21,,Defensive rebound by D. Dedmon
3:59.0,,,16-21,,Turnover by E. Payton (lost ball; steal by J. Butler)
3:54.0,D. McDermott makes 2-pt shot from 22 ft (assist by D. Rose),2,18-21,,
3:38.0,Personal foul by T. Gibson,,18-21,,
3:38.0,,,18-21,,C. Watson enters the game for M. Hezonja
3:35.0,Personal foul by J. Butler,,18-21,,
3:20.0,,,18-23,2,D. Marble makes 2-pt shot from 19 ft (assist by D. Dedmon)
3:04.0,J. Butler makes 2-pt shot from 4 ft,2,20-23,,
2:49.0,,,20-23,,A. Gordon misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by N. Mirotic,,20-23,,
2:43.0,Offensive foul by T. Gibson,,20-23,,
2:43.0,Turnover by T. Gibson (offensive foul),,20-23,,
2:43.0,Chicago full timeout,,20-23,,
2:43.0,J. Holiday enters the game for T. Gibson,,20-23,,
2:43.0,B. Portis enters the game for J. Butler,,20-23,,
2:43.0,,,20-23,,J. Smith enters the game for D. Dedmon
2:26.0,,,20-23,,J. Smith misses 2-pt shot from 18 ft
2:26.0,Defensive rebound by Team,,20-23,,
2:26.0,,,20-23,,Loose ball foul by A. Gordon
2:14.0,D. Rose misses 2-pt shot from 5 ft (block by J. Smith),,20-23,,
2:12.0,,,20-23,,Defensive rebound by D. Marble
2:02.0,,,20-25,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton)
1:45.0,J. Holiday misses 2-pt shot at rim,,20-25,,
1:44.0,,,20-25,,Defensive rebound by C. Watson
1:37.0,,,20-25,,Shooting foul by J. Holiday (drawn by E. Payton)
1:37.0,,,20-27,2,E. Payton makes 2-pt shot at rim (assist by C. Watson)
1:37.0,,,20-27,,A. Nicholson enters the game for A. Gordon
1:37.0,A. Brooks enters the game for D. Rose,,20-27,,
1:37.0,,,20-28,1,E. Payton makes free throw 1 of 1
1:21.0,D. McDermott misses 2-pt shot from 8 ft,,20-28,,
1:19.0,,,20-28,,Defensive rebound by J. Smith
1:10.0,,,20-30,2,A. Nicholson makes 2-pt shot from 2 ft
1:10.0,,,20-30,,Shooting foul by J. Holiday (drawn by A. Nicholson)
1:10.0,,,20-30,,B. Jennings enters the game for E. Payton
1:10.0,,,20-31,1,A. Nicholson makes free throw 1 of 1
0:51.0,D. McDermott misses 2-pt shot from 3 ft,,20-31,,
0:51.0,Offensive rebound by D. McDermott,,20-31,,
0:51.0,D. McDermott makes 2-pt shot from 3 ft,2,22-31,,
0:42.0,,,22-34,3,D. Marble makes 3-pt shot from 24 ft (assist by J. Smith)
0:32.0,Turnover by D. McDermott (lost ball),,22-34,,
0:08.0,,,22-36,2,J. Smith makes 2-pt shot from 20 ft
0:03.0,N. Mirotic misses 3-pt shot from 29 ft,,22-36,,
0:01.0,Offensive rebound by B. Portis,,22-36,,
0:00.0,B. Portis misses 2-pt shot from 4 ft,,22-36,,
0:00.0,Offensive rebound by Team,,22-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by B. Jennings (drawn by J. Holiday),,22-36,,
11:48.0,J. Holiday makes free throw 1 of 2,1,23-36,,
11:48.0,J. Holiday makes free throw 2 of 2,1,24-36,,
11:35.0,,,24-38,2,A. Nicholson makes 2-pt shot from 5 ft
11:19.0,B. Portis misses 2-pt shot from 18 ft,,24-38,,
11:17.0,,,24-38,,Defensive rebound by D. Marble
10:59.0,,,24-38,,D. Marble misses 2-pt shot from 7 ft
10:57.0,Defensive rebound by N. Mirotic,,24-38,,
10:50.0,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks),3,27-38,,
10:27.0,,,27-38,,A. Nicholson misses 2-pt shot from 5 ft
10:25.0,Defensive rebound by Team,,27-38,,
10:16.0,D. McDermott misses 2-pt shot from 19 ft,,27-38,,
10:15.0,,,27-38,,Defensive rebound by C. Watson
10:08.0,,,27-40,2,J. Smith makes 2-pt shot from 21 ft (assist by C. Watson)
10:00.0,A. Brooks misses 2-pt shot from 21 ft,,27-40,,
9:59.0,,,27-40,,Defensive rebound by B. Jennings
9:56.0,,,27-42,2,C. Watson makes 2-pt shot from 2 ft (assist by B. Jennings)
9:56.0,Chicago full timeout,,27-42,,
9:56.0,P. Gasol enters the game for N. Mirotic,,27-42,,
9:46.0,Turnover by A. Brooks (lost ball; steal by B. Jennings),,27-42,,
9:42.0,,,27-44,2,B. Jennings makes 2-pt shot at rim
9:25.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Holiday),2,29-44,,
9:08.0,,,29-44,,Shooting foul by P. Gasol (drawn by A. Nicholson)
9:08.0,,,29-44,,A. Nicholson misses free throw 1 of 2
9:08.0,,,29-44,,Offensive rebound by Team
9:08.0,,,29-44,,E. Fournier enters the game for D. Marble
9:08.0,J. Butler enters the game for J. Holiday,,29-44,,
9:08.0,,,29-45,1,A. Nicholson makes free throw 2 of 2
8:50.0,Shooting foul by J. Smith (drawn by P. Gasol),,29-45,,
8:50.0,P. Gasol makes free throw 1 of 2,1,30-45,,
8:50.0,P. Gasol misses free throw 2 of 2,,30-45,,
8:49.0,,,30-45,,Defensive rebound by A. Nicholson
8:36.0,,,30-47,2,B. Jennings makes 2-pt shot from 14 ft
8:24.0,A. Brooks makes 2-pt shot from 2 ft,2,32-47,,
8:09.0,,,32-47,,A. Nicholson misses 3-pt shot from 26 ft
8:08.0,,,32-47,,Offensive rebound by B. Jennings
