time,Oklahoma City,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Noel (N. Collison gains possession),,,,Jump ball: S. Adams vs. N. Noel (N. Collison gains possession)
11:41.0,K. Durant makes 2-pt shot from 14 ft,2,2-0,,
11:18.0,,,2-0,,I. Smith misses 2-pt shot from 1 ft
11:16.0,Defensive rebound by N. Collison,,2-0,,
11:06.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,5-0,,
10:53.0,,,5-0,,Shooting foul by K. Durant (drawn by H. Thompson)
10:53.0,,,5-1,1,H. Thompson makes free throw 1 of 3
10:53.0,,,5-1,,H. Thompson misses free throw 2 of 3
10:53.0,,,5-1,,Offensive rebound by Team
10:53.0,,,5-2,1,H. Thompson makes free throw 3 of 3
10:49.0,,,5-2,,Personal foul by H. Thompson
10:44.0,Turnover by N. Collison (lost ball; steal by I. Canaan),,5-2,,
10:37.0,,,5-5,3,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith)
10:24.0,Turnover by N. Collison (3 sec),,5-5,,
10:14.0,,,5-8,3,I. Canaan makes 3-pt shot from 23 ft (assist by H. Thompson)
9:57.0,R. Westbrook misses 2-pt shot from 3 ft,,5-8,,
9:56.0,Offensive rebound by S. Adams,,5-8,,
9:56.0,S. Adams misses 2-pt shot at rim,,5-8,,
9:54.0,Offensive rebound by K. Durant,,5-8,,
9:50.0,,,5-8,,Personal foul by N. Noel
9:45.0,R. Westbrook misses 2-pt shot from 2 ft,,5-8,,
9:43.0,,,5-8,,Defensive rebound by I. Canaan
9:31.0,,,5-8,,H. Thompson misses 3-pt shot from 22 ft
9:30.0,Defensive rebound by A. Roberson,,5-8,,
9:21.0,N. Collison misses 2-pt shot from 6 ft (block by J. Grant),,5-8,,
9:19.0,,,5-8,,Defensive rebound by I. Canaan
9:11.0,,,5-8,,N. Noel misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by N. Collison,,5-8,,
9:04.0,R. Westbrook misses 2-pt shot from 5 ft,,5-8,,
9:01.0,Offensive rebound by R. Westbrook,,5-8,,
9:01.0,R. Westbrook misses 2-pt shot from 1 ft,,5-8,,
8:58.0,Offensive rebound by S. Adams,,5-8,,
8:58.0,S. Adams makes 2-pt shot at rim,2,7-8,,
8:49.0,,,7-8,,I. Canaan misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by K. Durant,,7-8,,
8:26.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,9-8,,
8:25.0,,,9-8,,Philadelphia full timeout
8:06.0,,,9-8,,N. Noel misses 2-pt shot from 7 ft
