time,Portland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: A. Jefferson vs. M. Plumlee (N. Vonleh gains possession)
11:41.0,N. Vonleh misses 2-pt shot from 1 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Williams
11:17.0,,,0-0,,M. Williams misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by M. Plumlee,,0-0,,
11:06.0,C. McCollum makes 2-pt shot from 13 ft,2,2-0,,
10:50.0,,,2-2,2,A. Jefferson makes 2-pt shot from 2 ft (assist by N. Batum)
10:32.0,N. Vonleh makes 2-pt shot from 4 ft,2,4-2,,
10:17.0,,,4-5,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams)
10:01.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,7-5,,
9:48.0,,,7-5,,P. Hairston misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by D. Lillard,,7-5,,
9:33.0,Turnover by D. Lillard (bad pass; steal by M. Williams),,7-5,,
9:29.0,,,7-5,,Shooting foul by A. Aminu (drawn by M. Williams)
9:29.0,,,7-5,,M. Williams misses free throw 1 of 2
9:29.0,,,7-5,,Offensive rebound by Team
9:29.0,,,7-6,1,M. Williams makes free throw 2 of 2
9:06.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,9-6,,
8:52.0,Personal foul by A. Aminu (drawn by N. Batum),,9-6,,
8:52.0,M. Harkless enters the game for A. Aminu,,9-6,,
8:44.0,,,9-9,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
8:23.0,C. McCollum misses 2-pt shot from 14 ft,,9-9,,
8:22.0,,,9-9,,Defensive rebound by A. Jefferson
8:12.0,,,9-12,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
7:55.0,M. Plumlee misses 2-pt shot from 1 ft,,9-12,,
7:53.0,,,9-12,,Defensive rebound by Team
7:53.0,Loose ball foul by M. Plumlee (drawn by K. Walker),,9-12,,
7:36.0,,,9-14,2,K. Walker makes 2-pt shot from 16 ft (assist by A. Jefferson)
7:27.0,D. Lillard makes 2-pt shot from 17 ft,2,11-14,,
7:10.0,,,11-16,2,A. Jefferson makes 2-pt shot from 1 ft (assist by N. Batum)
6:51.0,D. Lillard misses 2-pt shot from 7 ft,,11-16,,
6:50.0,Offensive rebound by D. Lillard,,11-16,,
6:44.0,D. Lillard makes 3-pt shot from 23 ft,3,14-16,,
6:38.0,,,14-16,,Charlotte full timeout
6:30.0,,,14-16,,N. Batum misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by Team,,14-16,,
6:08.0,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee),2,16-16,,
5:48.0,,,16-16,,M. Williams misses 2-pt shot from 4 ft
5:46.0,,,16-16,,Offensive rebound by A. Jefferson
5:31.0,,,16-18,2,A. Jefferson makes 2-pt shot from 2 ft (assist by N. Batum)
5:21.0,D. Lillard misses 3-pt shot from 30 ft,,16-18,,
5:18.0,Offensive rebound by M. Plumlee,,16-18,,
5:17.0,M. Harkless misses 2-pt shot at rim,,16-18,,
5:15.0,,,16-18,,Defensive rebound by K. Walker
5:08.0,,,16-18,,M. Williams misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by D. Lillard,,16-18,,
4:54.0,Turnover by M. Plumlee (traveling),,16-18,,
4:54.0,C. Alexander enters the game for N. Vonleh,,16-18,,
4:54.0,A. Crabbe enters the game for C. McCollum,,16-18,,
4:49.0,,,16-18,,C. Zeller enters the game for M. Williams
4:33.0,,,16-20,2,A. Jefferson makes 2-pt shot from 12 ft
4:17.0,A. Crabbe makes 2-pt shot from 9 ft (assist by D. Lillard),2,18-20,,
4:05.0,,,18-22,2,A. Jefferson makes 2-pt shot from 14 ft (assist by N. Batum)
3:54.0,Shooting foul by C. Zeller (drawn by M. Plumlee),,18-22,,
3:54.0,M. Plumlee makes free throw 1 of 2,1,19-22,,
3:54.0,,,19-22,,J. Lamb enters the game for P. Hairston
3:54.0,M. Plumlee makes free throw 2 of 2,1,20-22,,
3:40.0,,,20-22,,C. Zeller misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by M. Plumlee,,20-22,,
3:31.0,C. Alexander misses 2-pt shot from 18 ft,,20-22,,
3:30.0,,,20-22,,Defensive rebound by J. Lamb
3:10.0,,,20-24,2,K. Walker makes 2-pt shot from 17 ft
2:55.0,Portland full timeout,,20-24,,
