time,Utah,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. G. Monroe (D. Favors gains possession),,,,Jump ball: R. Gobert vs. G. Monroe (D. Favors gains possession)
11:35.0,R. Hood misses 3-pt shot from 24 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Parker
11:17.0,,,0-3,3,J. Bayless makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
11:02.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert),3,3-3,,
10:40.0,,,3-3,,J. Parker misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by D. Favors,,3-3,,
10:21.0,Turnover by D. Favors (lost ball; steal by G. Antetokounmpo),,3-3,,
10:15.0,,,3-3,,J. Bayless misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by G. Hayward,,3-3,,
10:03.0,S. Mack misses 2-pt shot from 9 ft,,3-3,,
10:01.0,Offensive rebound by Team,,3-3,,
9:55.0,Shooting foul by J. Parker (drawn by R. Gobert),,3-3,,
9:55.0,R. Gobert makes free throw 1 of 2,1,4-3,,
9:55.0,R. Gobert makes free throw 2 of 2,1,5-3,,
9:38.0,,,5-5,2,G. Antetokounmpo makes 2-pt shot from 21 ft
9:14.0,S. Mack makes 3-pt shot from 25 ft (assist by G. Hayward),3,8-5,,
8:53.0,,,8-5,,Turnover by G. Monroe (traveling)
8:30.0,G. Hayward misses 3-pt shot from 23 ft,,8-5,,
8:28.0,Offensive rebound by G. Hayward,,8-5,,
8:26.0,G. Hayward makes 2-pt shot at rim,2,10-5,,
8:10.0,,,10-5,,J. Parker misses 2-pt shot from 8 ft
8:08.0,Defensive rebound by R. Gobert,,10-5,,
8:01.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,12-5,,
7:43.0,,,12-7,2,J. Bayless makes 2-pt shot from 22 ft (assist by J. Parker)
