time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Ajinca (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Ajinca (S. Ibaka gains possession)
11:42.0,,,0-0,,A. Morrow misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by Team,,0-0,,
11:30.0,E. Gordon misses 3-pt shot from 24 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by S. Ibaka
11:19.0,,,0-2,2,R. Westbrook makes 2-pt shot from 10 ft
11:07.0,A. Gee makes 3-pt shot from 22 ft (assist by I. Smith),3,3-2,,
10:45.0,,,3-5,3,A. Morrow makes 3-pt shot from 23 ft (assist by A. Roberson)
10:22.0,E. Gordon makes 2-pt shot from 16 ft,2,5-5,,
10:11.0,,,5-5,,S. Ibaka misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by A. Ajinca,,5-5,,
9:59.0,I. Smith makes 2-pt shot from 1 ft,2,7-5,,
9:46.0,,,7-7,2,R. Westbrook makes 2-pt shot from 5 ft
9:38.0,,,7-7,,Personal foul by S. Ibaka (drawn by I. Smith)
9:29.0,A. Ajinca makes 2-pt shot from 16 ft (assist by I. Smith),2,9-7,,
9:18.0,,,9-7,,Shooting foul by A. Ajinca (drawn by R. Westbrook)
9:18.0,,,9-8,1,R. Westbrook makes free throw 1 of 2
9:18.0,,,9-9,1,R. Westbrook makes free throw 2 of 2
9:05.0,Turnover by E. Gordon (traveling),,9-9,,
8:51.0,,,9-12,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:42.0,Turnover by I. Smith (lost ball; steal by A. Roberson),,9-12,,
8:30.0,,,9-12,,Shooting foul by I. Smith (drawn by R. Westbrook)
8:30.0,,,9-13,1,R. Westbrook makes free throw 1 of 2
8:30.0,,,9-14,1,R. Westbrook makes free throw 2 of 2
8:20.0,A. Gee misses 3-pt shot from 23 ft,,9-14,,
8:19.0,,,9-14,,Defensive rebound by A. Morrow
8:12.0,Def 3 sec tech foul by A. Ajinca,,9-14,,
8:12.0,,,9-15,1,R. Westbrook makes technical free throw
7:58.0,,,9-15,,Turnover by R. Westbrook (bad pass; steal by E. Gordon)
7:54.0,E. Gordon misses 2-pt shot at rim,,9-15,,
7:53.0,Offensive rebound by A. Gee,,9-15,,
7:49.0,R. Anderson misses 3-pt shot from 23 ft,,9-15,,
7:47.0,,,9-15,,Defensive rebound by A. Roberson
7:37.0,,,9-15,,R. Westbrook misses 2-pt shot from 10 ft
7:34.0,Defensive rebound by R. Anderson,,9-15,,
7:22.0,E. Gordon misses 3-pt shot from 24 ft,,9-15,,
7:21.0,Offensive rebound by A. Ajinca,,9-15,,
7:15.0,I. Smith misses 2-pt shot from 4 ft (block by S. Adams),,9-15,,
7:15.0,,,9-15,,Defensive rebound by Team
7:00.0,,,9-15,,A. Morrow misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by E. Gordon,,9-15,,
6:47.0,R. Anderson misses 3-pt shot from 25 ft,,9-15,,
6:46.0,,,9-15,,Defensive rebound by A. Roberson
6:36.0,,,9-15,,S. Ibaka misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by A. Ajinca,,9-15,,
6:18.0,E. Gordon makes 2-pt shot at rim,2,11-15,,
6:04.0,,,11-15,,R. Westbrook misses 3-pt shot from 25 ft
6:04.0,,,11-15,,Offensive rebound by S. Adams
5:56.0,,,11-15,,A. Morrow misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by I. Smith,,11-15,,
5:50.0,E. Gordon misses 2-pt shot at rim,,11-15,,
5:49.0,,,11-15,,Defensive rebound by A. Roberson
5:43.0,,,11-15,,A. Morrow misses 3-pt shot from 22 ft
5:42.0,,,11-15,,Offensive rebound by S. Ibaka
5:42.0,,,11-15,,S. Ibaka misses 2-pt shot from 2 ft
5:40.0,,,11-15,,Offensive rebound by Team
5:40.0,,,11-15,,Oklahoma City full timeout
5:40.0,,,11-15,,D. Waiters enters the game for A. Morrow
5:38.0,,,11-15,,S. Adams misses 2-pt shot from 7 ft
