time,Milwaukee,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. G. Monroe (J. Terry gains possession),,,,Jump ball: C. Capela vs. G. Monroe (J. Terry gains possession)
11:37.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:36.0,,,0-0,,Offensive rebound by C. Brewer
11:34.0,,,0-0,,C. Brewer misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:24.0,K. Middleton misses 2-pt shot from 19 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by C. Capela
11:10.0,,,0-2,2,J. Harden makes 2-pt shot from 2 ft
10:55.0,G. Monroe misses 2-pt shot from 13 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by T. Ariza
10:42.0,,,0-2,,J. Terry misses 3-pt shot from 22 ft
10:41.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:36.0,Turnover by G. Antetokounmpo (lost ball),,0-2,,
10:32.0,Personal foul by M. Carter-Williams (drawn by J. Terry),,0-2,,
10:17.0,,,0-2,,Turnover by C. Brewer (lost ball; steal by J. Parker)
10:09.0,Shooting foul by C. Brewer (drawn by J. Parker),,0-2,,
10:09.0,J. Parker misses free throw 1 of 2,,0-2,,
10:09.0,Offensive rebound by Team,,0-2,,
10:09.0,J. Parker makes free throw 2 of 2,1,1-2,,
9:52.0,,,1-2,,J. Harden misses 2-pt shot from 14 ft
9:51.0,Defensive rebound by J. Parker,,1-2,,
9:42.0,Turnover by G. Monroe (bad pass; steal by J. Terry),,1-2,,
9:37.0,,,1-2,,C. Brewer misses 2-pt shot from 3 ft (block by G. Monroe)
9:36.0,,,1-2,,Offensive rebound by C. Capela
9:35.0,,,1-4,2,C. Capela makes 2-pt shot from 2 ft
9:04.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,3-4,,
8:59.0,,,3-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry)
8:45.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,5-7,,
8:33.0,,,5-10,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:21.0,,,5-10,,Personal foul by C. Capela (drawn by M. Carter-Williams)
8:21.0,J. Bayless enters the game for J. Parker,,5-10,,
8:19.0,Turnover by K. Middleton (bad pass; steal by C. Capela),,5-10,,
8:17.0,,,5-10,,Shooting foul by G. Monroe (drawn by C. Capela)
8:17.0,,,5-10,,C. Capela misses free throw 1 of 2
8:17.0,,,5-10,,Offensive rebound by Team
8:17.0,,,5-10,,C. Capela misses free throw 2 of 2
8:17.0,Defensive rebound by G. Monroe,,5-10,,
7:54.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by C. Capela),,5-10,,
7:53.0,,,5-10,,Defensive rebound by J. Terry
7:48.0,,,5-13,3,J. Harden makes 3-pt shot from 25 ft
7:46.0,Milwaukee full timeout,,5-13,,
7:33.0,M. Carter-Williams misses 2-pt shot from 20 ft,,5-13,,
7:33.0,Offensive rebound by G. Monroe,,5-13,,
7:31.0,G. Monroe makes 2-pt shot at rim,2,7-13,,
7:18.0,,,7-15,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
