time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. G. Monroe (R. Vaughn gains possession),,,,Jump ball: A. Johnson vs. G. Monroe (R. Vaughn gains possession)
11:40.0,T. Ennis misses 2-pt shot from 14 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Crowder
11:19.0,,,0-3,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas)
11:01.0,,,0-3,,Personal foul by I. Thomas
10:52.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,2-3,,
10:34.0,,,2-3,,J. Sullinger misses 2-pt shot from 13 ft
10:33.0,Defensive rebound by G. Monroe,,2-3,,
10:21.0,,,2-3,,Personal foul by J. Sullinger
10:17.0,G. Antetokounmpo makes 2-pt shot from 21 ft (assist by G. Monroe),2,4-3,,
10:04.0,,,4-3,,A. Bradley misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by G. Antetokounmpo,,4-3,,
10:00.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-3,,
10:00.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,6-3,,
10:00.0,G. Antetokounmpo makes free throw 1 of 1,1,7-3,,
9:49.0,,,7-3,,A. Bradley misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by T. Ennis,,7-3,,
9:41.0,J. Parker makes 2-pt shot from 2 ft (assist by R. Vaughn),2,9-3,,
9:41.0,,,9-3,,Boston full timeout
9:25.0,,,9-3,,J. Crowder misses 2-pt shot from 15 ft
9:22.0,,,9-3,,Offensive rebound by Team
9:14.0,,,9-5,2,J. Sullinger makes 2-pt shot from 2 ft
8:58.0,J. Parker misses 2-pt shot from 4 ft,,9-5,,
8:57.0,,,9-5,,Defensive rebound by J. Sullinger
8:45.0,,,9-7,2,A. Bradley makes 2-pt shot from 2 ft (assist by J. Sullinger)
8:32.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,11-7,,
8:32.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,11-7,,
8:32.0,G. Antetokounmpo makes free throw 1 of 1,1,12-7,,
8:16.0,,,12-9,2,I. Thomas makes 2-pt shot from 4 ft
7:54.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by T. Ennis),3,15-9,,
7:42.0,,,15-9,,Turnover by A. Johnson (lost ball; steal by G. Antetokounmpo)
7:37.0,Shooting foul by A. Johnson (drawn by G. Monroe),,15-9,,
7:37.0,G. Monroe misses free throw 1 of 2,,15-9,,
7:37.0,Offensive rebound by Team,,15-9,,
7:37.0,G. Monroe misses free throw 2 of 2,,15-9,,
7:37.0,,,15-9,,Defensive rebound by J. Sullinger
7:25.0,,,15-9,,J. Crowder misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by J. Parker,,15-9,,
7:07.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Monroe),2,17-9,,
6:59.0,,,17-9,,Shooting foul by R. Vaughn (drawn by I. Thomas)
6:59.0,,,17-10,1,I. Thomas makes free throw 1 of 2
6:59.0,,,17-10,,J. Jerebko enters the game for J. Crowder
6:59.0,,,17-11,1,I. Thomas makes free throw 2 of 2
6:41.0,G. Monroe makes 2-pt shot from 13 ft (assist by G. Antetokounmpo),2,19-11,,
6:29.0,,,19-13,2,I. Thomas makes 2-pt shot from 2 ft
6:29.0,,,19-13,,Shooting foul by G. Monroe (drawn by I. Thomas)
6:29.0,,,19-14,1,I. Thomas makes free throw 1 of 1
6:09.0,J. Parker misses 2-pt shot from 18 ft,,19-14,,
6:08.0,Offensive rebound by T. Ennis,,19-14,,
6:00.0,Turnover by G. Monroe (traveling),,19-14,,
5:41.0,,,19-14,,J. Sullinger misses 3-pt shot from 24 ft
5:40.0,,,19-14,,Offensive rebound by J. Jerebko
5:33.0,,,19-14,,A. Bradley misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by G. Monroe,,19-14,,
5:27.0,Shooting foul by A. Johnson (drawn by G. Antetokounmpo),,19-14,,
5:27.0,G. Antetokounmpo makes free throw 1 of 2,1,20-14,,
5:27.0,,,20-14,,E. Turner enters the game for A. Bradley
5:27.0,,,20-14,,M. Smart enters the game for J. Sullinger
5:27.0,G. Antetokounmpo makes free throw 2 of 2,1,21-14,,
5:04.0,,,21-14,,J. Jerebko misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by G. Monroe,,21-14,,
4:50.0,G. Antetokounmpo misses 2-pt shot from 6 ft (block by M. Smart),,21-14,,
4:49.0,,,21-14,,Defensive rebound by I. Thomas
4:47.0,,,21-14,,Turnover by E. Turner (lost ball; steal by R. Vaughn)
4:39.0,J. Parker misses 3-pt shot from 24 ft,,21-14,,
4:38.0,,,21-14,,Defensive rebound by I. Thomas
4:32.0,,,21-14,,I. Thomas misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
4:31.0,Defensive rebound by T. Ennis,,21-14,,
4:29.0,J. Parker makes 2-pt shot from 1 ft,2,23-14,,
4:29.0,Shooting foul by E. Turner (drawn by J. Parker),,23-14,,
4:29.0,J. Parker misses free throw 1 of 1,,23-14,,
