time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. C. Zeller (G. Antetokounmpo gains possession),,,,Jump ball: G. Monroe vs. C. Zeller (G. Antetokounmpo gains possession)
11:42.0,,,0-2,2,K. Middleton makes 2-pt shot from 19 ft (assist by J. Parker)
11:30.0,,,0-2,,Personal foul by G. Antetokounmpo
11:24.0,Shooting foul by G. Monroe (drawn by M. Williams),,0-2,,
11:24.0,M. Williams makes free throw 1 of 2,1,1-2,,
11:24.0,M. Williams misses free throw 2 of 2,,1-2,,
11:23.0,,,1-2,,Defensive rebound by G. Antetokounmpo
11:03.0,,,1-2,,J. Parker misses 2-pt shot from 14 ft
11:00.0,Defensive rebound by C. Zeller,,1-2,,
10:43.0,N. Batum makes 3-pt shot from 24 ft (assist by C. Lee),3,4-2,,
10:16.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:03.0,Turnover by K. Walker (lost ball; steal by J. Bayless),,4-4,,
9:55.0,,,4-4,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by N. Batum,,4-4,,
9:41.0,C. Lee makes 3-pt shot from 25 ft (assist by N. Batum),3,7-4,,
9:20.0,,,7-4,,G. Monroe misses 2-pt shot from 3 ft (block by C. Zeller)
9:18.0,Defensive rebound by M. Williams,,7-4,,
9:13.0,N. Batum misses 3-pt shot from 24 ft,,7-4,,
9:11.0,,,7-4,,Defensive rebound by K. Middleton
8:57.0,,,7-4,,J. Bayless misses 2-pt shot from 17 ft
8:56.0,Defensive rebound by C. Lee,,7-4,,
8:45.0,K. Walker misses 2-pt shot from 14 ft,,7-4,,
8:44.0,,,7-4,,Defensive rebound by G. Monroe
8:38.0,,,7-6,2,K. Middleton makes 2-pt shot from 21 ft
8:13.0,M. Williams misses 2-pt shot from 9 ft,,7-6,,
8:09.0,Offensive rebound by N. Batum,,7-6,,
8:09.0,N. Batum makes 2-pt shot at rim,2,9-6,,
7:57.0,,,9-6,,J. Bayless misses 3-pt shot from 23 ft
7:56.0,Defensive rebound by N. Batum,,9-6,,
7:43.0,C. Zeller misses 2-pt shot at rim,,9-6,,
7:42.0,,,9-6,,Defensive rebound by J. Bayless
7:33.0,,,9-6,,G. Monroe misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by M. Williams,,9-6,,
7:20.0,M. Williams makes 2-pt shot from 12 ft (assist by C. Lee),2,11-6,,
6:58.0,,,11-6,,G. Antetokounmpo misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by C. Zeller,,11-6,,
6:52.0,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker),2,13-6,,
6:52.0,,,13-6,,Milwaukee full timeout
6:52.0,,,13-6,,R. Vaughn enters the game for G. Antetokounmpo
6:33.0,,,13-6,,R. Vaughn misses 2-pt shot from 2 ft (block by M. Williams)
6:33.0,,,13-6,,Offensive rebound by Team
6:28.0,,,13-8,2,K. Middleton makes 2-pt shot from 16 ft
6:13.0,K. Walker makes 2-pt shot at rim,2,15-8,,
5:55.0,,,15-8,,Turnover by J. Bayless (lost ball; steal by N. Batum)
5:51.0,,,15-8,,Violation by K. Middleton (kicked ball)
5:44.0,C. Zeller makes 2-pt shot from 11 ft (assist by N. Batum),2,17-8,,
5:30.0,,,17-8,,G. Monroe misses 2-pt shot from 2 ft (block by C. Zeller)
5:28.0,Defensive rebound by C. Lee,,17-8,,
5:23.0,C. Lee misses 2-pt shot from 1 ft,,17-8,,
5:21.0,Offensive rebound by C. Zeller,,17-8,,
5:21.0,C. Zeller makes 2-pt shot at rim,2,19-8,,
5:01.0,,,19-8,,R. Vaughn misses 3-pt shot from 24 ft
4:58.0,,,19-8,,Offensive rebound by J. Parker
4:45.0,,,19-10,2,J. Parker makes 2-pt shot from 5 ft (assist by K. Middleton)
