time,New Orleans,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (delay of game)
12:00.0,Jump ball: A. Davis vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: A. Davis vs. A. Drummond (R. Jackson gains possession)
11:38.0,,,0-0,,A. Drummond misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by A. Davis,,0-0,,
11:24.0,A. Davis makes 2-pt shot from 5 ft (assist by B. Dejean-Jones),2,2-0,,
11:10.0,,,2-0,,M. Morris misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by B. Dejean-Jones,,2-0,,
10:46.0,D. Cunningham misses 2-pt shot from 16 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by A. Drummond
10:39.0,,,2-0,,A. Tolliver misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by Team,,2-0,,
10:21.0,O. Asik makes 2-pt shot at rim (assist by N. Cole),2,4-0,,
10:21.0,Violation by Team (delay of game),,4-0,,
10:08.0,,,4-0,,K. Caldwell-Pope misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by O. Asik,,4-0,,
10:02.0,Turnover by N. Cole (bad pass; steal by A. Tolliver),,4-0,,
9:58.0,,,4-0,,K. Caldwell-Pope misses 2-pt shot at rim
9:58.0,,,4-0,,Offensive rebound by R. Jackson
9:57.0,,,4-0,,R. Jackson misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by A. Davis,,4-0,,
9:46.0,Shooting foul by A. Drummond (drawn by N. Cole),,4-0,,
9:46.0,N. Cole misses free throw 1 of 2,,4-0,,
9:46.0,Offensive rebound by Team,,4-0,,
9:46.0,N. Cole makes free throw 2 of 2,1,5-0,,
9:31.0,,,5-0,,M. Morris misses 2-pt shot from 15 ft
9:30.0,,,5-0,,Offensive rebound by A. Drummond
9:30.0,,,5-0,,Shooting foul by O. Asik (drawn by A. Drummond)
9:30.0,,,5-2,2,A. Drummond makes 2-pt shot at rim
9:30.0,,,5-3,1,A. Drummond makes free throw 1 of 1
9:19.0,A. Davis misses 2-pt shot from 20 ft,,5-3,,
9:18.0,,,5-3,,Defensive rebound by R. Jackson
9:08.0,,,5-5,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
8:54.0,Shooting foul by A. Tolliver (drawn by D. Cunningham),,5-5,,
8:54.0,D. Cunningham makes free throw 1 of 2,1,6-5,,
8:54.0,D. Cunningham makes free throw 2 of 2,1,7-5,,
8:42.0,,,7-5,,R. Jackson misses 2-pt shot from 1 ft
8:42.0,,,7-5,,Offensive rebound by R. Jackson
8:41.0,,,7-5,,R. Jackson misses 2-pt shot from 1 ft
8:40.0,,,7-5,,Offensive rebound by A. Drummond
8:39.0,,,7-7,2,A. Drummond makes 2-pt shot from 1 ft
8:21.0,A. Davis misses 2-pt shot from 5 ft,,7-7,,
8:20.0,,,7-7,,Defensive rebound by A. Tolliver
8:09.0,,,7-7,,M. Morris misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by N. Cole,,7-7,,
7:51.0,A. Davis makes 2-pt shot from 15 ft (assist by N. Cole),2,9-7,,
7:39.0,,,9-7,,A. Tolliver misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by B. Dejean-Jones,,9-7,,
7:30.0,B. Dejean-Jones makes 2-pt shot at rim (assist by A. Davis),2,11-7,,
7:13.0,,,11-9,2,R. Jackson makes 2-pt shot from 10 ft
7:00.0,N. Cole makes 2-pt shot from 8 ft,2,13-9,,
6:58.0,,,13-9,,Detroit full timeout
6:42.0,,,13-9,,K. Caldwell-Pope misses 2-pt shot from 17 ft
6:42.0,Defensive rebound by A. Davis,,13-9,,
6:23.0,O. Asik misses 2-pt shot from 4 ft (block by A. Drummond),,13-9,,
6:23.0,Offensive rebound by Team,,13-9,,
