time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Aldrich (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. C. Aldrich (S. Ibaka gains possession)
11:43.0,,,0-2,2,K. Durant makes 2-pt shot from 12 ft
11:18.0,J. Crawford misses 2-pt shot from 15 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by S. Ibaka
11:04.0,Personal foul by L. Mbah a Moute,,0-2,,
10:57.0,,,0-5,3,S. Ibaka makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:33.0,C. Aldrich misses 2-pt shot from 4 ft,,0-5,,
10:33.0,,,0-5,,Defensive rebound by R. Westbrook
10:23.0,,,0-5,,Turnover by K. Durant (lost ball; steal by C. Aldrich)
10:07.0,J. Crawford makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,3-5,,
9:47.0,,,3-7,2,K. Durant makes 2-pt shot from 20 ft (assist by R. Westbrook)
9:32.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford),3,6-7,,
9:14.0,,,6-9,2,S. Ibaka makes 2-pt shot from 4 ft (assist by A. Roberson)
8:59.0,W. Johnson makes 2-pt shot from 18 ft (assist by C. Aldrich),2,8-9,,
8:44.0,,,8-11,2,R. Westbrook makes 2-pt shot from 1 ft
8:29.0,W. Johnson misses 3-pt shot from 25 ft,,8-11,,
8:29.0,,,8-11,,Defensive rebound by R. Westbrook
8:07.0,,,8-13,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
7:42.0,J. Crawford misses 2-pt shot from 18 ft,,8-13,,
7:42.0,Offensive rebound by C. Aldrich,,8-13,,
7:36.0,J. Crawford misses 2-pt shot from 14 ft,,8-13,,
7:35.0,Offensive rebound by C. Aldrich,,8-13,,
7:29.0,W. Johnson makes 3-pt shot from 23 ft (assist by J. Crawford),3,11-13,,
7:14.0,,,11-13,,K. Durant misses 2-pt shot from 1 ft (block by W. Johnson)
7:14.0,,,11-13,,Offensive rebound by Team
