time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (J. Jack gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (J. Jack gains possession)
11:38.0,B. Lopez misses 2-pt shot from 18 ft,,0-0,,
11:36.0,Offensive rebound by T. Young,,0-0,,
11:33.0,B. Lopez misses 2-pt shot at rim,,0-0,,
11:31.0,,,0-0,,Defensive rebound by E. Fournier
11:08.0,,,0-0,,Turnover by E. Payton (bad pass; steal by B. Lopez)
10:48.0,J. Jack misses 3-pt shot from 26 ft,,0-0,,
10:46.0,Offensive rebound by T. Young,,0-0,,
10:33.0,T. Young makes 2-pt shot from 8 ft (assist by J. Jack),2,2-0,,
10:15.0,,,2-0,,T. Harris misses 2-pt shot from 1 ft (block by B. Lopez)
10:13.0,Defensive rebound by J. Johnson,,2-0,,
10:00.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,4-0,,
9:43.0,,,4-3,3,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton)
9:24.0,J. Johnson misses 3-pt shot from 24 ft,,4-3,,
9:22.0,,,4-3,,Defensive rebound by Team
9:11.0,,,4-3,,E. Fournier misses 2-pt shot from 1 ft (block by B. Lopez)
9:11.0,,,4-3,,Offensive rebound by Team
8:59.0,,,4-3,,T. Harris misses 2-pt shot from 10 ft
8:58.0,,,4-3,,Offensive rebound by N. Vucevic
8:56.0,,,4-3,,Turnover by N. Vucevic (lost ball)
8:42.0,B. Lopez misses 2-pt shot from 6 ft,,4-3,,
8:41.0,,,4-3,,Defensive rebound by C. Frye
8:19.0,,,4-3,,E. Fournier misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by J. Jack,,4-3,,
8:12.0,T. Young misses 2-pt shot at rim,,4-3,,
8:10.0,,,4-3,,Defensive rebound by C. Frye
7:54.0,,,4-3,,E. Fournier misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by J. Jack,,4-3,,
7:37.0,T. Young makes 2-pt shot from 16 ft,2,6-3,,
7:16.0,,,6-6,3,C. Frye makes 3-pt shot from 22 ft (assist by N. Vucevic)
7:12.0,Brooklyn full timeout,,6-6,,
7:12.0,,,6-6,,S. Napier enters the game for C. Frye
7:12.0,,,6-6,,A. Nicholson enters the game for N. Vucevic
7:12.0,,,6-6,,J. Smith enters the game for E. Payton
6:54.0,J. Johnson misses 3-pt shot from 26 ft,,6-6,,
6:53.0,Offensive rebound by B. Lopez,,6-6,,
6:51.0,Shooting foul by J. Smith (drawn by B. Lopez),,6-6,,
6:51.0,B. Lopez makes free throw 1 of 2,1,7-6,,
6:51.0,W. Ellington enters the game for B. Bogdanovic,,7-6,,
6:51.0,B. Lopez makes free throw 2 of 2,1,8-6,,
6:38.0,,,8-8,2,T. Harris makes 2-pt shot from 2 ft (assist by S. Napier)
6:17.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Jack),3,11-8,,
6:06.0,,,11-8,,S. Napier misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by W. Ellington,,11-8,,
6:01.0,Shooting foul by J. Smith (drawn by B. Lopez),,11-8,,
6:01.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,13-8,,
6:01.0,,,13-8,,N. Vucevic enters the game for J. Smith
6:01.0,B. Lopez makes free throw 1 of 1,1,14-8,,
5:45.0,,,14-8,,E. Fournier misses 3-pt shot from 23 ft
5:44.0,,,14-8,,Offensive rebound by A. Nicholson
5:41.0,,,14-10,2,A. Nicholson makes 2-pt shot from 4 ft
5:31.0,J. Johnson misses 3-pt shot from 24 ft,,14-10,,
5:30.0,,,14-10,,Defensive rebound by E. Fournier
5:18.0,,,14-12,2,A. Nicholson makes 2-pt shot at rim
5:05.0,Shooting foul by N. Vucevic (drawn by B. Lopez),,14-12,,
5:05.0,B. Lopez makes free throw 1 of 2,1,15-12,,
5:05.0,S. Larkin enters the game for J. Jack,,15-12,,
5:05.0,B. Lopez makes free throw 2 of 2,1,16-12,,
4:42.0,,,16-14,2,A. Nicholson makes 2-pt shot from 13 ft (assist by S. Napier)
4:26.0,B. Lopez misses 2-pt shot from 6 ft,,16-14,,
4:26.0,,,16-14,,Defensive rebound by Team
4:14.0,,,16-14,,N. Vucevic misses 2-pt shot from 23 ft
4:13.0,,,16-14,,Offensive rebound by S. Napier
3:58.0,,,16-14,,A. Nicholson misses 3-pt shot from 25 ft
3:57.0,,,16-14,,Offensive rebound by E. Fournier
3:53.0,,,16-17,3,S. Napier makes 3-pt shot from 26 ft (assist by E. Fournier)
3:31.0,S. Larkin misses 2-pt shot from 17 ft,,16-17,,
3:30.0,,,16-17,,Defensive rebound by T. Harris
3:24.0,,,16-17,,T. Harris misses 2-pt shot from 1 ft
3:21.0,Defensive rebound by T. Young,,16-17,,
3:20.0,,,16-17,,Personal take foul by S. Napier (drawn by T. Young)
3:20.0,,,16-17,,V. Oladipo enters the game for E. Fournier
