time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (A. Gordon gains possession)
11:38.0,V. Oladipo misses 2-pt shot from 20 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Korver
11:26.0,Personal foul by E. Payton (drawn by K. Bazemore),,0-0,,
11:11.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:57.0,V. Oladipo misses 3-pt shot from 24 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by A. Horford
10:48.0,,,0-2,,J. Teague misses 2-pt shot from 14 ft
10:45.0,,,0-2,,Offensive rebound by K. Bazemore
10:39.0,,,0-4,2,J. Teague makes 2-pt shot from 16 ft
10:20.0,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo),2,2-4,,
10:03.0,,,2-6,2,A. Horford makes 2-pt shot from 4 ft (assist by K. Korver)
9:54.0,Turnover by E. Payton (bad pass; steal by P. Millsap),,2-6,,
9:47.0,,,2-8,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
9:31.0,E. Payton makes 2-pt shot from 19 ft (assist by V. Oladipo),2,4-8,,
9:16.0,,,4-10,2,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap)
9:05.0,,,4-10,,Personal foul by K. Bazemore (drawn by E. Fournier)
8:52.0,V. Oladipo misses 3-pt shot from 24 ft,,4-10,,
8:51.0,,,4-10,,Defensive rebound by K. Bazemore
8:33.0,Personal foul by E. Fournier (drawn by K. Bazemore),,4-10,,
8:20.0,,,4-12,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
8:15.0,Orlando full timeout,,4-12,,
8:15.0,S. Napier enters the game for A. Gordon,,4-12,,
8:15.0,M. Hezonja enters the game for V. Oladipo,,4-12,,
8:15.0,C. Frye enters the game for E. Payton,,4-12,,
8:01.0,C. Frye misses 3-pt shot from 24 ft,,4-12,,
7:59.0,,,4-12,,Defensive rebound by K. Korver
7:44.0,Personal foul by S. Napier (drawn by J. Teague),,4-12,,
7:38.0,,,4-12,,Shooting foul by C. Frye (drawn by P. Millsap)
7:38.0,,,4-12,,P. Millsap misses free throw 1 of 2
7:38.0,,,4-12,,Offensive rebound by Team
7:38.0,,,4-13,1,P. Millsap makes free throw 2 of 2
7:30.0,M. Hezonja makes 2-pt shot from 17 ft,2,6-13,,
7:17.0,,,6-16,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
7:03.0,M. Hezonja makes 2-pt shot from 1 ft (assist by N. Vucevic),2,8-16,,
6:55.0,,,8-16,,P. Millsap misses 2-pt shot from 8 ft
6:54.0,Defensive rebound by N. Vucevic,,8-16,,
6:39.0,E. Fournier misses 3-pt shot from 23 ft,,8-16,,
6:38.0,,,8-16,,Defensive rebound by K. Bazemore
6:23.0,,,8-19,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
6:07.0,M. Hezonja misses 3-pt shot from 23 ft,,8-19,,
6:06.0,,,8-19,,Defensive rebound by J. Teague
5:54.0,,,8-22,3,J. Teague makes 3-pt shot from 22 ft (assist by A. Horford)
5:33.0,C. Frye misses 3-pt shot from 24 ft,,8-22,,
5:32.0,,,8-22,,Defensive rebound by K. Bazemore
5:15.0,Violation by C. Frye (kicked ball),,8-22,,
5:15.0,,,8-22,,M. Muscala enters the game for A. Horford
5:15.0,,,8-22,,T. Sefolosha enters the game for K. Bazemore
5:15.0,J. Smith enters the game for N. Vucevic,,8-22,,
5:15.0,E. Payton enters the game for E. Fournier,,8-22,,
5:07.0,,,8-22,,J. Teague misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by M. Hezonja,,8-22,,
4:56.0,S. Napier misses 3-pt shot from 24 ft,,8-22,,
4:54.0,,,8-22,,Defensive rebound by T. Sefolosha
4:42.0,,,8-22,,J. Teague misses 2-pt shot from 6 ft
4:38.0,,,8-22,,Offensive rebound by P. Millsap
4:38.0,,,8-24,2,P. Millsap makes 2-pt shot at rim
4:26.0,Turnover by M. Hezonja (lost ball; steal by P. Millsap),,8-24,,
4:21.0,,,8-26,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap)
4:21.0,Orlando full timeout,,8-26,,
4:21.0,,,8-26,,T. Hardaway enters the game for K. Korver
4:21.0,,,8-26,,D. Schroder enters the game for J. Teague
4:11.0,J. Smith misses 2-pt shot from 19 ft,,8-26,,
4:10.0,,,8-26,,Defensive rebound by T. Sefolosha
3:57.0,Def 3 sec tech foul by J. Smith,,8-26,,
3:57.0,,,8-26,,D. Schroder misses technical free throw
3:57.0,,,8-26,,Offensive rebound by Team
3:50.0,,,8-28,2,D. Schroder makes 2-pt shot from 1 ft
3:33.0,Turnover by S. Napier (lost ball),,8-28,,
3:10.0,,,8-28,,T. Hardaway misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by S. Napier,,8-28,,
2:57.0,J. Smith makes 2-pt shot from 18 ft (assist by S. Napier),2,10-28,,
2:46.0,,,10-28,,Atlanta full timeout
2:46.0,A. Gordon enters the game for C. Frye,,10-28,,
2:40.0,Violation by S. Napier (kicked ball),,10-28,,
2:31.0,,,10-28,,Turnover by P. Millsap (lost ball; steal by A. Gordon)
2:22.0,J. Smith makes 2-pt shot from 20 ft (assist by S. Napier),2,12-28,,
2:07.0,,,12-28,,M. Muscala misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by M. Hezonja,,12-28,,
1:56.0,J. Smith makes 2-pt shot from 12 ft,2,14-28,,
1:32.0,,,14-28,,T. Hardaway misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by S. Napier,,14-28,,
1:24.0,Turnover by E. Payton (bad pass; steal by T. Sefolosha),,14-28,,
1:09.0,,,14-28,,Turnover by P. Millsap (lost ball; steal by S. Napier)
1:01.0,S. Napier misses 3-pt shot from 24 ft,,14-28,,
0:58.0,,,14-28,,Defensive rebound by P. Millsap
0:54.0,,,14-30,2,T. Hardaway makes 2-pt shot from 2 ft (assist by P. Millsap)
0:36.0,E. Payton makes 2-pt shot from 19 ft (assist by S. Napier),2,16-30,,
0:30.0,,,16-30,,D. Schroder misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by M. Hezonja,,16-30,,
