time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (D. Nowitzki gains possession)
11:48.0,Turnover by Z. Pachulia (bad pass; steal by R. Westbrook),,0-0,,
11:36.0,Violation by Z. Pachulia (kicked ball),,0-0,,
11:28.0,,,0-0,,S. Adams misses 2-pt shot from 4 ft
11:26.0,,,0-0,,Offensive rebound by S. Adams
11:26.0,,,0-2,2,S. Adams makes 2-pt shot from 1 ft
11:09.0,Z. Pachulia misses 2-pt shot from 16 ft,,0-2,,
11:09.0,Offensive rebound by D. Nowitzki,,0-2,,
11:05.0,D. Nowitzki makes 2-pt shot from 16 ft,2,2-2,,
10:48.0,,,2-2,,D. Waiters misses 2-pt shot from 2 ft (block by Z. Pachulia)
10:46.0,Defensive rebound by D. Williams,,2-2,,
10:43.0,Turnover by D. Williams (bad pass; steal by R. Westbrook),,2-2,,
10:38.0,,,2-4,2,R. Westbrook makes 2-pt shot from 1 ft
10:27.0,D. Williams makes 2-pt shot at rim,2,4-4,,
10:09.0,,,4-7,3,D. Waiters makes 3-pt shot from 25 ft
9:43.0,C. Parsons makes 2-pt shot from 2 ft,2,6-7,,
9:26.0,,,6-7,,S. Ibaka misses 2-pt shot from 2 ft (block by Z. Pachulia)
9:25.0,,,6-7,,Offensive rebound by S. Ibaka
9:22.0,,,6-7,,S. Ibaka misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by D. Nowitzki,,6-7,,
9:05.0,W. Matthews makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,8-7,,
8:52.0,,,8-7,,Turnover by R. Westbrook (bad pass; steal by Z. Pachulia)
8:32.0,Shooting foul by S. Adams (drawn by Z. Pachulia),,8-7,,
8:32.0,Z. Pachulia makes free throw 1 of 2,1,9-7,,
8:32.0,Z. Pachulia makes free throw 2 of 2,1,10-7,,
8:19.0,,,10-7,,A. Roberson misses 3-pt shot from 22 ft
8:18.0,,,10-7,,Offensive rebound by S. Adams
8:12.0,,,10-10,3,R. Westbrook makes 3-pt shot from 23 ft (assist by A. Roberson)
7:46.0,D. Nowitzki makes 2-pt shot from 11 ft,2,12-10,,
7:35.0,,,12-12,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
7:24.0,Turnover by D. Williams (bad pass; steal by R. Westbrook),,12-12,,
7:10.0,,,12-12,,D. Waiters misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by Z. Pachulia,,12-12,,
7:02.0,Turnover by D. Williams (lost ball),,12-12,,
6:48.0,,,12-14,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:31.0,C. Parsons makes 3-pt shot from 24 ft,3,15-14,,
6:19.0,,,15-14,,R. Westbrook misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by C. Parsons,,15-14,,
6:11.0,W. Matthews misses 3-pt shot from 24 ft,,15-14,,
6:10.0,,,15-14,,Defensive rebound by D. Waiters
5:53.0,,,15-17,3,A. Roberson makes 3-pt shot from 22 ft (assist by S. Adams)
5:52.0,Dallas full timeout,,15-17,,
5:52.0,D. Harris enters the game for D. Nowitzki,,15-17,,
5:52.0,D. Powell enters the game for W. Matthews,,15-17,,
5:36.0,C. Parsons misses 2-pt shot from 3 ft (block by A. Roberson),,15-17,,
5:36.0,,,15-17,,Defensive rebound by Team
5:22.0,,,15-17,,R. Westbrook misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by Z. Pachulia,,15-17,,
5:11.0,Turnover by D. Williams (turnover),,15-17,,
5:02.0,,,15-17,,Turnover by S. Ibaka (3 sec)
4:41.0,Turnover by Z. Pachulia (3 sec),,15-17,,
4:41.0,,,15-17,,N. Collison enters the game for S. Ibaka
