time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Hibbert (A. Gee gains possession),,,,Jump ball: A. Davis vs. R. Hibbert (A. Gee gains possession)
11:39.0,,,0-0,,N. Cole misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by J. Clarkson,,0-0,,
11:33.0,J. Clarkson makes 2-pt shot at rim,2,2-0,,
11:17.0,,,2-0,,A. Davis misses 2-pt shot from 18 ft
11:16.0,Defensive rebound by K. Bryant,,2-0,,
11:08.0,K. Bryant makes 2-pt shot from 16 ft,2,4-0,,
10:56.0,,,4-0,,N. Cole misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by L. Williams,,4-0,,
10:42.0,R. Hibbert misses 2-pt shot from 2 ft,,4-0,,
10:40.0,,,4-0,,Defensive rebound by O. Asik
10:36.0,,,4-2,2,N. Cole makes 2-pt shot from 1 ft
10:14.0,K. Bryant makes 2-pt shot from 11 ft,2,6-2,,
9:59.0,,,6-2,,B. Dejean-Jones misses 2-pt shot from 15 ft
9:58.0,Defensive rebound by J. Randle,,6-2,,
9:44.0,J. Clarkson makes 2-pt shot from 1 ft,2,8-2,,
9:32.0,,,8-2,,A. Davis misses 2-pt shot from 9 ft
9:31.0,Defensive rebound by R. Hibbert,,8-2,,
9:20.0,J. Randle misses 2-pt shot from 20 ft,,8-2,,
9:20.0,,,8-2,,Defensive rebound by O. Asik
9:07.0,,,8-2,,N. Cole misses 2-pt shot from 4 ft
9:07.0,Defensive rebound by J. Randle,,8-2,,
8:52.0,K. Bryant misses 2-pt shot from 22 ft,,8-2,,
8:51.0,,,8-2,,Defensive rebound by O. Asik
8:41.0,,,8-2,,A. Davis misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by J. Randle,,8-2,,
8:35.0,J. Randle makes 2-pt shot from 1 ft,2,10-2,,
8:35.0,Shooting foul by O. Asik (drawn by J. Randle),,10-2,,
8:35.0,J. Randle makes free throw 1 of 1,1,11-2,,
8:32.0,,,11-2,,New Orleans full timeout
8:24.0,,,11-2,,N. Cole misses 2-pt shot from 15 ft
8:23.0,Defensive rebound by K. Bryant,,11-2,,
8:18.0,,,11-2,,Personal foul by A. Gee (drawn by K. Bryant)
8:03.0,K. Bryant makes 2-pt shot from 12 ft,2,13-2,,
7:47.0,,,13-2,,Shooting foul by L. Williams (drawn by B. Dejean-Jones)
7:47.0,,,13-2,,B. Dejean-Jones misses free throw 1 of 2
7:47.0,,,13-2,,Offensive rebound by Team
7:47.0,,,13-2,,J. Holiday enters the game for N. Cole
7:47.0,,,13-2,,D. Cunningham enters the game for A. Gee
7:47.0,,,13-2,,B. Dejean-Jones misses free throw 2 of 2
7:45.0,,,13-2,,Offensive rebound by O. Asik
7:35.0,,,13-4,2,J. Holiday makes 2-pt shot from 20 ft
7:16.0,K. Bryant makes 3-pt shot from 24 ft,3,16-4,,
7:02.0,,,16-4,,Turnover by J. Holiday (bad pass)
6:49.0,K. Bryant misses 3-pt shot from 26 ft,,16-4,,
6:48.0,,,16-4,,Defensive rebound by B. Dejean-Jones
6:36.0,,,16-6,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
6:15.0,L. Williams makes 2-pt shot from 16 ft (assist by J. Randle),2,18-6,,
