time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,T. Parker misses 2-pt shot from 4 ft
12:00.0,Jump ball: T. Duncan vs. Z. Pachulia (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. Z. Pachulia (K. Leonard gains possession)
11:38.0,Defensive rebound by Z. Pachulia,,0-0,,
11:27.0,,,0-0,,Personal foul by T. Parker (drawn by D. Williams)
11:16.0,C. Parsons misses 2-pt shot from 3 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by K. Leonard
11:04.0,,,0-0,,D. Green misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by D. Nowitzki,,0-0,,
10:53.0,Turnover by W. Matthews (traveling),,0-0,,
10:44.0,Def 3 sec tech foul by Z. Pachulia,,0-0,,
10:44.0,,,0-1,1,K. Leonard makes technical free throw
10:37.0,,,0-1,,L. Aldridge misses 2-pt shot from 18 ft
10:36.0,Defensive rebound by D. Williams,,0-1,,
10:20.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by W. Matthews),2,2-1,,
10:02.0,,,2-3,2,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker)
9:44.0,D. Nowitzki misses 2-pt shot from 13 ft,,2-3,,
9:41.0,,,2-3,,Defensive rebound by T. Duncan
9:33.0,,,2-5,2,L. Aldridge makes 2-pt shot from 14 ft (assist by K. Leonard)
9:14.0,C. Parsons misses 2-pt shot from 1 ft (block by L. Aldridge),,2-5,,
9:12.0,,,2-5,,Defensive rebound by T. Duncan
9:04.0,,,2-5,,L. Aldridge misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by Z. Pachulia,,2-5,,
8:52.0,D. Nowitzki misses 3-pt shot from 26 ft,,2-5,,
8:51.0,,,2-5,,Defensive rebound by L. Aldridge
8:40.0,,,2-5,,K. Leonard misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by Z. Pachulia,,2-5,,
