time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession)
11:45.0,,,0-0,,S. Curry misses 2-pt shot from 1 ft
11:45.0,,,0-0,,Offensive rebound by A. Bogut
11:45.0,,,0-2,2,A. Bogut makes 2-pt shot from 1 ft
11:28.0,R. Hibbert makes 2-pt shot from 12 ft (assist by L. Williams),2,2-2,,
11:11.0,,,2-2,,B. Rush misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by R. Hibbert,,2-2,,
11:01.0,L. Williams misses 2-pt shot from 13 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by A. Bogut
10:51.0,,,2-2,,Turnover by A. Bogut (bad pass; steal by L. Nance)
10:44.0,R. Hibbert misses 2-pt shot from 18 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by A. Bogut
10:28.0,,,2-2,,D. Green misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by R. Hibbert,,2-2,,
10:17.0,J. Clarkson misses 2-pt shot from 18 ft,,2-2,,
10:17.0,Offensive rebound by J. Clarkson,,2-2,,
10:00.0,Turnover by K. Bryant (lost ball; steal by D. Green),,2-2,,
9:51.0,,,2-5,3,K. Thompson makes 3-pt shot from 26 ft
9:39.0,K. Bryant makes 2-pt shot from 21 ft (assist by L. Williams),2,4-5,,
9:30.0,,,4-5,,K. Thompson misses 2-pt shot from 5 ft
9:30.0,Defensive rebound by L. Nance,,4-5,,
9:21.0,K. Bryant misses 3-pt shot from 26 ft,,4-5,,
9:21.0,,,4-5,,Defensive rebound by A. Bogut
9:15.0,,,4-5,,S. Curry misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by J. Clarkson,,4-5,,
9:08.0,J. Clarkson makes 2-pt shot from 2 ft,2,6-5,,
8:47.0,,,6-7,2,K. Thompson makes 2-pt shot from 19 ft (assist by B. Rush)
8:24.0,Turnover by J. Clarkson (traveling),,6-7,,
8:19.0,,,6-7,,K. Thompson misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by Team,,6-7,,
8:08.0,L. Williams misses 3-pt shot from 24 ft,,6-7,,
8:07.0,,,6-7,,Defensive rebound by S. Curry
8:04.0,,,6-7,,Turnover by S. Curry (bad pass)
7:54.0,K. Bryant makes 2-pt shot from 21 ft,2,8-7,,
7:42.0,,,8-10,3,S. Curry makes 3-pt shot from 25 ft
7:24.0,K. Bryant misses 2-pt shot from 18 ft,,8-10,,
7:23.0,,,8-10,,Defensive rebound by A. Bogut
7:08.0,,,8-10,,K. Thompson misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by K. Bryant,,8-10,,
6:55.0,K. Bryant misses 2-pt shot from 2 ft (block by A. Bogut),,8-10,,
6:54.0,,,8-10,,Defensive rebound by K. Thompson
6:52.0,,,8-10,,Turnover by K. Thompson (bad pass; steal by L. Nance)
6:30.0,L. Williams misses 3-pt shot from 25 ft,,8-10,,
6:30.0,,,8-10,,Defensive rebound by S. Curry
6:25.0,,,8-10,,D. Green misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by K. Bryant,,8-10,,
6:15.0,K. Bryant makes 2-pt shot from 10 ft,2,10-10,,
6:09.0,,,10-10,,Golden State full timeout
6:09.0,,,10-10,,A. Iguodala enters the game for B. Rush
6:02.0,,,10-13,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
5:37.0,Shooting foul by S. Curry (drawn by R. Hibbert),,10-13,,
5:37.0,R. Hibbert misses free throw 1 of 2,,10-13,,
5:37.0,Offensive rebound by Team,,10-13,,
5:37.0,D. Russell enters the game for J. Clarkson,,10-13,,
5:37.0,R. Hibbert misses free throw 2 of 2,,10-13,,
5:37.0,,,10-13,,Defensive rebound by A. Bogut
5:21.0,,,10-13,,K. Thompson misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by R. Hibbert,,10-13,,
5:11.0,K. Bryant misses 2-pt shot from 12 ft,,10-13,,
5:10.0,Offensive rebound by R. Hibbert,,10-13,,
5:01.0,Turnover by D. Russell (bad pass),,10-13,,
5:01.0,J. Randle enters the game for L. Nance,,10-13,,
4:54.0,,,10-16,3,S. Curry makes 3-pt shot from 26 ft
4:38.0,K. Bryant misses 2-pt shot from 17 ft,,10-16,,
4:38.0,,,10-16,,Defensive rebound by D. Green
4:27.0,,,10-16,,K. Thompson misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by J. Randle,,10-16,,
4:15.0,D. Russell makes 3-pt shot from 26 ft,3,13-16,,
4:03.0,,,13-16,,S. Curry misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by R. Hibbert,,13-16,,
3:52.0,K. Bryant misses 2-pt shot from 11 ft,,13-16,,
3:51.0,Offensive rebound by K. Bryant,,13-16,,
3:48.0,K. Bryant misses 2-pt shot from 3 ft (block by A. Iguodala),,13-16,,
3:47.0,,,13-16,,Defensive rebound by Team
3:47.0,T. Black enters the game for R. Hibbert,,13-16,,
3:47.0,,,13-16,,H. Barnes enters the game for A. Bogut
3:23.0,,,13-16,,H. Barnes misses 2-pt shot from 4 ft
3:21.0,,,13-16,,Offensive rebound by D. Green
3:20.0,,,13-18,2,D. Green makes 2-pt shot from 3 ft
3:05.0,L. Williams misses 2-pt shot from 12 ft (block by K. Thompson),,13-18,,
3:01.0,Offensive rebound by L. Williams,,13-18,,
2:59.0,L. Williams misses 2-pt shot from 4 ft,,13-18,,
2:58.0,Offensive rebound by J. Randle,,13-18,,
2:56.0,J. Randle makes 2-pt shot at rim,2,15-18,,
2:33.0,,,15-18,,K. Thompson misses 2-pt shot from 16 ft
2:33.0,,,15-18,,Offensive rebound by S. Curry
2:27.0,,,15-20,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
2:16.0,L. Williams makes 2-pt shot from 1 ft,2,17-20,,
2:07.0,,,17-20,,Shooting foul by L. Williams (drawn by K. Thompson)
2:07.0,LA Lakers full timeout,,17-20,,
2:07.0,A. Brown enters the game for K. Bryant,,17-20,,
2:07.0,,,17-21,1,K. Thompson makes free throw 1 of 2
2:07.0,,,17-22,1,K. Thompson makes free throw 2 of 2
2:00.0,Shooting foul by H. Barnes (drawn by L. Williams),,17-22,,
2:00.0,L. Williams makes free throw 1 of 2,1,18-22,,
2:00.0,,,18-22,,S. Livingston enters the game for K. Thompson
2:00.0,L. Williams makes free throw 2 of 2,1,19-22,,
1:51.0,,,19-22,,H. Barnes misses 2-pt shot from 3 ft (block by J. Randle)
1:48.0,Defensive rebound by J. Randle,,19-22,,
1:43.0,Turnover by J. Randle (lost ball; steal by A. Iguodala),,19-22,,
1:36.0,,,19-24,2,S. Livingston makes 2-pt shot from 2 ft
1:24.0,A. Brown misses 3-pt shot from 23 ft,,19-24,,
1:22.0,Offensive rebound by T. Black,,19-24,,
1:20.0,D. Russell misses 3-pt shot from 25 ft,,19-24,,
1:19.0,,,19-24,,Defensive rebound by H. Barnes
1:09.0,,,19-24,,A. Iguodala misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by T. Black,,19-24,,
0:59.0,T. Black makes 2-pt shot from 1 ft (assist by D. Russell),2,21-24,,
0:59.0,Shooting foul by S. Livingston (drawn by T. Black),,21-24,,
0:59.0,,,21-24,,F. Ezeli enters the game for D. Green
0:59.0,T. Black misses free throw 1 of 1,,21-24,,
0:59.0,,,21-24,,Defensive rebound by F. Ezeli
0:50.0,Personal foul by D. Russell (drawn by S. Curry),,21-24,,
0:37.0,,,21-24,,Turnover by S. Curry (lost ball)
0:22.0,T. Black misses 2-pt shot from 2 ft,,21-24,,
0:21.0,Offensive rebound by J. Randle,,21-24,,
0:03.0,J. Randle makes 2-pt shot from 8 ft,2,23-24,,
0:01.0,,,23-24,,S. Curry misses 3-pt shot from 61 ft
0:00.0,,,23-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by J. Clarkson (step out of bounds),,23-24,,
11:42.0,,,23-24,,S. Livingston misses 2-pt shot from 7 ft
11:41.0,,,23-24,,Offensive rebound by S. Livingston
11:27.0,,,23-24,,F. Ezeli misses 2-pt shot from 10 ft
11:25.0,Defensive rebound by T. Black,,23-24,,
11:04.0,J. Randle misses 2-pt shot from 15 ft,,23-24,,
11:03.0,Offensive rebound by T. Black,,23-24,,
10:59.0,T. Black makes 2-pt shot from 5 ft,2,25-24,,
10:35.0,,,25-24,,A. Iguodala misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by A. Brown,,25-24,,
10:27.0,D. Russell misses 2-pt shot from 18 ft,,25-24,,
10:25.0,,,25-24,,Defensive rebound by F. Ezeli
10:11.0,,,25-24,,Shooting foul by T. Black (drawn by F. Ezeli)
10:11.0,,,25-25,1,F. Ezeli makes free throw 1 of 2
10:11.0,,,25-26,1,F. Ezeli makes free throw 2 of 2
9:55.0,T. Black misses 2-pt shot from 18 ft,,25-26,,
9:55.0,,,25-26,,Defensive rebound by A. Iguodala
9:47.0,,,25-26,,A. Iguodala misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by J. Randle,,25-26,,
9:39.0,J. Randle misses 2-pt shot from 8 ft,,25-26,,
9:36.0,Offensive rebound by T. Black,,25-26,,
9:36.0,T. Black makes 2-pt shot at rim,2,27-26,,
9:18.0,,,27-26,,L. Barbosa misses 2-pt shot from 2 ft
9:17.0,,,27-26,,Offensive rebound by F. Ezeli
9:08.0,,,27-29,3,L. Barbosa makes 3-pt shot from 24 ft (assist by S. Livingston)
8:46.0,J. Clarkson makes 2-pt shot from 17 ft,2,29-29,,
8:36.0,,,29-29,,H. Barnes misses 3-pt shot from 24 ft
8:34.0,,,29-29,,Offensive rebound by A. Iguodala
8:25.0,,,29-29,,S. Livingston misses 2-pt shot from 11 ft
8:25.0,Defensive rebound by D. Russell,,29-29,,
8:13.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle),3,32-29,,
7:58.0,,,32-31,2,S. Livingston makes 2-pt shot from 1 ft (assist by H. Barnes)
7:45.0,D. Russell makes 2-pt shot from 2 ft (assist by J. Randle),2,34-31,,
7:32.0,,,34-31,,Shooting foul by J. Randle (drawn by L. Barbosa)
7:32.0,Official timeout,,34-31,,
7:32.0,,,34-31,,K. Thompson enters the game for A. Iguodala
7:32.0,,,34-31,,A. Bogut enters the game for F. Ezeli
7:32.0,,,34-32,1,L. Barbosa makes free throw 1 of 2
7:32.0,,,34-33,1,L. Barbosa makes free throw 2 of 2
