time,Miami,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. H. Whiteside (B. Udrih gains possession),,,,Jump ball: K. Faried vs. H. Whiteside (B. Udrih gains possession)
11:43.0,L. Deng misses 2-pt shot from 18 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Nelson
11:27.0,,,0-0,,D. Arthur misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by H. Whiteside,,0-0,,
11:09.0,B. Udrih makes 2-pt shot from 2 ft (assist by C. Bosh),2,2-0,,
10:51.0,,,2-0,,D. Gallinari misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by H. Whiteside,,2-0,,
10:42.0,G. Green misses 3-pt shot from 22 ft,,2-0,,
10:41.0,,,2-0,,Defensive rebound by D. Arthur
10:32.0,,,2-0,,Turnover by K. Faried (lost ball; steal by B. Udrih)
10:23.0,H. Whiteside misses 2-pt shot from 4 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by D. Gallinari
10:07.0,,,2-2,2,G. Harris makes 2-pt shot from 15 ft
9:48.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Green),2,4-2,,
9:32.0,,,4-2,,Turnover by K. Faried (offensive goaltending)
9:15.0,B. Udrih misses 2-pt shot from 18 ft,,4-2,,
9:14.0,,,4-2,,Defensive rebound by K. Faried
9:07.0,Def 3 sec tech foul by C. Bosh,,4-2,,
9:07.0,,,4-3,1,D. Gallinari makes technical free throw
8:57.0,,,4-3,,G. Harris misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by B. Udrih,,4-3,,
8:42.0,Turnover by C. Bosh (lost ball; steal by J. Nelson),,4-3,,
8:36.0,,,4-3,,D. Gallinari misses 2-pt shot at rim
8:35.0,Defensive rebound by L. Deng,,4-3,,
8:24.0,L. Deng misses 2-pt shot from 6 ft,,4-3,,
8:24.0,,,4-3,,Defensive rebound by D. Arthur
8:12.0,,,4-5,2,D. Arthur makes 2-pt shot from 21 ft (assist by D. Gallinari)
7:51.0,G. Green makes 2-pt shot from 16 ft (assist by C. Bosh),2,6-5,,
7:32.0,,,6-8,3,D. Gallinari makes 3-pt shot from 23 ft (assist by G. Harris)
7:07.0,C. Bosh makes 2-pt shot from 1 ft (assist by B. Udrih),2,8-8,,
6:48.0,,,8-10,2,D. Arthur makes 2-pt shot from 21 ft (assist by J. Nelson)
6:34.0,L. Deng misses 2-pt shot at rim,,8-10,,
6:33.0,Offensive rebound by Team,,8-10,,
6:33.0,J. Winslow enters the game for C. Bosh,,8-10,,
6:29.0,G. Green misses 2-pt shot from 18 ft,,8-10,,
