time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Hibbert (J. Clarkson gains possession),,,,Jump ball: R. Gobert vs. R. Hibbert (J. Clarkson gains possession)
11:43.0,K. Bryant misses 2-pt shot from 22 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by R. Gobert
11:28.0,,,0-0,,T. Lyles misses 3-pt shot from 22 ft
11:26.0,Defensive rebound by L. Nance,,0-0,,
11:16.0,L. Williams misses 2-pt shot from 9 ft,,0-0,,
11:15.0,Offensive rebound by R. Hibbert,,0-0,,
11:13.0,R. Hibbert misses 2-pt shot from 2 ft (block by R. Gobert),,0-0,,
11:11.0,,,0-0,,Defensive rebound by T. Lyles
10:59.0,,,0-0,,R. Neto misses 2-pt shot from 1 ft
10:58.0,,,0-0,,Offensive rebound by R. Gobert
10:58.0,,,0-0,,Shooting foul by R. Hibbert (drawn by R. Gobert)
10:58.0,,,0-1,1,R. Gobert makes free throw 1 of 2
10:58.0,,,0-2,1,R. Gobert makes free throw 2 of 2
10:47.0,J. Clarkson misses 2-pt shot from 1 ft,,0-2,,
10:46.0,Offensive rebound by J. Clarkson,,0-2,,
10:46.0,J. Clarkson makes 2-pt shot from 1 ft,2,2-2,,
10:24.0,,,2-4,2,G. Hayward makes 2-pt shot from 2 ft
10:09.0,J. Clarkson makes 2-pt shot from 20 ft,2,4-4,,
10:09.0,Shooting foul by R. Neto (drawn by J. Clarkson),,4-4,,
10:09.0,J. Clarkson misses free throw 1 of 1,,4-4,,
10:08.0,Offensive rebound by J. Clarkson,,4-4,,
9:58.0,Turnover by J. Clarkson (bad pass),,4-4,,
9:32.0,,,4-4,,G. Hayward misses 2-pt shot from 3 ft
9:31.0,Defensive rebound by R. Hibbert,,4-4,,
9:22.0,L. Williams makes 3-pt shot from 23 ft (assist by K. Bryant),3,7-4,,
9:05.0,,,7-4,,Turnover by R. Neto (step out of bounds)
9:05.0,J. Randle enters the game for L. Nance,,7-4,,
8:53.0,Turnover by R. Hibbert (bad pass),,7-4,,
8:37.0,,,7-7,3,T. Lyles makes 3-pt shot from 22 ft (assist by G. Hayward)
8:18.0,K. Bryant misses 2-pt shot from 23 ft,,7-7,,
8:16.0,,,7-7,,Defensive rebound by R. Gobert
7:56.0,,,7-9,2,T. Lyles makes 2-pt shot from 19 ft (assist by R. Hood)
