time,Minnesota,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession)
11:42.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by K. Towns,,0-0,,
11:29.0,G. Dieng makes 2-pt shot at rim (assist by K. Towns),2,2-0,,
11:15.0,,,2-0,,E. Ilyasova misses 2-pt shot from 21 ft
11:15.0,Defensive rebound by R. Rubio,,2-0,,
10:57.0,A. Wiggins makes 3-pt shot from 26 ft,3,5-0,,
10:31.0,,,5-2,2,M. Morris makes 2-pt shot from 16 ft
10:15.0,A. Wiggins misses 2-pt shot from 20 ft,,5-2,,
10:14.0,,,5-2,,Defensive rebound by A. Drummond
10:08.0,,,5-2,,Turnover by M. Morris (bad pass; steal by G. Dieng)
9:54.0,R. Rubio makes 2-pt shot at rim (assist by K. Towns),2,7-2,,
9:32.0,,,7-2,,E. Ilyasova misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by G. Dieng,,7-2,,
9:20.0,A. Wiggins misses 2-pt shot from 6 ft,,7-2,,
9:18.0,,,7-2,,Defensive rebound by A. Drummond
9:09.0,,,7-2,,M. Morris misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by G. Dieng,,7-2,,
8:59.0,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope),,7-2,,
8:56.0,,,7-2,,Shooting foul by R. Rubio (drawn by K. Caldwell-Pope)
8:56.0,,,7-2,,K. Caldwell-Pope misses free throw 1 of 2
8:56.0,,,7-2,,Offensive rebound by Team
8:56.0,,,7-3,1,K. Caldwell-Pope makes free throw 2 of 2
8:41.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,9-3,,
8:32.0,,,9-3,,Offensive foul by M. Morris
8:32.0,,,9-3,,Turnover by M. Morris (offensive foul)
8:18.0,K. Towns makes 2-pt shot from 12 ft,2,11-3,,
8:12.0,,,11-3,,Detroit full timeout
7:57.0,,,11-3,,R. Jackson misses 2-pt shot from 7 ft
7:57.0,,,11-3,,Offensive rebound by A. Drummond
7:53.0,,,11-5,2,A. Drummond makes 2-pt shot at rim
7:46.0,Turnover by R. Rubio (lost ball),,11-5,,
7:28.0,,,11-5,,R. Jackson misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by A. Wiggins,,11-5,,
7:16.0,K. Towns makes 2-pt shot at rim,2,13-5,,
7:01.0,,,13-5,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:01.0,,,13-5,,Offensive rebound by A. Drummond
7:01.0,Personal foul by G. Dieng (drawn by A. Drummond),,13-5,,
6:42.0,,,13-7,2,R. Jackson makes 2-pt shot from 14 ft
6:26.0,Shooting foul by R. Jackson (drawn by A. Wiggins),,13-7,,
6:26.0,A. Wiggins makes 2-pt shot from 5 ft,2,15-7,,
6:26.0,N. Bjelica enters the game for G. Dieng,,15-7,,
6:26.0,A. Wiggins makes free throw 1 of 1,1,16-7,,
6:05.0,,,16-7,,Turnover by M. Morris (bad pass; steal by R. Rubio)
5:56.0,N. Bjelica misses 2-pt shot from 6 ft,,16-7,,
5:56.0,,,16-7,,Defensive rebound by E. Ilyasova
5:33.0,,,16-7,,R. Jackson misses 3-pt shot from 26 ft
5:32.0,,,16-7,,Offensive rebound by A. Drummond
5:31.0,,,16-7,,A. Drummond misses 2-pt shot at rim
5:29.0,,,16-7,,Offensive rebound by A. Drummond
5:28.0,,,16-7,,A. Drummond misses 2-pt shot at rim
5:26.0,Defensive rebound by R. Rubio,,16-7,,
5:16.0,R. Rubio misses 2-pt shot from 2 ft,,16-7,,
5:15.0,Offensive rebound by N. Bjelica,,16-7,,
