time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: W. Cauley-Stein vs. Z. Pachulia (D. Nowitzki gains possession)
11:39.0,Turnover by W. Matthews (lost ball),,0-0,,
11:15.0,,,0-0,,D. Cousins misses 2-pt shot from 8 ft
11:15.0,Defensive rebound by W. Matthews,,0-0,,
11:05.0,Shooting foul by W. Cauley-Stein (drawn by C. Parsons),,0-0,,
11:05.0,C. Parsons makes free throw 1 of 2,1,1-0,,
11:05.0,C. Parsons misses free throw 2 of 2,,1-0,,
11:02.0,,,1-0,,Defensive rebound by Team
10:37.0,,,1-3,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Cousins)
10:23.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by D. Williams),2,3-3,,
10:13.0,,,3-3,,D. Cousins misses 2-pt shot from 7 ft
10:11.0,Defensive rebound by Z. Pachulia,,3-3,,
9:57.0,C. Parsons makes 2-pt shot from 10 ft (assist by D. Williams),2,5-3,,
9:34.0,,,5-3,,B. McLemore misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by Z. Pachulia,,5-3,,
9:22.0,D. Nowitzki makes 2-pt shot from 15 ft,2,7-3,,
9:04.0,,,7-6,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
8:48.0,Turnover by W. Matthews (bad pass),,7-6,,
8:36.0,,,7-6,,R. Rondo misses 2-pt shot from 5 ft
8:35.0,,,7-6,,Offensive rebound by W. Cauley-Stein
8:28.0,,,7-9,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Cousins)
8:20.0,C. Parsons misses 3-pt shot from 25 ft,,7-9,,
8:19.0,,,7-9,,Defensive rebound by R. Gay
8:12.0,,,7-11,2,B. McLemore makes 2-pt shot from 18 ft (assist by R. Gay)
7:51.0,D. Williams makes 3-pt shot from 25 ft,3,10-11,,
7:33.0,,,10-11,,R. Rondo misses 3-pt shot from 23 ft
7:33.0,Defensive rebound by Team,,10-11,,
7:33.0,,,10-11,,Loose ball foul by D. Cousins (drawn by Z. Pachulia)
7:19.0,Z. Pachulia makes 2-pt shot from 17 ft,2,12-11,,
7:12.0,Personal foul by Z. Pachulia (drawn by D. Cousins),,12-11,,
7:02.0,,,12-11,,R. Gay misses 2-pt shot from 12 ft
7:02.0,,,12-11,,Offensive rebound by W. Cauley-Stein
6:57.0,,,12-11,,D. Cousins misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by Z. Pachulia,,12-11,,
6:43.0,W. Matthews misses 3-pt shot from 23 ft,,12-11,,
6:42.0,,,12-11,,Defensive rebound by W. Cauley-Stein
6:36.0,,,12-11,,D. Cousins misses 3-pt shot from 24 ft
6:35.0,,,12-11,,Offensive rebound by R. Rondo
6:29.0,,,12-11,,B. McLemore misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by Z. Pachulia,,12-11,,
6:20.0,D. Williams misses 3-pt shot from 25 ft,,12-11,,
6:19.0,,,12-11,,Defensive rebound by B. McLemore
6:15.0,,,12-11,,B. McLemore misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by D. Nowitzki,,12-11,,
6:09.0,Shooting foul by W. Cauley-Stein (drawn by Z. Pachulia),,12-11,,
6:09.0,Z. Pachulia makes free throw 1 of 2,1,13-11,,
6:09.0,,,13-11,,K. Koufos enters the game for W. Cauley-Stein
6:09.0,R. Felton enters the game for C. Parsons,,13-11,,
6:09.0,D. Powell enters the game for D. Nowitzki,,13-11,,
6:09.0,Z. Pachulia makes free throw 2 of 2,1,14-11,,
5:58.0,,,14-11,,R. Gay misses 2-pt shot from 18 ft
5:57.0,Defensive rebound by W. Matthews,,14-11,,
5:45.0,Z. Pachulia misses 2-pt shot from 13 ft,,14-11,,
5:45.0,Offensive rebound by Team,,14-11,,
5:45.0,,,14-11,,Loose ball foul by K. Koufos (drawn by D. Powell)
5:45.0,,,14-11,,Sacramento full timeout
5:33.0,R. Felton misses 3-pt shot from 23 ft,,14-11,,
5:33.0,,,14-11,,Defensive rebound by D. Cousins
5:13.0,,,14-13,2,R. Gay makes 2-pt shot from 15 ft
5:01.0,D. Powell misses 3-pt shot from 24 ft,,14-13,,
5:00.0,,,14-13,,Defensive rebound by K. Koufos
4:58.0,,,14-13,,Turnover by R. Rondo (bad pass)
4:58.0,,,14-13,,M. Belinelli enters the game for B. McLemore
4:46.0,D. Williams makes 2-pt shot from 12 ft (assist by R. Felton),2,16-13,,
4:36.0,,,16-13,,Offensive foul by K. Koufos
4:36.0,,,16-13,,Turnover by K. Koufos (offensive foul)
4:36.0,,,16-13,,O. Casspi enters the game for K. Koufos
4:18.0,Turnover by D. Powell (bad pass),,16-13,,
4:06.0,,,16-15,2,R. Rondo makes 2-pt shot from 20 ft (assist by M. Belinelli)
3:47.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,19-15,,
3:37.0,,,19-15,,Turnover by R. Rondo (lost ball; steal by D. Williams)
3:25.0,R. Felton makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,21-15,,
3:07.0,,,21-17,2,D. Cousins makes 2-pt shot from 2 ft (assist by O. Casspi)
2:57.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,24-17,,
2:39.0,,,24-19,2,D. Cousins makes 2-pt shot from 2 ft
2:39.0,Dallas full timeout,,24-19,,
2:39.0,,,24-19,,D. Collison enters the game for R. Gay
2:39.0,,,24-19,,K. Koufos enters the game for D. Cousins
2:39.0,J. McGee enters the game for W. Matthews,,24-19,,
2:39.0,D. Nowitzki enters the game for D. Williams,,24-19,,
2:39.0,C. Parsons enters the game for D. Powell,,24-19,,
2:39.0,D. Harris enters the game for Z. Pachulia,,24-19,,
2:23.0,Offensive foul by J. McGee,,24-19,,
2:23.0,Turnover by J. McGee (offensive foul),,24-19,,
2:09.0,,,24-19,,Turnover by M. Belinelli (bad pass; steal by R. Felton)
2:04.0,Turnover by R. Felton (bad pass),,24-19,,
1:53.0,,,24-21,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo)
1:38.0,C. Parsons misses 3-pt shot from 24 ft,,24-21,,
1:37.0,Offensive rebound by J. McGee,,24-21,,
1:36.0,,,24-21,,Personal foul by D. Collison (drawn by C. Parsons)
1:36.0,C. Parsons misses free throw 1 of 2,,24-21,,
1:36.0,Offensive rebound by Team,,24-21,,
1:36.0,C. Parsons makes free throw 2 of 2,1,25-21,,
1:16.0,,,25-23,2,O. Casspi makes 2-pt shot from 4 ft
