time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. S. Mejri (S. Curry gains possession),,,,Jump ball: A. Bogut vs. S. Mejri (S. Curry gains possession)
11:47.0,,,0-3,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
11:34.0,Turnover by R. Felton (lost ball; steal by S. Curry),,0-3,,
11:26.0,,,0-3,,K. Thompson misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by J. Barea,,0-3,,
11:16.0,J. Barea makes 2-pt shot from 4 ft (assist by D. Lee),2,2-3,,
11:07.0,,,2-3,,K. Thompson misses 2-pt shot from 2 ft (block by S. Mejri)
11:05.0,,,2-3,,Offensive rebound by K. Thompson
11:03.0,,,2-3,,K. Thompson misses 2-pt shot from 8 ft
10:58.0,Defensive rebound by D. Lee,,2-3,,
10:45.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Lee),3,5-3,,
10:25.0,,,5-6,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
10:07.0,J. Barea misses 2-pt shot from 9 ft,,5-6,,
10:07.0,,,5-6,,Defensive rebound by A. Bogut
9:54.0,,,5-6,,D. Green misses 2-pt shot from 2 ft (block by S. Mejri)
9:53.0,,,5-6,,Offensive rebound by Team
9:48.0,,,5-8,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
9:34.0,R. Felton makes 2-pt shot from 20 ft (assist by D. Lee),2,7-8,,
9:25.0,,,7-8,,S. Curry misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by D. Lee,,7-8,,
9:06.0,R. Felton makes 2-pt shot at rim,2,9-8,,
8:53.0,,,9-10,2,H. Barnes makes 2-pt shot from 3 ft (assist by D. Green)
8:33.0,R. Felton makes 2-pt shot from 17 ft (assist by J. Barea),2,11-10,,
8:10.0,,,11-10,,S. Curry misses 2-pt shot from 6 ft
8:07.0,,,11-10,,Offensive rebound by A. Bogut
8:07.0,,,11-12,2,A. Bogut makes 2-pt shot from 1 ft
8:00.0,J. Barea misses 2-pt shot from 17 ft,,11-12,,
7:59.0,,,11-12,,Defensive rebound by S. Curry
7:54.0,,,11-15,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
7:53.0,Dallas full timeout,,11-15,,
7:37.0,D. Lee misses 2-pt shot from 15 ft,,11-15,,
7:36.0,,,11-15,,Defensive rebound by H. Barnes
7:22.0,,,11-17,2,H. Barnes makes 2-pt shot from 7 ft (assist by D. Green)
7:08.0,D. Lee makes 2-pt shot from 1 ft (assist by J. Barea),2,13-17,,
6:54.0,,,13-20,3,D. Green makes 3-pt shot from 26 ft (assist by H. Barnes)
6:38.0,J. Barea makes 3-pt shot from 25 ft,3,16-20,,
6:25.0,,,16-23,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
6:14.0,Shooting foul by H. Barnes (drawn by S. Mejri),,16-23,,
6:14.0,S. Mejri misses free throw 1 of 2,,16-23,,
6:14.0,Offensive rebound by Team,,16-23,,
6:14.0,J. Anderson enters the game for R. Felton,,16-23,,
6:14.0,S. Mejri makes free throw 2 of 2,1,17-23,,
5:53.0,,,17-26,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
5:39.0,S. Mejri misses 2-pt shot from 3 ft (block by A. Bogut),,17-26,,
5:37.0,Offensive rebound by J. Anderson,,17-26,,
5:37.0,J. Anderson misses 2-pt shot from 4 ft,,17-26,,
5:33.0,,,17-26,,Defensive rebound by H. Barnes
5:24.0,,,17-26,,Turnover by S. Curry (bad pass)
5:08.0,W. Matthews makes 2-pt shot from 19 ft (assist by D. Lee),2,19-26,,
5:00.0,,,19-26,,Offensive foul by A. Bogut
5:00.0,,,19-26,,Turnover by A. Bogut (offensive foul)
5:00.0,,,19-26,,L. Barbosa enters the game for K. Thompson
5:00.0,,,19-26,,A. Varejao enters the game for A. Bogut
5:00.0,D. Powell enters the game for S. Mejri,,19-26,,
4:48.0,J. Anderson misses 3-pt shot from 26 ft,,19-26,,
4:47.0,Offensive rebound by D. Lee,,19-26,,
4:33.0,D. Lee makes 2-pt shot from 4 ft (assist by D. Powell),2,21-26,,
4:23.0,,,21-26,,D. Green misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by D. Powell,,21-26,,
4:13.0,D. Powell misses 2-pt shot from 17 ft,,21-26,,
4:13.0,,,21-26,,Defensive rebound by A. Varejao
4:03.0,,,21-29,3,S. Curry makes 3-pt shot from 28 ft
3:52.0,J. Barea makes 3-pt shot from 25 ft,3,24-29,,
3:40.0,,,24-29,,S. Curry misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by D. Lee,,24-29,,
3:29.0,Turnover by J. Barea (lost ball; steal by S. Curry),,24-29,,
3:21.0,,,24-29,,L. Barbosa misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by W. Matthews,,24-29,,
3:12.0,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews),3,27-29,,
3:05.0,,,27-29,,Golden State full timeout
3:05.0,R. Felton enters the game for J. Barea,,27-29,,
3:05.0,,,27-29,,S. Livingston enters the game for H. Barnes
2:50.0,,,27-29,,D. Green misses 3-pt shot from 27 ft
2:48.0,Defensive rebound by R. Felton,,27-29,,
2:33.0,W. Matthews misses 3-pt shot from 25 ft,,27-29,,
2:31.0,,,27-29,,Defensive rebound by S. Curry
2:24.0,,,27-29,,Shooting foul by D. Lee (drawn by S. Curry)
2:24.0,,,27-30,1,S. Curry makes free throw 1 of 2
2:24.0,C. Villanueva enters the game for W. Matthews,,27-30,,
2:24.0,,,27-31,1,S. Curry makes free throw 2 of 2
2:09.0,C. Villanueva misses 2-pt shot from 5 ft (block by S. Livingston),,27-31,,
2:07.0,,,27-31,,Defensive rebound by D. Green
2:01.0,,,27-33,2,D. Green makes 2-pt shot at rim (assist by S. Livingston)
1:48.0,Turnover by D. Lee (lost ball; steal by D. Green),,27-33,,
1:42.0,Personal foul by D. Powell,,27-33,,
1:42.0,Z. Pachulia enters the game for D. Lee,,27-33,,
1:34.0,,,27-33,,S. Curry misses 2-pt shot from 2 ft
1:33.0,Defensive rebound by Z. Pachulia,,27-33,,
1:29.0,Shooting foul by D. Green (drawn by D. Powell),,27-33,,
1:29.0,D. Powell misses free throw 1 of 2,,27-33,,
1:29.0,Offensive rebound by Team,,27-33,,
1:29.0,D. Powell makes free throw 2 of 2,1,28-33,,
1:09.0,,,28-35,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
0:59.0,R. Felton makes 3-pt shot from 26 ft,3,31-35,,
0:46.0,,,31-38,3,S. Curry makes 3-pt shot from 25 ft
0:35.0,D. Powell makes 2-pt shot from 18 ft (assist by R. Felton),2,33-38,,
0:33.0,Personal foul by R. Felton,,33-38,,
0:33.0,,,33-39,1,S. Curry makes free throw 1 of 2
0:33.0,,,33-40,1,S. Curry makes free throw 2 of 2
0:15.0,D. Powell misses 2-pt shot from 9 ft (block by A. Varejao),,33-40,,
0:13.0,Offensive rebound by D. Powell,,33-40,,
0:12.0,D. Powell misses 2-pt shot from 4 ft,,33-40,,
0:10.0,,,33-40,,Defensive rebound by D. Green
0:07.0,,,33-40,,Turnover by D. Green (bad pass)
0:02.0,R. Felton misses 3-pt shot from 30 ft,,33-40,,
0:00.0,Offensive rebound by Team,,33-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Shooting foul by H. Barnes (drawn by Z. Pachulia),,33-40,,
11:40.0,Z. Pachulia makes free throw 1 of 2,1,34-40,,
11:40.0,Z. Pachulia makes free throw 2 of 2,1,35-40,,
11:22.0,,,35-40,,Turnover by S. Livingston (bad pass)
11:11.0,D. Powell misses 2-pt shot from 4 ft (block by M. Speights),,35-40,,
11:09.0,Offensive rebound by Team,,35-40,,
11:01.0,R. Felton makes 2-pt shot from 19 ft,2,37-40,,
10:46.0,,,37-40,,M. Speights misses 2-pt shot from 12 ft
10:45.0,Defensive rebound by D. Powell,,37-40,,
10:41.0,,,37-40,,Personal foul by L. Barbosa
10:28.0,C. Villanueva misses 2-pt shot from 2 ft,,37-40,,
10:27.0,,,37-40,,Defensive rebound by M. Speights
10:14.0,,,37-43,3,M. Speights makes 3-pt shot from 25 ft (assist by B. Rush)
10:00.0,R. Felton misses 2-pt shot from 3 ft,,37-43,,
10:00.0,Offensive rebound by Z. Pachulia,,37-43,,
9:58.0,Z. Pachulia misses 2-pt shot from 2 ft,,37-43,,
9:56.0,Offensive rebound by R. Felton,,37-43,,
9:51.0,J. Anderson misses 2-pt shot from 17 ft,,37-43,,
9:50.0,,,37-43,,Defensive rebound by M. Speights
9:35.0,,,37-43,,H. Barnes misses 2-pt shot from 10 ft
9:33.0,Defensive rebound by D. Powell,,37-43,,
9:14.0,J. Anderson misses 2-pt shot from 18 ft,,37-43,,
9:14.0,,,37-43,,Defensive rebound by S. Livingston
9:09.0,,,37-45,2,S. Livingston makes 2-pt shot from 15 ft
9:01.0,Dallas full timeout,,37-45,,
9:01.0,,,37-45,,K. Thompson enters the game for L. Barbosa
8:45.0,J. Anderson makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,40-45,,
8:26.0,,,40-47,2,K. Thompson makes 2-pt shot from 3 ft
8:05.0,C. Villanueva misses 2-pt shot from 5 ft,,40-47,,
8:04.0,Offensive rebound by Z. Pachulia,,40-47,,
8:04.0,Z. Pachulia makes 2-pt shot from 1 ft,2,42-47,,
7:46.0,,,42-47,,H. Barnes misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by Z. Pachulia,,42-47,,
7:25.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by J. Anderson),2,44-47,,
7:09.0,,,44-47,,M. Speights misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by J. Anderson,,44-47,,
6:57.0,Offensive charge foul by D. Powell,,44-47,,
6:57.0,Turnover by D. Powell (offensive foul),,44-47,,
6:57.0,D. Lee enters the game for D. Powell,,44-47,,
6:57.0,J. Barea enters the game for J. Anderson,,44-47,,
6:57.0,W. Matthews enters the game for R. Felton,,44-47,,
6:47.0,,,44-47,,S. Livingston misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by Z. Pachulia,,44-47,,
6:31.0,W. Matthews misses 3-pt shot from 23 ft,,44-47,,
6:31.0,,,44-47,,Defensive rebound by Team
6:19.0,,,44-49,2,S. Livingston makes 2-pt shot from 10 ft
6:08.0,Z. Pachulia misses 2-pt shot from 16 ft,,44-49,,
6:08.0,Offensive rebound by J. Barea,,44-49,,
6:00.0,Turnover by Z. Pachulia (lost ball; steal by M. Speights),,44-49,,
5:55.0,Personal foul by J. Barea,,44-49,,
5:55.0,Official timeout,,44-49,,
5:55.0,R. Felton enters the game for Z. Pachulia,,44-49,,
5:55.0,,,44-49,,S. Curry enters the game for H. Barnes
5:55.0,,,44-49,,D. Green enters the game for S. Livingston
5:55.0,,,44-50,1,M. Speights makes free throw 1 of 2
5:55.0,,,44-51,1,M. Speights makes free throw 2 of 2
5:35.0,J. Barea makes 2-pt shot from 8 ft (assist by D. Lee),2,46-51,,
5:21.0,,,46-51,,K. Thompson misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by J. Barea,,46-51,,
5:13.0,R. Felton misses 2-pt shot from 2 ft,,46-51,,
5:12.0,,,46-51,,Defensive rebound by B. Rush
5:04.0,,,46-51,,Shooting foul by W. Matthews (drawn by K. Thompson)
5:04.0,,,46-52,1,K. Thompson makes free throw 1 of 2
5:04.0,,,46-52,,A. Bogut enters the game for M. Speights
5:04.0,J. Anderson enters the game for R. Felton,,46-52,,
5:04.0,,,46-53,1,K. Thompson makes free throw 2 of 2
4:54.0,C. Villanueva misses 3-pt shot from 25 ft,,46-53,,
4:54.0,,,46-53,,Defensive rebound by B. Rush
4:47.0,,,46-55,2,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry)
4:46.0,Dallas full timeout,,46-55,,
4:46.0,S. Mejri enters the game for J. Anderson,,46-55,,
4:46.0,R. Felton enters the game for C. Villanueva,,46-55,,
4:35.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Lee),3,49-55,,
4:18.0,,,49-55,,Turnover by S. Curry (lost ball; steal by S. Mejri)
4:10.0,J. Barea misses 3-pt shot from 24 ft,,49-55,,
4:10.0,,,49-55,,Defensive rebound by S. Curry
4:04.0,,,49-57,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
3:51.0,D. Lee misses 2-pt shot from 4 ft (block by B. Rush),,49-57,,
3:49.0,,,49-57,,Defensive rebound by K. Thompson
3:44.0,,,49-60,3,K. Thompson makes 3-pt shot from 27 ft
3:32.0,Turnover by J. Barea (lost ball; steal by D. Green),,49-60,,
3:24.0,,,49-60,,K. Thompson misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by D. Lee,,49-60,,
3:03.0,D. Lee makes 2-pt shot from 6 ft (assist by R. Felton),2,51-60,,
2:44.0,,,51-62,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
2:36.0,J. Barea misses 2-pt shot from 1 ft,,51-62,,
2:35.0,,,51-62,,Defensive rebound by D. Green
2:27.0,,,51-62,,Golden State full timeout
2:27.0,,,51-62,,I. Clark enters the game for B. Rush
2:24.0,Personal foul by S. Mejri,,51-62,,
2:20.0,,,51-62,,Turnover by K. Thompson (lost ball; steal by D. Lee)
2:07.0,Shooting foul by A. Bogut (drawn by R. Felton),,51-62,,
2:07.0,R. Felton makes free throw 1 of 2,1,52-62,,
2:07.0,R. Felton makes free throw 2 of 2,1,53-62,,
1:47.0,,,53-62,,I. Clark misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by D. Lee,,53-62,,
1:35.0,Turnover by S. Mejri (traveling),,53-62,,
1:22.0,,,53-65,3,I. Clark makes 3-pt shot from 24 ft (assist by D. Green)
1:12.0,,,53-65,,Personal foul by K. Thompson
1:03.0,,,53-65,,Personal foul by I. Clark
1:03.0,D. Lee makes free throw 1 of 2,1,54-65,,
1:03.0,D. Lee makes free throw 2 of 2,1,55-65,,
0:57.0,,,55-65,,Shooting foul by W. Matthews (drawn by S. Curry)
0:57.0,,,55-66,1,S. Curry makes free throw 1 of 3
0:57.0,,,55-66,,S. Curry misses free throw 2 of 3
0:57.0,,,55-66,,Offensive rebound by Team
0:57.0,,,55-66,,J. McAdoo enters the game for A. Bogut
0:57.0,,,55-67,1,S. Curry makes free throw 3 of 3
0:36.0,J. Barea misses 2-pt shot from 8 ft,,55-67,,
0:36.0,Offensive rebound by D. Lee,,55-67,,
0:36.0,D. Lee makes 2-pt shot from 2 ft,2,57-67,,
0:36.0,Shooting foul by J. McAdoo (drawn by D. Lee),,57-67,,
0:36.0,D. Lee makes free throw 1 of 1,1,58-67,,
0:28.0,,,58-69,2,S. Curry makes 2-pt shot from 22 ft
0:09.0,J. Barea misses 2-pt shot from 10 ft,,58-69,,
0:08.0,,,58-69,,Defensive rebound by S. Curry
0:03.0,,,58-72,3,S. Curry makes 3-pt shot from 33 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,W. Matthews makes 2-pt shot from 19 ft (assist by J. Barea),2,60-72,,
11:32.0,,,60-72,,K. Thompson misses 3-pt shot from 26 ft
11:31.0,Defensive rebound by D. Lee,,60-72,,
11:16.0,R. Felton misses 3-pt shot from 24 ft,,60-72,,
11:16.0,,,60-72,,Defensive rebound by H. Barnes
11:07.0,Personal foul by D. Lee,,60-72,,
11:00.0,,,60-75,3,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut)
10:33.0,R. Felton misses 2-pt shot from 8 ft,,60-75,,
10:32.0,,,60-75,,Defensive rebound by D. Green
10:26.0,,,60-75,,S. Curry misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by W. Matthews,,60-75,,
10:13.0,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews),3,63-75,,
9:51.0,,,63-75,,Shooting foul by D. Lee (drawn by K. Thompson)
9:51.0,,,63-76,1,K. Thompson makes free throw 1 of 2
9:51.0,,,63-77,1,K. Thompson makes free throw 2 of 2
9:41.0,Shooting foul by A. Bogut (drawn by D. Lee),,63-77,,
9:41.0,D. Lee makes free throw 1 of 2,1,64-77,,
9:41.0,D. Lee misses free throw 2 of 2,,64-77,,
9:41.0,,,64-77,,Defensive rebound by D. Green
9:29.0,,,64-79,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
9:13.0,Shooting foul by A. Bogut (drawn by D. Lee),,64-79,,
9:13.0,D. Lee misses free throw 1 of 2,,64-79,,
9:13.0,Offensive rebound by Team,,64-79,,
9:13.0,,,64-79,,B. Rush enters the game for A. Bogut
9:13.0,D. Lee misses free throw 2 of 2,,64-79,,
9:10.0,Offensive rebound by S. Mejri,,64-79,,
8:56.0,Shooting foul by H. Barnes (drawn by W. Matthews),,64-79,,
8:56.0,W. Matthews makes free throw 1 of 2,1,65-79,,
8:56.0,W. Matthews makes free throw 2 of 2,1,66-79,,
8:35.0,,,66-79,,K. Thompson misses 2-pt shot from 1 ft (block by R. Felton)
8:34.0,,,66-79,,Offensive rebound by B. Rush
8:33.0,,,66-79,,B. Rush misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by S. Mejri,,66-79,,
8:14.0,W. Matthews misses 3-pt shot from 25 ft,,66-79,,
8:12.0,Offensive rebound by S. Mejri,,66-79,,
8:02.0,Turnover by D. Lee (lost ball; steal by K. Thompson),,66-79,,
7:55.0,,,66-81,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
7:55.0,Dallas full timeout,,66-81,,
7:48.0,Offensive foul by S. Mejri,,66-81,,
7:48.0,Turnover by S. Mejri (offensive foul),,66-81,,
7:48.0,D. Powell enters the game for S. Mejri,,66-81,,
7:30.0,,,66-81,,D. Green misses 2-pt shot from 6 ft
7:28.0,,,66-81,,Offensive rebound by H. Barnes
7:22.0,,,66-84,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
6:59.0,W. Matthews makes 3-pt shot from 28 ft (assist by D. Powell),3,69-84,,
6:46.0,,,69-84,,S. Curry misses 3-pt shot from 28 ft
6:44.0,Defensive rebound by D. Powell,,69-84,,
6:37.0,D. Lee misses 2-pt shot from 4 ft (block by D. Green),,69-84,,
6:36.0,,,69-84,,Defensive rebound by H. Barnes
6:30.0,,,69-86,2,K. Thompson makes 2-pt shot from 7 ft (assist by S. Curry)
6:13.0,W. Matthews makes 3-pt shot from 27 ft (assist by R. Felton),3,72-86,,
5:48.0,,,72-86,,K. Thompson misses 2-pt shot from 8 ft
5:47.0,Defensive rebound by D. Lee,,72-86,,
5:33.0,D. Lee misses 2-pt shot from 3 ft,,72-86,,
5:33.0,,,72-86,,Defensive rebound by S. Curry
5:30.0,Personal foul by W. Matthews,,72-86,,
5:30.0,Z. Pachulia enters the game for D. Lee,,72-86,,
5:30.0,J. Anderson enters the game for R. Felton,,72-86,,
