time,Utah,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. N. Vucevic (T. Lyles gains possession),,,,Jump ball: D. Favors vs. N. Vucevic (T. Lyles gains possession)
11:35.0,Turnover by D. Favors (lost ball; steal by N. Vucevic),,0-0,,
11:26.0,,,0-0,,Turnover by N. Vucevic (3 sec)
11:20.0,,,0-0,,Personal foul by E. Payton (drawn by R. Neto)
11:07.0,G. Hayward misses 2-pt shot from 2 ft (block by N. Vucevic),,0-0,,
11:04.0,,,0-0,,Defensive rebound by C. Frye
10:54.0,,,0-0,,C. Frye misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by T. Lyles,,0-0,,
10:40.0,D. Favors misses 2-pt shot from 9 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by N. Vucevic
10:32.0,,,0-2,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
10:11.0,A. Burks misses 2-pt shot from 19 ft,,0-2,,
10:10.0,,,0-2,,Defensive rebound by C. Frye
10:02.0,,,0-2,,Shooting foul by D. Favors (drawn by E. Fournier)
10:02.0,,,0-3,1,E. Fournier makes free throw 1 of 2
10:02.0,,,0-4,1,E. Fournier makes free throw 2 of 2
9:48.0,Turnover by A. Burks (back court),,0-4,,
9:34.0,,,0-4,,Turnover by E. Payton (step out of bounds)
9:13.0,D. Favors misses 2-pt shot from 17 ft,,0-4,,
9:11.0,,,0-4,,Defensive rebound by E. Fournier
9:04.0,Violation by T. Lyles (kicked ball),,0-4,,
8:55.0,,,0-6,2,E. Fournier makes 2-pt shot from 18 ft
8:28.0,Turnover by G. Hayward (lost ball; steal by E. Fournier),,0-6,,
8:22.0,,,0-6,,Turnover by E. Payton (bad pass; steal by D. Favors)
8:17.0,G. Hayward makes 2-pt shot from 13 ft,2,2-6,,
8:05.0,Personal foul by D. Favors (drawn by N. Vucevic),,2-6,,
8:05.0,T. Pleiss enters the game for D. Favors,,2-6,,
7:54.0,,,2-6,,N. Vucevic misses 2-pt shot from 1 ft (block by T. Pleiss)
7:51.0,Defensive rebound by G. Hayward,,2-6,,
7:48.0,R. Neto misses 2-pt shot from 2 ft,,2-6,,
7:48.0,,,2-6,,Defensive rebound by Team
7:34.0,,,2-6,,E. Fournier misses 2-pt shot from 8 ft
7:33.0,,,2-6,,Offensive rebound by N. Vucevic
7:33.0,,,2-8,2,N. Vucevic makes 2-pt shot from 1 ft
7:14.0,T. Lyles misses 2-pt shot from 1 ft,,2-8,,
7:13.0,,,2-8,,Defensive rebound by T. Harris
7:05.0,,,2-8,,E. Fournier misses 3-pt shot from 26 ft
7:02.0,,,2-8,,Offensive rebound by C. Frye
6:49.0,,,2-8,,E. Payton misses 2-pt shot from 7 ft
6:47.0,Defensive rebound by T. Lyles,,2-8,,
6:40.0,T. Lyles misses 3-pt shot from 25 ft,,2-8,,
6:39.0,,,2-8,,Defensive rebound by T. Harris
6:29.0,,,2-11,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
6:28.0,Utah full timeout,,2-11,,
6:28.0,J. Ingles enters the game for T. Lyles,,2-11,,
6:28.0,T. Booker enters the game for A. Burks,,2-11,,
6:09.0,G. Hayward misses 3-pt shot from 25 ft,,2-11,,
6:07.0,,,2-11,,Defensive rebound by C. Frye
5:51.0,,,2-14,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
5:28.0,Turnover by R. Neto (bad pass),,2-14,,
5:28.0,T. Burke enters the game for R. Neto,,2-14,,
5:09.0,,,2-16,2,E. Fournier makes 2-pt shot from 2 ft
4:51.0,G. Hayward makes 2-pt shot from 12 ft,2,4-16,,
4:51.0,Shooting foul by E. Fournier (drawn by G. Hayward),,4-16,,
4:51.0,E. Millsap enters the game for J. Ingles,,4-16,,
4:51.0,G. Hayward makes free throw 1 of 1,1,5-16,,
4:26.0,,,5-19,3,E. Payton makes 3-pt shot from 25 ft (assist by T. Harris)
4:05.0,Turnover by T. Pleiss (3 sec),,5-19,,
3:55.0,,,5-19,,E. Payton misses 2-pt shot from 2 ft
3:52.0,,,5-19,,Offensive rebound by N. Vucevic
3:52.0,,,5-21,2,N. Vucevic makes 2-pt shot from 1 ft
3:41.0,T. Pleiss makes 2-pt shot at rim (assist by E. Millsap),2,7-21,,
3:32.0,,,7-23,2,N. Vucevic makes 2-pt shot from 17 ft (assist by T. Harris)
3:16.0,Turnover by G. Hayward (bad pass; steal by E. Payton),,7-23,,
3:10.0,,,7-23,,Shooting foul by T. Pleiss (drawn by E. Payton)
3:10.0,,,7-24,1,E. Payton makes free throw 1 of 2
3:10.0,A. Burks enters the game for G. Hayward,,7-24,,
3:10.0,,,7-24,,M. Hezonja enters the game for E. Fournier
3:10.0,,,7-25,1,E. Payton makes free throw 2 of 2
2:57.0,T. Booker makes 2-pt shot from 9 ft (assist by E. Millsap),2,9-25,,
2:34.0,,,9-25,,T. Harris misses 2-pt shot at rim
2:33.0,,,9-25,,Offensive rebound by T. Harris
2:29.0,,,9-25,,Shooting foul by T. Pleiss (drawn by T. Harris)
2:29.0,,,9-25,,Orlando full timeout
2:29.0,,,9-25,,S. Napier enters the game for C. Frye
2:29.0,,,9-25,,A. Gordon enters the game for E. Payton
2:29.0,J. Withey enters the game for T. Pleiss,,9-25,,
2:29.0,,,9-26,1,T. Harris makes free throw 1 of 2
2:29.0,,,9-27,1,T. Harris makes free throw 2 of 2
2:20.0,Shooting foul by M. Hezonja (drawn by A. Burks),,9-27,,
2:20.0,A. Burks makes free throw 1 of 2,1,10-27,,
2:20.0,A. Burks makes free throw 2 of 2,1,11-27,,
1:56.0,,,11-30,3,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:46.0,T. Booker misses 2-pt shot from 6 ft (block by A. Gordon),,11-30,,
1:43.0,Offensive rebound by T. Booker,,11-30,,
1:42.0,T. Booker makes 2-pt shot from 1 ft,2,13-30,,
1:30.0,,,13-32,2,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic)
1:30.0,,,13-32,,Shooting foul by A. Burks (drawn by M. Hezonja)
1:30.0,J. Ingles enters the game for E. Millsap,,13-32,,
1:30.0,,,13-32,,D. Dedmon enters the game for N. Vucevic
1:30.0,,,13-33,1,M. Hezonja makes free throw 1 of 1
1:17.0,T. Burke makes 2-pt shot from 14 ft,2,15-33,,
0:59.0,,,15-33,,Turnover by S. Napier (bad pass; steal by T. Booker)
0:54.0,Turnover by T. Burke (turnover),,15-33,,
0:37.0,,,15-33,,Turnover by M. Hezonja (lost ball; steal by A. Burks)
0:37.0,Jump ball: D. Dedmon vs. J. Withey (J. Ingles gains possession),,,,Jump ball: D. Dedmon vs. J. Withey (J. Ingles gains possession)
0:18.0,Turnover by T. Booker (bad pass; steal by S. Napier),,15-33,,
0:01.0,,,15-33,,A. Gordon misses 2-pt shot from 6 ft
0:01.0,,,15-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,15-33,,S. Napier misses 2-pt shot from 10 ft
11:38.0,,,15-33,,Offensive rebound by Team
11:38.0,Loose ball foul by J. Withey (drawn by D. Dedmon),,15-33,,
11:30.0,,,15-33,,Turnover by M. Hezonja (lost ball; steal by J. Ingles)
11:28.0,Turnover by T. Booker (bad pass; steal by M. Hezonja),,15-33,,
11:24.0,,,15-35,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier)
11:24.0,,,15-35,,Shooting foul by A. Burks (drawn by A. Gordon)
11:24.0,C. Johnson enters the game for A. Burks,,15-35,,
11:24.0,,,15-36,1,A. Gordon makes free throw 1 of 1
11:06.0,Turnover by J. Ingles (bad pass; steal by S. Napier),,15-36,,
11:03.0,,,15-36,,Shooting foul by C. Johnson (drawn by A. Gordon)
11:03.0,,,15-37,1,A. Gordon makes free throw 1 of 2
11:03.0,,,15-37,,A. Gordon misses free throw 2 of 2
11:02.0,Defensive rebound by T. Booker,,15-37,,
10:49.0,T. Burke makes 2-pt shot from 8 ft,2,17-37,,
10:34.0,,,17-37,,M. Hezonja misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by T. Booker,,17-37,,
10:24.0,T. Burke makes 2-pt shot from 16 ft,2,19-37,,
10:06.0,Violation by J. Withey (def goaltending),,19-37,,
10:06.0,,,19-39,2,E. Fournier makes 2-pt shot from 2 ft
9:52.0,C. Johnson misses 2-pt shot from 2 ft (block by A. Gordon),,19-39,,
9:50.0,,,19-39,,Defensive rebound by Team
9:50.0,Jump ball: A. Gordon vs. C. Johnson (E. Fournier gains possession),,,,Jump ball: A. Gordon vs. C. Johnson (E. Fournier gains possession)
9:50.0,G. Hayward enters the game for J. Ingles,,19-39,,
9:40.0,,,19-39,,Turnover by M. Hezonja (lost ball; steal by T. Booker)
9:35.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,21-39,,
9:21.0,,,21-39,,Turnover by D. Dedmon (turnover)
9:13.0,T. Burke misses 2-pt shot from 2 ft (block by D. Dedmon),,21-39,,
9:13.0,Offensive rebound by Team,,21-39,,
9:13.0,,,21-39,,Personal foul by A. Gordon (drawn by J. Withey)
9:13.0,,,21-39,,T. Harris enters the game for M. Hezonja
9:02.0,C. Johnson misses 2-pt shot from 8 ft (block by T. Harris),,21-39,,
8:59.0,,,21-39,,Defensive rebound by D. Dedmon
8:51.0,,,21-39,,T. Harris misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by J. Withey,,21-39,,
