time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. McGee,,,,Jump ball: S. Adams vs. J. McGee
12:00.0,Violation by Team (jump ball),,0-0,,
11:48.0,,,0-2,2,S. Ibaka makes 2-pt shot from 15 ft
11:36.0,C. Villanueva makes 2-pt shot from 1 ft (assist by J. Barea),2,2-2,,
11:17.0,,,2-2,,Shooting foul by J. Evans (drawn by R. Westbrook)
11:17.0,,,2-2,,R. Westbrook misses free throw 1 of 2
11:17.0,,,2-2,,Offensive rebound by Team
11:17.0,,,2-2,,R. Westbrook misses free throw 2 of 2
11:16.0,Defensive rebound by J. Evans,,2-2,,
11:00.0,J. Evans misses 3-pt shot from 23 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by R. Westbrook
10:54.0,,,2-2,,R. Westbrook misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by J. Barea,,2-2,,
10:37.0,J. Barea misses 2-pt shot from 2 ft,,2-2,,
10:36.0,,,2-2,,Defensive rebound by R. Westbrook
10:21.0,,,2-4,2,K. Durant makes 2-pt shot from 1 ft
10:04.0,C. Villanueva misses 3-pt shot from 25 ft,,2-4,,
10:03.0,,,2-4,,Defensive rebound by R. Westbrook
9:53.0,,,2-4,,S. Ibaka misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by J. McGee,,2-4,,
9:43.0,J. McGee makes 2-pt shot from 16 ft (assist by J. Barea),2,4-4,,
9:19.0,,,4-4,,K. Durant misses 3-pt shot from 24 ft
9:18.0,,,4-4,,Offensive rebound by S. Ibaka
9:17.0,,,4-4,,Turnover by S. Ibaka (lost ball)
9:08.0,R. Felton makes 3-pt shot from 24 ft (assist by J. Barea),3,7-4,,
8:53.0,,,7-7,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:40.0,Turnover by J. Evans (bad pass; steal by R. Westbrook),,7-7,,
8:35.0,,,7-9,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:23.0,J. McGee misses 2-pt shot from 14 ft,,7-9,,
8:22.0,,,7-9,,Defensive rebound by S. Ibaka
8:04.0,,,7-9,,S. Adams misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by Team,,7-9,,
7:43.0,R. Felton misses 3-pt shot from 24 ft,,7-9,,
7:43.0,,,7-9,,Defensive rebound by S. Ibaka
7:35.0,,,7-11,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:20.0,Turnover by J. Barea (bad pass; steal by S. Adams),,7-11,,
7:16.0,,,7-13,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:15.0,Dallas full timeout,,7-13,,
7:15.0,J. Anderson enters the game for J. Evans,,7-13,,
7:15.0,D. Harris enters the game for J. Barea,,7-13,,
7:00.0,C. Villanueva misses 3-pt shot from 24 ft,,7-13,,
7:00.0,,,7-13,,Defensive rebound by R. Westbrook
6:48.0,,,7-13,,Turnover by R. Westbrook (traveling)
6:38.0,Turnover by R. Felton (bad pass; steal by A. Roberson),,7-13,,
6:33.0,,,7-13,,R. Westbrook misses 2-pt shot at rim
6:32.0,,,7-13,,Offensive rebound by S. Ibaka
6:29.0,,,7-15,2,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook)
6:08.0,J. Anderson misses 3-pt shot from 25 ft,,7-15,,
6:08.0,,,7-15,,Defensive rebound by S. Adams
5:55.0,,,7-15,,S. Adams misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by J. McGee,,7-15,,
5:46.0,D. Harris misses 2-pt shot from 1 ft,,7-15,,
5:44.0,Offensive rebound by J. McGee,,7-15,,
5:44.0,J. McGee makes 2-pt shot from 1 ft,2,9-15,,
5:21.0,,,9-15,,Shooting foul by J. McGee (drawn by A. Roberson)
