time,Orlando,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vucevic (D. Nowitzki gains possession),,,,Jump ball: Z. Pachulia vs. N. Vucevic (D. Nowitzki gains possession)
11:35.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by M. Hezonja,,0-0,,
11:10.0,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon),2,2-0,,
10:54.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by Z. Pachulia)
10:36.0,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon),2,4-2,,
10:25.0,,,4-4,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki)
10:15.0,N. Vucevic misses 2-pt shot from 20 ft,,4-4,,
10:14.0,,,4-4,,Defensive rebound by Z. Pachulia
9:59.0,,,4-6,2,Z. Pachulia makes 2-pt shot from 7 ft (assist by C. Parsons)
9:42.0,N. Vucevic misses 2-pt shot from 1 ft,,4-6,,
9:41.0,Offensive rebound by N. Vucevic,,4-6,,
9:41.0,N. Vucevic misses 2-pt shot from 1 ft,,4-6,,
9:40.0,,,4-6,,Defensive rebound by Z. Pachulia
9:34.0,Personal foul by V. Oladipo (drawn by W. Matthews),,4-6,,
9:25.0,,,4-6,,W. Matthews misses 3-pt shot from 22 ft
9:24.0,,,4-6,,Offensive rebound by W. Matthews
9:24.0,Personal foul by M. Hezonja (drawn by W. Matthews),,4-6,,
9:15.0,,,4-6,,Turnover by Z. Pachulia (bad pass; steal by E. Payton)
9:15.0,,,4-6,,Personal take foul by D. Williams (drawn by E. Payton)
9:06.0,V. Oladipo misses 2-pt shot from 3 ft,,4-6,,
9:05.0,Offensive rebound by A. Gordon,,4-6,,
9:02.0,Turnover by A. Gordon (lost ball; steal by W. Matthews),,4-6,,
8:51.0,,,4-6,,Z. Pachulia misses 2-pt shot from 5 ft (block by N. Vucevic)
8:48.0,Defensive rebound by N. Vucevic,,4-6,,
8:47.0,M. Hezonja makes 2-pt shot at rim (assist by V. Oladipo),2,6-6,,
8:34.0,,,6-6,,D. Williams misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by N. Vucevic,,6-6,,
8:27.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,8-6,,
8:05.0,Personal foul by N. Vucevic (drawn by Z. Pachulia),,8-6,,
7:58.0,,,8-8,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:47.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,10-8,,
7:34.0,,,10-8,,Turnover by D. Williams (lost ball; steal by E. Payton)
7:29.0,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Hezonja),2,12-8,,
7:29.0,,,12-8,,Dallas full timeout
7:13.0,,,12-8,,W. Matthews misses 2-pt shot from 5 ft
7:12.0,Defensive rebound by N. Vucevic,,12-8,,
7:07.0,A. Gordon makes 2-pt shot from 5 ft,2,14-8,,
6:55.0,,,14-8,,Offensive foul by Z. Pachulia
6:55.0,,,14-8,,Turnover by Z. Pachulia (offensive foul)
6:55.0,,,14-8,,R. Felton enters the game for D. Nowitzki
6:44.0,V. Oladipo makes 2-pt shot from 1 ft,2,16-8,,
6:32.0,Def 3 sec tech foul by N. Vucevic,,16-8,,
6:32.0,,,16-9,1,D. Williams makes technical free throw
6:26.0,,,16-9,,C. Parsons misses 2-pt shot from 16 ft
6:26.0,Defensive rebound by N. Vucevic,,16-9,,
6:16.0,E. Payton makes 2-pt shot at rim (assist by A. Gordon),2,18-9,,
6:06.0,,,18-9,,Shooting foul by A. Gordon (drawn by D. Williams)
6:06.0,,,18-9,,D. Williams misses free throw 1 of 2
6:06.0,,,18-9,,Offensive rebound by Team
6:06.0,,,18-10,1,D. Williams makes free throw 2 of 2
5:55.0,Offensive charge foul by M. Hezonja,,18-10,,
5:55.0,Turnover by M. Hezonja (offensive foul),,18-10,,
5:55.0,C. Watson enters the game for M. Hezonja,,18-10,,
5:42.0,,,18-12,2,C. Parsons makes 2-pt shot from 12 ft
5:26.0,N. Vucevic makes 2-pt shot from 20 ft (assist by A. Gordon),2,20-12,,
