time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. M. Plumlee (E. Bledsoe gains possession)
11:40.0,,,0-2,2,A. Len makes 2-pt shot from 12 ft (assist by E. Bledsoe)
11:33.0,Turnover by D. Lillard (bad pass),,0-2,,
11:24.0,,,0-4,2,J. Leuer makes 2-pt shot from 6 ft (assist by B. Knight)
11:07.0,Offensive charge foul by C. McCollum,,0-4,,
11:07.0,Turnover by C. McCollum (offensive foul),,0-4,,
10:55.0,,,0-4,,B. Knight misses 3-pt shot from 25 ft
10:55.0,,,0-4,,Offensive rebound by J. Leuer
10:42.0,Personal foul by N. Vonleh (drawn by P. Tucker),,0-4,,
10:36.0,,,0-4,,E. Bledsoe misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by C. McCollum,,0-4,,
10:28.0,Turnover by D. Lillard (bad pass; steal by B. Knight),,0-4,,
10:10.0,,,0-4,,J. Leuer misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by A. Aminu,,0-4,,
9:57.0,D. Lillard misses 3-pt shot from 24 ft,,0-4,,
9:57.0,,,0-4,,Defensive rebound by B. Knight
9:44.0,,,0-4,,B. Knight misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by A. Aminu,,0-4,,
9:33.0,D. Lillard misses 2-pt shot from 15 ft,,0-4,,
9:33.0,,,0-4,,Defensive rebound by P. Tucker
9:21.0,,,0-6,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
8:54.0,A. Aminu misses 3-pt shot from 24 ft,,0-6,,
8:54.0,Offensive rebound by M. Plumlee,,0-6,,
8:51.0,A. Aminu makes 2-pt shot from 2 ft (assist by M. Plumlee),2,2-6,,
8:51.0,Shooting foul by J. Leuer (drawn by A. Aminu),,2-6,,
8:51.0,A. Aminu makes free throw 1 of 1,1,3-6,,
8:40.0,,,3-9,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by P. Tucker)
8:20.0,C. McCollum makes 3-pt shot from 24 ft,3,6-9,,
8:05.0,,,6-9,,J. Leuer misses 2-pt shot from 10 ft
8:04.0,Defensive rebound by N. Vonleh,,6-9,,
7:57.0,A. Aminu makes 2-pt shot from 18 ft (assist by D. Lillard),2,8-9,,
7:44.0,,,8-9,,E. Bledsoe misses 2-pt shot from 7 ft
7:43.0,,,8-9,,Offensive rebound by A. Len
7:43.0,,,8-9,,A. Len misses 2-pt shot at rim
7:41.0,,,8-9,,Offensive rebound by J. Leuer
7:41.0,,,8-11,2,J. Leuer makes 2-pt shot at rim
7:37.0,Turnover by M. Plumlee (bad pass; steal by P. Tucker),,8-11,,
7:35.0,,,8-11,,P. Tucker misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by N. Vonleh,,8-11,,
7:13.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,10-11,,
6:58.0,,,10-13,2,A. Len makes 2-pt shot from 19 ft (assist by B. Knight)
6:43.0,C. McCollum makes 2-pt shot from 21 ft (assist by M. Plumlee),2,12-13,,
6:31.0,,,12-13,,B. Knight misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by A. Aminu,,12-13,,
6:24.0,A. Aminu misses 2-pt shot from 7 ft,,12-13,,
6:23.0,,,12-13,,Defensive rebound by A. Len
6:12.0,,,12-13,,A. Len misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by M. Plumlee,,12-13,,
6:00.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,15-13,,
5:54.0,,,15-13,,Phoenix full timeout
5:46.0,,,15-13,,E. Bledsoe misses 2-pt shot from 13 ft
5:41.0,,,15-13,,Offensive rebound by A. Len
5:41.0,,,15-13,,A. Len misses 2-pt shot at rim
5:41.0,Defensive rebound by M. Plumlee,,15-13,,
5:28.0,D. Lillard misses 3-pt shot from 24 ft,,15-13,,
5:28.0,Offensive rebound by N. Vonleh,,15-13,,
5:25.0,N. Vonleh makes 2-pt shot from 1 ft,2,17-13,,
5:11.0,,,17-15,2,J. Leuer makes 2-pt shot from 5 ft (assist by A. Len)
4:59.0,Turnover by M. Plumlee (bad pass; steal by J. Leuer),,17-15,,
4:54.0,,,17-17,2,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight)
4:35.0,D. Lillard makes 2-pt shot at rim,2,19-17,,
4:25.0,,,19-17,,E. Bledsoe misses 2-pt shot from 5 ft
4:24.0,Defensive rebound by N. Vonleh,,19-17,,
4:16.0,D. Lillard makes 2-pt shot from 2 ft,2,21-17,,
4:01.0,,,21-17,,B. Knight misses 2-pt shot from 6 ft
4:01.0,Defensive rebound by A. Aminu,,21-17,,
3:56.0,A. Aminu misses 2-pt shot from 5 ft (block by P. Tucker),,21-17,,
3:56.0,Offensive rebound by Team,,21-17,,
3:56.0,A. Crabbe enters the game for C. McCollum,,21-17,,
3:56.0,,,21-17,,M. Teletovic enters the game for J. Leuer
3:56.0,,,21-17,,D. Booker enters the game for B. Knight
3:50.0,Jump ball: A. Aminu vs. P. Tucker (M. Plumlee gains possession),,,,Jump ball: A. Aminu vs. P. Tucker (M. Plumlee gains possession)
