time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Vucevic (K. Love gains possession),,,,Jump ball: T. Mozgov vs. N. Vucevic (K. Love gains possession)
11:40.0,J. Cunningham makes 3-pt shot from 22 ft (assist by L. James),3,3-0,,
11:21.0,,,3-0,,E. Payton misses 2-pt shot from 8 ft
11:20.0,Defensive rebound by K. Love,,3-0,,
11:15.0,,,3-0,,Personal foul by E. Payton (drawn by M. Dellavedova)
11:04.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,5-0,,
10:46.0,,,5-0,,Turnover by T. Harris (lost ball)
10:30.0,J. Cunningham misses 3-pt shot from 23 ft,,5-0,,
10:29.0,Offensive rebound by T. Mozgov,,5-0,,
10:17.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,7-0,,
9:56.0,,,7-2,2,N. Vucevic makes 2-pt shot from 12 ft
9:36.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,10-2,,
9:12.0,,,10-4,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
8:55.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,12-4,,
8:35.0,,,12-4,,E. Fournier misses 2-pt shot from 2 ft
8:32.0,,,12-4,,Offensive rebound by N. Vucevic
8:32.0,,,12-4,,N. Vucevic misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by K. Love,,12-4,,
8:19.0,Turnover by T. Mozgov (traveling),,12-4,,
8:08.0,,,12-4,,Shooting foul by J. Cunningham (drawn by E. Fournier)
8:08.0,,,12-5,1,E. Fournier makes free throw 1 of 2
8:08.0,,,12-6,1,E. Fournier makes free throw 2 of 2
7:58.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,14-6,,
7:47.0,Personal foul by T. Mozgov (drawn by N. Vucevic),,14-6,,
7:39.0,,,14-6,,T. Harris misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by K. Love,,14-6,,
7:23.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love),2,16-6,,
7:19.0,,,16-6,,Orlando full timeout
7:19.0,,,16-6,,V. Oladipo enters the game for T. Harris
