time,Washington,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (C. Paul gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (C. Paul gains possession)
11:41.0,,,0-2,2,C. Paul makes 2-pt shot from 21 ft
11:14.0,M. Morris misses 2-pt shot from 19 ft,,0-2,,
11:13.0,Offensive rebound by O. Porter,,0-2,,
11:11.0,Turnover by O. Porter (lost ball; steal by C. Paul),,0-2,,
11:02.0,,,0-4,2,L. Mbah a Moute makes 2-pt shot at rim (assist by B. Griffin)
10:43.0,M. Morris misses 3-pt shot from 25 ft,,0-4,,
10:42.0,Offensive rebound by M. Gortat,,0-4,,
10:38.0,M. Gortat makes 2-pt shot from 7 ft,2,2-4,,
10:18.0,,,2-6,2,C. Paul makes 2-pt shot from 7 ft
10:06.0,J. Wall makes 2-pt shot from 18 ft,2,4-6,,
9:50.0,,,4-8,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
9:38.0,B. Beal misses 2-pt shot from 14 ft,,4-8,,
9:38.0,Offensive rebound by B. Beal,,4-8,,
9:32.0,B. Beal misses 2-pt shot from 12 ft,,4-8,,
9:31.0,,,4-8,,Defensive rebound by L. Mbah a Moute
9:23.0,,,4-8,,C. Paul misses 2-pt shot from 19 ft
9:23.0,,,4-8,,Offensive rebound by Team
9:23.0,Loose ball foul by M. Gortat,,4-8,,
9:22.0,Personal foul by J. Wall,,4-8,,
9:15.0,,,4-10,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
9:01.0,J. Wall misses 2-pt shot from 16 ft,,4-10,,
9:00.0,,,4-10,,Defensive rebound by B. Griffin
8:50.0,,,4-10,,B. Griffin misses 2-pt shot from 14 ft
8:49.0,Defensive rebound by O. Porter,,4-10,,
8:39.0,Turnover by B. Beal (lost ball; steal by D. Jordan),,4-10,,
8:33.0,,,4-10,,LA Clippers full timeout
8:24.0,Personal foul by M. Morris,,4-10,,
8:13.0,,,4-12,2,J. Redick makes 2-pt shot from 23 ft (assist by C. Paul)
8:00.0,M. Morris makes 2-pt shot from 16 ft (assist by M. Gortat),2,6-12,,
7:41.0,Personal foul by J. Wall,,6-12,,
7:41.0,R. Sessions enters the game for J. Wall,,6-12,,
7:32.0,,,6-14,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
7:13.0,R. Sessions misses 3-pt shot from 23 ft,,6-14,,
7:13.0,,,6-14,,Defensive rebound by B. Griffin
7:05.0,,,6-14,,D. Jordan misses 2-pt shot from 5 ft
7:02.0,Defensive rebound by M. Morris,,6-14,,
6:58.0,R. Sessions misses 2-pt shot from 1 ft,,6-14,,
6:56.0,,,6-14,,Defensive rebound by D. Jordan
6:51.0,,,6-16,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:31.0,M. Morris misses 2-pt shot from 17 ft,,6-16,,
6:30.0,,,6-16,,Defensive rebound by L. Mbah a Moute
6:15.0,,,6-16,,J. Redick misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by O. Porter,,6-16,,
6:07.0,B. Beal misses 2-pt shot from 2 ft,,6-16,,
6:02.0,,,6-16,,Defensive rebound by L. Mbah a Moute
5:53.0,,,6-18,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
5:47.0,B. Beal misses 2-pt shot at rim,,6-18,,
5:45.0,Offensive rebound by B. Beal,,6-18,,
5:45.0,B. Beal makes 2-pt shot at rim,2,8-18,,
5:29.0,,,8-20,2,C. Paul makes 2-pt shot from 7 ft
5:22.0,,,8-20,,Personal take foul by L. Mbah a Moute
5:22.0,,,8-20,,J. Green enters the game for B. Griffin
5:22.0,Technical foul by J. Wall,,8-20,,
5:22.0,,,8-21,1,C. Paul makes technical free throw
5:08.0,M. Gortat makes 2-pt shot from 6 ft (assist by R. Sessions),2,10-21,,
4:51.0,,,10-21,,J. Redick misses 2-pt shot from 21 ft
4:49.0,Defensive rebound by M. Morris,,10-21,,
4:37.0,M. Gortat misses 2-pt shot from 11 ft,,10-21,,
4:36.0,,,10-21,,Defensive rebound by C. Paul
4:27.0,,,10-23,2,C. Paul makes 2-pt shot from 17 ft
4:21.0,O. Porter makes 3-pt shot from 24 ft (assist by R. Sessions),3,13-23,,
3:59.0,,,13-23,,C. Paul misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by B. Beal,,13-23,,
3:44.0,M. Morris makes 2-pt shot at rim (assist by R. Sessions),2,15-23,,
3:25.0,,,15-25,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by D. Jordan)
3:16.0,Shooting foul by C. Paul (drawn by R. Sessions),,15-25,,
3:16.0,R. Sessions misses free throw 1 of 2,,15-25,,
3:16.0,Offensive rebound by Team,,15-25,,
3:16.0,G. Temple enters the game for B. Beal,,15-25,,
3:16.0,N. Hilario enters the game for M. Gortat,,15-25,,
3:16.0,,,15-25,,A. Rivers enters the game for C. Paul
3:16.0,,,15-25,,W. Johnson enters the game for L. Mbah a Moute
3:16.0,,,15-25,,J. Crawford enters the game for J. Redick
3:16.0,R. Sessions makes free throw 2 of 2,1,16-25,,
3:01.0,,,16-25,,W. Johnson misses 2-pt shot from 22 ft
3:00.0,Defensive rebound by R. Sessions,,16-25,,
2:51.0,N. Hilario misses 2-pt shot at rim (block by D. Jordan),,16-25,,
2:50.0,,,16-25,,Defensive rebound by W. Johnson
2:48.0,,,16-25,,Shooting foul by G. Temple (drawn by D. Jordan)
2:48.0,Washington full timeout,,16-25,,
2:48.0,,,16-25,,D. Jordan misses free throw 1 of 2
2:48.0,,,16-25,,Offensive rebound by Team
2:48.0,,,16-25,,D. Jordan misses free throw 2 of 2
2:47.0,Defensive rebound by N. Hilario,,16-25,,
2:30.0,N. Hilario makes 2-pt shot from 1 ft (assist by O. Porter),2,18-25,,
2:11.0,,,18-27,2,J. Green makes 2-pt shot from 20 ft
2:06.0,Turnover by R. Sessions (bad pass),,18-27,,
1:53.0,,,18-27,,J. Crawford misses 2-pt shot from 15 ft
1:51.0,,,18-27,,Offensive rebound by J. Crawford
1:48.0,Technical foul by M. Morris,,18-27,,
1:48.0,,,18-28,1,J. Crawford makes technical free throw
1:48.0,J. Dudley enters the game for M. Morris,,18-28,,
1:41.0,,,18-30,2,A. Rivers makes 2-pt shot from 9 ft
1:28.0,N. Hilario makes 2-pt shot from 19 ft (assist by J. Dudley),2,20-30,,
