time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. D. Jordan (C. Paul gains possession),,,,Jump ball: O. Asik vs. D. Jordan (C. Paul gains possession)
11:41.0,D. Jordan misses 2-pt shot from 3 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Cunningham
11:25.0,,,0-0,,J. Holiday misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by D. Jordan,,0-0,,
11:17.0,P. Pierce misses 3-pt shot from 24 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by D. Cunningham
11:08.0,,,0-2,2,T. Douglas makes 2-pt shot from 11 ft
10:53.0,J. Redick makes 2-pt shot from 22 ft (assist by L. Mbah a Moute),2,2-2,,
10:38.0,,,2-2,,L. Babbitt misses 2-pt shot from 14 ft
10:35.0,Defensive rebound by C. Paul,,2-2,,
10:22.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by L. Babbitt
10:08.0,,,2-4,2,J. Holiday makes 2-pt shot from 1 ft (assist by T. Douglas)
9:49.0,Shooting foul by D. Cunningham (drawn by P. Pierce),,2-4,,
9:49.0,P. Pierce makes free throw 1 of 2,1,3-4,,
9:49.0,P. Pierce misses free throw 2 of 2,,3-4,,
9:48.0,,,3-4,,Defensive rebound by L. Babbitt
9:30.0,,,3-6,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday)
9:18.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,6-6,,
8:54.0,,,6-6,,O. Asik misses 2-pt shot from 14 ft
8:54.0,Defensive rebound by P. Pierce,,6-6,,
8:47.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,8-6,,
8:22.0,,,8-9,3,J. Holiday makes 3-pt shot from 28 ft (assist by T. Douglas)
8:08.0,J. Redick makes 2-pt shot from 9 ft,2,10-9,,
7:55.0,,,10-9,,J. Holiday misses 3-pt shot from 23 ft (block by L. Mbah a Moute)
7:54.0,Defensive rebound by D. Jordan,,10-9,,
7:42.0,C. Paul makes 2-pt shot from 19 ft,2,12-9,,
7:26.0,,,12-11,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
7:09.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,15-11,,
6:56.0,,,15-11,,Offensive foul by O. Asik
6:56.0,,,15-11,,Turnover by O. Asik (offensive foul)
6:44.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,18-11,,
6:39.0,,,18-11,,New Orleans full timeout
6:18.0,,,18-11,,J. Holiday misses 2-pt shot from 6 ft
6:18.0,,,18-11,,Offensive rebound by Team
6:09.0,,,18-11,,Turnover by J. Holiday (lost ball; steal by C. Paul)
6:05.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by J. Holiday),,18-11,,
6:05.0,Offensive rebound by Team,,18-11,,
5:52.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,20-11,,
5:39.0,,,20-11,,Turnover by T. Douglas (traveling)
5:22.0,J. Redick misses 3-pt shot from 25 ft,,20-11,,
5:21.0,,,20-11,,Defensive rebound by O. Asik
5:09.0,,,20-13,2,L. Babbitt makes 2-pt shot from 6 ft (assist by J. Holiday)
4:48.0,C. Paul misses 3-pt shot from 24 ft,,20-13,,
4:48.0,,,20-13,,Defensive rebound by L. Babbitt
4:38.0,,,20-16,3,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Douglas)
4:21.0,P. Pierce makes 2-pt shot from 1 ft,2,22-16,,
4:12.0,,,22-19,3,T. Douglas makes 3-pt shot from 25 ft (assist by J. Holiday)
3:59.0,LA Clippers full timeout,,22-19,,
3:59.0,J. Crawford enters the game for L. Mbah a Moute,,22-19,,
3:59.0,W. Johnson enters the game for P. Pierce,,22-19,,
