time,Houston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Howard (P. Beverley gains possession),,,,Jump ball: A. Horford vs. D. Howard (P. Beverley gains possession)
11:48.0,Turnover by D. Howard (lost ball; steal by K. Bazemore),,0-0,,
11:24.0,,,0-0,,A. Horford misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by J. Harden,,0-0,,
11:19.0,T. Ariza misses 2-pt shot from 1 ft (block by A. Horford),,0-0,,
11:17.0,,,0-0,,Defensive rebound by P. Millsap
11:04.0,,,0-0,,P. Millsap misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by D. Howard,,0-0,,
10:58.0,Shooting foul by P. Millsap (drawn by D. Motiejunas),,0-0,,
10:58.0,D. Motiejunas makes free throw 1 of 2,1,1-0,,
10:58.0,D. Motiejunas makes free throw 2 of 2,1,2-0,,
10:39.0,,,2-2,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
10:22.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,5-2,,
10:10.0,,,5-2,,A. Horford misses 2-pt shot from 5 ft
10:08.0,,,5-2,,Offensive rebound by A. Horford
10:01.0,,,5-2,,K. Bazemore misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by D. Motiejunas,,5-2,,
9:52.0,J. Harden misses 2-pt shot from 9 ft,,5-2,,
9:51.0,Offensive rebound by J. Harden,,5-2,,
9:38.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by P. Beverley),2,7-2,,
9:20.0,,,7-4,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
9:09.0,P. Beverley misses 2-pt shot from 2 ft (block by J. Teague),,7-4,,
9:07.0,Offensive rebound by P. Beverley,,7-4,,
9:06.0,T. Ariza misses 3-pt shot from 23 ft,,7-4,,
9:06.0,Offensive rebound by D. Motiejunas,,7-4,,
9:06.0,Shooting foul by A. Horford (drawn by D. Motiejunas),,7-4,,
9:06.0,D. Motiejunas misses free throw 1 of 2,,7-4,,
9:06.0,Offensive rebound by Team,,7-4,,
9:06.0,D. Motiejunas makes free throw 2 of 2,1,8-4,,
8:53.0,,,8-4,,P. Millsap misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by D. Howard,,8-4,,
8:39.0,P. Beverley makes 2-pt shot from 1 ft,2,10-4,,
8:30.0,,,10-7,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
8:07.0,Turnover by D. Howard (3 sec),,10-7,,
7:44.0,,,10-9,2,P. Millsap makes 2-pt shot at rim
7:29.0,J. Harden misses 2-pt shot from 16 ft,,10-9,,
7:28.0,,,10-9,,Defensive rebound by A. Horford
7:19.0,,,10-11,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
6:52.0,T. Ariza misses 3-pt shot from 24 ft,,10-11,,
6:50.0,,,10-11,,Defensive rebound by K. Bazemore
6:47.0,,,10-13,2,K. Bazemore makes 2-pt shot at rim
6:47.0,Houston full timeout,,10-13,,
6:30.0,J. Harden misses 2-pt shot from 15 ft,,10-13,,
6:28.0,Offensive rebound by D. Motiejunas,,10-13,,
6:28.0,D. Motiejunas misses 2-pt shot at rim,,10-13,,
6:27.0,Offensive rebound by D. Howard,,10-13,,
6:27.0,Shooting foul by K. Korver (drawn by D. Howard),,10-13,,
6:27.0,D. Howard misses free throw 1 of 2,,10-13,,
6:27.0,Offensive rebound by Team,,10-13,,
6:27.0,D. Howard misses free throw 2 of 2,,10-13,,
6:26.0,,,10-13,,Defensive rebound by A. Horford
6:03.0,,,10-15,2,J. Teague makes 2-pt shot from 1 ft
5:50.0,P. Beverley misses 3-pt shot from 23 ft,,10-15,,
5:49.0,,,10-15,,Defensive rebound by K. Bazemore
5:43.0,,,10-15,,J. Teague misses 3-pt shot from 22 ft
5:41.0,Defensive rebound by P. Beverley,,10-15,,
5:34.0,D. Motiejunas misses 3-pt shot from 24 ft,,10-15,,
5:32.0,,,10-15,,Defensive rebound by J. Teague
5:21.0,,,10-15,,K. Bazemore misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by D. Howard,,10-15,,
4:56.0,D. Howard misses 2-pt shot from 4 ft,,10-15,,
4:53.0,,,10-15,,Defensive rebound by P. Millsap
4:39.0,,,10-15,,K. Humphries enters the game for A. Horford
4:39.0,,,10-15,,T. Sefolosha enters the game for K. Bazemore
4:39.0,M. Beasley enters the game for D. Motiejunas,,10-15,,
4:39.0,J. Terry enters the game for P. Beverley,,10-15,,
4:37.0,,,10-15,,K. Korver misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by M. Beasley,,10-15,,
4:28.0,Shooting foul by K. Humphries (drawn by D. Howard),,10-15,,
4:28.0,D. Howard makes 2-pt shot from 3 ft (assist by J. Terry),2,12-15,,
4:28.0,,,12-15,,T. Hardaway enters the game for K. Korver
4:28.0,C. Brewer enters the game for T. Ariza,,12-15,,
4:28.0,D. Howard misses free throw 1 of 1,,12-15,,
