time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson,,,,Jump ball: A. Horford vs. T. Thompson
11:38.0,,,0-0,,T. Thompson misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by A. Horford,,0-0,,
11:22.0,Turnover by A. Horford (turnover),,0-0,,
11:09.0,,,0-2,2,K. Love makes 2-pt shot from 5 ft (assist by L. James)
10:57.0,P. Millsap makes 2-pt shot from 12 ft (assist by T. Sefolosha),2,2-2,,
10:51.0,Personal foul by D. Schroder (drawn by T. Thompson),,2-2,,
10:33.0,,,2-2,,Turnover by L. James (bad pass; steal by P. Millsap)
10:23.0,T. Sefolosha misses 3-pt shot from 25 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by M. Dellavedova
10:12.0,,,2-2,,Shooting foul by D. Schroder (drawn by K. Love)
10:12.0,,,2-2,,K. Love misses free throw 1 of 2
10:12.0,,,2-2,,Offensive rebound by Team
10:12.0,J. Teague enters the game for D. Schroder,,2-2,,
10:12.0,,,2-3,1,K. Love makes free throw 2 of 2
9:55.0,P. Millsap misses 2-pt shot from 11 ft,,2-3,,
9:55.0,,,2-3,,Defensive rebound by T. Thompson
9:42.0,,,2-3,,K. Love misses 3-pt shot from 25 ft
9:40.0,,,2-3,,Offensive rebound by K. Love
9:24.0,,,2-6,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Love)
9:10.0,,,2-6,,Personal foul by L. James (drawn by A. Horford)
8:59.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by J. Teague),2,4-6,,
8:40.0,,,4-8,2,K. Love makes 2-pt shot at rim (assist by T. Thompson)
8:26.0,A. Horford misses 2-pt shot from 18 ft,,4-8,,
8:25.0,Offensive rebound by P. Millsap,,4-8,,
8:22.0,P. Millsap misses 2-pt shot from 2 ft (block by L. James),,4-8,,
8:21.0,,,4-8,,Defensive rebound by L. James
8:18.0,,,4-11,3,J. Smith makes 3-pt shot from 26 ft (assist by T. Thompson)
7:52.0,T. Sefolosha makes 2-pt shot from 17 ft (assist by A. Horford),2,6-11,,
7:36.0,,,6-11,,J. Smith misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by A. Horford,,6-11,,
7:24.0,T. Sefolosha makes 2-pt shot from 16 ft,2,8-11,,
7:08.0,,,8-11,,J. Smith misses 3-pt shot from 25 ft
7:07.0,,,8-11,,Offensive rebound by T. Thompson
7:05.0,,,8-11,,Turnover by T. Thompson (lost ball; steal by J. Teague)
6:58.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,11-11,,
6:43.0,,,11-11,,M. Dellavedova misses 2-pt shot from 7 ft
6:41.0,Defensive rebound by T. Sefolosha,,11-11,,
6:36.0,J. Teague misses 3-pt shot from 25 ft,,11-11,,
6:35.0,Offensive rebound by A. Horford,,11-11,,
6:31.0,K. Korver misses 3-pt shot from 25 ft,,11-11,,
6:30.0,,,11-11,,Defensive rebound by L. James
6:19.0,,,11-14,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
6:11.0,,,11-14,,Personal foul by J. Smith (drawn by K. Korver)
6:11.0,T. Splitter enters the game for A. Horford,,11-14,,
6:11.0,L. Patterson enters the game for K. Korver,,11-14,,
6:11.0,,,11-14,,J. Cunningham enters the game for M. Dellavedova
6:01.0,J. Teague makes 3-pt shot from 26 ft (assist by L. Patterson),3,14-14,,
5:38.0,,,14-14,,L. James misses 3-pt shot from 24 ft
5:37.0,,,14-14,,Offensive rebound by T. Thompson
5:37.0,,,14-16,2,T. Thompson makes 2-pt shot from 3 ft
5:26.0,J. Teague misses 2-pt shot from 1 ft,,14-16,,
5:24.0,,,14-16,,Defensive rebound by K. Love
5:20.0,,,14-16,,J. Cunningham misses 2-pt shot from 3 ft (block by P. Millsap)
5:19.0,Defensive rebound by L. Patterson,,14-16,,
5:16.0,Atlanta full timeout,,14-16,,
5:06.0,,,14-16,,Personal foul by K. Love (drawn by P. Millsap)
4:53.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,17-16,,
4:32.0,,,17-19,3,J. Cunningham makes 3-pt shot from 24 ft (assist by L. James)
4:18.0,P. Millsap misses 3-pt shot from 24 ft,,17-19,,
4:17.0,,,17-19,,Defensive rebound by L. James
4:02.0,,,17-19,,L. James misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by L. Patterson,,17-19,,
3:54.0,T. Sefolosha misses 2-pt shot from 2 ft,,17-19,,
3:54.0,,,17-19,,Defensive rebound by T. Thompson
3:48.0,,,17-19,,J. Smith misses 2-pt shot from 22 ft
3:47.0,Defensive rebound by P. Millsap,,17-19,,
3:33.0,L. Patterson misses 3-pt shot from 24 ft,,17-19,,
3:32.0,,,17-19,,Defensive rebound by T. Thompson
3:19.0,,,17-19,,J. Smith misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by P. Millsap,,17-19,,
3:01.0,Turnover by P. Millsap (lost ball; steal by J. Cunningham),,17-19,,
2:54.0,,,17-19,,K. Love misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by T. Sefolosha,,17-19,,
2:47.0,P. Millsap misses 2-pt shot at rim,,17-19,,
2:47.0,,,17-19,,Defensive rebound by K. Love
2:47.0,,,17-19,,Cleveland full timeout
2:47.0,A. Horford enters the game for T. Sefolosha,,17-19,,
2:47.0,K. Korver enters the game for P. Millsap,,17-19,,
2:47.0,,,17-19,,A. Varejao enters the game for L. James
2:47.0,,,17-19,,R. Jefferson enters the game for T. Thompson
2:29.0,,,17-19,,J. Cunningham misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by L. Patterson,,17-19,,
2:19.0,L. Patterson misses 3-pt shot from 25 ft,,17-19,,
2:18.0,,,17-19,,Defensive rebound by K. Love
2:05.0,,,17-21,2,A. Varejao makes 2-pt shot from 16 ft (assist by J. Smith)
1:51.0,Offensive foul by K. Korver,,17-21,,
1:51.0,Turnover by K. Korver (offensive foul),,17-21,,
1:51.0,,,17-21,,M. Dellavedova enters the game for J. Smith
1:32.0,,,17-23,2,K. Love makes 2-pt shot from 17 ft (assist by M. Dellavedova)
1:20.0,A. Horford misses 2-pt shot from 2 ft (block by K. Love),,17-23,,
1:18.0,,,17-23,,Defensive rebound by K. Love
1:17.0,Personal foul by L. Patterson (drawn by J. Cunningham),,17-23,,
1:17.0,,,17-23,,T. Thompson enters the game for K. Love
1:17.0,D. Schroder enters the game for J. Teague,,17-23,,
1:05.0,,,17-23,,Shooting foul by T. Splitter (drawn by A. Varejao)
1:05.0,,,17-24,1,A. Varejao makes free throw 1 of 2
1:05.0,,,17-25,1,A. Varejao makes free throw 2 of 2
0:52.0,D. Schroder misses 3-pt shot from 23 ft,,17-25,,
0:51.0,,,17-25,,Defensive rebound by J. Cunningham
0:39.0,,,17-27,2,M. Dellavedova makes 2-pt shot from 6 ft
0:23.0,T. Splitter makes 2-pt shot from 5 ft,2,19-27,,
0:00.0,,,19-27,,T. Thompson misses 2-pt shot from 12 ft
0:00.0,,,19-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Schroder misses 2-pt shot from 18 ft,,19-27,,
11:42.0,,,19-27,,Defensive rebound by A. Varejao
11:26.0,,,19-27,,M. Dellavedova misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by D. Schroder,,19-27,,
11:15.0,A. Horford misses 3-pt shot from 25 ft,,19-27,,
11:15.0,,,19-27,,Defensive rebound by A. Varejao
11:04.0,,,19-27,,R. Jefferson misses 3-pt shot from 24 ft
11:03.0,,,19-27,,Offensive rebound by T. Thompson
10:51.0,,,19-29,2,R. Jefferson makes 2-pt shot from 22 ft (assist by A. Varejao)
10:43.0,Turnover by K. Korver (turnover),,19-29,,
10:24.0,,,19-32,3,J. Smith makes 3-pt shot from 24 ft (assist by T. Thompson)
10:09.0,A. Horford misses 2-pt shot from 16 ft,,19-32,,
10:08.0,,,19-32,,Defensive rebound by T. Thompson
10:00.0,,,19-32,,A. Varejao misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by A. Horford,,19-32,,
9:45.0,J. Holiday makes 3-pt shot from 24 ft (assist by A. Horford),3,22-32,,
9:17.0,,,22-35,3,J. Smith makes 3-pt shot from 26 ft
9:02.0,T. Splitter makes 2-pt shot from 1 ft (assist by D. Schroder),2,24-35,,
8:43.0,Personal foul by D. Schroder (drawn by M. Dellavedova),,24-35,,
