time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. G. Monroe (L. Scola gains possession),,,,Jump ball: B. Biyombo vs. G. Monroe (L. Scola gains possession)
11:39.0,,,0-0,,Turnover by K. Lowry (lost ball; steal by O. Mayo)
11:36.0,J. Parker misses 2-pt shot from 1 ft (block by D. DeRozan),,0-0,,
11:35.0,Offensive rebound by O. Mayo,,0-0,,
11:34.0,O. Mayo misses 2-pt shot from 6 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by L. Scola
11:32.0,,,0-0,,K. Lowry misses 2-pt shot from 1 ft
11:31.0,,,0-0,,Offensive rebound by L. Scola
11:28.0,,,0-2,2,L. Scola makes 2-pt shot at rim
11:15.0,Shooting foul by L. Scola (drawn by J. Parker),,0-2,,
11:15.0,J. Parker makes free throw 1 of 2,1,1-2,,
11:15.0,J. Parker makes free throw 2 of 2,1,2-2,,
11:00.0,,,2-2,,D. DeRozan misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by G. Monroe,,2-2,,
10:49.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,4-2,,
10:31.0,,,4-2,,Turnover by K. Lowry (bad pass; steal by G. Antetokounmpo)
10:27.0,Turnover by G. Antetokounmpo (bad pass),,4-2,,
10:09.0,,,4-2,,L. Scola misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by J. Parker,,4-2,,
9:58.0,Turnover by O. Mayo (lost ball; steal by K. Lowry),,4-2,,
9:53.0,,,4-4,2,K. Lowry makes 2-pt shot from 2 ft
9:39.0,K. Middleton misses 2-pt shot from 4 ft (block by L. Scola),,4-4,,
9:38.0,Offensive rebound by J. Parker,,4-4,,
9:34.0,J. Parker misses 2-pt shot from 15 ft,,4-4,,
9:33.0,,,4-4,,Defensive rebound by K. Lowry
9:28.0,,,4-4,,D. DeRozan misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by G. Antetokounmpo,,4-4,,
9:10.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-4,,
8:47.0,,,6-4,,L. Scola misses 3-pt shot from 23 ft
