time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession)
11:48.0,,,0-0,,Offensive charge foul by S. Adams
11:48.0,,,0-0,,Turnover by S. Adams (offensive foul)
11:31.0,A. Wiggins makes 3-pt shot from 22 ft (assist by Z. LaVine),3,3-0,,
11:18.0,,,3-0,,K. Durant misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by G. Dieng,,3-0,,
11:00.0,A. Wiggins misses 2-pt shot at rim,,3-0,,
11:00.0,,,3-0,,Defensive rebound by S. Adams
10:53.0,,,3-0,,A. Roberson misses 2-pt shot at rim
10:52.0,,,3-0,,Offensive rebound by A. Roberson
10:52.0,,,3-2,2,A. Roberson makes 2-pt shot at rim
10:33.0,G. Dieng misses 2-pt shot from 4 ft,,3-2,,
10:32.0,,,3-2,,Defensive rebound by R. Westbrook
10:28.0,,,3-2,,Turnover by S. Ibaka (traveling)
10:12.0,Z. LaVine misses 2-pt shot from 21 ft,,3-2,,
10:12.0,,,3-2,,Defensive rebound by K. Durant
9:54.0,,,3-2,,Turnover by K. Durant (lost ball; steal by A. Wiggins)
9:49.0,R. Rubio makes 2-pt shot from 1 ft,2,5-2,,
9:37.0,Personal foul by A. Wiggins,,5-2,,
9:29.0,,,5-2,,R. Westbrook misses 2-pt shot from 1 ft (block by G. Dieng)
9:28.0,,,5-2,,Offensive rebound by S. Adams
9:18.0,,,5-2,,S. Ibaka misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by R. Rubio,,5-2,,
9:12.0,Shooting foul by S. Adams (drawn by Z. LaVine),,5-2,,
9:12.0,Z. LaVine makes free throw 1 of 2,1,6-2,,
9:12.0,,,6-2,,E. Kanter enters the game for S. Adams
9:12.0,Z. LaVine makes free throw 2 of 2,1,7-2,,
9:01.0,,,7-2,,K. Durant misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by R. Rubio,,7-2,,
