time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hickson vs. M. Plumlee (E. Mudiay gains possession),,,,Jump ball: J. Hickson vs. M. Plumlee (E. Mudiay gains possession)
11:39.0,,,0-0,,E. Mudiay misses 2-pt shot from 4 ft (block by M. Plumlee)
11:37.0,Defensive rebound by M. Plumlee,,0-0,,
11:36.0,Turnover by M. Plumlee (lost ball; steal by D. Gallinari),,0-0,,
11:27.0,,,0-0,,Turnover by K. Faried (lost ball; steal by M. Plumlee)
11:22.0,M. Plumlee misses 2-pt shot from 2 ft (block by J. Hickson),,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. Gallinari
11:10.0,,,0-2,2,K. Faried makes 2-pt shot from 1 ft (assist by D. Gallinari)
10:53.0,M. Leonard misses 2-pt shot from 21 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by E. Mudiay
10:49.0,,,0-2,,Shooting foul by D. Lillard (drawn by E. Mudiay)
10:49.0,,,0-2,,E. Mudiay misses free throw 1 of 2
10:49.0,,,0-2,,Offensive rebound by Team
10:49.0,,,0-3,1,E. Mudiay makes free throw 2 of 2
10:33.0,C. McCollum misses 3-pt shot from 25 ft,,0-3,,
10:32.0,,,0-3,,Defensive rebound by G. Harris
10:24.0,,,0-3,,E. Mudiay misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by M. Plumlee,,0-3,,
10:14.0,D. Lillard makes 2-pt shot from 16 ft,2,2-3,,
9:57.0,,,2-3,,K. Faried misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by Team,,2-3,,
9:57.0,,,2-3,,Loose ball foul by J. Hickson (drawn by M. Leonard)
9:43.0,M. Plumlee makes 2-pt shot from 3 ft (assist by A. Aminu),2,4-3,,
9:43.0,Shooting foul by K. Faried (drawn by M. Plumlee),,4-3,,
9:43.0,M. Plumlee misses free throw 1 of 1,,4-3,,
9:42.0,,,4-3,,Defensive rebound by J. Hickson
9:24.0,,,4-5,2,J. Hickson makes 2-pt shot from 6 ft
9:19.0,D. Lillard makes 2-pt shot from 5 ft,2,6-5,,
9:19.0,Shooting foul by G. Harris (drawn by D. Lillard),,6-5,,
9:19.0,D. Lillard makes free throw 1 of 1,1,7-5,,
8:57.0,,,7-7,2,E. Mudiay makes 2-pt shot from 1 ft
8:47.0,M. Leonard makes 2-pt shot from 20 ft (assist by D. Lillard),2,9-7,,
8:31.0,,,9-9,2,G. Harris makes 2-pt shot from 17 ft (assist by E. Mudiay)
8:11.0,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard),2,11-9,,
7:55.0,,,11-11,2,K. Faried makes 2-pt shot from 7 ft (assist by G. Harris)
7:46.0,D. Lillard misses 3-pt shot from 25 ft,,11-11,,
7:45.0,,,11-11,,Defensive rebound by D. Gallinari
7:35.0,,,11-11,,D. Gallinari misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by M. Leonard,,11-11,,
7:24.0,M. Plumlee misses 2-pt shot from 1 ft (block by J. Hickson),,11-11,,
7:22.0,,,11-11,,Defensive rebound by E. Mudiay
7:15.0,,,11-11,,Turnover by E. Mudiay (bad pass)
7:00.0,C. McCollum misses 2-pt shot from 19 ft,,11-11,,
6:59.0,,,11-11,,Defensive rebound by G. Harris
6:51.0,,,11-11,,Turnover by D. Gallinari (traveling)
6:35.0,A. Aminu makes 3-pt shot from 24 ft (assist by M. Leonard),3,14-11,,
6:34.0,,,14-11,,Denver full timeout
6:13.0,,,14-13,2,J. Hickson makes 2-pt shot at rim (assist by K. Faried)
5:55.0,M. Leonard misses 3-pt shot from 24 ft,,14-13,,
5:55.0,,,14-13,,Defensive rebound by J. Hickson
5:42.0,,,14-13,,G. Harris misses 2-pt shot from 2 ft
5:41.0,,,14-13,,Offensive rebound by K. Faried
5:33.0,,,14-16,3,G. Harris makes 3-pt shot from 24 ft (assist by D. Gallinari)
5:21.0,C. McCollum makes 2-pt shot from 12 ft,2,16-16,,
5:06.0,,,16-16,,J. Hickson misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by A. Aminu,,16-16,,
4:57.0,M. Plumlee makes 2-pt shot from 3 ft (assist by A. Aminu),2,18-16,,
4:43.0,,,18-18,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
4:26.0,Shooting foul by J. Hickson (drawn by D. Lillard),,18-18,,
4:26.0,D. Lillard makes free throw 1 of 2,1,19-18,,
4:26.0,A. Crabbe enters the game for C. McCollum,,19-18,,
4:26.0,E. Davis enters the game for M. Plumlee,,19-18,,
4:26.0,,,19-18,,R. Foye enters the game for E. Mudiay
4:26.0,,,19-18,,D. Arthur enters the game for J. Hickson
4:26.0,,,19-18,,N. Jokic enters the game for K. Faried
4:26.0,D. Lillard makes free throw 2 of 2,1,20-18,,
4:04.0,,,20-18,,D. Arthur misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by E. Davis,,20-18,,
3:54.0,Turnover by E. Davis (bad pass),,20-18,,
3:42.0,,,20-18,,Shooting foul by A. Aminu (drawn by D. Gallinari)
3:42.0,,,20-19,1,D. Gallinari makes free throw 1 of 2
3:42.0,M. Harkless enters the game for A. Aminu,,20-19,,
3:42.0,,,20-20,1,D. Gallinari makes free throw 2 of 2
3:22.0,A. Crabbe misses 2-pt shot from 20 ft,,20-20,,
3:21.0,Offensive rebound by M. Harkless,,20-20,,
3:16.0,D. Lillard makes 3-pt shot from 27 ft (assist by M. Harkless),3,23-20,,
3:03.0,,,23-20,,G. Harris misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by M. Harkless,,23-20,,
2:50.0,M. Leonard makes 2-pt shot from 11 ft (assist by A. Crabbe),2,25-20,,
2:39.0,Violation by A. Crabbe (kicked ball),,25-20,,
2:39.0,Portland full timeout,,25-20,,
2:39.0,N. Vonleh enters the game for M. Leonard,,25-20,,
2:31.0,,,25-22,2,D. Gallinari makes 2-pt shot at rim (assist by G. Harris)
2:08.0,,,25-22,,Personal foul by D. Gallinari (drawn by M. Harkless)
2:08.0,M. Harkless makes free throw 1 of 2,1,26-22,,
2:08.0,,,26-22,,W. Barton enters the game for G. Harris
2:08.0,M. Harkless misses free throw 2 of 2,,26-22,,
2:07.0,,,26-22,,Defensive rebound by D. Arthur
1:59.0,,,26-22,,Shooting foul by E. Davis (drawn by R. Foye)
1:59.0,,,26-23,1,R. Foye makes free throw 1 of 2
1:59.0,,,26-24,1,R. Foye makes free throw 2 of 2
1:36.0,A. Crabbe misses 3-pt shot from 26 ft,,26-24,,
1:35.0,Offensive rebound by Team,,26-24,,
1:35.0,Turnover by Team (shot clock),,26-24,,
1:35.0,,,26-24,,K. Papanikolaou enters the game for D. Gallinari
1:29.0,,,26-24,,Turnover by R. Foye (dbl dribble)
1:16.0,A. Crabbe makes 2-pt shot from 7 ft (assist by D. Lillard),2,28-24,,
1:08.0,C. McCollum enters the game for D. Lillard,,28-24,,
1:01.0,,,28-24,,Shooting foul by E. Davis (drawn by N. Jokic)
1:01.0,,,28-25,1,N. Jokic makes free throw 1 of 2
1:01.0,,,28-26,1,N. Jokic makes free throw 2 of 2
0:42.0,C. McCollum misses 2-pt shot from 18 ft,,28-26,,
0:41.0,Offensive rebound by E. Davis,,28-26,,
0:40.0,Shooting foul by K. Papanikolaou (drawn by E. Davis),,28-26,,
0:40.0,E. Davis makes free throw 1 of 2,1,29-26,,
0:40.0,E. Davis makes free throw 2 of 2,1,30-26,,
0:34.0,,,30-29,3,R. Foye makes 3-pt shot from 24 ft
0:29.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Davis),3,33-29,,
0:16.0,,,33-29,,Turnover by N. Jokic (3 sec)
0:16.0,M. Leonard enters the game for N. Vonleh,,33-29,,
0:02.0,C. McCollum misses 2-pt shot from 22 ft,,33-29,,
0:01.0,,,33-29,,Defensive rebound by N. Jokic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Crabbe misses 2-pt shot from 16 ft,,33-29,,
11:48.0,,,33-29,,Defensive rebound by W. Barton
11:36.0,,,33-31,2,N. Jokic makes 2-pt shot from 1 ft (assist by R. Foye)
11:22.0,Shooting foul by N. Jokic (drawn by E. Davis),,33-31,,
11:22.0,E. Davis misses free throw 1 of 2,,33-31,,
11:22.0,Offensive rebound by Team,,33-31,,
11:22.0,E. Davis makes free throw 2 of 2,1,34-31,,
11:07.0,,,34-31,,Turnover by R. Foye (bad pass; steal by E. Davis)
11:01.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,36-31,,
10:46.0,,,36-31,,D. Arthur misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by E. Davis,,36-31,,
10:25.0,N. Vonleh misses 2-pt shot from 7 ft,,36-31,,
10:22.0,,,36-31,,Defensive rebound by D. Arthur
10:01.0,,,36-34,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by R. Foye)
9:44.0,Turnover by M. Harkless (bad pass; steal by K. Papanikolaou),,36-34,,
9:33.0,,,36-34,,Shooting foul by E. Davis (drawn by N. Jokic)
9:33.0,,,36-35,1,N. Jokic makes free throw 1 of 2
9:33.0,M. Plumlee enters the game for E. Davis,,36-35,,
9:33.0,,,36-36,1,N. Jokic makes free throw 2 of 2
9:18.0,Turnover by C. McCollum (bad pass; steal by N. Jokic),,36-36,,
9:14.0,,,36-36,,Shooting foul by A. Crabbe (drawn by W. Barton)
9:14.0,,,36-37,1,W. Barton makes free throw 1 of 2
9:14.0,,,36-38,1,W. Barton makes free throw 2 of 2
8:54.0,M. Harkless misses 2-pt shot from 17 ft,,36-38,,
8:54.0,,,36-38,,Defensive rebound by W. Barton
8:35.0,,,36-40,2,D. Arthur makes 2-pt shot from 17 ft
8:28.0,Portland full timeout,,36-40,,
8:28.0,A. Aminu enters the game for M. Harkless,,36-40,,
8:11.0,Shooting foul by W. Barton (drawn by A. Crabbe),,36-40,,
8:11.0,A. Crabbe makes free throw 1 of 3,1,37-40,,
8:11.0,A. Crabbe makes free throw 2 of 3,1,38-40,,
8:11.0,A. Crabbe misses free throw 3 of 3,,38-40,,
8:10.0,,,38-40,,Defensive rebound by Team
8:10.0,Personal foul by N. Vonleh (drawn by K. Papanikolaou),,38-40,,
7:55.0,,,38-42,2,R. Foye makes 2-pt shot from 19 ft
7:45.0,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum),2,40-42,,
7:26.0,,,40-44,2,W. Barton makes 2-pt shot from 16 ft
7:05.0,Shooting foul by D. Arthur (drawn by M. Plumlee),,40-44,,
7:05.0,M. Plumlee makes free throw 1 of 2,1,41-44,,
7:05.0,,,41-44,,J. Hickson enters the game for N. Jokic
7:05.0,,,41-44,,E. Mudiay enters the game for R. Foye
7:05.0,D. Lillard enters the game for C. McCollum,,41-44,,
