time,LA Clippers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Stoudemire (J. Redick gains possession),,,,Jump ball: D. Jordan vs. A. Stoudemire (J. Redick gains possession)
11:42.0,J. Redick makes 2-pt shot from 2 ft (assist by D. Jordan),2,2-0,,
11:23.0,,,2-0,,D. Wade misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by D. Jordan,,2-0,,
11:17.0,Shooting foul by C. Bosh (drawn by J. Redick),,2-0,,
11:17.0,J. Redick makes free throw 1 of 2,1,3-0,,
11:17.0,J. Redick makes free throw 2 of 2,1,4-0,,
10:58.0,,,4-0,,C. Bosh misses 2-pt shot from 14 ft
10:56.0,,,4-0,,Offensive rebound by A. Stoudemire
10:54.0,,,4-0,,A. Stoudemire misses 2-pt shot from 2 ft (block by D. Jordan)
10:54.0,Jump ball: D. Jordan vs. A. Stoudemire (L. Deng gains possession),,,,Jump ball: D. Jordan vs. A. Stoudemire (L. Deng gains possession)
10:54.0,,,4-0,,Offensive rebound by Team
10:33.0,,,4-2,2,G. Dragic makes 2-pt shot at rim (assist by C. Bosh)
10:18.0,J. Redick misses 2-pt shot from 17 ft,,4-2,,
10:17.0,,,4-2,,Defensive rebound by G. Dragic
10:07.0,,,4-2,,G. Dragic misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by D. Jordan,,4-2,,
9:58.0,C. Paul misses 3-pt shot from 23 ft,,4-2,,
9:56.0,,,4-2,,Defensive rebound by C. Bosh
9:46.0,,,4-2,,D. Wade misses 2-pt shot from 7 ft
9:44.0,,,4-2,,Offensive rebound by L. Deng
9:43.0,,,4-2,,L. Deng misses 2-pt shot from 9 ft
9:43.0,,,4-2,,Offensive rebound by Team
9:43.0,Loose ball foul by D. Jordan (drawn by A. Stoudemire),,4-2,,
9:19.0,,,4-2,,D. Wade misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by P. Pierce,,4-2,,
9:13.0,J. Redick misses 3-pt shot from 23 ft,,4-2,,
9:12.0,,,4-2,,Defensive rebound by A. Stoudemire
8:54.0,,,4-4,2,L. Deng makes 2-pt shot from 1 ft
8:27.0,C. Paul misses 2-pt shot from 15 ft,,4-4,,
8:26.0,,,4-4,,Defensive rebound by C. Bosh
8:10.0,Shooting block foul by J. Redick (drawn by C. Bosh),,4-4,,
8:10.0,,,4-5,1,C. Bosh makes free throw 1 of 2
8:10.0,,,4-5,,C. Bosh misses free throw 2 of 2
8:09.0,Defensive rebound by J. Redick,,4-5,,
7:51.0,C. Paul misses 2-pt shot from 8 ft,,4-5,,
7:50.0,,,4-5,,Defensive rebound by C. Bosh
7:33.0,,,4-5,,C. Bosh misses 2-pt shot from 14 ft
7:32.0,,,4-5,,Offensive rebound by G. Dragic
7:19.0,,,4-5,,L. Deng misses 2-pt shot from 9 ft
7:18.0,Defensive rebound by D. Jordan,,4-5,,
7:06.0,Shooting foul by C. Bosh (drawn by C. Paul),,4-5,,
7:06.0,C. Paul makes free throw 1 of 2,1,5-5,,
