time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (D. Wade gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (D. Wade gains possession)
11:46.0,L. Deng makes 2-pt shot from 16 ft (assist by C. Bosh),2,2-0,,
11:25.0,,,2-0,,N. Vucevic misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by L. Deng,,2-0,,
11:03.0,C. Bosh misses 2-pt shot from 19 ft,,2-0,,
11:02.0,Offensive rebound by G. Dragic,,2-0,,
10:55.0,G. Dragic misses 3-pt shot from 24 ft,,2-0,,
10:54.0,,,2-0,,Defensive rebound by Team
10:54.0,Loose ball foul by H. Whiteside (drawn by N. Vucevic),,2-0,,
10:38.0,,,2-3,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
10:11.0,C. Bosh misses 2-pt shot from 16 ft,,2-3,,
10:09.0,,,2-3,,Defensive rebound by T. Harris
9:54.0,,,2-5,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier)
9:37.0,L. Deng misses 3-pt shot from 25 ft,,2-5,,
9:35.0,,,2-5,,Defensive rebound by C. Frye
9:24.0,,,2-5,,N. Vucevic misses 2-pt shot from 14 ft
9:23.0,Defensive rebound by C. Bosh,,2-5,,
9:09.0,,,2-5,,Personal foul by E. Payton (drawn by L. Deng)
8:59.0,Shooting foul by C. Frye (drawn by D. Wade),,2-5,,
8:59.0,D. Wade makes free throw 1 of 2,1,3-5,,
8:59.0,D. Wade makes free throw 2 of 2,1,4-5,,
8:50.0,,,4-5,,E. Fournier misses 3-pt shot from 27 ft
8:49.0,Defensive rebound by C. Bosh,,4-5,,
8:25.0,L. Deng misses 2-pt shot from 20 ft,,4-5,,
8:23.0,,,4-5,,Defensive rebound by N. Vucevic
8:14.0,,,4-7,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
7:53.0,C. Bosh makes 2-pt shot from 19 ft (assist by G. Dragic),2,6-7,,
7:41.0,,,6-9,2,C. Frye makes 2-pt shot at rim (assist by E. Fournier)
7:21.0,H. Whiteside misses 2-pt shot from 16 ft,,6-9,,
7:20.0,,,6-9,,Defensive rebound by E. Fournier
7:11.0,,,6-9,,N. Vucevic misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by C. Bosh,,6-9,,
7:02.0,G. Dragic misses 2-pt shot from 3 ft,,6-9,,
7:01.0,,,6-9,,Defensive rebound by N. Vucevic
6:55.0,,,6-9,,Shooting foul by H. Whiteside (drawn by T. Harris)
6:55.0,,,6-10,1,T. Harris makes free throw 1 of 2
6:55.0,A. Stoudemire enters the game for H. Whiteside,,6-10,,
6:55.0,,,6-11,1,T. Harris makes free throw 2 of 2
6:40.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,9-11,,
6:18.0,,,9-13,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
6:04.0,L. Deng misses 3-pt shot from 23 ft,,9-13,,
6:03.0,,,9-13,,Defensive rebound by C. Frye
5:57.0,,,9-13,,Turnover by E. Payton (bad pass; steal by C. Bosh)
5:50.0,G. Dragic makes 2-pt shot from 13 ft,2,11-13,,
5:29.0,,,11-15,2,E. Payton makes 2-pt shot from 10 ft
5:20.0,Turnover by G. Dragic (bad pass; steal by E. Payton),,11-15,,
5:16.0,,,11-17,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
5:16.0,Miami full timeout,,11-17,,
5:16.0,J. Winslow enters the game for C. Bosh,,11-17,,
5:16.0,Violation by Team (delay of game),,11-17,,
5:01.0,D. Wade makes 2-pt shot from 2 ft (assist by A. Stoudemire),2,13-17,,
4:50.0,,,13-17,,T. Harris misses 3-pt shot from 23 ft
4:49.0,,,13-17,,Offensive rebound by N. Vucevic
4:33.0,,,13-17,,T. Harris misses 2-pt shot from 12 ft
4:31.0,Defensive rebound by J. Winslow,,13-17,,
4:19.0,G. Dragic makes 2-pt shot from 11 ft (assist by D. Wade),2,15-17,,
4:02.0,,,15-17,,V. Oladipo enters the game for E. Payton
4:02.0,G. Green enters the game for D. Wade,,15-17,,
3:51.0,,,15-17,,N. Vucevic misses 2-pt shot from 12 ft
3:48.0,Defensive rebound by L. Deng,,15-17,,
3:38.0,A. Stoudemire misses 2-pt shot from 6 ft,,15-17,,
3:37.0,,,15-17,,Defensive rebound by T. Harris
3:20.0,,,15-20,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier)
3:00.0,G. Dragic misses 2-pt shot from 2 ft,,15-20,,
2:58.0,,,15-20,,Defensive rebound by N. Vucevic
2:50.0,,,15-22,2,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic)
2:33.0,G. Green misses 2-pt shot from 15 ft,,15-22,,
2:32.0,,,15-22,,Defensive rebound by C. Frye
2:27.0,,,15-22,,Orlando full timeout
2:27.0,,,15-22,,A. Nicholson enters the game for C. Frye
2:27.0,C. Bosh enters the game for L. Deng,,15-22,,
2:27.0,B. Udrih enters the game for G. Dragic,,15-22,,
2:13.0,,,15-22,,E. Fournier misses 2-pt shot from 12 ft
2:09.0,Defensive rebound by A. Stoudemire,,15-22,,
2:02.0,B. Udrih misses 2-pt shot from 18 ft,,15-22,,
2:01.0,,,15-22,,Defensive rebound by T. Harris
1:48.0,,,15-22,,E. Fournier misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by A. Stoudemire,,15-22,,
1:31.0,G. Green makes 3-pt shot from 25 ft (assist by J. Winslow),3,18-22,,
1:10.0,,,18-22,,N. Vucevic misses 2-pt shot from 10 ft
1:08.0,Defensive rebound by C. Bosh,,18-22,,
0:53.0,A. Stoudemire misses 2-pt shot from 19 ft,,18-22,,
0:52.0,,,18-22,,Defensive rebound by A. Nicholson
0:38.0,,,18-24,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Fournier)
0:23.0,Shooting foul by A. Nicholson (drawn by C. Bosh),,18-24,,
0:23.0,C. Bosh makes free throw 1 of 2,1,19-24,,
0:23.0,,,19-24,,J. Smith enters the game for N. Vucevic
0:23.0,,,19-24,,M. Hezonja enters the game for E. Fournier
0:23.0,C. Bosh makes free throw 2 of 2,1,20-24,,
