time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (E. Turner gains possession),,,,Jump ball: A. Horford vs. A. Johnson (E. Turner gains possession)
11:44.0,A. Johnson misses 2-pt shot from 1 ft,,0-0,,
11:43.0,Offensive rebound by A. Johnson,,0-0,,
11:42.0,A. Johnson makes 2-pt shot from 3 ft,2,2-0,,
11:22.0,,,2-0,,K. Bazemore misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by J. Jerebko,,2-0,,
11:08.0,Jump ball: K. Bazemore vs. A. Johnson (J. Crowder gains possession),,,,Jump ball: K. Bazemore vs. A. Johnson (J. Crowder gains possession)
11:01.0,I. Thomas misses 3-pt shot from 25 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by P. Millsap
10:39.0,,,2-0,,A. Horford misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by A. Johnson,,2-0,,
10:32.0,J. Crowder misses 3-pt shot from 23 ft,,2-0,,
10:30.0,Offensive rebound by J. Jerebko,,2-0,,
10:15.0,E. Turner makes 2-pt shot from 16 ft (assist by I. Thomas),2,4-0,,
10:00.0,Personal foul by A. Johnson,,4-0,,
9:55.0,,,4-0,,J. Teague misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by A. Johnson,,4-0,,
9:42.0,E. Turner misses 2-pt shot from 20 ft,,4-0,,
9:41.0,,,4-0,,Defensive rebound by J. Teague
9:35.0,,,4-2,2,J. Teague makes 2-pt shot from 20 ft
9:24.0,Turnover by A. Johnson (lost ball; steal by A. Horford),,4-2,,
9:18.0,,,4-2,,J. Teague misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by A. Johnson,,4-2,,
9:09.0,J. Jerebko misses 3-pt shot from 25 ft,,4-2,,
9:07.0,,,4-2,,Defensive rebound by K. Bazemore
8:44.0,,,4-2,,A. Horford misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by J. Jerebko,,4-2,,
8:30.0,A. Johnson misses 2-pt shot from 8 ft,,4-2,,
8:29.0,,,4-2,,Defensive rebound by K. Korver
8:20.0,,,4-2,,J. Teague misses 2-pt shot from 5 ft
8:19.0,Defensive rebound by A. Johnson,,4-2,,
8:09.0,E. Turner misses 3-pt shot from 23 ft,,4-2,,
8:08.0,,,4-2,,Defensive rebound by P. Millsap
7:59.0,,,4-5,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
7:41.0,Shooting foul by P. Millsap (drawn by A. Johnson),,4-5,,
7:41.0,A. Johnson makes free throw 1 of 2,1,5-5,,
7:41.0,A. Johnson makes free throw 2 of 2,1,6-5,,
7:27.0,,,6-5,,K. Korver misses 3-pt shot from 25 ft
7:26.0,,,6-5,,Offensive rebound by K. Bazemore
7:21.0,,,6-5,,P. Millsap misses 3-pt shot from 24 ft
7:20.0,,,6-5,,Offensive rebound by Team
7:19.0,,,6-5,,Shooting foul by I. Thomas (drawn by J. Teague)
7:19.0,,,6-6,1,J. Teague makes free throw 1 of 2
7:19.0,,,6-7,1,J. Teague makes free throw 2 of 2
7:08.0,I. Thomas misses 2-pt shot from 19 ft,,6-7,,
7:06.0,,,6-7,,Defensive rebound by K. Bazemore
6:53.0,,,6-7,,A. Horford misses 2-pt shot from 8 ft
6:50.0,Defensive rebound by E. Turner,,6-7,,
6:45.0,Turnover by J. Crowder (offensive foul),,6-7,,
6:45.0,Offensive charge foul by J. Crowder,,6-7,,
6:45.0,,,6-7,,M. Scott enters the game for A. Horford
6:45.0,M. Smart enters the game for A. Johnson,,6-7,,
6:34.0,,,6-7,,J. Teague misses 2-pt shot from 6 ft
6:31.0,Defensive rebound by J. Crowder,,6-7,,
6:30.0,Shooting foul by J. Teague (drawn by M. Smart),,6-7,,
6:30.0,M. Smart makes free throw 1 of 2,1,7-7,,
6:30.0,M. Smart misses free throw 2 of 2,,7-7,,
6:29.0,,,7-7,,Defensive rebound by M. Scott
6:19.0,,,7-9,2,K. Bazemore makes 2-pt shot from 19 ft
6:07.0,Turnover by J. Jerebko (bad pass),,7-9,,
6:07.0,,,7-9,,Atlanta full timeout
5:55.0,,,7-9,,Turnover by J. Teague (lost ball)
5:40.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,9-9,,
5:23.0,,,9-9,,K. Bazemore misses 2-pt shot from 3 ft (block by J. Jerebko)
5:21.0,Defensive rebound by J. Crowder,,9-9,,
5:11.0,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas),3,12-9,,
4:57.0,,,12-9,,Shooting foul by J. Jerebko (drawn by P. Millsap)
4:57.0,,,12-9,,P. Millsap misses free throw 1 of 2
4:57.0,,,12-9,,Offensive rebound by Team
4:57.0,K. Olynyk enters the game for J. Jerebko,,12-9,,
4:57.0,T. Rozier enters the game for E. Turner,,12-9,,
4:57.0,,,12-9,,T. Sefolosha enters the game for K. Bazemore
4:57.0,,,12-9,,D. Schroder enters the game for J. Teague
4:57.0,,,12-9,,P. Millsap misses free throw 2 of 2
4:56.0,,,12-9,,Offensive rebound by K. Korver
4:50.0,,,12-9,,Turnover by P. Millsap (lost ball)
4:50.0,,,12-9,,A. Horford enters the game for P. Millsap
4:31.0,M. Smart misses 3-pt shot from 26 ft,,12-9,,
4:29.0,,,12-9,,Defensive rebound by M. Scott
