time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Noel (K. Marshall gains possession),,,,Jump ball: R. Lopez vs. N. Noel (K. Marshall gains possession)
11:47.0,,,0-2,2,N. Noel makes 2-pt shot at rim (assist by I. Canaan)
11:34.0,,,0-2,,Personal foul by N. Noel (drawn by K. Porzingis)
11:21.0,A. Afflalo makes 3-pt shot from 25 ft,3,3-2,,
11:05.0,Def 3 sec tech foul by K. Porzingis,,3-2,,
11:05.0,,,3-3,1,I. Canaan makes technical free throw
10:57.0,,,3-3,,K. Marshall misses 2-pt shot from 16 ft
10:55.0,,,3-3,,Offensive rebound by Team
10:39.0,,,3-5,2,I. Canaan makes 2-pt shot from 7 ft
10:22.0,C. Anthony misses 2-pt shot from 12 ft,,3-5,,
10:20.0,,,3-5,,Defensive rebound by N. Noel
10:13.0,,,3-5,,R. Covington misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by J. Calderon,,3-5,,
10:11.0,,,3-5,,Loose ball foul by R. Covington (drawn by J. Calderon)
9:49.0,K. Porzingis misses 2-pt shot from 16 ft,,3-5,,
9:47.0,,,3-5,,Defensive rebound by R. Covington
9:37.0,,,3-7,2,J. Okafor makes 2-pt shot from 13 ft
9:18.0,Shooting foul by R. Covington (drawn by C. Anthony),,3-7,,
9:18.0,C. Anthony makes free throw 1 of 2,1,4-7,,
9:18.0,,,4-7,,H. Thompson enters the game for R. Covington
9:18.0,C. Anthony makes free throw 2 of 2,1,5-7,,
9:03.0,,,5-7,,K. Marshall misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by J. Calderon,,5-7,,
8:52.0,A. Afflalo misses 2-pt shot from 6 ft,,5-7,,
8:49.0,Offensive rebound by R. Lopez,,5-7,,
8:49.0,R. Lopez makes 2-pt shot from 3 ft,2,7-7,,
8:40.0,,,7-9,2,K. Marshall makes 2-pt shot from 2 ft
8:28.0,C. Anthony makes 2-pt shot from 7 ft,2,9-9,,
8:11.0,,,9-11,2,J. Okafor makes 2-pt shot from 13 ft
7:55.0,K. Porzingis makes 2-pt shot from 14 ft,2,11-11,,
7:40.0,,,11-11,,J. Okafor misses 2-pt shot from 9 ft
7:39.0,Defensive rebound by C. Anthony,,11-11,,
7:27.0,A. Afflalo makes 2-pt shot from 5 ft,2,13-11,,
7:27.0,Shooting foul by I. Canaan (drawn by A. Afflalo),,13-11,,
7:27.0,,,13-11,,T. Wroten enters the game for K. Marshall
7:27.0,,,13-11,,J. Grant enters the game for N. Noel
7:27.0,A. Afflalo makes free throw 1 of 1,1,14-11,,
7:14.0,,,14-11,,I. Canaan misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by A. Afflalo,,14-11,,
7:03.0,J. Calderon misses 2-pt shot from 15 ft,,14-11,,
7:02.0,,,14-11,,Defensive rebound by J. Okafor
6:54.0,,,14-11,,Turnover by T. Wroten (bad pass; steal by C. Anthony)
6:44.0,K. Porzingis misses 3-pt shot from 25 ft,,14-11,,
6:43.0,Offensive rebound by R. Lopez,,14-11,,
6:42.0,R. Lopez makes 2-pt shot from 1 ft,2,16-11,,
6:42.0,,,16-11,,Philadelphia full timeout
6:25.0,,,16-11,,J. Okafor misses 2-pt shot from 4 ft (block by R. Lopez)
6:23.0,,,16-11,,Offensive rebound by H. Thompson
6:18.0,,,16-11,,Shooting foul by R. Lopez (drawn by J. Grant)
6:18.0,,,16-11,,J. Grant misses free throw 1 of 2
6:18.0,,,16-11,,Offensive rebound by Team
6:18.0,,,16-11,,J. Grant misses free throw 2 of 2
6:17.0,Defensive rebound by C. Anthony,,16-11,,
5:59.0,C. Anthony misses 2-pt shot from 18 ft,,16-11,,
5:57.0,,,16-11,,Defensive rebound by J. Okafor
