time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. C. Zeller (A. Gordon gains possession),,,,Jump ball: D. Dedmon vs. C. Zeller (A. Gordon gains possession)
11:46.0,B. Jennings makes 3-pt shot from 23 ft (assist by V. Oladipo),3,3-0,,
11:23.0,,,3-0,,C. Zeller misses 2-pt shot from 1 ft (block by D. Dedmon)
11:21.0,Defensive rebound by B. Jennings,,3-0,,
11:18.0,Turnover by B. Jennings (lost ball; steal by M. Williams),,3-0,,
11:14.0,,,3-2,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
10:47.0,Turnover by Team (shot clock),,3-2,,
10:38.0,Personal foul by A. Gordon,,3-2,,
10:33.0,,,3-2,,Turnover by C. Lee (traveling)
10:17.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,5-2,,
10:06.0,,,5-2,,Shooting foul by A. Gordon (drawn by M. Williams)
10:06.0,,,5-3,1,M. Williams makes free throw 1 of 2
10:06.0,A. Nicholson enters the game for A. Gordon,,5-3,,
10:06.0,,,5-4,1,M. Williams makes free throw 2 of 2
9:46.0,V. Oladipo makes 2-pt shot from 6 ft,2,7-4,,
9:46.0,Shooting foul by C. Lee (drawn by V. Oladipo),,7-4,,
9:46.0,V. Oladipo makes free throw 1 of 1,1,8-4,,
9:35.0,,,8-7,3,C. Lee makes 3-pt shot from 24 ft (assist by N. Batum)
9:19.0,A. Nicholson misses 2-pt shot from 17 ft,,8-7,,
9:18.0,,,8-7,,Defensive rebound by C. Zeller
9:09.0,,,8-7,,M. Williams misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by V. Oladipo,,8-7,,
8:54.0,Offensive foul by A. Nicholson,,8-7,,
8:54.0,Turnover by A. Nicholson (offensive foul),,8-7,,
8:42.0,,,8-7,,C. Zeller misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by A. Nicholson,,8-7,,
8:30.0,B. Jennings makes 3-pt shot from 23 ft (assist by A. Nicholson),3,11-7,,
8:16.0,,,11-7,,Shooting foul by D. Dedmon (drawn by C. Zeller)
8:16.0,,,11-8,1,C. Zeller makes free throw 1 of 2
8:16.0,,,11-8,,C. Zeller misses free throw 2 of 2
8:15.0,Defensive rebound by A. Nicholson,,11-8,,
7:57.0,E. Fournier misses 3-pt shot from 24 ft,,11-8,,
7:55.0,,,11-8,,Defensive rebound by M. Williams
7:46.0,,,11-10,2,C. Lee makes 2-pt shot from 17 ft (assist by N. Batum)
7:46.0,,,11-10,,Shooting foul by V. Oladipo (drawn by C. Lee)
7:46.0,,,11-11,1,C. Lee makes free throw 1 of 1
7:36.0,V. Oladipo misses 2-pt shot from 17 ft,,11-11,,
7:35.0,,,11-11,,Defensive rebound by C. Zeller
7:27.0,,,11-11,,N. Batum misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by E. Fournier,,11-11,,
7:14.0,B. Jennings misses 2-pt shot from 13 ft,,11-11,,
7:13.0,Offensive rebound by D. Dedmon,,11-11,,
7:02.0,E. Fournier misses 3-pt shot from 25 ft,,11-11,,
7:01.0,,,11-11,,Defensive rebound by K. Walker
6:52.0,,,11-11,,Turnover by C. Zeller (lost ball; steal by E. Fournier)
6:45.0,B. Jennings misses 3-pt shot from 25 ft,,11-11,,
6:42.0,,,11-11,,Defensive rebound by M. Williams
6:39.0,,,11-11,,N. Batum misses 2-pt shot from 2 ft (block by A. Nicholson)
6:39.0,,,11-11,,Offensive rebound by Team
6:31.0,,,11-11,,K. Walker misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by E. Fournier,,11-11,,
6:18.0,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Fournier),3,14-11,,
6:04.0,,,14-11,,C. Lee misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by B. Jennings,,14-11,,
6:00.0,,,14-11,,A. Jefferson enters the game for C. Zeller
5:53.0,E. Fournier misses 3-pt shot from 25 ft,,14-11,,
5:52.0,,,14-11,,Defensive rebound by A. Jefferson
5:38.0,,,14-13,2,M. Williams makes 2-pt shot from 23 ft (assist by A. Jefferson)
5:33.0,Orlando full timeout,,14-13,,
5:33.0,,,14-13,,J. Lin enters the game for C. Lee
5:28.0,V. Oladipo makes 2-pt shot from 11 ft,2,16-13,,
5:11.0,,,16-15,2,M. Williams makes 2-pt shot from 22 ft (assist by N. Batum)
4:54.0,A. Nicholson misses 2-pt shot from 7 ft,,16-15,,
4:50.0,,,16-15,,Defensive rebound by A. Jefferson
4:43.0,,,16-15,,A. Jefferson misses 2-pt shot at rim
4:42.0,,,16-15,,Offensive rebound by N. Batum
4:37.0,,,16-15,,J. Lin misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by B. Jennings,,16-15,,
4:28.0,B. Jennings makes 2-pt shot from 13 ft,2,18-15,,
4:16.0,,,18-15,,M. Williams misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by B. Jennings,,18-15,,
4:07.0,V. Oladipo makes 3-pt shot from 23 ft (assist by B. Jennings),3,21-15,,
3:46.0,,,21-17,2,A. Jefferson makes 2-pt shot from 7 ft
3:35.0,B. Jennings misses 2-pt shot from 1 ft,,21-17,,
3:34.0,,,21-17,,Defensive rebound by J. Lin
3:29.0,,,21-17,,K. Walker misses 2-pt shot at rim (block by V. Oladipo)
3:27.0,Defensive rebound by D. Dedmon,,21-17,,
3:25.0,V. Oladipo makes 2-pt shot at rim,2,23-17,,
3:25.0,Shooting foul by J. Lin (drawn by V. Oladipo),,23-17,,
3:25.0,,,23-17,,T. Daniels enters the game for N. Batum
3:25.0,J. Smith enters the game for D. Dedmon,,23-17,,
3:25.0,M. Hezonja enters the game for E. Fournier,,23-17,,
3:25.0,V. Oladipo makes free throw 1 of 1,1,24-17,,
3:12.0,,,24-17,,Shooting foul by A. Nicholson (drawn by J. Lin)
3:12.0,,,24-17,,J. Lin misses free throw 1 of 2
3:12.0,,,24-17,,Offensive rebound by Team
3:12.0,,,24-17,,F. Kaminsky enters the game for M. Williams
3:12.0,,,24-18,1,J. Lin makes free throw 2 of 2
2:55.0,A. Nicholson makes 2-pt shot from 7 ft,2,26-18,,
2:42.0,Personal foul by A. Nicholson,,26-18,,
2:42.0,,,26-18,,Charlotte full timeout
2:42.0,D. Dedmon enters the game for A. Nicholson,,26-18,,
2:42.0,,,26-19,1,F. Kaminsky makes free throw 1 of 2
2:42.0,,,26-20,1,F. Kaminsky makes free throw 2 of 2
2:32.0,,,26-20,,Def 3 sec tech foul by A. Jefferson
2:32.0,V. Oladipo makes technical free throw,1,27-20,,
2:22.0,J. Smith misses 2-pt shot from 7 ft,,27-20,,
2:21.0,,,27-20,,Defensive rebound by A. Jefferson
2:05.0,,,27-22,2,A. Jefferson makes 2-pt shot from 8 ft
1:49.0,J. Smith misses 2-pt shot from 19 ft,,27-22,,
1:48.0,,,27-22,,Defensive rebound by J. Lin
1:30.0,,,27-22,,T. Daniels misses 3-pt shot from 27 ft
1:29.0,Defensive rebound by V. Oladipo,,27-22,,
1:17.0,Offensive foul by B. Jennings,,27-22,,
1:17.0,Turnover by B. Jennings (offensive foul),,27-22,,
1:17.0,C. Watson enters the game for B. Jennings,,27-22,,
1:03.0,,,27-24,2,A. Jefferson makes 2-pt shot at rim (assist by J. Lin)
0:47.0,J. Smith makes 2-pt shot from 18 ft (assist by C. Watson),2,29-24,,
0:37.0,,,29-24,,F. Kaminsky misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by C. Watson,,29-24,,
0:28.0,,,29-24,,Personal foul by F. Kaminsky
0:28.0,D. Dedmon misses free throw 1 of 2,,29-24,,
0:28.0,Offensive rebound by Team,,29-24,,
0:28.0,D. Dedmon makes free throw 2 of 2,1,30-24,,
0:08.0,,,30-26,2,K. Walker makes 2-pt shot from 12 ft
0:06.0,Turnover by J. Smith (lost ball; steal by F. Kaminsky),,30-26,,
0:02.0,,,30-26,,T. Daniels misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by V. Oladipo,,30-26,,
0:00.0,V. Oladipo misses 3-pt shot from 76 ft,,30-26,,
0:00.0,Offensive rebound by Team,,30-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:30.0,,,30-26,,N. Batum misses 2-pt shot from 21 ft
11:29.0,Defensive rebound by J. Smith,,30-26,,
11:16.0,J. Smith misses 2-pt shot from 17 ft,,30-26,,
11:15.0,,,30-26,,Defensive rebound by N. Batum
11:00.0,,,30-26,,A. Jefferson misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by M. Hezonja,,30-26,,
10:43.0,E. Fournier misses 2-pt shot from 19 ft,,30-26,,
10:41.0,,,30-26,,Defensive rebound by F. Kaminsky
10:35.0,,,30-26,,T. Daniels misses 3-pt shot from 28 ft
10:35.0,,,30-26,,Offensive rebound by A. Jefferson
10:35.0,,,30-26,,Shooting foul by C. Watson (drawn by A. Jefferson)
10:35.0,,,30-26,,A. Jefferson misses free throw 1 of 2
10:35.0,,,30-26,,Offensive rebound by Team
10:35.0,,,30-27,1,A. Jefferson makes free throw 2 of 2
10:18.0,Shooting foul by F. Kaminsky (drawn by J. Smith),,30-27,,
10:18.0,J. Smith makes free throw 1 of 2,1,31-27,,
10:18.0,J. Smith makes free throw 2 of 2,1,32-27,,
9:58.0,,,32-27,,A. Jefferson misses 2-pt shot from 10 ft
9:57.0,,,32-27,,Offensive rebound by F. Kaminsky
9:53.0,,,32-27,,J. Lin misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by A. Gordon,,32-27,,
9:48.0,Shooting foul by A. Jefferson (drawn by E. Fournier),,32-27,,
9:48.0,,,32-27,,Charlotte full timeout
9:48.0,E. Fournier misses free throw 1 of 2,,32-27,,
9:48.0,Offensive rebound by Team,,32-27,,
9:48.0,E. Fournier makes free throw 2 of 2,1,33-27,,
9:31.0,,,33-27,,A. Jefferson misses 2-pt shot at rim
9:30.0,,,33-27,,Offensive rebound by A. Jefferson
9:30.0,,,33-27,,A. Jefferson misses 2-pt shot at rim (block by J. Smith)
9:27.0,,,33-27,,Offensive rebound by A. Jefferson
9:27.0,,,33-27,,A. Jefferson misses 2-pt shot at rim
9:26.0,Defensive rebound by J. Smith,,33-27,,
9:20.0,J. Smith makes 2-pt shot from 1 ft (assist by M. Hezonja),2,35-27,,
9:08.0,,,35-29,2,N. Batum makes 2-pt shot from 14 ft (assist by F. Kaminsky)
8:38.0,J. Smith misses 2-pt shot from 16 ft,,35-29,,
8:37.0,,,35-29,,Defensive rebound by A. Jefferson
8:29.0,Personal foul by C. Watson,,35-29,,
8:29.0,,,35-29,,C. Zeller enters the game for A. Jefferson
8:22.0,,,35-31,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
8:01.0,Shooting foul by C. Zeller (drawn by J. Smith),,35-31,,
8:01.0,J. Smith makes free throw 1 of 2,1,36-31,,
8:01.0,J. Smith makes free throw 2 of 2,1,37-31,,
7:45.0,,,37-31,,J. Lin misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by J. Smith,,37-31,,
7:29.0,J. Smith misses 2-pt shot from 20 ft,,37-31,,
7:28.0,,,37-31,,Defensive rebound by T. Daniels
7:18.0,,,37-31,,F. Kaminsky misses 2-pt shot from 1 ft
7:18.0,,,37-31,,Offensive rebound by Team
7:18.0,D. Dedmon enters the game for J. Smith,,37-31,,
7:18.0,,,37-31,,C. Lee enters the game for T. Daniels
7:13.0,,,37-33,2,J. Lin makes 2-pt shot from 2 ft (assist by N. Batum)
6:58.0,A. Gordon misses 2-pt shot from 2 ft,,37-33,,
6:57.0,,,37-33,,Defensive rebound by F. Kaminsky
6:46.0,,,37-35,2,N. Batum makes 2-pt shot from 12 ft
6:32.0,E. Fournier misses 2-pt shot from 1 ft,,37-35,,
6:31.0,,,37-35,,Defensive rebound by F. Kaminsky
6:26.0,,,37-38,3,N. Batum makes 3-pt shot from 24 ft
6:25.0,Orlando full timeout,,37-38,,
6:25.0,V. Oladipo enters the game for M. Hezonja,,37-38,,
6:25.0,,,37-38,,M. Williams enters the game for F. Kaminsky
6:18.0,Turnover by V. Oladipo (lost ball),,37-38,,
6:03.0,,,37-38,,M. Williams misses 2-pt shot from 23 ft
6:02.0,,,37-38,,Offensive rebound by C. Zeller
5:51.0,,,37-38,,C. Lee misses 3-pt shot from 25 ft
5:48.0,,,37-38,,Offensive rebound by M. Williams
5:48.0,,,37-40,2,M. Williams makes 2-pt shot at rim
5:29.0,A. Gordon misses 2-pt shot from 17 ft,,37-40,,
5:27.0,,,37-40,,Defensive rebound by C. Zeller
5:17.0,,,37-40,,C. Lee misses 2-pt shot from 1 ft
5:16.0,,,37-40,,Offensive rebound by C. Zeller
5:16.0,,,37-40,,Shooting foul by E. Fournier (drawn by C. Zeller)
5:16.0,,,37-41,1,C. Zeller makes free throw 1 of 2
5:16.0,J. Smith enters the game for D. Dedmon,,37-41,,
5:16.0,A. Nicholson enters the game for A. Gordon,,37-41,,
5:16.0,,,37-42,1,C. Zeller makes free throw 2 of 2
5:03.0,C. Watson misses 2-pt shot from 16 ft,,37-42,,
5:00.0,,,37-42,,Defensive rebound by C. Zeller
4:47.0,,,37-45,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lin)
4:30.0,,,37-45,,K. Walker enters the game for J. Lin
4:30.0,B. Jennings enters the game for C. Watson,,37-45,,
4:21.0,Turnover by Team (shot clock),,37-45,,
4:09.0,,,37-47,2,N. Batum makes 2-pt shot from 14 ft (assist by M. Williams)
3:53.0,J. Smith misses 2-pt shot from 19 ft,,37-47,,
3:51.0,,,37-47,,Defensive rebound by K. Walker
3:45.0,,,37-47,,K. Walker misses 2-pt shot from 18 ft
3:42.0,Defensive rebound by A. Nicholson,,37-47,,
3:32.0,A. Nicholson misses 3-pt shot from 25 ft,,37-47,,
3:31.0,,,37-47,,Defensive rebound by C. Zeller
3:23.0,,,37-49,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
3:02.0,A. Nicholson makes 2-pt shot from 9 ft,2,39-49,,
2:43.0,,,39-51,2,N. Batum makes 2-pt shot from 17 ft
2:31.0,Shooting foul by M. Williams (drawn by A. Nicholson),,39-51,,
2:31.0,Official timeout,,39-51,,
2:31.0,A. Nicholson makes free throw 1 of 2,1,40-51,,
2:31.0,A. Nicholson makes free throw 2 of 2,1,41-51,,
2:18.0,,,41-53,2,N. Batum makes 2-pt shot from 15 ft (assist by M. Williams)
1:57.0,V. Oladipo makes 2-pt shot from 2 ft,2,43-53,,
1:35.0,,,43-53,,Turnover by N. Batum (lost ball; steal by A. Nicholson)
1:32.0,Offensive charge foul by E. Fournier,,43-53,,
1:32.0,Turnover by E. Fournier (offensive foul),,43-53,,
1:32.0,M. Hezonja enters the game for A. Nicholson,,43-53,,
1:32.0,C. Watson enters the game for E. Fournier,,43-53,,
1:19.0,,,43-53,,N. Batum misses 2-pt shot from 17 ft
1:19.0,,,43-53,,Offensive rebound by Team
1:19.0,Loose ball foul by B. Jennings,,43-53,,
1:11.0,,,43-53,,N. Batum misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by B. Jennings,,43-53,,
1:02.0,B. Jennings misses 3-pt shot from 26 ft,,43-53,,
1:00.0,,,43-53,,Defensive rebound by C. Zeller
0:50.0,,,43-56,3,M. Williams makes 3-pt shot from 23 ft (assist by C. Lee)
0:34.0,J. Smith misses 2-pt shot from 1 ft (block by C. Zeller),,43-56,,
0:33.0,,,43-56,,Defensive rebound by K. Walker
0:28.0,,,43-59,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:06.0,M. Hezonja misses 3-pt shot from 24 ft,,43-59,,
0:05.0,,,43-59,,Defensive rebound by N. Batum
0:01.0,,,43-61,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,43-61,,M. Williams misses 2-pt shot from 12 ft
11:37.0,,,43-61,,Offensive rebound by M. Williams
11:37.0,,,43-63,2,M. Williams makes 2-pt shot from 1 ft
11:24.0,B. Jennings makes 3-pt shot from 25 ft (assist by V. Oladipo),3,46-63,,
11:09.0,,,46-66,3,M. Williams makes 3-pt shot from 25 ft (assist by C. Lee)
10:55.0,V. Oladipo makes 2-pt shot from 17 ft,2,48-66,,
10:36.0,,,48-66,,C. Lee misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by A. Gordon,,48-66,,
10:20.0,D. Dedmon misses 2-pt shot from 1 ft (block by M. Williams),,48-66,,
10:19.0,,,48-66,,Defensive rebound by C. Zeller
10:13.0,,,48-69,3,K. Walker makes 3-pt shot from 26 ft
