time,Boston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: R. Hibbert vs. A. Johnson (I. Thomas gains possession)
11:44.0,I. Thomas misses 2-pt shot from 2 ft,,0-0,,
11:42.0,Offensive rebound by A. Johnson,,0-0,,
11:42.0,A. Johnson makes 2-pt shot from 1 ft,2,2-0,,
11:26.0,,,2-0,,J. Clarkson misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by A. Johnson,,2-0,,
11:16.0,J. Sullinger misses 2-pt shot from 18 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by D. Russell
10:56.0,,,2-2,2,K. Bryant makes 2-pt shot from 19 ft
10:37.0,J. Crowder misses 2-pt shot from 19 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by D. Russell
10:23.0,,,2-2,,R. Hibbert misses 2-pt shot from 4 ft
10:20.0,Defensive rebound by J. Crowder,,2-2,,
10:17.0,Shooting foul by J. Randle (drawn by I. Thomas),,2-2,,
10:17.0,I. Thomas misses free throw 1 of 2,,2-2,,
10:17.0,Offensive rebound by Team,,2-2,,
10:17.0,I. Thomas makes free throw 2 of 2,1,3-2,,
10:04.0,,,3-2,,Turnover by D. Russell (lost ball)
9:44.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,5-2,,
9:26.0,,,5-4,2,J. Randle makes 2-pt shot from 16 ft (assist by D. Russell)
9:17.0,I. Thomas makes 2-pt shot from 1 ft,2,7-4,,
8:54.0,,,7-6,2,D. Russell makes 2-pt shot from 2 ft (assist by J. Clarkson)
8:39.0,J. Crowder makes 2-pt shot from 17 ft (assist by I. Thomas),2,9-6,,
8:25.0,,,9-9,3,K. Bryant makes 3-pt shot from 24 ft (assist by J. Randle)
8:11.0,I. Thomas makes 2-pt shot at rim (assist by A. Johnson),2,11-9,,
8:00.0,,,11-9,,D. Russell misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by J. Sullinger,,11-9,,
7:54.0,Shooting foul by R. Hibbert (drawn by A. Johnson),,11-9,,
7:54.0,A. Johnson makes free throw 1 of 2,1,12-9,,
7:54.0,A. Johnson makes free throw 2 of 2,1,13-9,,
7:39.0,,,13-9,,K. Bryant misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by A. Johnson,,13-9,,
7:31.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,15-9,,
7:20.0,,,15-11,2,D. Russell makes 2-pt shot from 2 ft
7:06.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson),3,18-11,,
6:53.0,,,18-11,,Shooting foul by A. Johnson (drawn by J. Randle)
6:53.0,,,18-11,,J. Randle misses free throw 1 of 2
6:53.0,,,18-11,,Offensive rebound by Team
6:53.0,,,18-12,1,J. Randle makes free throw 2 of 2
6:39.0,J. Crowder misses 3-pt shot from 25 ft,,18-12,,
6:38.0,,,18-12,,Defensive rebound by D. Russell
6:26.0,,,18-12,,K. Bryant misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by I. Thomas,,18-12,,
6:21.0,Turnover by I. Thomas (lost ball; steal by K. Bryant),,18-12,,
6:12.0,,,18-12,,Shooting foul by J. Crowder (drawn by K. Bryant)
6:12.0,,,18-13,1,K. Bryant makes free throw 1 of 2
6:12.0,,,18-13,,M. Huertas enters the game for D. Russell
6:12.0,,,18-14,1,K. Bryant makes free throw 2 of 2
6:03.0,E. Turner makes 2-pt shot from 12 ft (assist by I. Thomas),2,20-14,,
5:50.0,,,20-14,,J. Randle misses 2-pt shot from 3 ft
5:46.0,Defensive rebound by A. Johnson,,20-14,,
5:36.0,A. Johnson misses 3-pt shot from 26 ft,,20-14,,
5:35.0,,,20-14,,Defensive rebound by R. Hibbert
5:20.0,,,20-16,2,J. Clarkson makes 2-pt shot from 1 ft
5:18.0,Boston full timeout,,20-16,,
5:18.0,M. Smart enters the game for J. Crowder,,20-16,,
5:18.0,K. Olynyk enters the game for J. Sullinger,,20-16,,
5:18.0,,,20-16,,R. Kelly enters the game for J. Randle
5:03.0,I. Thomas makes 3-pt shot from 25 ft,3,23-16,,
4:46.0,,,23-16,,K. Bryant misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by A. Johnson,,23-16,,
4:32.0,E. Turner misses 2-pt shot from 10 ft,,23-16,,
4:31.0,Offensive rebound by Team,,23-16,,
4:25.0,A. Johnson makes 2-pt shot from 3 ft (assist by I. Thomas),2,25-16,,
4:14.0,,,25-16,,M. Huertas misses 2-pt shot at rim
4:12.0,Defensive rebound by A. Johnson,,25-16,,
4:12.0,Turnover by A. Johnson (lost ball; steal by K. Bryant),,25-16,,
4:12.0,,,25-16,,Shooting foul by M. Smart (drawn by K. Bryant)
4:12.0,,,25-17,1,K. Bryant makes free throw 1 of 2
4:12.0,,,25-17,,T. Black enters the game for R. Hibbert
4:12.0,,,25-18,1,K. Bryant makes free throw 2 of 2
3:52.0,K. Olynyk misses 2-pt shot from 1 ft,,25-18,,
3:48.0,Offensive rebound by A. Johnson,,25-18,,
3:48.0,A. Johnson makes 2-pt shot at rim,2,27-18,,
3:33.0,,,27-18,,Shooting foul by E. Turner (drawn by K. Bryant)
3:33.0,,,27-19,1,K. Bryant makes free throw 1 of 2
3:33.0,,,27-20,1,K. Bryant makes free throw 2 of 2
3:18.0,E. Turner makes 2-pt shot from 15 ft (assist by A. Johnson),2,29-20,,
2:57.0,,,29-20,,K. Bryant misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by A. Johnson,,29-20,,
2:39.0,Turnover by E. Turner (bad pass),,29-20,,
2:39.0,,,29-20,,LA Lakers full timeout
2:39.0,,,29-20,,L. Nance enters the game for K. Bryant
2:39.0,J. Jerebko enters the game for I. Thomas,,29-20,,
2:23.0,,,29-20,,Shooting foul by J. Jerebko (drawn by J. Clarkson)
2:23.0,,,29-20,,J. Clarkson misses free throw 1 of 2
2:23.0,,,29-20,,Offensive rebound by Team
2:23.0,,,29-21,1,J. Clarkson makes free throw 2 of 2
2:12.0,,,29-21,,Personal foul by J. Clarkson
2:03.0,Turnover by M. Smart (lost ball; steal by J. Clarkson),,29-21,,
1:57.0,,,29-21,,J. Clarkson misses 2-pt shot from 1 ft
1:55.0,,,29-21,,Offensive rebound by J. Clarkson
1:55.0,,,29-21,,J. Clarkson misses 2-pt shot from 1 ft
1:52.0,,,29-21,,Offensive rebound by J. Clarkson
1:41.0,,,29-21,,T. Black misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by J. Jerebko,,29-21,,
1:26.0,M. Smart misses 3-pt shot from 26 ft,,29-21,,
1:25.0,,,29-21,,Defensive rebound by L. Nance
1:06.0,,,29-24,3,J. Clarkson makes 3-pt shot from 24 ft (assist by M. Huertas)
0:53.0,K. Olynyk makes 2-pt shot from 18 ft (assist by E. Turner),2,31-24,,
0:39.0,,,31-26,2,M. Huertas makes 2-pt shot from 5 ft
0:27.0,K. Olynyk misses 3-pt shot from 26 ft,,31-26,,
