time,Toronto,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. J. Valanciunas (T. Douglas gains possession),,,,Jump ball: A. Ajinca vs. J. Valanciunas (T. Douglas gains possession)
11:48.0,,,0-0,,A. Ajinca misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by N. Powell,,0-0,,
11:23.0,K. Lowry makes 2-pt shot from 11 ft,2,2-0,,
11:04.0,,,2-2,2,D. Cunningham makes 2-pt shot from 18 ft (assist by T. Douglas)
10:46.0,K. Lowry makes 2-pt shot from 1 ft (assist by L. Scola),2,4-2,,
10:33.0,Def 3 sec tech foul by J. Valanciunas,,4-2,,
10:33.0,,,4-3,1,T. Douglas makes technical free throw
10:22.0,,,4-3,,D. Cunningham misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by J. Valanciunas,,4-3,,
10:07.0,J. Valanciunas misses 2-pt shot from 14 ft,,4-3,,
10:07.0,,,4-3,,Defensive rebound by O. Asik
9:52.0,,,4-3,,Turnover by A. Gee (lost ball; steal by K. Lowry)
9:41.0,Turnover by J. Valanciunas (lost ball; steal by O. Asik),,4-3,,
9:36.0,,,4-3,,T. Douglas misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by Team,,4-3,,
9:10.0,N. Powell misses 3-pt shot from 27 ft,,4-3,,
9:09.0,,,4-3,,Defensive rebound by A. Gee
8:52.0,,,4-3,,O. Asik misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by K. Lowry,,4-3,,
8:42.0,D. DeRozan makes 2-pt shot from 15 ft,2,6-3,,
8:20.0,,,6-5,2,T. Douglas makes 2-pt shot from 1 ft
8:02.0,D. DeRozan makes 2-pt shot from 19 ft,2,8-5,,
7:49.0,,,8-5,,A. Ajinca misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by N. Powell,,8-5,,
7:31.0,J. Valanciunas makes 2-pt shot from 5 ft,2,10-5,,
7:16.0,,,10-7,2,O. Asik makes 2-pt shot at rim (assist by A. Ajinca)
6:54.0,D. DeRozan misses 2-pt shot from 12 ft,,10-7,,
6:52.0,,,10-7,,Defensive rebound by A. Ajinca
6:40.0,,,10-7,,A. Ajinca misses 2-pt shot from 8 ft (block by J. Valanciunas)
6:39.0,Defensive rebound by L. Scola,,10-7,,
6:29.0,D. DeRozan misses 3-pt shot from 24 ft,,10-7,,
6:28.0,,,10-7,,Defensive rebound by O. Asik
6:18.0,,,10-7,,A. Ajinca misses 2-pt shot from 5 ft
6:16.0,Defensive rebound by N. Powell,,10-7,,
6:12.0,N. Powell makes 2-pt shot from 1 ft,2,12-7,,
5:51.0,,,12-7,,D. Cunningham misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by L. Scola,,12-7,,
5:42.0,K. Lowry misses 3-pt shot from 25 ft,,12-7,,
5:41.0,,,12-7,,Defensive rebound by O. Asik
5:35.0,,,12-7,,New Orleans full timeout
5:35.0,,,12-7,,L. Babbitt enters the game for A. Ajinca
5:19.0,,,12-7,,T. Douglas misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by J. Valanciunas,,12-7,,
5:10.0,Turnover by K. Lowry (lost ball; steal by T. Douglas),,12-7,,
5:06.0,,,12-9,2,T. Douglas makes 2-pt shot from 1 ft
4:42.0,,,12-9,,Personal foul by T. Douglas
4:42.0,,,12-9,,T. Frazier enters the game for T. Douglas
4:30.0,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry),3,15-9,,
4:17.0,Personal foul by N. Powell,,15-9,,
4:17.0,C. Joseph enters the game for K. Lowry,,15-9,,
4:12.0,,,15-9,,O. Asik misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by D. DeRozan,,15-9,,
4:01.0,Turnover by D. DeRozan (lost ball; steal by A. Gee),,15-9,,
3:55.0,,,15-11,2,A. Gee makes 2-pt shot at rim
3:27.0,N. Powell makes 2-pt shot from 18 ft,2,17-11,,
3:08.0,,,17-11,,D. Cunningham misses 3-pt shot from 22 ft
3:07.0,,,17-11,,Offensive rebound by O. Asik
3:05.0,,,17-11,,O. Asik misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by J. Valanciunas,,17-11,,
2:54.0,L. Scola makes 3-pt shot from 24 ft (assist by C. Joseph),3,20-11,,
2:43.0,,,20-11,,A. Gee misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by L. Scola,,20-11,,
2:26.0,J. Valanciunas misses 2-pt shot from 1 ft,,20-11,,
2:26.0,,,20-11,,Defensive rebound by L. Babbitt
2:16.0,,,20-11,,Shooting foul by J. Valanciunas (drawn by T. Frazier)
2:16.0,Toronto full timeout,,20-11,,
2:16.0,,,20-11,,K. Perkins enters the game for O. Asik
2:16.0,,,20-11,,J. Hamilton enters the game for A. Gee
2:16.0,J. Johnson enters the game for N. Powell,,20-11,,
2:16.0,B. Biyombo enters the game for J. Valanciunas,,20-11,,
2:16.0,,,20-12,1,T. Frazier makes free throw 1 of 2
2:16.0,,,20-13,1,T. Frazier makes free throw 2 of 2
1:59.0,J. Johnson misses 3-pt shot from 24 ft,,20-13,,
1:58.0,,,20-13,,Defensive rebound by T. Frazier
1:34.0,,,20-13,,D. Cunningham misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Johnson,,20-13,,
1:20.0,J. Johnson misses 3-pt shot from 23 ft,,20-13,,
1:18.0,,,20-13,,Defensive rebound by T. Frazier
1:08.0,,,20-13,,D. Cunningham misses 2-pt shot from 2 ft (block by B. Biyombo)
1:07.0,,,20-13,,Offensive rebound by D. Cunningham
1:00.0,,,20-13,,L. Babbitt misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by B. Biyombo,,20-13,,
0:34.0,C. Joseph misses 2-pt shot from 2 ft,,20-13,,
0:34.0,,,20-13,,Defensive rebound by J. Hamilton
0:13.0,,,20-15,2,L. Babbitt makes 2-pt shot from 1 ft (assist by T. Frazier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. Joseph makes 2-pt shot from 1 ft (assist by P. Patterson),2,22-15,,
11:15.0,,,22-15,,L. Babbitt misses 2-pt shot from 8 ft
11:15.0,Defensive rebound by J. Johnson,,22-15,,
10:57.0,Shooting foul by K. Perkins (drawn by B. Biyombo),,22-15,,
10:57.0,B. Biyombo makes free throw 1 of 2,1,23-15,,
10:57.0,B. Biyombo makes free throw 2 of 2,1,24-15,,
10:41.0,,,24-15,,L. Babbitt misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by B. Biyombo,,24-15,,
10:25.0,J. Johnson makes 2-pt shot from 16 ft (assist by K. Lowry),2,26-15,,
10:11.0,,,26-15,,A. Gee misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by B. Biyombo,,26-15,,
9:59.0,Shooting foul by K. Perkins (drawn by J. Johnson),,26-15,,
9:59.0,J. Johnson makes free throw 1 of 2,1,27-15,,
9:59.0,J. Johnson makes free throw 2 of 2,1,28-15,,
9:44.0,,,28-17,2,A. Gee makes 2-pt shot from 2 ft (assist by L. Babbitt)
9:29.0,K. Lowry misses 3-pt shot from 25 ft,,28-17,,
9:28.0,,,28-17,,Defensive rebound by L. Babbitt
9:19.0,,,28-17,,J. Hamilton misses 2-pt shot from 15 ft
9:17.0,,,28-17,,Offensive rebound by A. Gee
9:13.0,,,28-17,,Shooting foul by B. Biyombo (drawn by A. Gee)
9:13.0,,,28-17,,A. Gee misses free throw 1 of 2
9:13.0,,,28-17,,Offensive rebound by Team
9:13.0,,,28-18,1,A. Gee makes free throw 2 of 2
8:54.0,Official timeout,,28-18,,
8:54.0,Offensive foul by B. Biyombo,,28-18,,
8:54.0,Turnover by B. Biyombo (offensive foul),,28-18,,
8:46.0,,,28-20,2,A. Gee makes 2-pt shot at rim (assist by T. Frazier)
8:21.0,K. Lowry misses 3-pt shot from 25 ft,,28-20,,
8:20.0,,,28-20,,Defensive rebound by J. Hamilton
8:05.0,,,28-22,2,A. Gee makes 2-pt shot at rim (assist by K. Perkins)
7:42.0,P. Patterson misses 2-pt shot from 13 ft,,28-22,,
7:42.0,,,28-22,,Defensive rebound by J. Hamilton
7:22.0,J. Valanciunas enters the game for B. Biyombo,,28-22,,
7:16.0,,,28-22,,T. Frazier misses 2-pt shot from 14 ft
7:15.0,Defensive rebound by J. Johnson,,28-22,,
7:08.0,Turnover by J. Johnson (lost ball; steal by K. Perkins),,28-22,,
6:47.0,,,28-22,,J. Hamilton misses 2-pt shot from 14 ft
6:45.0,Defensive rebound by P. Patterson,,28-22,,
6:34.0,C. Joseph misses 2-pt shot from 1 ft,,28-22,,
6:33.0,,,28-22,,Defensive rebound by K. Perkins
6:28.0,Personal foul by K. Lowry,,28-22,,
6:28.0,,,28-22,,O. Asik enters the game for K. Perkins
6:28.0,N. Powell enters the game for C. Joseph,,28-22,,
6:28.0,D. DeRozan enters the game for J. Johnson,,28-22,,
6:28.0,,,28-22,,D. Cunningham enters the game for J. Hamilton
6:22.0,Personal foul by K. Lowry,,28-22,,
6:16.0,,,28-22,,T. Frazier misses 2-pt shot from 20 ft
6:15.0,Defensive rebound by P. Patterson,,28-22,,
6:05.0,P. Patterson makes 3-pt shot from 26 ft (assist by D. DeRozan),3,31-22,,
5:48.0,,,31-22,,D. Cunningham misses 3-pt shot from 22 ft
5:47.0,Defensive rebound by D. DeRozan,,31-22,,
5:33.0,,,31-22,,Personal foul by A. Gee
5:33.0,,,31-22,,New Orleans full timeout
5:33.0,,,31-22,,T. Douglas enters the game for L. Babbitt
5:29.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,33-22,,
5:12.0,,,33-22,,T. Douglas misses 2-pt shot from 1 ft (block by J. Valanciunas)
5:10.0,Defensive rebound by P. Patterson,,33-22,,
4:56.0,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry),2,35-22,,
4:44.0,Personal foul by N. Powell,,35-22,,
4:32.0,,,35-24,2,T. Frazier makes 2-pt shot from 9 ft
4:23.0,,,35-24,,Personal foul by A. Gee
4:15.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,37-24,,
3:56.0,,,37-24,,T. Douglas misses 2-pt shot from 6 ft (block by J. Valanciunas)
3:54.0,Defensive rebound by N. Powell,,37-24,,
3:49.0,K. Lowry misses 3-pt shot from 26 ft,,37-24,,
3:47.0,,,37-24,,Defensive rebound by O. Asik
3:40.0,,,37-24,,Turnover by T. Douglas (lost ball; steal by K. Lowry)
3:29.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,39-24,,
3:17.0,,,39-24,,New Orleans full timeout
3:17.0,C. Joseph enters the game for K. Lowry,,39-24,,
3:17.0,,,39-24,,A. Ajinca enters the game for T. Douglas
3:02.0,,,39-26,2,A. Ajinca makes 2-pt shot from 1 ft (assist by A. Gee)
3:02.0,,,39-26,,Shooting foul by P. Patterson (drawn by A. Ajinca)
3:02.0,,,39-27,1,A. Ajinca makes free throw 1 of 1
2:51.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,42-27,,
2:27.0,,,42-27,,A. Ajinca misses 2-pt shot from 8 ft
2:26.0,Defensive rebound by D. DeRozan,,42-27,,
2:13.0,Turnover by N. Powell (lost ball; steal by O. Asik),,42-27,,
2:01.0,,,42-29,2,T. Frazier makes 2-pt shot from 14 ft
1:35.0,P. Patterson makes 2-pt shot from 15 ft (assist by C. Joseph),2,44-29,,
1:16.0,,,44-29,,O. Asik misses 2-pt shot from 4 ft (block by J. Valanciunas)
1:16.0,Defensive rebound by C. Joseph,,44-29,,
1:07.0,,,44-29,,Personal foul by T. Frazier
1:07.0,D. DeRozan makes free throw 1 of 2,1,45-29,,
1:07.0,,,45-29,,L. Babbitt enters the game for A. Gee
1:07.0,D. DeRozan makes free throw 2 of 2,1,46-29,,
0:51.0,,,46-31,2,L. Babbitt makes 2-pt shot from 9 ft
0:35.0,N. Powell misses 2-pt shot from 3 ft (block by A. Ajinca),,46-31,,
0:34.0,,,46-31,,Defensive rebound by A. Ajinca
0:25.0,,,46-34,3,L. Babbitt makes 3-pt shot from 24 ft (assist by T. Frazier)
0:07.0,Shooting foul by A. Ajinca (drawn by D. DeRozan),,46-34,,
0:07.0,D. DeRozan makes free throw 1 of 2,1,47-34,,
0:07.0,,,47-34,,A. Gee enters the game for A. Ajinca
0:07.0,,,47-34,,J. Hamilton enters the game for O. Asik
0:07.0,B. Biyombo enters the game for J. Valanciunas,,47-34,,
0:07.0,D. DeRozan makes free throw 2 of 2,1,48-34,,
