time,Orlando,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession)
11:38.0,V. Oladipo misses 2-pt shot from 12 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Ajinca
11:25.0,,,0-0,,A. Davis misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by V. Oladipo,,0-0,,
11:14.0,E. Payton makes 2-pt shot from 1 ft,2,2-0,,
11:03.0,,,2-3,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday)
10:44.0,T. Harris misses 2-pt shot from 14 ft,,2-3,,
10:44.0,,,2-3,,Defensive rebound by A. Ajinca
10:30.0,,,2-3,,E. Gordon misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by T. Harris,,2-3,,
10:22.0,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton),2,4-3,,
10:12.0,,,4-3,,J. Holiday misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by N. Vucevic,,4-3,,
9:52.0,E. Payton misses 2-pt shot from 18 ft,,4-3,,
9:50.0,,,4-3,,Defensive rebound by A. Davis
9:44.0,,,4-3,,A. Ajinca misses 2-pt shot from 1 ft (block by V. Oladipo)
9:42.0,Defensive rebound by N. Vucevic,,4-3,,
9:34.0,E. Fournier makes 2-pt shot from 13 ft (assist by E. Payton),2,6-3,,
9:16.0,,,6-3,,E. Gordon misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by E. Fournier,,6-3,,
9:15.0,Turnover by E. Fournier (step out of bounds),,6-3,,
9:10.0,,,6-5,2,A. Ajinca makes 2-pt shot at rim (assist by E. Gordon)
8:53.0,N. Vucevic misses 2-pt shot from 16 ft,,6-5,,
8:53.0,,,6-5,,Defensive rebound by A. Davis
8:45.0,,,6-5,,J. Holiday misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by V. Oladipo,,6-5,,
8:36.0,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo),3,9-5,,
8:19.0,,,9-5,,J. Holiday misses 2-pt shot from 2 ft (block by N. Vucevic)
8:19.0,,,9-5,,Offensive rebound by Team
8:16.0,,,9-5,,Turnover by A. Davis (lost ball; steal by T. Harris)
7:57.0,Turnover by V. Oladipo (bad pass; steal by L. Babbitt),,9-5,,
7:48.0,,,9-5,,Turnover by J. Holiday (bad pass; steal by E. Payton)
7:44.0,Turnover by E. Payton (lost ball; steal by J. Holiday),,9-5,,
7:41.0,,,9-7,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:41.0,Orlando full timeout,,9-7,,
7:26.0,N. Vucevic misses 2-pt shot from 9 ft,,9-7,,
7:23.0,,,9-7,,Defensive rebound by L. Babbitt
7:08.0,,,9-9,2,A. Ajinca makes 2-pt shot from 8 ft
6:49.0,Turnover by N. Vucevic (lost ball; steal by J. Holiday),,9-9,,
6:45.0,,,9-9,,Shooting foul by V. Oladipo (drawn by E. Gordon)
6:45.0,,,9-9,,E. Gordon misses free throw 1 of 2
6:45.0,,,9-9,,Offensive rebound by Team
6:45.0,,,9-9,,T. Douglas enters the game for J. Holiday
6:45.0,,,9-9,,R. Anderson enters the game for A. Ajinca
6:45.0,C. Watson enters the game for E. Payton,,9-9,,
6:45.0,,,9-10,1,E. Gordon makes free throw 2 of 2
6:23.0,N. Vucevic makes 2-pt shot from 4 ft,2,11-10,,
6:11.0,,,11-10,,A. Davis misses 2-pt shot from 14 ft
6:10.0,Defensive rebound by N. Vucevic,,11-10,,
6:01.0,V. Oladipo misses 2-pt shot from 21 ft,,11-10,,
6:00.0,Offensive rebound by N. Vucevic,,11-10,,
5:56.0,N. Vucevic makes 2-pt shot from 1 ft,2,13-10,,
5:43.0,,,13-10,,E. Gordon misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by T. Harris,,13-10,,
5:37.0,T. Harris misses 2-pt shot from 2 ft,,13-10,,
5:36.0,Offensive rebound by N. Vucevic,,13-10,,
5:35.0,N. Vucevic makes 2-pt shot from 2 ft,2,15-10,,
5:20.0,,,15-10,,Shooting foul by T. Harris (drawn by R. Anderson)
5:20.0,,,15-10,,R. Anderson misses free throw 1 of 2
5:20.0,,,15-10,,Offensive rebound by Team
5:20.0,M. Hezonja enters the game for E. Fournier,,15-10,,
5:20.0,,,15-11,1,R. Anderson makes free throw 2 of 2
5:14.0,,,15-11,,Personal foul by T. Douglas (drawn by C. Watson)
5:06.0,N. Vucevic misses 2-pt shot from 6 ft,,15-11,,
5:04.0,Offensive rebound by T. Harris,,15-11,,
5:03.0,Turnover by M. Hezonja (traveling),,15-11,,
4:52.0,,,15-11,,E. Gordon misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by N. Vucevic,,15-11,,
4:44.0,T. Harris makes 2-pt shot from 1 ft,2,17-11,,
4:40.0,,,17-11,,New Orleans full timeout
4:17.0,,,17-13,2,T. Douglas makes 2-pt shot from 22 ft
4:02.0,M. Hezonja makes 3-pt shot from 24 ft (assist by C. Watson),3,20-13,,
3:45.0,,,20-13,,L. Babbitt misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by T. Harris,,20-13,,
3:41.0,Turnover by T. Harris (lost ball; steal by T. Douglas),,20-13,,
3:36.0,,,20-13,,Offensive charge foul by A. Davis
3:36.0,,,20-13,,Turnover by A. Davis (offensive foul)
3:36.0,E. Fournier enters the game for V. Oladipo,,20-13,,
3:36.0,A. Gordon enters the game for T. Harris,,20-13,,
3:36.0,,,20-13,,D. Cunningham enters the game for A. Davis
3:36.0,,,20-13,,A. Gee enters the game for L. Babbitt
3:27.0,Turnover by C. Watson (bad pass),,20-13,,
3:12.0,,,20-13,,Turnover by E. Gordon (lost ball; steal by E. Fournier)
3:01.0,A. Gordon misses 2-pt shot from 2 ft (block by R. Anderson),,20-13,,
2:58.0,,,20-13,,Defensive rebound by T. Douglas
2:56.0,,,20-15,2,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Douglas)
2:39.0,E. Fournier misses 3-pt shot from 25 ft,,20-15,,
2:38.0,,,20-15,,Defensive rebound by Team
2:38.0,J. Smith enters the game for N. Vucevic,,20-15,,
2:29.0,,,20-15,,T. Douglas misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by M. Hezonja,,20-15,,
2:20.0,M. Hezonja misses 2-pt shot from 4 ft,,20-15,,
2:19.0,,,20-15,,Defensive rebound by R. Anderson
2:16.0,,,20-15,,Offensive charge foul by E. Gordon
2:16.0,,,20-15,,Turnover by E. Gordon (offensive foul)
2:03.0,E. Fournier makes 2-pt shot from 2 ft,2,22-15,,
1:47.0,,,22-17,2,T. Douglas makes 2-pt shot from 2 ft (assist by E. Gordon)
1:30.0,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja),2,24-17,,
1:10.0,,,24-17,,A. Gee misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by E. Fournier,,24-17,,
1:03.0,E. Fournier makes 2-pt shot from 1 ft,2,26-17,,
0:53.0,,,26-17,,Turnover by T. Douglas (bad pass)
