time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (J. Okafor gains possession),,,,Jump ball: B. Lopez vs. N. Noel (J. Okafor gains possession)
11:46.0,,,0-0,,R. Covington misses 2-pt shot from 6 ft
11:44.0,Defensive rebound by T. Young,,0-0,,
11:29.0,W. Ellington misses 2-pt shot from 18 ft,,0-0,,
11:27.0,Offensive rebound by B. Lopez,,0-0,,
11:25.0,Turnover by D. Sloan (lost ball),,0-0,,
11:13.0,,,0-0,,R. Covington misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by T. Young,,0-0,,
10:54.0,Turnover by B. Lopez (traveling),,0-0,,
10:43.0,Personal foul by B. Lopez (drawn by J. Okafor),,0-0,,
10:43.0,,,0-1,1,J. Okafor makes free throw 1 of 2
10:43.0,,,0-2,1,J. Okafor makes free throw 2 of 2
10:32.0,Turnover by D. Sloan (lost ball; steal by R. Covington),,0-2,,
10:27.0,,,0-2,,Turnover by T. McConnell (bad pass; steal by D. Sloan)
10:21.0,W. Ellington makes 2-pt shot from 1 ft (assist by T. Young),2,2-2,,
10:05.0,,,2-2,,Turnover by N. Noel (lost ball)
9:47.0,B. Lopez misses 2-pt shot from 2 ft (block by J. Okafor),,2-2,,
9:45.0,,,2-2,,Defensive rebound by N. Noel
9:40.0,,,2-2,,R. Covington misses 3-pt shot from 25 ft
9:38.0,,,2-2,,Offensive rebound by J. Okafor
9:32.0,,,2-2,,J. Okafor misses 2-pt shot from 12 ft
9:31.0,Defensive rebound by Team,,2-2,,
9:14.0,,,2-2,,Personal foul by R. Covington (drawn by J. Johnson)
9:08.0,Turnover by W. Ellington (lost ball),,2-2,,
8:55.0,,,2-2,,T. McConnell misses 2-pt shot from 15 ft
8:53.0,Defensive rebound by W. Ellington,,2-2,,
8:45.0,B. Lopez makes 2-pt shot at rim,2,4-2,,
8:32.0,,,4-4,2,N. Noel makes 2-pt shot at rim
8:15.0,T. Young misses 2-pt shot from 2 ft,,4-4,,
8:14.0,Offensive rebound by B. Lopez,,4-4,,
8:12.0,B. Lopez misses 2-pt shot from 2 ft (block by N. Noel),,4-4,,
8:10.0,,,4-4,,Defensive rebound by J. Okafor
7:57.0,,,4-4,,R. Covington misses 3-pt shot from 24 ft
7:56.0,,,4-4,,Offensive rebound by J. Okafor
7:46.0,,,4-6,2,T. McConnell makes 2-pt shot from 5 ft
7:31.0,,,4-6,,Personal foul by J. Okafor (drawn by B. Lopez)
7:24.0,D. Sloan misses 2-pt shot from 1 ft (block by N. Noel),,4-6,,
7:22.0,,,4-6,,Defensive rebound by T. McConnell
7:18.0,,,4-8,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
6:53.0,T. Young misses 2-pt shot from 18 ft,,4-8,,
6:51.0,,,4-8,,Defensive rebound by R. Covington
6:47.0,Personal block foul by D. Sloan (drawn by T. McConnell),,4-8,,
6:47.0,,,4-8,,Philadelphia full timeout
6:47.0,B. Bogdanovic enters the game for B. Lopez,,4-8,,
6:47.0,S. Larkin enters the game for W. Ellington,,4-8,,
6:47.0,T. Robinson enters the game for D. Sloan,,4-8,,
6:47.0,,,4-8,,K. Marshall enters the game for J. Okafor
6:47.0,,,4-8,,J. Grant enters the game for T. McConnell
6:34.0,,,4-8,,N. Stauskas misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by B. Bogdanovic,,4-8,,
6:13.0,J. Johnson misses 2-pt shot from 16 ft,,4-8,,
6:11.0,,,4-8,,Defensive rebound by N. Noel
5:53.0,,,4-8,,Turnover by J. Grant (step out of bounds)
5:53.0,,,4-8,,H. Thompson enters the game for R. Covington
5:41.0,Turnover by B. Bogdanovic (lost ball; steal by N. Noel),,4-8,,
5:32.0,,,4-8,,Turnover by K. Marshall (bad pass; steal by T. Robinson)
5:29.0,Turnover by T. Robinson (lost ball; steal by N. Noel),,4-8,,
5:20.0,,,4-10,2,N. Stauskas makes 2-pt shot from 1 ft
4:57.0,Turnover by B. Bogdanovic (bad pass; steal by K. Marshall),,4-10,,
4:51.0,,,4-10,,N. Stauskas misses 3-pt shot from 23 ft
