time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession)
11:33.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,2-0,,
11:09.0,,,2-0,,Turnover by K. Lowry (bad pass; steal by M. Gortat)
10:59.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,4-0,,
10:43.0,,,4-0,,Shooting foul by M. Gortat (drawn by D. DeRozan)
10:43.0,,,4-0,,D. DeRozan misses free throw 1 of 2
10:43.0,,,4-0,,Offensive rebound by Team
10:43.0,,,4-1,1,D. DeRozan makes free throw 2 of 2
10:30.0,Turnover by G. Temple (bad pass; steal by K. Lowry),,4-1,,
10:19.0,,,4-1,,Turnover by D. DeRozan (bad pass; steal by O. Porter)
10:14.0,O. Porter misses 2-pt shot at rim,,4-1,,
10:13.0,,,4-1,,Defensive rebound by D. DeRozan
10:05.0,,,4-1,,J. Valanciunas misses 2-pt shot from 1 ft (block by N. Hilario)
10:04.0,,,4-1,,Offensive rebound by L. Scola
9:58.0,,,4-1,,L. Scola misses 2-pt shot from 7 ft
9:58.0,,,4-1,,Offensive rebound by J. Valanciunas
9:54.0,,,4-3,2,J. Valanciunas makes 2-pt shot from 1 ft
9:49.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,6-3,,
9:35.0,,,6-3,,L. Scola misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by O. Porter,,6-3,,
9:28.0,J. Wall misses 2-pt shot from 16 ft,,6-3,,
9:28.0,,,6-3,,Defensive rebound by J. Valanciunas
9:21.0,Personal foul by O. Porter (drawn by J. Johnson),,6-3,,
9:10.0,,,6-5,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by J. Johnson)
8:54.0,N. Hilario makes 2-pt shot from 2 ft,2,8-5,,
8:30.0,,,8-5,,J. Valanciunas misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by O. Porter,,8-5,,
8:20.0,Turnover by J. Wall (bad pass; steal by L. Scola),,8-5,,
8:14.0,,,8-8,3,K. Lowry makes 3-pt shot from 27 ft
7:52.0,N. Hilario misses 2-pt shot from 5 ft,,8-8,,
7:51.0,,,8-8,,Defensive rebound by J. Valanciunas
7:41.0,,,8-8,,L. Scola misses 3-pt shot from 24 ft
7:40.0,,,8-8,,Offensive rebound by J. Valanciunas
7:32.0,,,8-8,,J. Valanciunas misses 2-pt shot from 3 ft
7:31.0,,,8-8,,Offensive rebound by J. Valanciunas
7:26.0,,,8-8,,D. DeRozan misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by O. Porter,,8-8,,
7:18.0,O. Porter makes 2-pt shot from 4 ft,2,10-8,,
6:58.0,,,10-8,,L. Scola misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by Team,,10-8,,
6:58.0,,,10-8,,Loose ball foul by J. Valanciunas (drawn by M. Gortat)
